Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000163536,SERPINI1,69,-3.2238,413,-0.5598,991,0.86163,523,-0.1919,1059,0.97844,782,0.52996,311,-0.9976,606,0.04368,361,-0.7689
ENSG00000173905,GOLIM4,102,1.56892,62,0.67958,14,-1.6188,16,-1.4162,15,-1.5193,29,-0.5930,65,0.75771,24,-0.8490,54,0.43227
ENSG00000085274,MYNN,13,0.59873,1,-2.4854,11,0.34993,14,0.70723,11,0.35333,10,0.26540,8,-0.2012,5,-0.8401,5,-0.8785
ENSG00000008952,SEC62,832,0.91903,636,0.46222,404,-0.2713,316,-0.6520,440,-0.1359,317,-0.7095,290,-0.7849,576,0.29938,661,0.52673
ENSG00000173889,PHC3,26,0.55215,51,1.78845,17,-0.1289,15,-0.2808,14,-0.4347,11,-0.7612,18,-0.0059,8,-1.1334,10,-0.9559
ENSG00000163558,PRKCI,13,-1.8010,40,-0.1452,55,0.38202,73,0.85055,62,0.56382,57,0.48068,23,-0.9645,32,-0.4599,24,-0.9028
ENSG00000136603,SKIL,18,-0.4982,25,0.01718,29,0.20238,25,0.01942,27,0.13995,25,0.02450,22,-0.1816,25,0.02172,27,0.13920
ENSG00000013297,CLDN11,666,5.14350,143,0.89534,3,-4.5740,6,-3.8089,2,-5.1340,1,-5.9972,2,-5.2367,2,-5.0359,4,-4.2520
ENSG00000013293,SLC7A14,7,-3.2084,139,1.32698,100,0.74600,68,0.10537,37,-0.8285,69,0.15265,37,-0.8298,47,-0.4637,61,-0.0562
ENSG00000163584,RPL22L1,41,0.53133,38,0.37052,24,-0.3112,37,0.35781,23,-0.4216,34,0.21077,30,-0.0080,16,-0.9102,22,-0.4992
ENSG00000163577,EIF5A2,7,-1.2297,14,-0.2596,29,0.89256,11,-0.6985,15,-0.1604,18,0.07125,7,-1.2853,24,0.55475,26,0.69443
ENSG00000154310,TNIK,38,-0.2440,78,0.93090,40,-0.1540,26,-0.7910,25,-0.8512,36,-0.3772,56,0.37425,41,-0.1013,66,0.65756
ENSG00000144959,NCEH1,9,-3.0949,28,-1.5011,110,0.63432,123,0.82720,94,0.38152,112,0.77195,46,-0.7561,61,-0.3254,51,-0.5881
ENSG00000169760,NLGN1,20,-0.3634,31,0.34856,31,0.33197,27,0.12134,44,0.94181,23,-0.1204,17,-0.5938,19,-0.4291,14,-0.8422
ENSG00000177565,TBL1XR1,63,-0.5443,99,0.16452,122,0.50428,78,-0.2064,110,0.34440,101,0.23366,70,-0.3811,83,-0.1049,64,-0.5306
ENSG00000172667,ZMAT3,58,-0.9040,151,0.62320,114,0.15352,81,-0.3831,100,-0.0516,100,-0.0635,78,-0.4359,113,0.14516,139,0.47921
ENSG00000121879,PIK3CA,21,-0.4888,46,0.73355,34,0.23042,24,-0.3257,25,-0.2566,28,-0.0535,17,-0.7974,38,0.44455,30,0.05186
ENSG00000121864,ZNF639,15,-0.6801,36,0.66395,21,-0.1948,24,-0.0002,23,-0.0326,34,0.65415,15,-0.6960,19,-0.3332,17,-0.5304
ENSG00000171109,MFN1,14,-0.3095,25,0.67737,18,0.12581,16,-0.0159,18,0.14285,15,-0.1488,8,-1.1629,17,0.01935,20,0.26717
ENSG00000114450,GNB4,23,-0.3797,73,1.55612,30,0.06070,9,-1.7421,14,-1.1635,23,-0.3835,13,-1.2314,44,0.67514,40,0.49158
ENSG00000136522,MRPL47,31,-0.4821,49,0.19912,47,0.13554,37,-0.2151,41,-0.0745,51,0.31848,36,-0.2769,35,-0.2992,50,0.25580
ENSG00000136521,NDUFB5,94,-0.9696,189,0.11377,205,0.24832,162,-0.1333,205,0.24309,201,0.24489,163,-0.1242,173,-0.0253,167,-0.0870
ENSG00000114757,PEX5L,119,0.05801,132,0.22808,167,0.61461,88,-0.4094,178,0.71960,118,0.04640,59,-1.0193,89,-0.3992,79,-0.5832
ENSG00000163728,TTC14,33,0.30895,27,0.02616,18,-0.5942,20,-0.4769,18,-0.6478,23,-0.2905,15,-0.8572,50,1.03374,42,0.73240
ENSG00000114416,FXR1,119,0.78394,98,0.46742,68,-0.1260,55,-0.4466,72,-0.0262,71,-0.0719,50,-0.6121,59,-0.3527,74,0.00197
ENSG00000205981,DNAJC19,52,-0.8149,52,-0.7962,113,0.41448,114,0.42154,93,0.09238,115,0.50830,75,-0.2526,68,-0.3886,79,-0.1651
ENSG00000242808,SOX2-OT,1011,3.95925,307,1.10171,28,-2.6272,41,-2.0486,23,-2.8758,23,-3.0750,49,-1.7941,38,-2.1608,49,-1.7886
ENSG00000181449,SOX2,222,1.50463,139,0.67254,35,-1.4788,68,-0.4781,21,-2.2113,53,-0.9401,153,0.82698,61,-0.6522,119,0.40486
ENSG00000058063,ATP11B,5,-1.1156,16,0.74725,11,0.22471,10,0.03673,13,0.37276,12,0.39513,6,-0.8021,7,-0.4522,7,-0.5934
ENSG00000043093,DCUN1D1,36,0.11328,35,0.08787,42,0.35904,33,-0.0298,41,0.32293,31,-0.1029,36,0.12956,23,-0.5908,25,-0.4282
ENSG00000078070,MCCC1,19,-0.1642,27,0.40731,27,0.42649,16,-0.4049,23,0.12794,23,0.19358,15,-0.4803,12,-0.8735,23,0.18949
ENSG00000114796,KLHL24,82,1.53105,56,0.84241,27,-0.3172,23,-0.6009,17,-1.0051,29,-0.2671,21,-0.6951,24,-0.5233,27,-0.3490
ENSG00000163872,YEATS2,25,-0.3915,62,1.06974,39,0.31072,18,-0.9208,37,0.23658,35,0.16241,15,-1.2018,18,-0.9032,39,0.29139
ENSG00000180834,MAP6D1,169,2.96380,45,0.36869,16,-1.1868,34,-0.1124,34,-0.1117,14,-1.5649,9,-2.0827,15,-1.3634,11,-1.7329
ENSG00000175193,PARL,28,0.05375,39,0.60903,34,0.36154,33,0.34888,21,-0.3431,22,-0.3227,24,-0.1832,19,-0.5644,26,-0.0544
ENSG00000114770,ABCC5,9,-2.2230,24,-0.7806,68,0.85620,50,0.33447,52,0.40431,42,0.05432,20,-1.0947,56,0.51697,42,0.07432
ENSG00000145191,EIF2B5,26,-0.4306,38,0.13808,44,0.38068,36,0.06478,41,0.26039,39,0.19111,21,-0.7732,31,-0.1876,33,-0.0824
ENSG00000161202,DVL3,45,0.45588,30,-0.1865,37,0.14378,31,-0.1432,22,-0.6757,30,-0.2343,40,0.25107,39,0.20022,37,0.12033
ENSG00000161203,AP2M1,216,-1.6927,584,-0.1724,1108,0.88482,780,0.29391,847,0.42801,707,0.14962,489,-0.4529,425,-0.6678,646,-0.0113
ENSG00000161204,ABCF3,20,-0.5797,21,-0.4868,43,0.61636,22,-0.4746,54,1.01749,29,-0.0434,22,-0.4380,30,0.00935,24,-0.3050
ENSG00000145198,VWA5B2,6,-0.9595,9,-0.2732,12,0.18567,14,0.40262,11,0.00957,14,0.44157,9,-0.3181,12,0.15590,8,-0.4454
ENSG00000214160,ALG3,7,-0.4851,7,-0.5384,14,0.48217,13,0.40174,13,0.42411,12,0.23838,10,-0.0385,7,-0.6616,7,-0.5115
ENSG00000163888,CAMK2N2,25,-1.8595,73,-0.2444,47,-0.9283,92,0.13158,74,-0.2071,128,0.79577,94,0.16288,103,0.31633,83,-0.0282
ENSG00000145194,ECE2,6,-0.5973,1,-2.6438,2,-2.0428,17,1.02324,12,0.48988,15,0.94232,12,0.42013,4,-1.0636,6,-0.6946
ENSG00000175166,PSMD2,84,-0.6928,139,0.09874,187,0.57970,129,-0.0220,118,-0.1580,146,0.19554,94,-0.5179,144,0.14976,122,-0.1085
ENSG00000114867,EIF4G1,73,-0.1525,52,-0.6767,107,0.45309,64,-0.3658,93,0.23488,85,0.09850,53,-0.6494,65,-0.3495,129,0.77317
ENSG00000175182,FAM131A,17,-3.2009,122,-0.3105,282,1.06783,190,0.39042,236,0.76053,157,0.09318,96,-0.6919,118,-0.3674,115,-0.4096
ENSG00000163882,POLR2H,20,-0.8402,32,-0.0692,45,0.47065,37,0.12130,45,0.46194,41,0.33071,20,-0.7749,25,-0.4634,33,-0.0476
ENSG00000090539,CHRD,5,-1.9159,6,-1.7130,34,0.82556,22,0.11756,31,0.68858,27,0.53990,15,-0.4946,12,-0.8171,23,0.23509
ENSG00000182580,EPHB3,11,0.14116,25,1.45916,10,-0.0853,9,-0.2127,5,-1.0664,10,-0.0058,3,-1.6160,3,-1.8080,17,0.76766
ENSG00000177383,MAGEF1,25,-1.3597,63,0.06824,67,0.16527,69,0.20975,67,0.15724,82,0.56912,42,-0.5786,41,-0.6171,68,0.18150
ENSG00000156931,VPS8,25,-0.0756,38,0.62481,33,0.36227,23,-0.1831,33,0.39757,27,0.04517,15,-0.8588,23,-0.1949,17,-0.6696
ENSG00000187068,C3orf70,15,-0.1304,17,0.06479,7,-1.3269,29,0.89526,17,0.02663,16,-0.0400,28,0.83888,12,-0.4846,9,-0.9769
ENSG00000073803,MAP3K13,52,-0.1903,36,-0.7532,67,0.21147,57,-0.0487,50,-0.2675,62,0.11249,55,-0.0899,75,0.39402,70,0.28491
ENSG00000163900,TMEM41A,18,0.22050,36,1.36442,22,0.53064,8,-0.9537,18,0.17033,9,-1.0069,8,-1.0631,12,-0.4191,20,0.31433
ENSG00000163904,SENP2,34,-0.1116,32,-0.2301,50,0.49702,35,-0.0549,51,0.52797,37,0.01308,37,0.03377,23,-0.7032,30,-0.3055
ENSG00000136527,TRA2B,90,0.24254,99,0.39791,94,0.31377,84,0.14329,81,0.07923,76,-0.0348,51,-0.6410,67,-0.2320,55,-0.5329
ENSG00000244405,ETV5,26,-1.2730,59,-0.0179,56,-0.0873,66,0.16375,51,-0.2316,77,0.47992,40,-0.6287,86,0.61493,56,-0.0928
ENSG00000058866,DGKG,5,-2.5231,118,2.70462,18,-0.6576,40,0.60609,9,-1.6711,18,-0.7171,18,-0.6450,13,-1.1479,20,-0.5461
ENSG00000090520,DNAJB11,43,0.47062,53,0.82263,41,0.38128,32,-0.0395,37,0.20050,29,-0.1894,24,-0.4641,22,-0.5865,13,-1.3458
ENSG00000156976,EIF4A2,231,-1.8656,992,0.38336,1165,0.65211,818,0.06847,845,0.12132,964,0.38388,500,-0.7041,670,-0.2480,686,-0.2103
ENSG00000073849,ST6GAL1,53,0.51946,45,0.26182,48,0.38494,20,-0.9889,33,-0.2227,32,-0.3173,35,-0.1549,46,0.28781,39,0.01762
ENSG00000163923,RPL39L,52,0.33389,51,0.31580,37,-0.2239,44,0.07242,38,-0.1826,34,-0.3941,41,-0.0608,43,0.02911,50,0.25514
ENSG00000157005,SST,16,-4.8779,102,-2.1987,44,-3.4154,22,-4.4305,12,-5.2743,1831,4.47380,100,-2.2259,60,-2.9788,301,-0.5671
ENSG00000113916,BCL6,38,0.53990,32,0.21686,20,-0.4904,19,-0.5689,37,0.49767,28,0.01099,21,-0.4226,16,-0.8395,36,0.44956
ENSG00000145012,LPP,37,1.54910,12,-0.3536,9,-0.8011,8,-0.8136,9,-0.7150,14,-0.0539,19,0.42141,13,-0.2048,12,-0.3477
ENSG00000152492,CCDC50,30,0.24762,41,0.73889,18,-0.5299,16,-0.7448,11,-1.3066,24,-0.1291,30,0.23180,22,-0.2295,43,0.80279
ENSG00000114279,FGF12,48,-1.9621,187,0.10328,190,0.12346,185,0.07810,198,0.18957,236,0.55549,144,-0.3197,145,-0.2993,188,0.10850
ENSG00000180611,MB21D2,5,-1.6802,3,-2.3338,21,0.52342,18,0.28790,22,0.58738,23,0.78528,11,-0.4218,11,-0.4670,14,-0.1227
ENSG00000127252,PLAAT1,3,-1.2378,3,-1.3667,8,-0.0180,13,0.78374,14,0.86220,10,0.43732,11,0.54831,3,-1.3579,4,-1.0188
ENSG00000127249,ATP13A4,17,0.11904,26,0.84323,6,-1.3494,16,0.05320,8,-0.9569,13,-0.2334,33,1.24729,10,-0.6594,12,-0.4129
ENSG00000198836,OPA1,49,-1.0747,94,-0.0885,133,0.47904,120,0.31563,157,0.75624,106,0.12858,65,-0.6485,97,-0.0254,62,-0.7388
ENSG00000114315,HES1,67,1.76079,32,0.45444,13,-0.9716,16,-0.6245,5,-2.3386,13,-1.0117,40,0.82705,14,-0.7840,28,0.24561
ENSG00000133657,ATP13A3,13,-0.8454,35,0.69152,25,0.16724,26,0.21927,30,0.45595,23,0.04362,23,0.02965,16,-0.5233,12,-0.9779
ENSG00000041802,LSG1,5,-1.5996,26,0.96937,21,0.64181,9,-0.6994,13,-0.1255,16,0.20106,9,-0.7154,16,0.23300,11,-0.3612
ENSG00000114331,ACAP2,52,0.84486,34,0.13685,19,-0.7143,19,-0.7516,20,-0.6809,32,0.05473,35,0.19877,28,-0.1480,38,0.35268
ENSG00000184203,PPP1R2,24,-1.3066,61,0.11856,77,0.48127,55,-0.0527,68,0.27469,60,0.09328,50,-0.1913,45,-0.3686,69,0.31429
ENSG00000189058,APOD,1690,2.97310,858,1.48031,174,-1.1390,103,-1.9142,72,-2.4372,109,-1.9566,109,-1.8379,148,-1.3798,250,-0.5833
ENSG00000061938,TNK2,48,-0.4022,70,0.17600,55,-0.2031,57,-0.1301,60,-0.0709,62,-0.0079,53,-0.2480,70,0.18608,86,0.52892
ENSG00000072274,TFRC,19,-0.2051,20,-0.1933,24,0.13422,20,-0.1335,36,0.77504,20,-0.1567,20,-0.1341,21,-0.0896,21,-0.1084
ENSG00000161217,PCYT1A,19,0.41209,12,-0.3447,21,0.54995,11,-0.4123,15,0.03800,12,-0.3691,16,0.12423,17,0.16071,14,-0.1555
ENSG00000213123,TCTEX1D2,19,-1.7068,98,0.84260,67,0.20535,85,0.59216,62,0.07299,60,0.04553,54,-0.1517,41,-0.5733,43,-0.4806
ENSG00000163960,UBXN7,39,0.67474,27,0.07927,21,-0.3203,12,-1.0833,19,-0.4669,21,-0.3559,18,-0.5580,36,0.57093,42,0.81057
ENSG00000163961,RNF168,24,0.17117,35,0.76921,15,-0.5599,19,-0.2259,15,-0.5261,17,-0.4190,19,-0.1814,30,0.54026,25,0.22923
ENSG00000174013,FBXO45,31,-0.1126,50,0.63055,31,-0.1049,43,0.40424,44,0.45035,30,-0.1902,23,-0.5821,30,-0.1756,23,-0.6066
ENSG00000163964,PIGX,42,-0.7437,87,0.41152,87,0.40951,54,-0.3518,88,0.43058,76,0.22559,57,-0.2458,56,-0.2788,50,-0.4689
ENSG00000174007,CEP19,7,-1.1072,17,0.22871,15,0.04404,23,0.73296,19,0.42278,17,0.21425,7,-1.1790,16,0.08340,10,-0.5501
ENSG00000180370,PAK2,65,1.09248,59,0.92715,28,-0.3010,38,0.19472,19,-0.8597,25,-0.5027,23,-0.5852,29,-0.2214,25,-0.4578
ENSG00000119231,SENP5,25,-0.4015,35,0.12537,34,0.09207,41,0.36778,32,-0.0185,35,0.17108,27,-0.2829,28,-0.1952,30,-0.1265
ENSG00000114503,NCBP2,40,-0.4568,67,0.35907,44,-0.2902,59,0.17131,63,0.25107,52,-0.0476,54,0.00665,57,0.09924,47,-0.2118
ENSG00000270170,NCBP2AS2,25,-0.7537,44,0.12915,50,0.33655,46,0.20234,43,0.08516,49,0.34155,31,-0.4297,32,-0.3902,38,-0.1146
ENSG00000119227,PIGZ,6,-1.2794,11,-0.3320,25,0.92954,11,-0.3973,19,0.48237,17,0.34344,14,0.04615,7,-1.0571,13,-0.1010
ENSG00000163975,MELTF,1,-2.4620,18,1.14622,12,0.39503,5,-0.8136,1,-2.4107,7,-0.3656,13,0.61908,9,0.05836,15,0.81449
ENSG00000228109,MELTF-AS1,10,0.07664,9,-0.0160,11,0.27984,10,0.09102,9,-0.0874,10,0.12621,12,0.29796,5,-0.9785,8,-0.1888
ENSG00000075711,DLG1,126,0.84095,116,0.69546,72,-0.0879,57,-0.4565,63,-0.2963,80,0.10909,35,-1.1752,80,0.08538,48,-0.6939
ENSG00000161267,BDH1,3,-3.2164,28,0.05773,37,0.51085,34,0.38123,39,0.60988,31,0.28299,22,-0.3306,20,-0.4136,23,-0.2577
ENSG00000145016,RUBCN,14,-1.2401,51,0.76861,30,-0.0789,28,-0.2103,30,-0.0751,31,-0.0218,27,-0.2376,33,0.04399,42,0.44287
ENSG00000122068,FYTTD1,35,-0.3693,63,0.56831,51,0.22471,41,-0.1164,54,0.30825,48,0.13703,30,-0.6229,24,-0.9281,50,0.18905
ENSG00000186001,LRCH3,30,0.89818,25,0.57561,14,-0.2868,14,-0.3477,18,0.08300,14,-0.4302,11,-0.6298,17,-0.0501,17,-0.0503
ENSG00000114473,IQCG,6,-0.5312,13,0.62231,10,0.23470,5,-0.9318,6,-0.5679,10,0.20432,10,0.23903,10,0.16882,8,-0.1405
ENSG00000182899,RPL35A,1322,0.77257,763,-0.1320,558,-0.6204,865,0.06866,736,-0.1871,738,-0.2053,933,0.19237,637,-0.4157,994,0.29521
ENSG00000182903,ZNF721,19,-0.5637,53,1.06708,30,0.10860,30,0.11217,34,0.32098,25,-0.2006,20,-0.5155,22,-0.3513,20,-0.4699
ENSG00000174227,PIGG,18,0.34275,19,0.41544,19,0.45211,11,-0.4471,21,0.54507,12,-0.3490,15,-0.0005,8,-0.8965,12,-0.3484
ENSG00000273238,TMEM271,7,-3.1090,31,-0.9645,83,0.56104,82,0.54308,70,0.28888,74,0.43211,70,0.27311,52,-0.1990,44,-0.4573
ENSG00000169020,ATP5ME,1352,0.80096,795,-0.0740,727,-0.2174,826,-0.0145,758,-0.1512,720,-0.2580,810,-0.0447,713,-0.2471,911,0.14347
ENSG00000215375,MYL5,11,0.23334,10,-0.0072,12,0.36341,5,-0.9496,10,0.00492,7,-0.4619,15,0.64387,12,0.36583,8,-0.3861
ENSG00000185619,PCGF3,19,-0.5332,27,0.02645,35,0.44559,28,0.07791,30,0.15731,34,0.44287,19,-0.5063,17,-0.6745,24,-0.1835
ENSG00000168993,CPLX1,30,-2.6916,136,-0.4190,263,0.64296,123,-0.5761,119,-0.6341,246,0.60821,120,-0.6120,189,0.09418,308,0.90892
ENSG00000178950,GAK,24,-0.9227,46,0.09089,72,0.84280,49,0.20245,48,0.16255,39,-0.1630,22,-1.0437,54,0.37302,38,-0.1817
ENSG00000127419,TMEM175,25,-0.1224,32,0.25382,31,0.19001,23,-0.3146,37,0.48218,31,0.20855,30,0.13515,18,-0.6618,17,-0.7240
ENSG00000145214,DGKQ,1,-3.0551,12,-0.3588,21,0.59358,14,-0.0996,26,0.94408,17,0.31297,18,0.32344,12,-0.3379,8,-0.9731
ENSG00000127418,FGFRL1,13,0.31671,16,0.68378,3,-1.8979,6,-0.7975,6,-0.9137,10,-0.0648,29,1.71358,6,-0.8174,6,-0.7258
ENSG00000159674,SPON2,0,-6.7667,0,-7.7456,4,-1.4819,30,1.86380,38,2.34829,4,-1.3684,14,0.53632,6,-0.8849,2,-1.9964
ENSG00000159692,CTBP1,64,-1.0204,90,-0.4884,112,-0.1460,150,0.32188,150,0.32115,138,0.21280,106,-0.2356,162,0.44527,120,-0.0437
ENSG00000090316,MAEA,33,-0.9121,65,0.12040,82,0.50149,54,-0.1676,102,0.87282,64,0.10852,40,-0.6335,43,-0.5253,55,-0.1562
ENSG00000163950,SLBP,23,-1.4511,64,0.11893,87,0.61319,67,0.18060,80,0.47182,52,-0.2458,38,-0.6914,79,0.46259,54,-0.1439
ENSG00000168936,TMEM129,40,0.60028,26,-0.0790,21,-0.4080,37,0.50344,35,0.38311,20,-0.4920,27,0.00526,25,-0.1107,21,-0.4299
ENSG00000068078,FGFR3,100,-0.0055,135,0.48334,39,-1.4645,81,-0.3412,41,-1.3836,79,-0.4219,200,1.15466,80,-0.3527,171,0.88333
ENSG00000168924,LETM1,30,-0.3112,26,-0.5474,30,-0.3254,42,0.22769,36,-0.0060,48,0.50116,30,-0.3262,42,0.21613,34,-0.1010
ENSG00000109685,NSD2,32,-0.3768,46,0.22521,44,0.15564,50,0.35594,49,0.30228,40,-0.0022,32,-0.3571,41,0.01860,28,-0.5542
ENSG00000185049,NELFA,15,0.20063,14,0.06588,18,0.41478,17,0.40238,17,0.35350,14,0.01195,12,-0.1225,5,-1.3468,9,-0.6667
ENSG00000243449,C4orf48,774,1.03457,490,0.26084,318,-0.4286,412,-0.0182,472,0.20004,313,-0.4993,407,-0.0388,247,-0.8169,424,0.02506
ENSG00000185818,NAT8L,102,-0.7432,169,0.04765,151,-0.1321,182,0.16182,155,-0.0953,170,0.06562,212,0.41681,215,0.43692,116,-0.5479
ENSG00000123933,MXD4,51,0.73559,24,-0.4752,24,-0.4553,21,-0.6390,29,-0.1696,25,-0.4277,56,0.90844,28,-0.2067,39,0.31293
ENSG00000159733,ZFYVE28,10,-1.1619,9,-1.3361,32,0.66629,38,0.97290,35,0.81475,19,-0.2289,11,-1.0514,16,-0.4177,24,0.22059
ENSG00000063978,RNF4,36,-0.2928,56,0.42430,50,0.23473,57,0.45097,43,0.00381,43,0.00632,36,-0.2790,37,-0.2216,29,-0.6119
ENSG00000125386,FAM193A,22,0.72748,17,0.36447,14,0.04512,9,-0.6781,11,-0.2797,10,-0.4626,10,-0.4077,11,-0.3367,22,0.73573
ENSG00000087274,ADD1,143,-0.4811,239,0.34110,213,0.15196,180,-0.1165,210,0.12999,213,0.16986,166,-0.2460,206,0.09375,156,-0.3446
ENSG00000109736,MFSD10,20,-0.3640,42,0.86087,29,0.25802,31,0.32773,24,-0.0974,21,-0.3145,17,-0.5955,29,0.24002,17,-0.6298
ENSG00000249673,NOP14-AS1,5,-0.8485,4,-1.1093,14,0.65253,12,0.42850,12,0.42407,11,0.37359,7,-0.5077,10,0.12708,5,-0.8243
ENSG00000125388,GRK4,19,0.66100,17,0.43682,8,-0.7467,13,0.07720,10,-0.3325,8,-0.6891,8,-0.6558,14,0.13855,21,0.80559
ENSG00000197386,HTT,29,-0.8908,48,-0.1106,65,0.38480,44,-0.2408,53,0.04706,55,0.12679,70,0.50463,50,-0.0616,45,-0.2086
ENSG00000188981,MSANTD1,1,-2.2902,3,-1.5002,8,-0.0033,17,1.18209,8,0.06268,9,0.25831,10,0.34283,5,-0.5825,9,0.18428
ENSG00000159788,RGS12,29,-0.3237,20,-0.9086,22,-0.7172,71,1.16199,18,-1.0651,36,0.04489,73,1.20622,14,-1.4034,36,0.00540
ENSG00000163956,LRPAP1,102,-1.0119,238,0.30986,266,0.49655,232,0.26915,262,0.46864,198,0.01676,163,-0.2900,138,-0.5532,165,-0.2715
ENSG00000132406,TMEM128,30,0.68297,26,0.45365,26,0.43431,20,0.03713,18,-0.1372,18,-0.1850,13,-0.5818,8,-1.2633,19,-0.0273
ENSG00000168824,NSG1,8,-3.7896,66,-0.8172,133,0.27948,162,0.59800,177,0.75123,151,0.55219,84,-0.4625,85,-0.4288,105,-0.1117
ENSG00000168818,STX18,23,0.56472,28,0.90078,19,0.22346,12,-0.4287,17,0.05128,13,-0.3949,15,-0.0764,10,-0.7779,12,-0.4180
ENSG00000072832,CRMP1,37,-2.3761,145,-0.3226,257,0.59749,127,-0.5303,215,0.30354,289,0.93879,127,-0.5300,147,-0.3104,149,-0.2798
ENSG00000181215,C4orf50,2,-2.6347,11,-0.3219,21,0.69758,9,-0.6307,11,-0.2939,16,0.32932,6,-1.1687,23,0.87385,20,0.58381
ENSG00000152969,JAKMIP1,9,-2.8641,55,-0.1691,97,0.75265,58,-0.0785,64,0.06137,66,0.14390,48,-0.3886,92,0.65906,58,-0.0935
ENSG00000109501,WFS1,67,0.27322,59,0.07005,24,-1.2935,112,1.15831,56,-0.0157,46,-0.3631,75,0.46980,41,-0.4788,37,-0.6500
ENSG00000074211,PPP2R2C,77,-1.0698,112,-0.5026,233,0.67701,197,0.40000,161,0.06762,173,0.20804,135,-0.2154,163,0.08574,119,-0.4112
ENSG00000013288,MAN2B2,14,-1.4890,55,0.65212,59,0.76051,22,-0.8113,41,0.17701,46,0.41779,29,-0.3941,38,0.06578,19,-1.0414
ENSG00000179010,MRFAP1,366,0.10508,400,0.25110,367,0.10897,387,0.19548,328,-0.0711,361,0.09224,274,-0.3526,282,-0.3109,302,-0.1991
ENSG00000251580,LINC02482,7,-0.7640,13,0.15669,13,0.05814,12,-0.0415,9,-0.5207,10,-0.3447,18,0.61189,12,0.00382,18,0.61588
ENSG00000170846,AC093323.1,21,-1.3386,65,0.39517,68,0.47032,57,0.17524,65,0.37676,44,-0.2666,39,-0.4419,46,-0.1780,63,0.32767
ENSG00000178988,MRFAP1L1,102,0.00560,135,0.46151,117,0.22900,78,-0.4260,103,0.02169,109,0.13014,69,-0.6071,95,-0.0996,99,-0.0449
ENSG00000186222,BLOC1S4,14,-0.1703,19,0.26704,18,0.19956,28,0.88527,15,-0.0652,14,-0.2154,10,-0.7222,9,-0.9087,19,0.24859
ENSG00000170871,KIAA0232,48,-0.3591,50,-0.3173,81,0.47353,59,-0.0548,102,0.86239,76,0.40667,34,-0.8776,49,-0.3319,32,-0.9891
ENSG00000132405,TBC1D14,42,-0.1029,34,-0.4122,44,-0.0289,55,0.33094,45,0.01087,52,0.25308,41,-0.1489,38,-0.2715,46,0.04359
ENSG00000287104,AC097382.3,10,0.12490,9,-0.0489,11,0.30662,9,-0.0962,11,0.32063,9,-0.1191,5,-0.8116,5,-0.8743,15,0.71581
ENSG00000173011,TADA2B,14,-0.3654,21,0.32743,23,0.49793,24,0.50711,20,0.22083,17,0.01900,13,-0.4588,12,-0.5953,11,-0.6488
ENSG00000109519,GRPEL1,28,-0.6689,37,-0.2272,52,0.31872,49,0.22660,55,0.40198,45,0.10381,31,-0.4728,45,0.08856,39,-0.1390
ENSG00000184985,SORCS2,23,0.11069,38,0.95831,19,-0.1895,16,-0.3973,10,-1.1783,21,0.02703,22,0.06266,17,-0.2936,24,0.18054
ENSG00000196526,AFAP1,8,-1.1411,10,-0.7994,15,-0.1913,30,0.97427,8,-1.0119,26,0.86098,16,-0.0618,13,-0.3867,14,-0.2557
ENSG00000163995,ABLIM2,6,-2.8866,30,-0.6426,44,-0.0666,58,0.37814,85,1.01947,65,0.65653,39,-0.2555,40,-0.2300,27,-0.8397
ENSG00000087008,ACOX3,11,0.42974,4,-1.1563,15,0.99262,6,-0.4771,7,-0.1919,7,-0.2491,7,-0.2325,12,0.63719,6,-0.5363
ENSG00000071127,WDR1,63,0.00340,139,1.35340,75,0.29452,53,-0.2697,37,-0.7999,51,-0.3664,41,-0.6783,43,-0.5888,74,0.27093
ENSG00000178163,ZNF518B,6,-1.2543,11,-0.3460,23,0.86902,13,-0.0635,14,0.08866,10,-0.4738,17,0.32026,17,0.34768,14,0.09958
ENSG00000002587,HS3ST1,2,-2.0732,6,-0.7730,10,-0.0711,13,0.35275,12,0.27748,16,0.91002,6,-0.7101,7,-0.5527,12,0.30906
ENSG00000157869,RAB28,31,0.30843,45,0.92600,18,-0.4913,28,0.13600,25,-0.0273,24,-0.0609,21,-0.3002,19,-0.4499,18,-0.4956
ENSG00000038219,BOD1L1,141,0.51815,79,-0.4168,117,0.21480,70,-0.5975,81,-0.3729,81,-0.4189,47,-1.2104,140,0.50687,190,1.02617
ENSG00000137449,CPEB2,56,0.80926,55,0.76345,39,0.21486,30,-0.2245,36,0.06905,28,-0.3317,24,-0.5545,27,-0.3969,20,-0.8249
ENSG00000048342,CC2D2A,7,-0.2145,8,0.03295,9,0.12937,4,-1.0480,7,-0.1510,7,-0.2085,17,1.20562,9,0.06252,6,-0.4674
ENSG00000118564,FBXL5,92,0.46481,106,0.71255,72,0.08470,76,0.17091,70,0.02356,68,-0.0080,45,-0.6591,56,-0.3348,34,-1.1045
