Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000073803,MAP3K13,71,0.38482,60,0.11143,37,-0.6791,65,0.30371,55,-0.0202,52,-0.1279
ENSG00000163900,TMEM41A,2,-2.6311,24,0.57747,22,0.57074,15,-0.1887,19,0.22003,14,-0.2996
ENSG00000163904,SENP2,48,0.39454,49,0.43552,41,0.16007,31,-0.3490,37,-0.0072,32,-0.2520
ENSG00000136527,TRA2B,89,0.36399,85,0.28359,66,-0.1389,69,-0.0539,51,-0.5456,83,0.27620
ENSG00000244405,ETV5,52,0.30494,79,1.01090,34,-0.3943,33,-0.5068,51,0.31765,36,-0.3098
ENSG00000058866,DGKG,17,-0.6936,26,-0.1144,34,0.40259,31,0.27305,29,0.08769,19,-0.6075
ENSG00000090520,DNAJB11,29,0.05927,30,0.14303,34,0.38324,25,-0.2109,24,-0.2290,27,-0.0433
ENSG00000156976,EIF4A2,641,-0.0112,678,0.07843,1049,0.91612,691,0.13567,411,-0.7622,395,-0.8291
ENSG00000073849,ST6GAL1,91,1.25773,73,0.87058,27,-0.7464,17,-1.5634,40,-0.1367,60,0.62126
ENSG00000163923,RPL39L,7,-1.5826,44,1.31782,27,0.55423,16,-0.3800,18,-0.1688,15,-0.5300
ENSG00000157005,SST,16968,6.92156,62,-4.8611,73,-4.7847,210,-3.4001,200,-3.3134,79,-4.6773
ENSG00000113916,BCL6,21,-0.3996,14,-1.0262,28,0.03766,29,0.12112,30,0.11680,33,0.28560
ENSG00000152492,CCDC50,33,0.38978,26,0.03591,9,-1.7219,18,-0.6838,34,0.48539,43,0.95790
ENSG00000114279,FGF12,189,0.40188,162,0.14790,167,0.22349,183,0.44319,104,-0.5855,90,-0.8335
ENSG00000127249,ATP13A4,0,-4.4273,5,-1.4463,5,-1.5341,11,-0.5127,28,1.24307,27,1.18650
ENSG00000198836,OPA1,72,-0.4199,132,0.54156,134,0.64476,109,0.29356,58,-0.8174,61,-0.7228
ENSG00000133657,ATP13A3,26,0.30566,11,-0.9595,28,0.44550,27,0.48520,15,-0.5963,16,-0.4926
ENSG00000041802,LSG1,1,-3.8514,18,0.50663,16,0.34474,17,0.55565,5,-1.4399,16,0.32360
ENSG00000114331,ACAP2,47,1.17082,23,0.03337,12,-1.0121,24,0.08550,12,-1.0426,31,0.52381
ENSG00000184203,PPP1R2,127,1.01728,44,-0.6720,86,0.40480,77,0.24173,49,-0.5598,40,-0.8897
ENSG00000189058,APOD,770,0.74999,361,-0.4650,104,-2.4554,127,-2.2890,256,-1.0688,1558,2.65036
ENSG00000061938,TNK2,70,0.25840,89,0.64555,57,-0.0649,47,-0.4458,54,-0.1773,66,0.19296
ENSG00000072274,TFRC,18,-1.3330,56,0.41927,64,0.74414,35,-0.3664,51,0.30259,31,-0.5452
ENSG00000161217,PCYT1A,9,-1.2126,20,0.01041,17,-0.2237,20,0.06456,23,0.29911,23,0.26585
ENSG00000213123,TCTEX1D2,12,-2.2449,75,0.53668,73,0.56408,60,0.22178,56,0.08220,32,-0.8368
ENSG00000163960,UBXN7,53,1.15805,35,0.48422,13,-1.0694,20,-0.4956,22,-0.3171,34,0.48819
ENSG00000163961,RNF168,11,-0.6770,23,0.44421,9,-1.0577,19,0.14440,12,-0.5617,29,0.95470
ENSG00000174013,FBXO45,32,0.06287,32,0.05899,33,0.15554,36,0.36411,21,-0.6244,27,-0.2101
ENSG00000163964,PIGX,57,0.00785,72,0.37048,82,0.66820,55,-0.0428,42,-0.5230,41,-0.5424
ENSG00000174007,CEP19,11,-0.4072,18,0.32094,18,0.39615,19,0.55498,11,-0.4348,7,-1.0627
ENSG00000180370,PAK2,62,0.67639,46,0.17991,33,-0.3628,36,-0.2203,29,-0.5528,54,0.49150
ENSG00000119231,SENP5,21,-0.6852,45,0.47137,41,0.38003,35,0.12462,33,-0.0109,23,-0.6442
ENSG00000114503,NCBP2,46,-0.3159,60,0.09661,78,0.58166,48,-0.3160,44,-0.4445,65,0.23754
ENSG00000270170,NCBP2AS2,30,-0.7255,27,-0.8678,74,0.83363,53,0.21841,44,-0.1163,35,-0.5291
ENSG00000119227,PIGZ,42,1.12050,22,0.02731,26,0.37285,20,-0.1300,17,-0.3586,12,-0.9598
ENSG00000075711,DLG1,46,-0.6751,90,0.37835,79,0.17420,71,-0.0014,47,-0.7008,91,0.44906
ENSG00000161267,BDH1,35,0.29330,26,-0.1458,36,0.38235,34,0.32559,27,-0.0800,14,-1.1691
ENSG00000145016,RUBCN,54,0.62169,26,-0.5293,39,0.09154,34,-0.1703,45,0.34011,29,-0.4380
ENSG00000122068,FYTTD1,52,0.29248,43,-0.0190,59,0.56984,43,-0.0153,31,-0.5703,36,-0.3074
ENSG00000186001,LRCH3,17,0.13670,28,0.92528,10,-0.7125,13,-0.3379,14,-0.2250,20,0.45418
ENSG00000182899,RPL35A,1399,0.59678,562,-0.8440,676,-0.6107,827,-0.3041,1040,0.12716,1388,0.66513
ENSG00000182903,ZNF721,41,0.39198,48,0.64252,27,-0.2891,31,-0.0523,21,-0.7284,37,0.26935
ENSG00000174227,PIGG,9,-0.8206,33,1.22520,18,0.24972,14,-0.2442,12,-0.4616,14,-0.1328
ENSG00000273238,TMEM271,34,-1.0714,46,-0.6164,123,1.12397,76,0.21395,65,-0.0956,34,-1.1368
ENSG00000169020,ATP5ME,861,-0.2639,892,-0.2080,972,-0.0806,994,-0.0476,1125,0.17816,1135,0.19379
ENSG00000215375,MYL5,36,1.14224,12,-0.6220,8,-1.2878,16,-0.1663,23,0.46984,19,0.06819
ENSG00000185619,PCGF3,18,-0.4689,43,0.85145,28,0.19103,27,0.11966,27,0.12571,13,-1.1195
ENSG00000168993,CPLX1,244,0.22862,172,-0.3266,233,0.17216,331,0.98085,163,-0.4492,65,-1.9130
ENSG00000178950,GAK,32,-0.4179,66,0.72110,58,0.56771,46,0.17809,30,-0.6065,27,-0.7623
ENSG00000127419,TMEM175,43,0.65132,11,-1.4312,40,0.60947,27,-0.0917,28,-0.0186,21,-0.5085
ENSG00000145214,DGKQ,4,-2.3972,24,0.21470,33,0.77503,23,0.13341,21,-0.0117,15,-0.5747
ENSG00000159692,CTBP1,140,-0.0148,165,0.24267,133,-0.1024,172,0.39743,142,0.00645,93,-0.7109
ENSG00000090316,MAEA,96,0.50674,91,0.42460,117,0.97275,69,-0.0235,40,-0.9170,30,-1.3777
ENSG00000163950,SLBP,10,-2.6192,91,0.63079,89,0.67408,86,0.68848,37,-0.8460,34,-0.9772
ENSG00000168936,TMEM129,29,0.00452,44,0.67519,29,-0.0204,24,-0.3382,28,-0.0786,30,0.06680
ENSG00000068078,FGFR3,82,-1.0940,158,-0.0760,47,-2.0354,106,-0.8353,425,1.96305,164,-0.0244
ENSG00000168924,LETM1,5,-2.8473,46,0.41769,35,-0.0215,46,0.54350,39,0.16080,26,-0.4919
ENSG00000109685,NSD2,12,-1.7868,46,0.21099,48,0.31034,50,0.43264,33,-0.3365,37,-0.1551
ENSG00000185049,NELFA,14,-0.0271,8,-0.8501,27,1.19399,13,-0.2017,8,-0.9668,14,-0.0867
ENSG00000243449,C4orf48,463,-0.3157,464,-0.3132,568,0.00422,590,0.08125,574,0.02563,624,0.17328
ENSG00000185818,NAT8L,192,-0.3791,239,-0.0339,206,-0.2945,303,0.45062,293,0.33177,173,-0.5875
ENSG00000123933,MXD4,38,-0.0475,32,-0.3201,26,-0.7196,39,-0.0005,50,0.43882,46,0.29803
ENSG00000159733,ZFYVE28,3,-2.3900,20,0.12552,38,1.42788,15,-0.3185,15,-0.3673,13,-0.5648
ENSG00000063978,RNF4,59,0.67710,43,0.16416,42,0.13883,43,0.21838,35,-0.1969,21,-1.0213
ENSG00000087274,ADD1,123,-0.4537,190,0.22856,213,0.47310,144,-0.2617,167,0.02496,153,-0.1312
ENSG00000109736,MFSD10,18,-0.6144,34,0.35073,38,0.57331,26,-0.1410,25,-0.1690,24,-0.2406
ENSG00000249673,NOP14-AS1,10,-0.3376,23,1.01603,13,0.14528,14,0.30610,8,-0.6157,8,-0.7355
ENSG00000125388,GRK4,0,-4.7460,17,0.54863,15,0.36426,11,-0.1998,16,0.47718,11,-0.1812
ENSG00000197386,HTT,48,-0.3325,38,-0.6956,54,-0.1586,65,0.18893,75,0.44404,55,-0.1110
ENSG00000159788,RGS12,10,-1.8635,18,-1.0254,15,-1.3561,68,1.52443,42,0.29435,22,-0.7961
ENSG00000163956,LRPAP1,195,0.04224,133,-0.5579,267,0.63173,226,0.35830,144,-0.4751,130,-0.6450
ENSG00000132406,TMEM128,13,-0.8666,44,1.06404,22,-0.0235,26,0.26679,12,-1.0365,23,0.05006
ENSG00000168824,NSG1,238,0.87632,45,-1.7191,137,-0.0265,239,1.22652,79,-0.9431,50,-1.6683
ENSG00000168818,STX18,25,0.50307,16,-0.1845,21,0.22712,11,-0.8452,21,0.23114,21,0.24989
ENSG00000072832,CRMP1,136,-0.6299,252,0.33802,310,0.77832,253,0.44546,163,-0.3866,76,-1.6113
ENSG00000181215,C4orf50,20,-0.1118,46,1.28464,28,0.50276,27,0.52240,11,-1.0202,3,-2.7906
ENSG00000152969,JAKMIP1,37,-0.7997,106,0.85329,97,0.80913,62,-0.0186,41,-0.7292,43,-0.6501
ENSG00000109501,WFS1,68,-0.3754,84,-0.0486,72,-0.3123,89,0.05315,118,0.55289,78,-0.1954
ENSG00000074211,PPP2R2C,77,-1.3834,141,-0.4635,257,0.55712,243,0.52014,204,0.13722,107,-0.9532
ENSG00000013288,MAN2B2,45,0.46269,64,1.04817,40,0.28749,33,-0.0395,22,-0.7095,20,-0.8880
ENSG00000179010,MRFAP1,315,-0.0062,330,0.07174,348,0.17133,336,0.12710,256,-0.3611,306,-0.0557
ENSG00000170846,AC093323.1,25,-1.1541,79,0.61894,84,0.82560,51,-0.1116,51,-0.0925,33,-0.8288
ENSG00000178988,MRFAP1L1,88,0.05308,72,-0.2572,91,0.12529,99,0.32157,68,-0.3681,78,-0.1410
ENSG00000186222,BLOC1S4,14,-0.0697,19,0.48530,19,0.48298,16,0.22088,10,-0.5317,9,-0.7618
ENSG00000170871,KIAA0232,56,-0.4063,123,0.86075,71,-0.0452,95,0.55758,42,-0.9185,55,-0.4716
ENSG00000132405,TBC1D14,29,-0.6615,50,0.17412,41,-0.1443,44,-0.0166,51,0.22963,48,0.12073
ENSG00000173011,TADA2B,5,-1.8623,8,-1.0608,18,0.13889,32,1.41150,14,-0.3151,7,-1.3542
ENSG00000109519,GRPEL1,30,-0.5560,56,0.41380,56,0.47850,47,0.17937,42,-0.0276,25,-0.9172
ENSG00000184985,SORCS2,6,-1.1226,15,0.11129,8,-0.9005,12,-0.3099,26,1.18429,14,0.02519
ENSG00000196526,AFAP1,30,0.70740,15,-0.3830,21,0.13417,24,0.49198,17,-0.2162,9,-1.2309
ENSG00000163995,ABLIM2,6,-2.7046,36,-0.2080,74,1.12767,45,0.18774,35,-0.2800,28,-0.6456
ENSG00000071127,WDR1,72,-0.0420,121,0.80783,84,0.23900,63,-0.3170,53,-0.5544,78,0.09601
ENSG00000178163,ZNF518B,34,1.23321,16,0.00490,16,0.00752,16,-0.0439,11,-0.6117,12,-0.4230
ENSG00000157869,RAB28,0,-5.2470,33,1.00496,20,0.22494,15,-0.3156,15,-0.2751,23,0.48599
ENSG00000038219,BOD1L1,100,0.17931,187,1.23329,75,-0.3067,89,0.00310,35,-1.5318,104,0.26816
ENSG00000137449,CPEB2,22,-0.9770,77,0.95551,46,0.14511,43,0.00359,28,-0.7087,47,0.16130
ENSG00000118564,FBXL5,46,-0.3851,63,0.10224,77,0.49905,56,-0.0893,48,-0.3522,60,0.02152
ENSG00000237765,FAM200B,107,0.29900,99,0.17875,59,-0.6830,70,-0.4507,83,-0.1160,137,0.81963
ENSG00000169762,TAPT1,34,0.13305,40,0.37733,30,-0.0749,38,0.37295,19,-0.8056,30,-0.0940
ENSG00000169744,LDB2,20,-1.5831,43,-0.4430,150,2.02727,55,-0.0857,37,-0.7138,13,-2.2899
ENSG00000151552,QDPR,352,-0.2396,580,0.56014,223,-1.0177,194,-1.3353,266,-0.7334,1010,1.86429
ENSG00000002549,LAP3,32,-0.2008,29,-0.3448,26,-0.5494,29,-0.3816,41,0.22690,57,0.84468
ENSG00000118579,MED28,62,0.81679,50,0.45705,36,-0.0654,34,-0.1851,22,-0.8992,41,0.16875
ENSG00000163257,DCAF16,10,-0.5242,28,1.02702,11,-0.5471,11,-0.4907,13,-0.1659,21,0.64371
ENSG00000145147,SLIT2,39,0.55592,17,-0.6946,23,-0.2621,52,1.49885,12,-1.3229,9,-1.7689
ENSG00000163138,PACRGL,0,-5.5526,16,-0.3076,23,0.26683,30,0.88038,14,-0.5569,19,-0.0919
ENSG00000185774,KCNIP4,60,-0.3965,43,-0.9013,152,1.32003,89,0.28384,69,-0.1883,19,-2.2341
ENSG00000152990,ADGRA3,12,-0.4703,11,-0.5997,4,-2.0188,14,-0.3406,25,0.77721,29,1.04590
ENSG00000109606,DHX15,33,-0.5141,43,-0.0926,65,0.62681,45,-0.0385,31,-0.6654,51,0.19672
ENSG00000109610,SOD3,84,2.34821,2,-3.2998,4,-2.7014,14,-0.8219,27,0.36045,27,0.36521
ENSG00000053900,ANAPC4,43,1.53881,15,-0.1746,18,0.13267,13,-0.4403,12,-0.5893,14,-0.3060
ENSG00000250317,SMIM20,34,0.11211,23,-0.5355,27,-0.3111,24,-0.5481,52,0.90619,33,0.05817
ENSG00000168214,RBPJ,79,0.47317,78,0.45353,42,-0.5911,43,-0.5943,39,-0.6860,100,1.00744
ENSG00000109689,STIM2,37,0.83139,21,-0.1104,30,0.56139,20,-0.1932,11,-1.0939,21,-0.0577
ENSG00000169851,PCDH7,224,0.58983,149,-0.0673,299,1.27286,173,0.21934,66,-1.4083,44,-2.0321
ENSG00000047365,ARAP2,5,-1.8805,33,0.86917,13,-0.6509,11,-0.9494,19,-0.0274,37,1.29913
ENSG00000065882,TBC1D1,27,0.67143,9,-0.9437,25,0.64282,14,-0.4356,13,-0.4393,19,0.14927
ENSG00000109787,KLF3,27,0.50519,16,-0.2458,10,-1.0908,17,-0.2364,20,0.01422,30,0.79819
ENSG00000109790,KLHL5,53,0.83079,51,0.76454,21,-0.7190,28,-0.2361,17,-1.0198,43,0.54285
ENSG00000035928,RFC1,117,1.71865,29,-0.5913,32,-0.5139,29,-0.7221,24,-0.9447,63,0.71107
ENSG00000163682,RPL9,1409,0.45314,813,-0.4208,641,-0.8529,903,-0.3166,1093,0.04751,1652,0.82404
ENSG00000163683,SMIM14,83,0.45723,86,0.51302,57,-0.1653,67,0.15724,35,-0.9610,66,0.09379
ENSG00000078140,UBE2K,82,-0.3451,133,0.42463,112,0.17761,112,0.19965,79,-0.4399,93,-0.1583
ENSG00000121892,PDS5A,28,-0.2113,43,0.47083,37,0.24389,30,-0.1006,24,-0.4575,34,0.09709
ENSG00000163697,APBB2,11,-1.5836,40,0.30269,27,-0.3509,24,-0.6069,32,-0.0387,61,1.17489
ENSG00000154277,UCHL1,1331,-0.7152,1612,-0.4211,3591,1.01288,2812,0.60814,1325,-0.7842,991,-1.2490
ENSG00000064042,LIMCH1,112,-0.3030,195,0.58331,134,-0.0284,126,-0.1551,87,-0.7473,185,0.56170
ENSG00000109133,TMEM33,58,0.02779,62,0.12590,89,0.82411,53,-0.1507,39,-0.6529,47,-0.3277
ENSG00000014824,SLC30A9,103,0.35881,98,0.27423,103,0.39799,88,0.11923,59,-0.5772,60,-0.5360
ENSG00000124406,ATP8A1,34,-1.6732,124,0.27721,175,0.98532,116,0.22546,53,-1.1192,90,-0.2398
ENSG00000151806,GUF1,6,-1.7393,23,0.36112,26,0.61168,17,-0.1766,20,0.16985,16,-0.2823
ENSG00000163281,GNPDA2,22,0.36707,16,-0.0727,26,0.73609,14,-0.3936,14,-0.2753,14,-0.3146
ENSG00000163285,GABRG1,56,0.23889,62,0.39953,12,-2.1905,53,0.21908,71,0.71292,42,-0.2156
ENSG00000260878,AC104072.1,35,-0.1775,13,-1.7011,55,0.61054,59,0.86590,33,-0.3089,16,-1.4031
ENSG00000151834,GABRA2,54,-0.2525,26,-1.3419,91,0.65522,75,0.34651,82,0.45811,24,-1.5927
ENSG00000109158,GABRA4,56,0.32125,30,-0.6699,62,0.55842,68,0.84403,31,-0.6328,14,-1.9172
ENSG00000163288,GABRB1,46,0.41158,104,1.84929,44,0.39463,23,-0.7614,18,-1.1253,23,-0.7314
ENSG00000260918,AC107398.3,79,-0.1750,129,0.60738,123,0.61040,81,-0.1763,75,-0.2904,63,-0.5703
ENSG00000169019,COMMD8,29,0.24071,5,-2.4232,31,0.41989,29,0.36023,26,0.07691,18,-0.5468
ENSG00000109171,SLAIN2,15,-0.0816,10,-0.7272,12,-0.5086,17,0.05048,19,0.27509,20,0.42641
ENSG00000075539,FRYL,10,-1.2704,41,0.88565,11,-1.1561,12,-1.1592,26,0.20643,48,1.37562
ENSG00000109180,OCIAD1,256,-0.0619,243,-0.1461,424,0.87343,295,0.20784,185,-0.6217,164,-0.8176
ENSG00000145247,OCIAD2,90,0.80978,37,-0.5816,56,0.04675,60,0.17947,53,-0.0469,38,-0.6188
ENSG00000109184,DCUN1D4,58,0.36464,80,0.90294,71,0.79794,40,-0.2925,27,-0.8921,27,-0.8703
ENSG00000163069,SGCB,63,-0.1098,75,0.17768,63,-0.1134,66,-0.0554,64,-0.0891,76,0.21626
ENSG00000109189,USP46,84,-0.0164,56,-0.6522,114,0.52309,90,0.10553,90,0.08989,61,-0.5800
ENSG00000226950,DANCR,78,0.63317,24,-1.2150,37,-0.5828,55,0.08896,56,0.10291,63,0.32230
ENSG00000145216,FIP1L1,21,-0.6428,27,-0.3153,38,0.27985,32,-0.0198,30,-0.1135,38,0.28053
ENSG00000072201,LNX1,9,-2.3075,18,-1.3462,96,1.53235,63,0.73729,31,-0.6065,9,-2.4512
ENSG00000134853,PDGFRA,33,-0.1383,28,-0.3603,11,-1.8697,21,-0.9193,63,1.09898,59,0.94171
ENSG00000128039,SRD5A3,53,1.38730,16,-0.5343,32,0.58043,21,-0.1949,10,-1.3821,19,-0.2952
ENSG00000134851,TMEM165,41,-0.1218,44,0.00989,35,-0.3839,24,-1.0498,45,0.05363,82,1.20058
ENSG00000134852,CLOCK,41,0.65433,29,0.07261,25,-0.1561,33,0.37771,20,-0.5625,22,-0.3992
ENSG00000090989,EXOC1,51,0.49371,30,-0.3264,59,0.87582,33,-0.2133,16,-1.3654,39,0.07098
ENSG00000128050,PAICS,39,-0.1923,36,-0.2947,53,0.33707,44,0.03107,36,-0.3426,48,0.15939
ENSG00000174780,SRP72,49,-0.4974,90,0.47700,81,0.33406,72,0.13751,53,-0.3855,57,-0.2720
ENSG00000171476,HOPX,213,-1.1721,12,-5.3329,823,1.13765,699,0.93975,459,0.01503,62,-3.1212
ENSG00000047315,POLR2B,88,0.35896,62,-0.2124,94,0.51670,80,0.24819,52,-0.5111,47,-0.6693
ENSG00000163453,IGFBP7,724,3.02845,29,-2.3991,12,-3.8519,33,-2.4788,58,-1.5118,307,1.47344
ENSG00000150471,ADGRL3,40,-0.8454,88,0.37919,119,1.02114,77,0.21170,44,-0.7742,39,-0.9432
ENSG00000145242,EPHA5,7,-2.7672,71,0.79141,74,0.99263,56,0.51782,24,-0.9565,19,-1.3676
ENSG00000145241,CENPC,21,0.50757,17,0.18203,9,-0.8638,12,-0.4457,16,0.14700,21,0.59622
ENSG00000033178,UBA6,41,1.05229,29,0.48790,14,-0.6761,21,-0.0194,8,-1.6169,29,0.55040
ENSG00000083896,YTHDC1,36,-0.5552,66,0.39819,37,-0.5474,40,-0.4640,35,-0.6234,98,1.26441
ENSG00000132467,UTP3,92,1.81535,28,-0.1874,34,0.13221,18,-0.9958,22,-0.6169,31,-0.0347
ENSG00000018189,RUFY3,129,-0.6476,233,0.27821,281,0.66246,208,0.11849,133,-0.6567,171,-0.2355
ENSG00000132463,GRSF1,112,0.17971,123,0.33963,128,0.46022,107,0.14539,66,-0.6850,75,-0.4830
ENSG00000173542,MOB1B,43,-0.3714,31,-0.8670,58,0.07953,89,1.04586,48,-0.2373,27,-1.1482
ENSG00000156136,DCK,46,0.37074,59,0.77184,41,0.20221,41,0.22136,21,-0.8960,25,-0.6350
ENSG00000080493,SLC4A4,27,-0.8103,31,-0.6388,16,-1.7028,35,-0.5149,107,1.68008,51,0.15192
ENSG00000163626,COX18,6,-0.8721,17,0.63731,17,0.68952,9,-0.3598,13,0.22805,7,-0.7447
ENSG00000132466,ANKRD17,67,-0.0728,191,1.72575,54,-0.4505,58,-0.3435,36,-1.1080,78,0.19843
ENSG00000169116,PARM1,94,0.34349,23,-1.7584,95,0.41027,130,1.24020,54,-0.5754,13,-2.7869
ENSG00000163743,RCHY1,38,-0.0649,34,-0.2326,51,0.43444,36,-0.1946,43,0.13914,35,-0.2229
ENSG00000138769,CDKL2,13,-0.3199,20,0.32421,22,0.52097,16,-0.0207,15,-0.0975,11,-0.5608
ENSG00000138757,G3BP2,255,-0.2720,285,-0.0945,435,0.66602,390,0.52769,203,-0.6753,173,-0.9348
ENSG00000138768,USO1,36,-0.3277,64,0.58974,65,0.70448,37,-0.3170,33,-0.5083,40,-0.1898
ENSG00000198301,SDAD1,45,0.44411,31,-0.1518,46,0.56138,37,0.16530,25,-0.5241,22,-0.6930
ENSG00000138760,SCARB2,90,-0.0426,122,0.44438,54,-0.8952,70,-0.5290,59,-0.7483,184,1.35169
ENSG00000138758,SEPTIN11,181,0.62026,125,0.01655,158,0.45255,102,-0.3590,94,-0.4570,119,-0.0556
ENSG00000118816,CCNI,383,0.84128,261,0.20917,154,-0.6712,195,-0.3127,183,-0.3851,308,0.54361
ENSG00000138764,CCNG2,19,-0.8081,41,0.35860,35,0.14109,36,0.16614,36,0.14744,25,-0.4271
ENSG00000138767,CNOT6L,30,1.17531,16,0.17573,7,-1.2607,15,0.00327,11,-0.4984,18,0.34651
ENSG00000169288,MRPL1,54,-0.1370,50,-0.2497,89,0.75036,84,0.73499,23,-1.5264,36,-0.8309
ENSG00000163291,PAQR3,6,-1.5543,21,0.25997,31,1.01662,24,0.57699,11,-0.8462,8,-1.3294
ENSG00000152784,PRDM8,12,-1.8321,44,0.15179,71,1.10599,48,0.39585,33,-0.3119,14,-1.6315
ENSG00000138670,RASGEF1B,0,-5.8635,0,-4.6674,46,1.39534,33,0.77805,18,-0.3637,11,-1.2250
ENSG00000273156,AC124016.2,17,-0.1835,19,-0.0059,15,-0.3334,29,0.92554,14,-0.5448,13,-0.5674
ENSG00000138668,HNRNPD,231,1.17763,114,0.00032,102,-0.1829,98,-0.2866,99,-0.2482,105,-0.1366
ENSG00000152795,HNRNPDL,300,0.35217,272,0.18944,295,0.36338,241,-0.0027,150,-0.7976,234,-0.0530
ENSG00000145293,ENOPH1,153,0.32952,159,0.38651,134,0.12869,121,-0.0559,85,-0.6591,130,0.06702
ENSG00000249242,TMEM150C,51,0.43760,31,-0.3566,51,0.48950,47,0.38383,22,-0.9303,29,-0.4791
ENSG00000145284,SCD5,401,-0.1251,581,0.47069,346,-0.3919,371,-0.3054,447,0.05022,548,0.42350
ENSG00000138674,SEC31A,42,-0.0935,45,-0.0056,62,0.58412,48,0.14206,33,-0.5030,36,-0.3830
ENSG00000251022,THAP9-AS1,16,0.09556,22,0.56870,19,0.37555,13,-0.3020,10,-0.6993,17,0.14200
ENSG00000138663,COPS4,38,-1.1215,82,0.04112,119,0.75078,86,0.15809,72,-0.1698,57,-0.5642
ENSG00000163319,MRPS18C,95,0.07793,79,-0.2074,109,0.32998,91,0.01179,90,-0.0010,75,-0.3278
ENSG00000163624,CDS1,50,0.34028,60,0.62912,58,0.66736,55,0.64477,21,-1.0845,6,-2.9284
ENSG00000163625,WDFY3,87,0.85342,54,0.07583,48,-0.1228,53,0.05449,44,-0.2960,42,-0.3486
ENSG00000180769,WDFY3-AS2,15,-0.1596,16,-0.0608,9,-0.9264,9,-1.0202,28,0.95484,25,0.72447
ENSG00000109339,MAPK10,89,-1.0115,202,0.25647,243,0.64037,207,0.38288,166,-0.0573,79,-1.2697
ENSG00000172493,AFF1,18,0.39173,6,-1.3332,9,-0.7728,15,0.15808,13,-0.1058,21,0.69528
ENSG00000145332,KLHL8,25,0.43416,19,-0.0277,15,-0.4253,23,0.41040,13,-0.6314,20,0.09271
ENSG00000198189,HSD17B11,32,0.31818,36,0.48003,27,0.02313,21,-0.4325,23,-0.2274,30,0.21952
ENSG00000170502,NUDT9,91,0.91197,27,-1.0132,70,0.52851,54,0.06853,34,-0.7225,43,-0.3239
ENSG00000152583,SPARCL1,1108,-0.3351,457,-1.6774,1441,0.08800,1657,0.39025,1657,0.34176,1176,-0.2668
ENSG00000118785,SPP1,108,-0.8288,240,0.42157,36,-2.5645,39,-2.6108,66,-1.6622,680,3.18469
ENSG00000163644,PPM1K,141,0.22592,137,0.17864,101,-0.3287,159,0.55722,88,-0.5633,105,-0.2550
ENSG00000138642,HERC6,22,0.74027,8,-0.7798,20,0.68065,12,-0.2178,10,-0.5677,12,-0.1695
ENSG00000145337,PYURF,111,0.13520,76,-0.4688,118,0.26168,109,0.11916,84,-0.3358,104,0.02261
ENSG00000138641,HERC3,63,1.36447,26,-0.1306,29,0.07616,34,0.43250,12,-1.3427,16,-0.9192
ENSG00000177432,NAP1L5,233,0.31049,245,0.39220,251,0.48906,251,0.56977,118,-0.8095,69,-1.6574
ENSG00000138640,FAM13A,27,0.19327,22,-0.0974,50,1.46852,19,-0.3931,16,-0.5977,10,-1.3348
ENSG00000145335,SNCA,353,-0.2339,874,1.26846,640,0.83791,319,-0.4713,256,-0.7899,262,-0.7541
ENSG00000163110,PDLIM5,81,1.14197,34,-0.2809,10,-2.1174,25,-0.8970,56,0.60192,61,0.76866
ENSG00000138696,BMPR1B,0,-4.7295,3,-2.1972,5,-1.6216,16,0.28800,25,1.12557,21,0.71260
ENSG00000138698,RAP1GDS1,100,-0.5088,144,0.06144,162,0.28216,194,0.71256,105,-0.4739,83,-0.8677
ENSG00000168785,TSPAN5,116,0.09132,115,0.08573,161,0.71623,129,0.33912,67,-0.8218,64,-0.8923
ENSG00000151247,EIF4E,85,-0.0212,97,0.18320,90,0.07493,109,0.47867,63,-0.5305,67,-0.4236
ENSG00000164024,METAP1,16,-0.5889,34,0.53913,30,0.39645,31,0.54213,14,-0.8515,16,-0.6822
ENSG00000197894,ADH5,101,0.72140,75,0.24115,60,-0.1428,56,-0.2681,59,-0.1447,64,-0.0139
ENSG00000109270,LAMTOR3,65,0.32186,47,-0.2021,74,0.59552,56,0.10002,38,-0.5540,41,-0.4562
ENSG00000164031,DNAJB14,101,0.53663,116,0.77219,83,0.23692,75,0.07339,40,-0.9995,54,-0.4858
ENSG00000164032,H2AFZ,125,-0.4059,103,-0.7023,270,0.96579,173,0.12409,139,-0.2676,110,-0.6597
ENSG00000138814,PPP3CA,227,-0.6587,791,1.38893,462,0.52866,346,-0.0003,205,-0.8761,208,-0.8542
ENSG00000254531,AP001816.1,6,-0.9574,31,1.65268,19,0.93677,7,-0.7752,4,-1.4289,10,-0.2503
ENSG00000109332,UBE2D3,186,0.21740,195,0.29477,196,0.33650,154,-0.1040,142,-0.2359,134,-0.3318
ENSG00000145354,CISD2,65,-0.0610,71,0.07041,91,0.53120,68,0.00253,51,-0.4848,61,-0.1765
ENSG00000164038,SLC9B2,23,0.76832,17,0.33070,19,0.56903,14,-0.0356,11,-0.3990,6,-1.3006
