Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000273156,AC124016.2,3,-3.0184,35,0.53133,23,-0.2256,25,-0.0494,28,0.09278,36,0.53733,27,0.06809,24,-0.1513
ENSG00000138668,HNRNPD,142,0.03902,161,0.28299,168,0.31759,134,-0.0484,127,-0.1333,135,-0.0424,71,-1.0474,147,0.09850
ENSG00000152795,HNRNPDL,210,-0.3811,308,0.27353,221,-0.2976,331,0.35510,232,-0.2219,241,-0.1605,269,0.01267,279,0.07291
ENSG00000145293,ENOPH1,78,-0.8085,130,-0.0109,142,0.13593,178,0.50668,157,0.29501,99,-0.4450,133,0.02608,131,-0.0029
ENSG00000249242,TMEM150C,83,0.69783,57,0.06550,26,-1.1411,64,0.26445,54,-0.0158,54,-0.0212,55,0.02392,41,-0.4354
ENSG00000145284,SCD5,456,-0.3890,474,-0.3688,344,-0.8288,408,-0.5615,576,-0.0162,931,0.79192,611,0.08128,959,0.84283
ENSG00000138674,SEC31A,35,-0.7912,76,0.53361,70,0.32178,52,-0.1493,47,-0.3222,60,0.06205,45,-0.3814,57,-0.0197
ENSG00000138663,COPS4,21,-0.9824,42,0.10666,31,-0.3675,23,-0.8333,47,0.29121,60,0.69278,21,-0.9677,68,0.91302
ENSG00000163319,MRPS18C,63,0.77067,30,-0.4784,25,-0.7493,37,-0.1125,32,-0.3287,39,-0.0475,54,0.50890,47,0.28009
ENSG00000163624,CDS1,40,-0.0446,41,0.00032,36,-0.1731,48,0.28102,15,-1.4782,43,0.10656,49,0.30417,52,0.41351
ENSG00000163625,WDFY3,37,-0.7490,70,0.28520,43,-0.5116,58,-0.0457,55,-0.1197,88,0.64703,63,0.09079,53,-0.1772
ENSG00000180769,WDFY3-AS2,41,0.53963,12,-1.5450,25,-0.2331,8,-1.8941,20,-0.6140,24,-0.3393,77,1.67682,47,0.78724
ENSG00000109339,MAPK10,187,-0.3787,296,0.42824,210,-0.1945,341,0.60416,187,-0.3791,191,-0.3448,227,-0.0728,198,-0.2867
ENSG00000163629,PTPN13,34,0.05825,54,0.98166,14,-1.2943,12,-1.5534,19,-0.8268,53,0.78419,20,-0.8036,37,0.19267
ENSG00000145332,KLHL8,17,-0.7138,38,0.60000,43,0.70993,24,-0.2294,21,-0.4322,25,-0.1830,16,-0.8126,28,-0.0092
ENSG00000198189,HSD17B11,9,-1.7805,26,-0.2922,23,-0.4217,38,0.37666,11,-1.4852,57,1.04928,44,0.59976,39,0.41914
ENSG00000170502,NUDT9,32,0.03335,31,-0.0281,18,-0.8396,33,0.08970,27,-0.2023,42,0.50486,30,-0.0483,36,0.23876
ENSG00000152583,SPARCL1,1782,-0.2620,1852,-0.2271,627,-1.8632,650,-1.8094,1088,-1.0320,4614,1.37112,3204,0.70877,3213,0.71407
ENSG00000163644,PPM1K,182,-0.0015,191,0.09266,197,0.13194,194,0.10717,166,-0.1454,237,0.43930,134,-0.4824,143,-0.3779
ENSG00000145337,PYURF,89,0.46928,74,0.19217,46,-0.6040,49,-0.4801,37,-0.9343,88,0.44333,92,0.52125,54,-0.3489
ENSG00000138641,HERC3,17,-0.5448,41,1.08318,15,-0.7574,22,-0.0894,24,-0.0088,30,0.40373,10,-1.2598,14,-0.7766
ENSG00000177432,NAP1L5,101,-0.2872,118,-0.0311,119,-0.0161,216,0.98954,93,-0.4104,93,-0.4042,139,0.23291,86,-0.5359
ENSG00000138640,FAM13A,27,-0.3211,47,0.65201,21,-0.7216,36,0.13344,26,-0.4086,29,-0.2392,50,0.67101,18,-0.9606
ENSG00000145335,SNCA,145,-0.9362,312,0.32157,372,0.57610,531,1.20615,196,-0.4701,164,-0.7494,148,-0.9075,190,-0.5196
ENSG00000163110,PDLIM5,128,0.87556,30,-1.5372,22,-1.9163,15,-2.4609,77,0.01612,132,0.92825,121,0.77690,130,0.89672
ENSG00000138696,BMPR1B,6,-2.5817,20,-1.0430,20,-0.9031,6,-2.6958,12,-1.7129,118,2.16386,31,-0.2520,94,1.67614
ENSG00000138698,RAP1GDS1,76,-0.2299,112,0.46372,67,-0.4268,127,0.61028,95,0.12843,78,-0.1872,56,-0.7199,68,-0.4091
ENSG00000168785,TSPAN5,96,-0.2146,161,0.75000,92,-0.2812,115,0.07118,69,-0.7238,133,0.30883,114,0.06192,48,-1.2788
ENSG00000151247,EIF4E,91,-0.1526,80,-0.3986,141,0.56617,91,-0.1628,99,-0.0242,99,-0.0289,127,0.38722,95,-0.0904
ENSG00000164024,METAP1,8,-1.6476,44,1.18246,16,-0.6769,29,0.28409,6,-2.0588,28,0.23343,27,0.17583,18,-0.4721
ENSG00000197894,ADH5,97,-0.1508,93,-0.2325,120,0.19386,82,-0.4042,73,-0.5983,131,0.34279,119,0.18344,148,0.54667
ENSG00000109270,LAMTOR3,65,0.24136,66,0.31670,31,-0.9186,63,0.20400,52,-0.0989,60,0.12162,51,-0.1515,48,-0.2429
ENSG00000164031,DNAJB14,125,0.27311,119,0.21713,157,0.66366,110,0.06613,62,-0.8370,72,-0.6028,102,-0.0516,85,-0.3489
ENSG00000164032,H2AFZ,50,-0.4817,76,0.23348,55,-0.3302,81,0.30685,61,-0.1554,58,-0.2421,64,-0.0757,85,0.37536
ENSG00000138814,PPP3CA,610,-0.2484,1049,0.76760,736,0.05316,992,0.55103,416,-0.8481,634,-0.1863,585,-0.3142,337,-1.1680
ENSG00000109332,UBE2D3,175,-0.0985,184,-0.0233,138,-0.4800,191,0.04264,195,0.07775,186,-0.0037,235,0.38765,187,0.00945
ENSG00000145354,CISD2,48,-0.2170,58,0.08853,27,-1.1222,88,0.77735,54,-0.0404,51,-0.1170,33,-0.8130,80,0.61838
ENSG00000164039,BDH2,27,-1.0277,37,-0.6342,25,-1.1496,23,-1.3067,45,-0.2574,85,0.78548,103,1.12180,96,0.99590
ENSG00000168772,CXXC4,49,0.28109,6,-3.0345,106,1.66996,85,1.25155,43,0.06764,14,-1.6541,12,-1.9026,50,0.30960
ENSG00000138777,PPA2,20,-1.0077,41,0.13966,23,-0.8119,43,0.18479,25,-0.6279,39,0.02728,51,0.47557,60,0.76593
ENSG00000145348,TBCK,27,0.10036,21,-0.3331,40,0.79158,30,0.27086,30,0.28273,16,-0.7218,36,0.59640,6,-2.1917
ENSG00000164022,AIMP1,58,0.82662,25,-0.6126,31,-0.2356,25,-0.5360,23,-0.6566,41,0.23382,50,0.56891,41,0.22811
ENSG00000138801,PAPSS1,61,-0.9384,101,-0.1620,238,1.32528,151,0.51321,100,-0.1646,81,-0.4965,91,-0.3142,72,-0.6799
ENSG00000138796,HADH,9,-2.4299,43,-0.0885,32,-0.5702,30,-0.6238,36,-0.3503,70,0.72401,69,0.69036,76,0.85662
ENSG00000109475,RPL34,1753,0.62455,735,-0.8656,1350,0.18526,837,-0.5806,1843,0.71115,740,-0.7719,1342,0.17468,1514,0.37582
ENSG00000164089,ETNPPL,216,-0.4706,164,-0.9886,52,-2.6106,77,-2.0388,117,-1.4059,851,1.95282,357,0.34184,611,1.28844
ENSG00000138802,SEC24B,27,-0.3707,43,0.44321,14,-1.4070,30,-0.2328,24,-0.5529,18,-0.9635,62,1.00019,47,0.52153
ENSG00000123739,PLA2G12A,23,-1.1323,57,0.29506,39,-0.3474,36,-0.4628,82,0.86159,49,0.01559,38,-0.3797,57,0.24415
ENSG00000138660,AP1AR,11,-1.5260,36,0.29951,45,0.61674,58,1.07516,24,-0.3880,32,0.07406,23,-0.4247,11,-1.5748
ENSG00000174720,LARP7,80,0.63424,41,-0.4878,64,0.26676,44,-0.3291,52,-0.0829,49,-0.1703,52,-0.0824,67,0.33148
ENSG00000145362,ANK2,578,0.19803,392,-0.4797,602,0.26472,554,0.13022,369,-0.5197,509,-0.0078,652,0.39798,559,0.14507
ENSG00000145349,CAMK2D,163,-0.1208,234,0.56039,164,-0.1104,242,0.53499,159,-0.1569,108,-0.7667,134,-0.4268,141,-0.3552
ENSG00000269893,SNHG8,22,-1.8812,44,-0.9004,73,-0.0338,83,0.17268,107,0.59001,52,-0.5772,141,1.07975,106,0.58037
ENSG00000164096,C4orf3,186,-0.6675,352,0.41731,275,-0.0450,236,-0.2921,282,-0.0027,256,-0.1617,343,0.31486,265,-0.1041
ENSG00000164111,ANXA5,187,1.39944,45,-1.0664,51,-0.7624,46,-0.9272,76,-0.1542,64,-0.4322,98,0.26271,140,0.86538
ENSG00000164112,TMEM155,20,-0.6146,13,-1.3409,46,0.71006,103,2.28745,25,-0.2588,6,-2.3058,29,-0.0329,12,-1.3643
ENSG00000138686,BBS7,23,-0.1319,33,0.50707,14,-0.9520,51,1.20026,15,-0.7954,13,-1.0464,28,0.18927,17,-0.6037
ENSG00000138688,KIAA1109,99,0.52231,55,-0.4742,79,0.13514,57,-0.3875,35,-1.1153,125,0.91261,60,-0.3069,86,0.28886
ENSG00000138685,FGF2,1,-5.4703,34,-0.2633,30,-0.4387,12,-1.8450,36,-0.1645,84,1.27695,37,-0.1016,90,1.41266
ENSG00000164066,INTU,26,-0.4469,46,0.52350,19,-0.9326,7,-2.3469,37,0.10779,69,1.13976,17,-1.1481,48,0.51302
ENSG00000164070,HSPA4L,86,0.75304,44,-0.3809,34,-0.7631,95,0.93450,55,0.02437,40,-0.5090,23,-1.3534,71,0.43374
ENSG00000138709,LARP1B,55,0.96149,29,-0.1428,16,-1.0683,25,-0.3640,23,-0.4481,23,-0.4641,53,0.89398,28,-0.1963
ENSG00000164040,PGRMC2,27,-1.4957,80,0.25068,64,-0.1536,98,0.55460,85,0.31469,70,0.00146,38,-0.9681,90,0.40376
ENSG00000077684,JADE1,53,0.20406,40,-0.2980,86,1.00608,43,-0.1572,24,-1.0239,54,0.21834,47,-0.0051,37,-0.3651
ENSG00000138650,PCDH10,78,-0.1350,56,-0.7368,60,-0.5587,130,0.70516,107,0.37246,100,0.26543,72,-0.2727,108,0.38435
ENSG00000151012,SLC7A11,77,-0.3383,69,-0.5577,20,-2.3332,22,-2.2059,38,-1.4082,212,1.39315,169,0.97587,178,1.06588
ENSG00000109390,NDUFC1,119,-0.6428,223,0.42812,118,-0.6448,113,-0.7126,99,-0.9186,234,0.45294,244,0.52089,229,0.41784
ENSG00000164134,NAA15,72,0.79870,36,-0.3976,51,0.22176,36,-0.3407,50,0.19125,57,0.41225,41,-0.1410,23,-1.0542
ENSG00000145391,SETD7,23,-0.5084,29,-0.2034,29,-0.1343,16,-1.0808,46,0.59012,35,0.13858,59,1.02257,23,-0.5131
ENSG00000153130,SCOC,160,-0.5483,273,0.35625,254,0.18806,309,0.51779,167,-0.4809,222,-0.0305,171,-0.4502,208,-0.1390
ENSG00000109436,TBC1D9,37,-0.4613,65,0.50795,59,0.29309,62,0.35336,51,0.03196,29,-0.8453,50,-0.0007,30,-0.7787
ENSG00000170153,RNF150,38,-0.7183,71,0.32716,83,0.53918,92,0.72063,56,-0.0975,36,-0.7762,67,0.19875,23,-1.4792
ENSG00000153147,SMARCA5,233,1.29697,102,-0.1356,66,-0.7928,73,-0.6545,122,0.16951,114,0.05726,109,-0.0181,69,-0.7419
ENSG00000164163,ABCE1,68,1.10481,48,0.58123,34,-0.0837,26,-0.4897,20,-0.8825,23,-0.6697,21,-0.7745,31,-0.2191
ENSG00000164164,OTUD4,15,-1.0965,44,0.66397,23,-0.4907,23,-0.5174,33,0.08265,41,0.43063,27,-0.2422,32,0.04866
ENSG00000151612,ZNF827,30,-0.3419,37,-0.0043,35,-0.0983,40,0.10254,56,0.68441,32,-0.2200,26,-0.5406,41,0.15688
ENSG00000170390,DCLK2,68,-1.1895,263,1.20882,111,-0.4450,86,-0.8373,114,-0.3959,198,0.49426,112,-0.4313,105,-0.5331
ENSG00000145425,RPS3A,800,0.49330,388,-0.7516,588,-0.0168,513,-0.2375,952,0.79124,357,-0.8031,669,0.19257,694,0.25473
ENSG00000059691,GATB,12,-2.1373,103,1.60778,28,-0.8855,35,-0.5305,23,-1.1411,53,0.11896,31,-0.7329,53,0.13619
ENSG00000109670,FBXW7,161,-1.1861,370,0.13190,481,0.55322,578,0.87250,254,-0.4865,293,-0.2575,329,-0.0742,265,-0.4176
ENSG00000109654,TRIM2,58,-1.7196,158,-0.2019,262,0.65656,196,0.17358,205,0.24430,215,0.32324,146,-0.3035,191,0.12721
ENSG00000145428,RNF175,9,-1.6444,21,-0.4402,34,0.42340,41,0.73440,26,-0.0191,32,0.29064,16,-0.7337,38,0.60275
ENSG00000171566,PLRG1,56,0.14461,50,-0.0637,41,-0.3467,46,-0.1717,44,-0.2541,63,0.31584,60,0.25317,54,0.06107
ENSG00000164114,MAP9,118,-0.4599,189,0.34431,226,0.60078,128,-0.3317,125,-0.3687,163,0.05646,157,-0.0049,123,-0.3962
ENSG00000164116,GUCY1A1,15,-0.7770,34,0.58920,30,0.30227,44,0.96325,22,-0.1870,9,-1.4883,20,-0.3346,16,-0.7291
ENSG00000260244,AC104083.1,7,-2.2956,45,0.71551,31,-0.0116,30,-0.0518,31,-0.0450,24,-0.4270,52,0.85429,17,-0.9582
ENSG00000061918,GUCY1B1,257,-0.5151,462,0.50734,519,0.63116,519,0.63327,263,-0.4770,326,-0.1366,205,-0.8676,184,-1.0340
ENSG00000109738,GLRB,82,0.22617,68,-0.0902,63,-0.1956,125,0.95402,69,-0.0408,46,-0.6857,76,0.11342,43,-0.7789
ENSG00000120251,GRIA2,259,-0.2460,437,0.73014,248,-0.3190,331,0.14754,210,-0.5756,246,-0.3322,365,0.31189,186,-0.7680
ENSG00000164125,GASK1B,5,-2.9764,8,-2.4192,39,0.11390,40,0.14796,55,0.69736,66,1.01485,31,-0.2616,75,1.24248
ENSG00000171497,PPID,25,-0.6612,45,0.28443,25,-0.6787,73,1.08550,15,-1.4103,47,0.31451,44,0.20594,28,-0.5030
ENSG00000052795,FNIP2,118,0.83202,86,0.33337,63,-0.2004,83,0.24271,73,0.01906,30,-1.3478,56,-0.3956,52,-0.5172
ENSG00000109756,RAPGEF2,51,0.06051,56,0.26971,29,-0.8251,56,0.21133,44,-0.1600,45,-0.1196,51,0.06489,51,0.08021
ENSG00000145416,MARCH1,8,-1.7468,35,0.65834,37,0.65792,27,0.14477,11,-1.2771,19,-0.3995,24,-0.0750,28,0.19880
ENSG00000170088,TMEM192,72,1.18166,32,-0.2364,22,-0.7701,33,-0.1356,37,0.02267,33,-0.1344,28,-0.4037,37,0.01613
ENSG00000109466,KLHL2,76,-0.2328,116,0.52902,100,0.21081,117,0.46836,65,-0.4812,97,0.15810,46,-1.0287,60,-0.6080
ENSG00000052802,MSMO1,57,-1.0894,115,-0.0017,171,0.66331,178,0.73252,79,-0.5929,127,0.16325,90,-0.3900,102,-0.1879
ENSG00000109472,CPE,1711,-0.5222,1903,-0.3989,889,-1.5260,1345,-0.8954,1387,-0.8483,5225,1.37244,2952,0.35898,4054,0.90508
ENSG00000196104,SPOCK3,52,-0.0247,17,-1.8403,69,0.45550,59,0.19386,141,1.75683,31,-0.8424,7,-2.8797,79,0.67537
ENSG00000129116,PALLD,40,0.11382,15,-1.5214,13,-1.6376,5,-2.8692,23,-0.7593,97,1.68393,48,0.40291,81,1.31921
ENSG00000154447,SH3RF1,24,-0.1617,19,-0.6552,32,0.26818,19,-0.5533,41,0.69811,21,-0.3821,28,0.03166,41,0.68335
ENSG00000109572,CLCN3,81,-0.3211,101,0.03331,58,-0.8453,89,-0.1747,100,0.01087,92,-0.1235,113,0.21427,158,0.77918
ENSG00000056050,HPF1,31,-0.3122,41,0.14638,36,-0.0724,46,0.31941,29,-0.4393,44,0.23115,49,0.39876,25,-0.6607
ENSG00000198948,MFAP3L,40,-0.2650,45,-0.1137,24,-1.0689,18,-1.5112,23,-1.1427,82,0.90585,72,0.67222,82,0.90058
ENSG00000164106,SCRG1,105,-1.0529,162,-0.4300,85,-1.3630,56,-2.0000,203,-0.0189,363,0.96264,423,1.24150,292,0.58313
ENSG00000145451,GLRA3,42,-0.2451,71,0.73878,51,0.08163,21,-1.3131,14,-1.9386,64,0.43068,95,1.12222,12,-2.1520
ENSG00000150625,GPM6A,2095,-0.6331,3773,0.36208,3238,0.05962,3136,0.00792,2405,-0.4166,3747,0.30042,2145,-0.5965,3779,0.31441
ENSG00000150627,WDR17,30,-0.0431,51,1.02400,9,-1.7859,26,-0.2532,14,-1.1961,38,0.37817,36,0.27111,19,-0.6913
ENSG00000129128,SPCS3,33,-0.7172,71,0.61776,41,-0.3819,48,-0.1001,51,-0.0259,45,-0.2092,55,0.09464,50,-0.0474
ENSG00000218336,TENM3,56,0.13730,61,0.33749,35,-0.5962,103,1.18370,28,-0.9230,37,-0.5212,62,0.29360,19,-1.5281
ENSG00000129187,DCTD,27,-0.3903,25,-0.5499,30,-0.2306,43,0.35953,39,0.22176,35,0.03725,28,-0.3286,57,0.84849
ENSG00000173320,STOX2,112,-0.3186,223,0.97974,159,0.24308,145,0.09400,94,-0.5932,101,-0.4909,101,-0.4898,76,-0.9195
ENSG00000151729,SLC25A4,190,-0.5455,317,0.32016,281,0.07860,273,0.03203,262,-0.0363,286,0.11011,253,-0.0873,230,-0.2440
ENSG00000164323,CFAP97,106,1.66360,28,-0.6766,18,-1.2809,40,-0.0544,20,-1.1091,55,0.45950,51,0.35236,26,-0.7484
ENSG00000154556,SORBS2,98,0.29570,143,1.15676,37,-1.2162,37,-1.2231,74,-0.1615,88,0.13032,70,-0.2484,44,-0.9724
ENSG00000145476,CYP4V2,20,-0.7281,27,-0.2990,5,-2.5832,10,-1.6991,25,-0.3820,94,1.93723,24,-0.4491,55,0.89624
ENSG00000083857,FAT1,33,-0.0356,31,-0.1864,7,-2.3150,4,-3.0672,16,-1.1714,65,1.10250,38,0.17295,81,1.51871
ENSG00000109536,FRG1,39,0.30333,27,-0.3135,20,-0.7390,23,-0.5040,54,0.84984,40,0.34711,25,-0.3846,35,0.13008
ENSG00000164366,CCDC127,72,0.98474,40,-0.0297,36,-0.1756,18,-1.2495,32,-0.3551,49,0.32269,40,-0.0167,36,-0.1822
ENSG00000073578,SDHA,120,0.44922,89,-0.0383,98,0.11525,69,-0.4350,40,-1.2597,102,0.18334,104,0.21606,108,0.28252
ENSG00000249915,PDCD6,185,0.36676,157,0.10852,132,-0.1836,184,0.35167,125,-0.2777,117,-0.3805,116,-0.3863,161,0.13397
ENSG00000180104,EXOC3,57,-0.1881,57,-0.2052,78,0.32058,89,0.53747,56,-0.2088,59,-0.1277,84,0.44514,39,-0.7711
ENSG00000171368,TPPP,331,-0.4812,409,-0.1646,900,1.20330,704,0.76188,338,-0.4474,280,-0.7425,296,-0.6541,359,-0.3515
ENSG00000028310,BRD9,58,0.22831,57,0.24847,64,0.39358,45,-0.1800,53,0.07120,58,0.22385,31,-0.7431,29,-0.8347
ENSG00000049656,CLPTM1L,60,-0.5078,102,0.40658,93,0.20059,104,0.38728,63,-0.4206,98,0.27648,59,-0.5264,60,-0.4921
ENSG00000153395,LPCAT1,45,-0.4123,92,0.90727,43,-0.4914,40,-0.6040,64,0.15909,53,-0.1609,34,-0.8354,62,0.11315
ENSG00000171421,MRPL36,55,0.37993,48,0.18206,33,-0.4563,28,-0.6711,40,-0.1320,34,-0.3738,23,-1.0121,83,1.09114
ENSG00000145494,NDUFS6,199,-0.1608,187,-0.2925,237,0.12139,259,0.26521,214,-0.0455,242,0.15555,262,0.28848,192,-0.2139
ENSG00000164151,ICE1,16,-1.7917,44,-0.3073,53,0.03369,88,0.87355,42,-0.3563,68,0.44112,73,0.54870,42,-0.3527
ENSG00000133398,MED10,43,0.09620,35,-0.2530,26,-0.6876,65,0.79394,52,0.40509,35,-0.2533,28,-0.5844,46,0.18900
ENSG00000215218,UBE2QL1,48,-0.8940,82,-0.0466,109,0.41312,165,1.14563,73,-0.2413,49,-0.8544,91,0.12138,62,-0.5047
ENSG00000145545,SRD5A1,13,-1.2468,29,-0.0147,57,1.10915,46,0.72643,22,-0.4769,31,0.10229,12,-1.4019,26,-0.1721
ENSG00000112941,TENT4A,38,0.28946,37,0.26408,24,-0.4850,55,0.90489,10,-1.7496,36,0.19192,27,-0.2915,25,-0.3930
ENSG00000078295,ADCY2,141,-0.3268,158,-0.1682,191,0.15900,150,-0.2324,161,-0.1211,245,0.56999,194,0.18138,163,-0.1029
ENSG00000112902,SEMA5A,46,0.24817,18,-1.3059,38,-0.0431,37,-0.0878,128,2.16253,10,-1.9904,24,-0.7711,34,-0.2327
ENSG00000150753,CCT5,180,0.62977,178,0.72381,127,0.05080,109,-0.1951,84,-0.6040,121,-0.0325,58,-1.1849,74,-0.7935
ENSG00000164237,CMBL,46,-0.0901,40,-0.3858,38,-0.4057,48,-0.0520,55,0.17983,70,0.57444,67,0.51477,39,-0.3526
ENSG00000145495,MARCH6,226,-0.0337,254,0.17710,235,0.03074,320,0.54228,183,-0.3745,271,0.26110,103,-1.2587,232,0.01176
ENSG00000164236,ANKRD33B,81,0.72525,55,0.08744,44,-0.2656,66,0.37931,47,-0.1684,53,0.00616,48,-0.1544,23,-1.2711
ENSG00000112977,DAP,79,0.71886,35,-0.6687,51,-0.0066,15,-1.8992,55,0.10173,68,0.45381,53,0.04730,72,0.55444
ENSG00000169862,CTNND2,272,-0.3072,266,-0.3853,289,-0.2089,290,-0.2071,392,0.28435,398,0.31101,424,0.41699,368,0.18038
ENSG00000038382,TRIO,108,0.09533,142,0.64221,99,-0.0449,127,0.35494,63,-0.7507,80,-0.3900,80,-0.3996,78,-0.4263
ENSG00000154122,ANKH,147,0.16354,129,-0.0434,125,-0.0979,189,0.59142,140,0.08379,114,-0.2475,107,-0.3455,114,-0.2477
ENSG00000154153,RETREG1,47,-0.2563,38,-0.6554,101,1.01720,141,1.64130,49,-0.2126,35,-0.7379,24,-1.3145,27,-1.1214
ENSG00000145555,MYO10,256,0.77942,74,-1.3193,95,-0.8285,63,-1.4504,167,0.05919,343,1.30596,97,-0.8047,280,0.93617
ENSG00000176788,BASP1,935,-0.4385,1154,-0.1180,2053,0.86438,2211,0.99681,931,-0.4444,702,-0.8847,878,-0.5378,1055,-0.2466
ENSG00000145526,CDH18,48,0.06312,57,0.38819,30,-0.7038,65,0.54250,69,0.64493,31,-0.6205,46,-0.0208,16,-1.6364
ENSG00000040731,CDH10,22,-1.1270,32,-0.6397,61,0.47065,76,0.86265,57,0.35843,40,-0.2285,45,-0.0254,47,0.04387
ENSG00000113360,DROSHA,19,-0.8110,32,0.01404,38,0.27496,25,-0.3719,23,-0.4910,42,0.46407,42,0.45399,33,0.05854
ENSG00000082213,C5orf22,28,0.02752,30,0.18748,34,0.35306,47,0.90747,16,-0.8058,16,-0.7810,16,-0.8385,28,0.04187
ENSG00000133401,PDZD2,104,0.26124,145,0.98895,44,-1.1069,25,-1.9575,92,0.05575,89,0.00355,65,-0.4937,91,0.04078
ENSG00000113384,GOLPH3,42,-0.2485,59,0.37163,48,-0.0080,45,-0.1136,44,-0.1793,36,-0.4677,40,-0.3139,65,0.46438
ENSG00000150712,MTMR12,31,0.14041,42,0.77723,11,-1.4515,23,-0.3237,27,-0.0711,32,0.19378,26,-0.1572,21,-0.4567
ENSG00000056097,ZFR,185,0.60859,136,0.10688,81,-0.7283,109,-0.2620,119,-0.1186,154,0.30263,164,0.40457,70,-0.9374
ENSG00000113387,SUB1,221,-0.7754,509,0.67431,317,-0.2106,334,-0.1268,305,-0.2688,322,-0.1849,391,0.13176,341,-0.0906
ENSG00000113456,RAD1,30,0.13575,38,0.60728,22,-0.3704,36,0.45036,20,-0.4898,21,-0.4470,21,-0.4199,22,-0.3244
ENSG00000168724,DNAJC21,127,1.56011,77,0.77122,16,-1.8121,16,-1.7969,33,-0.7054,38,-0.5022,33,-0.7073,52,-0.0106
ENSG00000164187,LMBRD2,55,-1.7463,297,1.14898,165,-0.0499,220,0.42596,130,-0.4318,170,0.00266,103,-0.7890,93,-0.9405
ENSG00000152620,NADK2,57,-0.4366,91,0.34393,49,-0.6953,64,-0.2630,47,-0.7467,94,0.36121,80,0.10122,107,0.57971
ENSG00000164188,RANBP3L,61,0.93025,25,-0.5940,1,-4.6401,4,-3.1310,19,-0.9807,100,1.87377,22,-0.7390,59,0.87018
ENSG00000079215,SLC1A3,830,-0.6558,889,-0.6115,328,-2.0596,290,-2.2440,590,-1.1786,3387,1.77741,1507,0.30176,2578,1.24305
ENSG00000285967,NIPBL-DT,39,0.27849,53,0.94082,14,-1.2510,29,-0.1772,33,0.03149,25,-0.4351,28,-0.2574,21,-0.6855
ENSG00000164190,NIPBL,81,1.34841,36,-0.0480,27,-0.4593,29,-0.3991,39,0.09254,27,-0.4983,21,-0.8970,37,-0.0117
ENSG00000197603,CPLANE1,82,1.32982,24,-0.7843,43,0.20408,25,-0.6315,28,-0.4431,23,-0.7533,65,0.92663,25,-0.6693
ENSG00000113594,LIFR,34,-0.6826,42,-0.4074,31,-0.8055,19,-1.5679,64,0.33671,115,1.36360,45,-0.2358,79,0.68814
ENSG00000113638,TTC33,70,0.41841,59,0.17834,49,-0.1516,79,0.63951,30,-0.8906,33,-0.7661,57,0.07614,49,-0.1644
ENSG00000145592,RPL37,1679,0.38424,636,-1.2627,1372,0.05057,977,-0.4909,2599,1.14947,783,-0.8365,1622,0.32638,1664,0.36936
ENSG00000182836,PLCXD3,71,1.20030,15,-1.4441,46,0.41865,88,1.59419,30,-0.2620,5,-2.7383,14,-1.4513,34,-0.0434
ENSG00000083720,OXCT1,32,-0.9621,48,-0.3569,73,0.34620,67,0.21345,46,-0.3873,68,0.22359,78,0.46840,70,0.27731
ENSG00000250722,SELENOP,192,1.36012,28,-1.8696,43,-1.0918,42,-1.1415,96,0.14921,114,0.43519,137,0.74605,107,0.33136
ENSG00000112972,HMGCS1,168,0.00235,165,-0.0280,191,0.21012,251,0.67172,136,-0.3373,81,-1.1373,127,-0.4452,226,0.49267
ENSG00000172239,PAIP1,91,0.76031,66,0.25721,29,-1.0915,69,0.27451,58,-0.0007,59,0.01883,35,-0.8087,49,-0.2706
ENSG00000248092,NNT-AS1,56,0.37043,30,-0.6924,42,-0.0999,49,0.15601,60,0.50455,44,-0.0310,29,-0.6729,61,0.51581
ENSG00000112992,NNT,48,-0.9668,74,-0.3387,152,0.87945,74,-0.3045,69,-0.4315,45,-1.0752,133,0.64955,139,0.73238
ENSG00000112996,MRPS30,29,0.18458,31,0.29580,10,-1.4954,40,0.68839,22,-0.2737,23,-0.1784,9,-1.5432,41,0.72804
ENSG00000164588,HCN1,45,-0.0790,59,0.40833,57,0.29263,74,0.74147,39,-0.3056,23,-1.0975,37,-0.4079,34,-0.5142
ENSG00000164172,MOCS2,56,-0.7007,91,0.09777,57,-0.6618,104,0.29480,71,-0.3117,80,-0.1329,177,1.22987,53,-0.7832
ENSG00000164258,NDUFS4,28,-0.6084,42,0.02647,22,-0.9829,26,-0.7220,34,-0.3132,50,0.31273,52,0.35917,77,1.04388
ENSG00000185305,ARL15,38,0.48974,36,0.47619,43,0.70834,43,0.70661,8,-1.8647,16,-0.8407,25,-0.1622,7,-2.0996
ENSG00000067248,DHX29,66,1.03968,44,0.37251,28,-0.3879,28,-0.3969,34,-0.0700,27,-0.4718,21,-0.8377,31,-0.2154
ENSG00000039123,MTREX,68,0.95576,43,0.20659,33,-0.2151,40,0.06467,20,-0.9764,42,0.14165,35,-0.1227,21,-0.9650
ENSG00000067113,PLPP1,88,1.36114,35,-0.2396,6,-2.6890,20,-1.0955,11,-1.8770,66,0.83193,34,-0.2683,65,0.80135
