"Cluster","DE_class_cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Macro_down","Macro_down","GO:0044298","cell body membrane","1/5","32/15125",0.03125,94.53125,9.63133264266795,0.0105352323154396,0.0374586037882298,0.0123219091408651,"P2RY12",1,"CC"
"Macro_down","Macro_down","GO:1905360","GTPase complex","1/5","37/15125",0.027027027027027,81.7567567567568,8.94347576224019,0.0121733101898196,0.0389545926074227,0.0128140107261259,"GNG2",1,"CC"
"Macro_down","Macro_down","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","1/5","44/15125",0.0227272727272727,68.75,8.18395077948487,0.0144629737374797,0.0420741054181229,0.0138401662559615,"GNG2",1,"CC"
"Macro_down","Macro_down","GO:0035577","azurophil granule membrane","1/5","52/15125",0.0192307692307692,58.1730769230769,7.50992895860315,0.017074531155337,0.0455320830808986,0.0149776589081903,"GLIPR1",1,"CC"
"Macro_down","Macro_down","GO:0005882","intermediate filament","1/5","60/15125",0.0166666666666667,50.4166666666667,6.9744015057193,0.0196805493803373,0.0484444292439071,0.0159356675144431,"NRP1",1,"CC"
"Micro-1_up","Micro-1_up","GO:0034702","monoatomic ion channel complex","1/1","323/15125",0.00309597523219814,46.8266253869969,6.76953657106577,0.0213553719008264,0.0312066115702477,NA,"KCNH7",1,"CC"
"Micro-1_up","Micro-1_up","GO:1902495","transmembrane transporter complex","1/1","446/15125",0.00224215246636771,33.9125560538117,5.73694657930607,0.029487603305785,0.0312066115702477,NA,"KCNH7",1,"CC"
"Micro-1_up","Micro-1_up","GO:1990351","transporter complex","1/1","472/15125",0.00211864406779661,32.0444915254237,5.57175838720809,0.0312066115702477,0.0312066115702477,NA,"KCNH7",1,"CC"
"Micro-3_up","Micro-3_up","GO:0005635","nuclear envelope","1/1","467/15125",0.00214132762312634,32.3875802997859,5.60246198557258,0.0308760330578512,0.0308760330578512,NA,"RGS7",1,"CC"
"Micro-4_up","Micro-4_up","GO:0097060","synaptic membrane","5/12","435/15125",0.0114942528735632,14.4875478927203,8.0429495876597,1.28881599518947e-05,0.00060574351773905,0.000393428040636785,"GRM5/RIMS2/LINGO2/PTPRT/LRRTM4",5,"CC"
"Micro-4_up","Micro-4_up","GO:0014069","postsynaptic density","4/12","358/15125",0.0111731843575419,14.0828677839851,7.05906115733741,0.000131434990509794,0.00208293118935129,0.0013528556436996,"GRM5/DLGAP1/KALRN/PTPRT",4,"CC"
"Micro-4_up","Micro-4_up","GO:0032279","asymmetric synapse","4/12","374/15125",0.0106951871657754,13.4803921568627,6.8865533718178,0.000155595579133425,0.00208293118935129,0.0013528556436996,"GRM5/DLGAP1/KALRN/PTPRT",4,"CC"
"Micro-4_up","Micro-4_up","GO:0099572","postsynaptic specialization","4/12","392/15125",0.0102040816326531,12.8613945578231,6.70473794057131,0.000186475076104956,0.00208293118935129,0.0013528556436996,"GRM5/DLGAP1/KALRN/PTPRT",4,"CC"
"Micro-4_up","Micro-4_up","GO:0098984","neuron to neuron synapse","4/12","410/15125",0.00975609756097561,12.2967479674797,6.53452239955246,0.000221588424399073,0.00208293118935129,0.0013528556436996,"GRM5/DLGAP1/KALRN/PTPRT",4,"CC"
"Micro-4_up","Micro-4_up","GO:0045211","postsynaptic membrane","3/12","309/15125",0.00970873786407767,12.2370550161812,5.62360590644325,0.00162006549637957,0.0126905130549733,0.00824243849035219,"GRM5/PTPRT/LRRTM4",3,"CC"
"Micro-4_up","Micro-4_up","GO:0098839","postsynaptic density membrane","2/12","125/15125",0.016,20.1666666666667,6.06323754249774,0.00423612496509655,0.0284425533370768,0.0184733269154586,"GRM5/PTPRT",2,"CC"
"Micro-4_up","Micro-4_up","GO:0043025","neuronal cell body","3/12","473/15125",0.00634249471458774,7.99418604651163,4.35479696926625,0.00541548611777245,0.0318159809419131,0.0206643549230791,"KCNIP4/GRM5/SLC4A10",3,"CC"
"Micro-4_up","Micro-4_up","GO:0099634","postsynaptic specialization membrane","2/12","153/15125",0.0130718954248366,16.4760348583878,5.42143333287442,0.00627790882045689,0.0327846349512748,0.0212934919056432,"GRM5/PTPRT",2,"CC"
"Oligo-3_down","Oligo-3_down","GO:0043209","myelin sheath","10/287","44/15125",0.227272727272727,11.9773519163763,10.1413426071195,7.26513370917511e-09,2.69536460610397e-06,2.47779297028709e-06,"CA2/GPM6B/DLG1/MAG/CNP/MAL/PLP1/MBP/ERMN/PLLP",10,"CC"
"Oligo-3_down","Oligo-3_down","GO:0044304","main axon","9/287","70/15125",0.128571428571429,6.77575908412145,6.73603459985667,6.64147766790218e-06,0.00123199410739585,0.00113254671810542,"ANK3/DLG1/MAG/SPOCK1/MAPT/DLG2/MBP/ERMN/BIN1",9,"CC"
