"","xSpD","cell_type_anno","n_cell","prop_cell_type","prop_xSpD"
"388","xGL","Inhib.Pvalb",21,0.000853415694721014,0.00768105340160936
"389","xL2","Inhib.Pvalb",319,0.0149512560929884,0.116678858814923
"390","xL1_inhib","Inhib.Pvalb",132,0.00822276210054195,0.0482809070958303
"391","xLD_glia","Inhib.Pvalb",343,0.00743728181443657,0.12545720555962
"392","xVasc_adj","Inhib.Pvalb",95,0.00618932829500293,0.03474762253109
"393","xL5","Inhib.Pvalb",1299,0.0427654320987654,0.475128017556693
"394","xL6","Inhib.Pvalb",222,0.0100470673425054,0.0811997073884418
"395","xWMuf","Inhib.Pvalb",255,0.00608649990452549,0.0932699341623994
"396","xWMd","Inhib.Pvalb",38,0.000716994660276609,0.013899049012436
"397","xVasc_mural","Inhib.Sst",2,0.000102891243955139,0.00107933081489477
"398","xVasc_im","Inhib.Sst",5,0.000416285072017317,0.00269832703723691
"399","xGL","Inhib.Sst",11,0.000447027268663388,0.00593631948192121
"400","xL2","Inhib.Sst",319,0.0149512560929884,0.172153264975715
"401","xL1_inhib","Inhib.Sst",93,0.00579330966174547,0.0501888828926066
"402","xLD_glia","Inhib.Sst",292,0.00633144690908302,0.157582298974636
"403","xVasc_adj","Inhib.Sst",67,0.00436510521858102,0.0361575822989746
"404","xL5","Inhib.Sst",676,0.0222551440329218,0.364813815434431
"405","xL6","Inhib.Sst",148,0.00669804489500362,0.0798704803022126
"406","xWMuf","Inhib.Sst",208,0.00496467443192668,0.112250404749056
"407","xWMd","Inhib.Sst",32,0.000603784977075039,0.0172692930383162
"408","xVasc_mural","Inhib.Vip",13,0.000668793085708406,0.00210151956029745
"409","xVasc_im","Inhib.Vip",12,0.000999084172841562,0.00193986420950533
"410","xGL","Inhib.Vip",293,0.0119071808834884,0.0473650177820886
"411","xL2","Inhib.Vip",1562,0.07320959880015,0.252505657937278
"412","xL1_inhib","Inhib.Vip",2146,0.133682177786084,0.346912382799871
"413","xLD_glia","Inhib.Vip",608,0.013183286714803,0.0982864532816036
"414","xVasc_adj","Inhib.Vip",214,0.0139422763697961,0.0345942450695118
"415","xL5","Inhib.Vip",818,0.0269300411522634,0.132234076947947
"416","xL6","Inhib.Vip",142,0.00642650253439537,0.0229550598124798
"417","xWMuf","Inhib.Vip",305,0.00727993125835402,0.0493048819915939
"418","xWMd","Inhib.Vip",73,0.00137738447895243,0.0118008406078241
