"","logFC_Apoe_e4yes","p_Apoe_e4yes","padj"
"MAP3K3",-0.156031672964695,0.00214506347049616,0.0268772765686435
"CCDC47",-0.0389103208247601,0.615117207222342,0.768460012121937
"DDX42",-0.0710145162924466,0.242301643154361,0.447882154231629
"FTSJ3",0.0745005183622285,0.541480158041044,0.71672955762066
"PSMC5",-0.0841752459094808,0.518221594547102,0.701212223490284
"SMARCD2",0.00984727792828003,0.90656262307208,0.950254919078087
"ERN1",-0.160283680819311,0.0459470416932588,0.170616649138766
"TEX2",-0.042421495195974,0.476493478921455,0.667643984351789
"POLG2",-0.168100933604692,0.0114050658652357,0.0755120820983942
"DDX5",0.0956118735907307,0.381842992589843,0.588239478390519
"CEP95",0.0739186142700803,0.0994137223327799,0.264477210637142
"SMURF2",-0.117894266616682,0.015792019123147,0.091480950504315
"LRRC37A3",-0.049443128468378,0.597323890306389,0.757474176082355
"GNA13",0.0998493523648118,0.0472687665778005,0.173622107078634
"RGS9",-0.11705525480429,0.320828077149538,0.529105873308102
"AXIN2",-0.0786601301380727,0.634608345442589,0.781794076620397
"CEP112",0.0498247120713629,0.722799279266567,0.842505093363416
"PRKCA",-0.264870029280096,0.0629375652468013,0.203847963548971
"HELZ",0.0467454691658758,0.303441001812959,0.511527804987918
"PSMD12",-0.0942224559507211,0.0620179657376966,0.202108031161685
"PITPNC1",0.0573398954800582,0.714993594734271,0.83784403082242
"NOL11",0.00690131649335668,0.924473506220004,0.959709539566482
"BPTF",0.0505041215093954,0.194001881642269,0.392181291567862
"C17orf58",-0.259414967486046,0.127280429986172,0.305670365966792
"KPNA2",-0.0082481314804616,0.942040060678309,0.969890627919789
"AMZ2",0.0677987915434165,0.358565400097769,0.565086359981933
"ARSG",0.0333280669618558,0.731666927256145,0.848261689044088
"WIPI1",0.195460423227299,0.12463425093853,0.301536047955929
"PRKAR1A",0.0105312761891806,0.781155423385778,0.877693173143219
"FAM20A",0.0217754807781312,0.901953504017938,0.947439954078773
"ABCA8",0.0883883247209473,0.340780678138105,0.548252838049586
"ABCA9",0.496673307881481,0.075221981383043,0.225538541809501
"ABCA6",0.0527082714536886,0.818797667034759,0.899755315234081
"ABCA10",-0.164325569240663,0.200789372428698,0.399836397740065
"ABCA5",-0.0332917162939095,0.7513393996782,0.858992397441803
"MAP2K6",-0.00444533567927195,0.940951183348302,0.969185193587579
"KCNJ2",0.175709086485886,0.0505495968199478,0.179570946723096
"SOX9",0.0729360995465191,0.66555909482413,0.803695369162659
"SLC39A11",0.022259541041353,0.815467263007409,0.897448518933198
"SSTR2",-0.299168392723873,0.0506961353088152,0.179852994201786
"COG1",-0.237990407975723,0.0897010488300353,0.248953056461769
"FAM104A",-0.217444480593466,0.00425439280042908,0.0415448664956006
"C17orf80",-0.0147202680630624,0.868588079285115,0.929173297522544
"CDC42EP4",0.414061753667265,0.0273112214236293,0.126330965241364
"SDK2",-0.00451427851326181,0.977855600753388,0.989109999553995
"RPL38",0.0521461736374009,0.595552771885106,0.756573921951915
"TTYH2",0.147669679266191,0.000531404031188673,0.0118591775273073
"DNAI2",0.450216895856524,0.00247492705872185,0.0296608279610069
"KIF19",0.258120275840779,0.180011086805723,0.376164764031755
"BTBD17",0.299558391922598,0.231097857170374,0.436017759752631
"RAB37",-0.353573993986298,0.00806907249427466,0.060418094470726
"SLC9A3R1",0.00634770366801333,0.949405546291632,0.973363063858187
"NAT9",0.0839867600823416,0.297951764319442,0.506338214954269
"TMEM104",-0.0570790617946335,0.184792899571658,0.381466670534228
"FDXR",-0.0943912839229774,0.466353185958654,0.659784071286636
"HID1",-0.0550628186309062,0.554168825911382,0.725695877701981
"CDR2L",0.00651763722789168,0.934526208103449,0.965939508784547
"MRPL58",0.0315558834185578,0.690208838806513,0.821462536543441
"KCTD2",-0.19924402631185,0.00586711676853391,0.0507010536929374
"ATP5PD",0.191329540847038,0.0897607644491919,0.249007251635188
"ARMC7",0.0387262486091219,0.68695172222353,0.819238354517754
"NT5C",-0.247133129893726,0.0625632006085124,0.203174068666189
"JPT1",-0.208873950781554,0.0814047435047023,0.236196773487145
"SUMO2",-0.0652635237076368,0.33368859272655,0.541548937097181
"NUP85",-0.11308724886585,0.220849691038969,0.423714099915606
"GGA3",0.0247341344350345,0.68777399561483,0.819795660662977
"MRPS7",0.107066494490793,0.306821940706418,0.5148956150254
"MIF4GD",-0.119352093603831,0.38466486882795,0.590411156569137
"SLC25A19",0.0107542471716156,0.920173754223206,0.957252616045498
"GRB2",-0.0991771980706852,0.0555194314517139,0.189896989939177
"TMEM94",-0.0753175825882928,0.129778691629126,0.308975513288785
"CASKIN2",0.0434680930406153,0.465243806283849,0.658816277850469
"TSEN54",0.205801015816967,1.82814293830557e-06,0.000290440349890803
"LLGL2",0.234330348216464,0.0545487172153123,0.187820979086455
"MYO15B",-0.146203666385283,0.075498485290623,0.225930265569041
"RECQL5",-0.0651191869211979,0.406933133329053,0.609907521554623
"SMIM5",-0.0565314004437595,0.644529737675158,0.788542806193509
