feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,class.power,grp
SMIM30,1,0.015212735,0.002689497,370517987,0.503181946,3.39E-09,8.42E-09,1.847669239,1.203515304,0.006363893,APOE34 & APOE44 vs APOE33 (AD and nonAD)
UCN,1,0.033616902,-0.002582639,370517314.5,0.503181033,8.05E-05,0.000157392,3.905514775,3.216589463,0.006362066,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PLAC8L1,1,0.032834752,-0.000872197,370516682.5,0.503180175,6.37E-05,0.000125578,3.795721187,3.117018053,0.00636035,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CHAMP1,1,0.043194561,-0.002694529,370514964.5,0.503177842,0.000513826,0.000950949,5.000313696,4.290229014,0.006355683,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DCK,1,0.016891528,0.002555704,370513663,0.503176074,1.45E-08,3.49E-08,1.982558504,1.337720248,0.006352148,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CCDC88B,1,0.013159834,0.003625299,370512522.5,0.503174525,2.97E-11,8.09E-11,1.505740636,0.865838348,0.006349051,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FP565260.3,1,0.011848806,0.004001379,370510175.5,0.503171338,4.75E-12,1.34E-11,1.408494887,0.77059613,0.006342676,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CNTD1,1,0.011361797,0.003576099,370509253,0.503170085,1.38E-12,4.00E-12,1.352029613,0.714316637,0.00634017,APOE34 & APOE44 vs APOE33 (AD and nonAD)
UBE2G1,1,0.293321656,-0.023215459,370508840,0.503169524,0.104665938,0.14910069,28.33301964,25.49461016,0.006339049,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TRMU,1,0.092761663,-0.014058183,370508196.5,0.50316865,0.014810599,0.024013758,10.46803438,9.424650418,0.006337301,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LMNB1,1,0.015370076,0.002741007,370507177.5,0.503167267,1.96E-09,4.92E-09,1.784930046,1.142906619,0.006334533,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PLA2G12A,1,0.048052465,-0.003421356,370505984.5,0.503165646,0.001061672,0.001921003,5.590062112,4.861682324,0.006331293,APOE34 & APOE44 vs APOE33 (AD and nonAD)
UBL4A,1,0.023780747,0.00123161,370505209.5,0.503164594,1.87E-06,4.05E-06,2.694648347,2.039049309,0.006329188,APOE34 & APOE44 vs APOE33 (AD and nonAD)
IKBIP,1,0.018663207,0.003536462,370503231.5,0.503161908,9.88E-09,2.40E-08,1.92609323,1.285769947,0.006323815,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ELAC2,1,0.040508716,-0.003007738,370501461,0.503159503,0.000398946,0.000743717,4.758767802,4.052123469,0.006319007,APOE34 & APOE44 vs APOE33 (AD and nonAD)
APOL6,1,0.009919801,0.003705382,370501374,0.503159385,1.10E-13,3.33E-13,1.245372985,0.610416035,0.00631877,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF805,1,0.021891554,0.000328442,370500956,0.503158817,1.99E-06,4.29E-06,2.697785306,2.043378501,0.006317635,APOE34 & APOE44 vs APOE33 (AD and nonAD)
OPA3,1,0.036465594,-0.001230776,370500052.5,0.50315759,0.000119772,0.000231343,4.034130121,3.355123598,0.006315181,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PHKG1,1,0.03047028,-0.000576167,370499839,0.503157301,3.12E-05,6.28E-05,3.460066504,2.792328672,0.006314601,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ALG10,1,0.012208315,0.003174975,370498225,0.503155109,6.91E-11,1.86E-10,1.537110233,0.900471882,0.006310217,APOE34 & APOE44 vs APOE33 (AD and nonAD)
C3orf70,1,0.014187713,0.002517432,370497258.5,0.503153796,8.39E-10,2.14E-09,1.703369095,1.064981168,0.006307592,APOE34 & APOE44 vs APOE33 (AD and nonAD)
B3GALNT2,1,0.0811994,-0.009936412,370493881,0.503149209,0.007662529,0.012855797,8.472928038,7.61504827,0.006298419,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SALL3,1,0.00709658,0.003908221,370492139,0.503146844,5.17E-19,1.93E-18,0.937950938,0.307372614,0.006293687,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BTN3A2,1,0.010768672,0.003538052,370491994.5,0.503146647,3.05E-13,9.09E-13,1.273605621,0.640720378,0.006293295,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TRPT1,1,0.015625385,0.003920426,370491067,0.503145388,1.94E-09,4.88E-09,1.759834369,1.125589852,0.006290775,APOE34 & APOE44 vs APOE33 (AD and nonAD)
C9orf64,1,0.016678122,0.002880627,370490685,0.503144869,1.16E-08,2.82E-08,1.922956271,1.285769947,0.006289738,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PRRT3,1,0.026528168,0.000846998,370490522,0.503144648,8.76E-06,1.82E-05,3.03030303,2.376726265,0.006289295,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CRAMP1,1,0.013250926,0.002805449,370489938.5,0.503143855,3.54E-10,9.19E-10,1.631219023,0.9957141,0.00628771,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDC7,1,0.014423756,0.003526108,370488920,0.503142472,3.33E-10,8.65E-10,1.624945103,0.991384908,0.006284944,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ANAPC13,1,0.019419051,0.002287846,370487826,0.503140986,1.39E-07,3.17E-07,2.211556559,1.571496602,0.006281973,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CCDC175,1,0.014978268,0.004775986,370485593.5,0.503137954,1.68E-10,4.42E-10,1.574753749,0.943763799,0.006275909,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TRPV3,1,0.039889247,-0.002505182,370485465.5,0.503137781,0.000350573,0.000655998,4.601919819,3.909260141,0.006275561,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TAF11,1,0.12377876,-0.018175691,370485268.5,0.503137513,0.032544501,0.050632631,13.75243114,12.45941383,0.006275026,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF485,1,0.016573613,0.00241197,370485110,0.503137298,1.76E-08,4.23E-08,1.957462827,1.320403481,0.006274596,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CMTM6,1,0.027900266,0.001591653,370484831.5,0.50313692,1.28E-05,2.63E-05,3.12127486,2.471968483,0.006273839,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BAX,1,0.038254158,-0.002787699,370483583.5,0.503135225,0.000308032,0.00057863,4.510947989,3.818347115,0.006270449,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BNIPL,1,0.009727547,0.004437685,370481778.5,0.503132773,4.40E-15,1.41E-14,1.126168517,0.49785705,0.006265547,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DUSP15,1,0.023233133,0.001330738,370481736.5,0.503132716,2.18E-06,4.69E-06,2.672689629,2.026061734,0.006265433,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PIGO,1,0.019383269,0.000997355,370479594.5,0.503129807,3.42E-07,7.69E-07,2.330761026,1.688384779,0.006259615,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GNB3,1,0.01311813,0.003420292,370479023,0.503129031,1.08E-10,2.88E-10,1.540247192,0.909130265,0.006258063,APOE34 & APOE44 vs APOE33 (AD and nonAD)
STARD10,1,0.013093108,0.003236576,370476056.5,0.503125003,6.79E-11,1.82E-10,1.508877596,0.878825923,0.006250005,APOE34 & APOE44 vs APOE33 (AD and nonAD)
AL360181.3,1,0.015983616,0.002585577,370475047,0.503123632,2.45E-08,5.83E-08,1.976284585,1.342049439,0.006247264,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SLC30A1,1,0.011453239,0.003059291,370474846,0.503123359,1.06E-11,2.95E-11,1.408494887,0.779254513,0.006246718,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NGDN,1,0.060562034,-0.007312212,370474254,0.503122555,0.003211551,0.005582122,6.744463266,5.969955409,0.00624511,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FAM76A,1,0.060929112,-0.007121378,370473180.5,0.503121097,0.003586246,0.006203302,6.904448209,6.12147712,0.006242194,APOE34 & APOE44 vs APOE33 (AD and nonAD)
XYLT2,1,0.031008868,-0.000212377,370473163,0.503121073,4.78E-05,9.49E-05,3.538490495,2.878912507,0.006242146,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDK14,1,0.094637921,-0.009748415,370472090.5,0.503119617,0.011003328,0.018164819,9.18815484,8.312048141,0.006239233,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FZD3,1,0.053766978,-0.004994667,370471797,0.503119218,0.001542835,0.002752703,5.800238409,5.073812719,0.006238436,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BEND6,1,0.081722076,-0.007059181,370471791,0.50311921,0.007365462,0.012382637,8.203149507,7.385601108,0.00623842,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ALG6,1,0.054757392,-0.005820495,370470647.5,0.503117657,0.002292225,0.004031534,6.261371479,5.511061085,0.006235314,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NKRF,1,0.034916752,-0.002735381,370470007,0.503116787,0.00015183,0.000291318,4.052951879,3.372440365,0.006233574,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TMEM70,1,0.020734043,0.000384347,370469902,0.503116645,6.52E-07,1.44E-06,2.418595897,1.774968613,0.006233289,APOE34 & APOE44 vs APOE33 (AD and nonAD)
INAFM1,1,0.019348899,0.001629839,370469646.5,0.503116298,1.56E-07,3.57E-07,2.195871761,1.558509026,0.006232595,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NIPSNAP3A,1,0.024537937,0.001042744,370467815,0.50311381,5.92E-06,1.24E-05,2.870318088,2.225204554,0.006227621,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KCNH3,1,0.019528942,0.002401814,370466318,0.503111777,8.92E-08,2.06E-07,2.11431081,1.480583575,0.006223555,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DCTN3,1,0.042697551,-0.004153532,370466040.5,0.5031114,0.00064451,0.001184731,4.96580714,4.259924672,0.006222801,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TMEM201,1,0.027764391,-0.00039945,370465289,0.50311038,2.29E-05,4.64E-05,3.253027166,2.597515044,0.00622076,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HTR3B,1,0.009523303,0.004542716,370464997.5,0.503109984,8.80E-16,2.89E-15,1.069703244,0.445906749,0.006219968,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CTH,1,0.020393543,0.00156685,370464976.5,0.503109956,5.80E-07,1.29E-06,2.3872263,1.748993463,0.006219911,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NABP2,1,0.028665183,-0.001238334,370464829,0.503109755,3.06E-05,6.15E-05,3.350272915,2.692757262,0.00621951,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LCP1,1,0.017149107,0.003273501,370464576.5,0.503109412,4.89E-08,1.14E-07,2.035886818,1.406987315,0.006218825,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NDUFAB1,1,0.04460042,-0.003509977,370462424.5,0.50310649,0.000668075,0.001226916,4.975218019,4.277241439,0.00621298,APOE34 & APOE44 vs APOE33 (AD and nonAD)
WARS2,1,0.059954213,-0.003933176,370461429.5,0.503105139,0.002335915,0.004105152,6.223727963,5.49807351,0.006210277,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDR1,1,0.007037935,0.004173338,370461242,0.503104884,2.31E-19,8.73E-19,0.903444382,0.281397463,0.006209768,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RGS11,1,0.069009247,-0.011936977,370460971,0.503104516,0.006326131,0.010701085,7.832988268,6.969998701,0.006209032,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FAM131C,1,0.01531665,0.004105764,370460023,0.503103228,3.86E-09,9.54E-09,1.772382207,1.147235811,0.006206457,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF853,1,0.025835996,0.000776617,370459545.5,0.50310258,1.26E-05,2.60E-05,3.052261748,2.407030607,0.00620516,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CEP68,1,0.123078584,-0.01704293,370458479.5,0.503101132,0.032666056,0.05081292,13.39481774,12.16502879,0.006202265,APOE34 & APOE44 vs APOE33 (AD and nonAD)
WFDC2,1,0.00892643,0.004478494,370458210.5,0.503100767,3.45E-16,1.15E-15,1.041470607,0.419931599,0.006201534,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZNF211,1,0.025512313,0.000166397,370458106,0.503100625,1.07E-05,2.21E-05,3.002070393,2.355080307,0.00620125,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CPTP,1,0.017482399,0.00322196,370455721,0.503097386,3.89E-08,9.19E-08,1.995106343,1.36802459,0.006194772,APOE34 & APOE44 vs APOE33 (AD and nonAD)
OR2M4,1,0.007456697,0.004114729,370455583,0.503097199,2.75E-18,9.97E-18,0.941087898,0.320360189,0.006194397,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ALDH1A3,1,0.018260777,0.001698016,370454599,0.503095862,1.39E-07,3.18E-07,2.151954326,1.519546301,0.006191725,APOE34 & APOE44 vs APOE33 (AD and nonAD)
WRN,1,0.264055909,-0.021760556,370453030.5,0.503093732,0.09682423,0.138926367,24.77884434,22.50313866,0.006187464,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DCBLD1,1,0.032667216,-0.00142504,370451450,0.503091586,7.59E-05,0.000148597,3.660831922,3.000129876,0.006183172,APOE34 & APOE44 vs APOE33 (AD and nonAD)
C4orf45,1,0.015839249,0.002218227,370450629.5,0.503090472,1.27E-08,3.07E-08,1.869627957,1.242478029,0.006180943,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TCAP,1,0.010503376,0.004027524,370448181.5,0.503087147,3.91E-13,1.16E-12,1.239099065,0.619074419,0.006174294,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DYNLT3,1,0.024679626,0.000940964,370447733,0.503086538,4.35E-06,9.20E-06,2.747976661,2.108316377,0.006173076,APOE34 & APOE44 vs APOE33 (AD and nonAD)
EHBP1L1,1,0.01751128,0.001883466,370446816.5,0.503085293,5.15E-08,1.20E-07,2.013928101,1.385341357,0.006170587,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GON7,1,0.012726035,0.002909559,370444564,0.503082234,1.52E-10,4.01E-10,1.518288475,0.89614269,0.006164469,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ATXN7L2,1,0.011461461,0.004439421,370444349.5,0.503081943,2.67E-12,7.63E-12,1.311249137,0.692670678,0.006163886,APOE34 & APOE44 vs APOE33 (AD and nonAD)
HSD17B10,1,0.021142172,0.001831844,370443963,0.503081418,9.45E-07,2.08E-06,2.428006776,1.796614572,0.006162836,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LSM10,1,0.028003104,-7.24E-05,370443957,0.50308141,2.75E-05,5.55E-05,3.253027166,2.606173427,0.00616282,APOE34 & APOE44 vs APOE33 (AD and nonAD)
AC104472.3,1,0.011775501,0.004037195,370442793,0.503079829,7.39E-12,2.06E-11,1.355166573,0.735962596,0.006159658,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ACAA2,1,0.016038101,0.002072228,370441904.5,0.503078623,3.57E-08,8.43E-08,1.963736746,1.337720248,0.006157245,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ELK1,1,0.021769972,0.002058225,370441558.5,0.503078153,9.70E-07,2.13E-06,2.428006776,1.796614572,0.006156305,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DOCK2,1,0.055998639,-0.010699384,370441071.5,0.503077491,0.002866682,0.00500322,6.399397704,5.610632495,0.006154983,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MYL12A,1,0.014572435,0.002400592,370440735,0.503077034,7.22E-09,1.76E-08,1.800614844,1.177540153,0.006154069,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TMEM177,1,0.014707393,0.002218823,370438880,0.503074515,9.40E-09,2.29E-08,1.822573562,1.199186112,0.00614903,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DUS3L,1,0.01809409,0.001305573,370438511,0.503074014,1.42E-07,3.26E-07,2.126858649,1.497900342,0.006148028,APOE34 & APOE44 vs APOE33 (AD and nonAD)
IL11RA,1,0.036082433,-0.00185292,370437616,0.503072799,0.00023901,0.000452963,4.178430265,3.510974501,0.006145597,APOE34 & APOE44 vs APOE33 (AD and nonAD)
UTP11,1,0.020940897,0.001896909,370437507,0.503072651,1.11E-06,2.43E-06,2.443691574,1.813931339,0.006145301,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RTCB,1,0.1512767,-0.021095463,370437209,0.503072246,0.050433587,0.076083251,16.12710961,14.60669293,0.006144492,APOE34 & APOE44 vs APOE33 (AD and nonAD)
FAM53A,1,0.04954046,-0.006418915,370436320,0.503071039,0.001648012,0.002934804,5.693581781,4.961253734,0.006142077,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZMAT2,1,0.04084001,-0.00280121,370434812,0.503068991,0.000531421,0.000983005,4.680343811,4.000173168,0.006137981,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ARMT1,1,0.023503458,0.001711188,370434244.5,0.50306822,4.16E-06,8.82E-06,2.704059226,2.073682843,0.00613644,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RAB6C,1,0.01146708,0.003195915,370433080.5,0.503066639,2.00E-11,5.48E-11,1.392810088,0.774925321,0.006133278,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RASD2,1,0.011765965,0.004652472,370432830,0.503066299,5.89E-13,1.73E-12,1.239099065,0.623403611,0.006132598,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GAMT,1,0.110102335,-0.014892309,370432677.5,0.503066092,0.027303848,0.042986943,12.10552732,11.00047621,0.006132184,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ADAMTSL1,1,0.022013218,0.001780588,370431830,0.503064941,9.45E-07,2.08E-06,2.402911099,1.774968613,0.006129882,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CNNM4,1,0.08202384,-0.007084755,370431184,0.503064064,0.010526102,0.017420335,8.714473932,7.88778735,0.006128127,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TAF4B,1,0.04296868,-0.000860012,370430645,0.503063332,0.000420041,0.000781612,4.495263191,3.83133469,0.006126663,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DXO,1,0.021078843,0.001421939,370430278.5,0.503062834,1.31E-06,2.87E-06,2.459376372,1.831248106,0.006125668,APOE34 & APOE44 vs APOE33 (AD and nonAD)
UBE2L6,1,0.012744173,0.003038482,370429444.5,0.503061701,2.92E-10,7.62E-10,1.540247192,0.922117841,0.006123403,APOE34 & APOE44 vs APOE33 (AD and nonAD)
UQCRC1,1,0.06091852,-0.004771894,370428964,0.503061049,0.003610039,0.006242649,6.625258799,5.892029958,0.006122097,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SPATA6L,1,0.034593478,-0.000445104,370425428,0.503056247,0.000110615,0.00021435,3.739255913,3.091042902,0.006112493,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ERCC2,1,0.031368735,-0.000439748,370423166.5,0.503053175,8.44E-05,0.000164921,3.613777527,2.965496342,0.006106351,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SMYD4,1,0.059802936,-0.007211579,370422879,0.503052785,0.00383246,0.006610044,6.691134952,5.9223343,0.00610557,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MBD6,1,0.049594655,-0.004551261,370421709.5,0.503051197,0.001854642,0.003290345,5.740636175,5.021862418,0.006102394,APOE34 & APOE44 vs APOE33 (AD and nonAD)
INTS2,1,0.121435492,-0.016741567,370421682.5,0.50305116,0.035249542,0.054627643,13.33207855,12.12606606,0.00610232,APOE34 & APOE44 vs APOE33 (AD and nonAD)
MATR3,1,0.037342573,-0.00239824,370421560,0.503050994,0.000377848,0.000705634,4.394880482,3.723104896,0.006101987,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CD58,1,0.012584916,0.004561278,370419994.5,0.503048868,1.45E-11,3.99E-11,1.361440492,0.748950171,0.006097735,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SCG5,1,0.175953102,-0.024545374,370419379.5,0.503048033,0.065394514,0.097078449,18.31670745,16.52885406,0.006096065,APOE34 & APOE44 vs APOE33 (AD and nonAD)
EPHB6,1,0.037541751,0.001078352,370417803.5,0.503045892,0.000108115,0.000209665,3.701612397,3.06073856,0.006091784,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CHD5,1,0.045409727,0.000808247,370416768.5,0.503044487,0.000539992,0.000997933,4.605056779,3.95688125,0.006088973,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ATAD2,1,0.02583932,0.000731036,370416721.5,0.503044423,7.23E-06,1.51E-05,2.795031056,2.16459587,0.006088846,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDC34,1,0.044019914,-0.003873432,370416370,0.503043945,0.000977593,0.001771732,5.085011607,4.389800424,0.006087891,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NIFK,1,0.030896777,-0.001483022,370414969.5,0.503042044,9.55E-05,0.000185777,3.642010164,2.991471492,0.006084087,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CAPN9,1,0.02097327,0.000989517,370414859,0.503041893,1.51E-06,3.28E-06,2.453102453,1.826918914,0.006083787,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SCCPDH,1,0.111313585,-0.014718591,370414817.5,0.503041837,0.027904654,0.043867312,11.99259678,10.9009048,0.006083674,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PREB,1,0.03036444,-0.001944269,370414442.5,0.503041328,9.23E-05,0.000179861,3.626325365,2.974154725,0.006082656,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NR2F6,1,0.029042491,-0.000546746,370413926,0.503040626,5.51E-05,0.000108963,3.413012109,2.770682714,0.006081253,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BTBD6,1,0.024284784,0.001200898,370413252,0.503039711,6.34E-06,1.33E-05,2.75425058,2.125633144,0.006079422,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RDH11,1,0.028023839,-0.000977476,370411250,0.503036992,5.03E-05,9.98E-05,3.372231633,2.727390796,0.006073984,APOE34 & APOE44 vs APOE33 (AD and nonAD)
KCTD16,1,0.09573295,-0.007414987,370410989,0.503036638,0.012656508,0.020712647,9.025032938,8.199489155,0.006073276,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PASK,1,0.011936408,0.003607773,370407414,0.503031783,2.18E-11,5.95E-11,1.367714411,0.757608554,0.006063566,APOE34 & APOE44 vs APOE33 (AD and nonAD)
AKAP13,1,0.028510244,-0.000647872,370405681,0.503029429,2.65E-05,5.36E-05,3.133822699,2.497943634,0.006058859,APOE34 & APOE44 vs APOE33 (AD and nonAD)
NEB,1,0.016579721,0.002024468,370404632.5,0.503028005,3.82E-08,9.02E-08,1.910408432,1.29442833,0.006056011,APOE34 & APOE44 vs APOE33 (AD and nonAD)
VASP,1,0.014521324,0.00330359,370404197,0.503027414,4.57E-09,1.13E-08,1.706506054,1.09528551,0.006054828,APOE34 & APOE44 vs APOE33 (AD and nonAD)
OXTR,1,0.008169628,0.004031308,370402084.5,0.503024545,7.10E-16,2.34E-15,1.01323797,0.406944024,0.00604909,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PEX12,1,0.012251307,0.002619661,370400864.5,0.503022888,3.48E-10,9.01E-10,1.515151515,0.904801074,0.006045776,APOE34 & APOE44 vs APOE33 (AD and nonAD)
DCAF4,1,0.026687148,-0.000925443,370400404.5,0.503022264,2.82E-05,5.68E-05,3.140096618,2.502272826,0.006044527,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ALDH9A1,1,0.035758906,-0.00180583,370400210,0.503021999,0.000322968,0.000605734,4.212936822,3.554266418,0.006043999,APOE34 & APOE44 vs APOE33 (AD and nonAD)
TMEM214,1,0.028474702,0.000976992,370399987,0.503021697,3.86E-05,7.72E-05,3.240479327,2.610502619,0.006043393,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GLRB,1,0.039319031,-0.002981319,370399463.5,0.503020986,0.000316585,0.000594199,4.200388983,3.536949652,0.006041971,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PRR14,1,0.044320054,-0.00256157,370399210.5,0.503020642,0.001160949,0.00209408,5.15088776,4.472055067,0.006041284,APOE34 & APOE44 vs APOE33 (AD and nonAD)
A2M,1,0.015688803,0.002371891,370392372,0.503011355,1.21E-08,2.92E-08,1.775519167,1.164552578,0.00602271,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GRPEL2,1,0.015597087,0.002782442,370390685.5,0.503009065,2.11E-08,5.04E-08,1.825710521,1.216502879,0.006018129,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PSMG3,1,0.025796873,-0.000508506,370390456.5,0.503008754,2.17E-05,4.41E-05,3.03030303,2.398372224,0.006017507,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RAB3D,1,0.011365667,0.003483844,370388727,0.503006405,1.75E-11,4.81E-11,1.336344815,0.731633404,0.00601281,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CDH3,1,0.03531663,-0.001731092,370386311,0.503003124,0.000163027,0.000312199,3.792584227,3.147322395,0.006006248,APOE34 & APOE44 vs APOE33 (AD and nonAD)
OSER1,1,0.033297213,-0.002801975,370383032.5,0.502998671,0.000249012,0.000470874,4.002760524,3.346465215,0.005997343,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SLC1A2,1,0.044490217,-0.002897757,370381727.5,0.502996899,0.000436856,0.000811434,4.329004329,3.671154595,0.005993798,APOE34 & APOE44 vs APOE33 (AD and nonAD)
ZXDB,1,0.011984852,0.003013569,370379733,0.502994191,3.40E-10,8.82E-10,1.486918878,0.883155115,0.005988381,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BORCS6,1,0.015886412,0.002290453,370377610.5,0.502991308,5.75E-08,1.34E-07,1.910408432,1.303086714,0.005982616,APOE34 & APOE44 vs APOE33 (AD and nonAD)
LRRIQ3,1,0.012017475,0.004520808,370376943,0.502990402,6.75E-12,1.89E-11,1.279879541,0.679683103,0.005980803,APOE34 & APOE44 vs APOE33 (AD and nonAD)
RNF128,1,0.02059589,0.004185471,370374456.5,0.502987025,5.03E-07,1.12E-06,2.183323922,1.580154985,0.00597405,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GPR37L1,1,0.082134076,-0.011659855,370371010.5,0.502982345,0.015921256,0.025731105,9.360687622,8.45924066,0.00596469,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PHYHD1,1,0.010120828,0.004035534,370370215,0.502981265,4.72E-13,1.39E-12,1.170085953,0.57145331,0.005962529,APOE34 & APOE44 vs APOE33 (AD and nonAD)
GALNT12,1,0.035092898,-0.000851423,370368105.5,0.5029784,0.000226582,0.000430185,3.892966936,3.255552188,0.0059568,APOE34 & APOE44 vs APOE33 (AD and nonAD)
BZW2,1,0.074341383,-0.007636293,370367691.5,0.502977838,0.009273925,0.015424971,7.9082753,7.121520412,0.005955675,APOE34 & APOE44 vs APOE33 (AD and nonAD)
SNRPD1,1,0.044449996,-0.003374066,370367612,0.50297773,0.001241099,0.002231462,5.063052889,4.389800424,0.005955459,APOE34 & APOE44 vs APOE33 (AD and nonAD)
CNPY4,1,0.019813175,0.002028946,370367417.5,0.502977466,1.01E-06,2.23E-06,2.283706632,1.675397203,0.005954931,APOE34 & APOE44 vs APOE33 (AD and nonAD)
PTCH2,1,0.025901662,-0.000376676,370366683,0.502976468,1.77E-05,3.63E-05,2.907961604,2.285813239,0.005952936,APOE34 & APOE44 vs APOE33 (AD and nonAD)
