"cluster","gwas","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"Excit","OUD_EA_MVP1_MVP2_YP_SAGE_Mar12","L2_0",0.425561874796495,0.503848861018949,0.0496574386372349,1.1839614656738,0.116686765375731,0.106318055252228,7.3957114916103e-09,5.52713622039896e-09,1.33807295436559,0.180872656145794,0.426242538514118
"Excit","OUD_EA_MVP2_Mar12","L2_0",0.425561874796495,0.408609303075305,0.141095521456021,0.960164261121143,0.3315511323083,0.903468245705609,-2.41995152022758e-08,2.05450827167475e-08,-1.17787382683786,0.238846910814548,0.504232367275157
"Excit","PASS_Type_2_Diabetes.sumstats","L2_0",0.425561874796495,0.516174095126141,0.0445980161019224,1.21292372671536,0.104797959458303,0.0295326274526867,9.88454003352605e-10,3.65324587294398e-09,0.270568704579431,0.78672276838231,0.881459910685149
"Excit","PD_ldscore","L2_0",0.425561874796495,0.637171949912986,0.0480894002478113,1.49724866734757,0.113002134579861,8.07168621350299e-07,6.23829880529587e-09,2.18599512814886e-09,2.8537569571706,0.00432055713661681,0.0364638407406179
"Excit","PTSD","L2_0",0.425561874796495,0.655337804286226,0.10686706597988,1.53993541973094,0.251119924760611,0.00384861996272524,7.6482765880699e-09,2.27764790025347e-09,3.35797143501362,0.000785167266214284,0.00884040181219045
"Excit","scz_PGC2_CLOZUK_ldscore","L2_0",0.425561874796495,0.585916013585781,0.0121070376114685,1.37680569685893,0.0284495353754565,3.355049348859e-31,3.14949694918076e-08,4.34495909539744e-09,7.24862278339278,4.21030657845352e-13,6.39966599924936e-11
"Excit","scz_PGC3_ldscore","L2_0",0.425561874796495,0.591363208787418,0.0124598404673846,1.38960570438837,0.0292785637184791,5.10753728859331e-29,2.99533959017515e-08,4.0082829136331e-09,7.47287468154331,7.84615634530979e-14,2.38523152897418e-11
"Excit","smoking_ldscore","L2_0",0.425561874796495,0.555089423075154,0.022694356364903,1.30436830916914,0.0533279828597321,5.10558235965631e-07,4.65268063772746e-09,1.85217437632611e-09,2.51201004462459,0.0120045671736101,0.0715566357015188
"Excit","stroke2022any","L2_0",0.425561874796495,0.473239266497568,0.0275809758464798,1.11203398265851,0.0648107301897499,0.0802355218823013,-3.25616160761712e-10,7.6344616672215e-10,-0.426508344602399,0.669737468827396,0.817671447885656
"Inhib","adhd","L2_0",0.418972048891835,0.479865738834663,0.0151448041408918,1.14534069779569,0.0361475286500598,8.1185015626477e-05,6.83960721308537e-10,2.09868732275148e-09,0.325899296142807,0.744500548248288,0.877240956075503
"Inhib","alcohol_ldscore","L2_0",0.418972048891835,0.506642851466647,0.0156484961828079,1.20925215132298,0.0373497378266582,1.50512638227947e-08,9.16655547855364e-10,5.74119125771153e-10,1.59662952636201,0.110348313218628,0.319484640175838
"Inhib","Alzheimer_ldscore","L2_0",0.418972048891835,0.487077591638895,0.045317759854084,1.16255390527172,0.108164160291714,0.120545759822516,-5.19280834373288e-10,5.29871638744501e-10,-0.980012509451708,0.327079943790428,0.565706148004968
"Inhib","Alzheimer_ldscore2","L2_0",0.418972048891835,0.454746355938181,0.0460406623043757,1.08538590376367,0.109889579570168,0.366541401967034,-4.75915337873407e-10,4.68696832408346e-10,-1.01540122519704,0.309914609270559,0.559432266877702
"Inhib","Alzheimer_ldscore3","L2_0",0.418972048891835,0.503218973441698,0.0306315487228001,1.20108005957126,0.0731111987155693,0.00326674015050385,2.65212911953843e-10,5.96324469221322e-10,0.444745982502038,0.65650333509273,0.804746023662056
"Inhib","Anorexia_ldscore","L2_0",0.418972048891835,0.465453829671384,0.0225080036391413,1.110942438529,0.0537219695172366,0.0430953938215106,-1.61115994139857e-09,5.05500616538177e-09,-0.318725613517998,0.74993459005813,0.880232105705296
"Inhib","AUD.EUR_META.NatMed2023","L2_0",0.418972048891835,0.505106089216681,0.0158065318017377,1.20558421630433,0.0377269363040933,1.09474218761879e-08,2.94576965828016e-09,1.10091553473791e-09,2.67574538221176,0.00745632678313631,0.0566680835518359
