"","cell_type_broad","cluster","mod","n_genes","n_FDR05","nUP","nDown"
"398","Oligo","Oligo.2","Sex",13983,26,14,12
"399","Oligo","Oligo.3","Sex",11496,613,503,110
"400","Oligo","Oligo.4","Sex",12055,16,12,4
"401","Oligo","Oligo.5","Sex",9670,14,11,3
"402","OPC","OPC.1","Sex",13679,23,18,5
"403","OPC","OPC.2","Sex",11203,21,16,5
"404","OPC","OPC.3","Sex",14268,28,22,6
"405","OPC","OPC.4","Sex",11598,20,16,4
"406","OPC","OPC.5","Sex",1380,9,4,5
"407","Vasc","Vasc.Endo","Sex",5058,9,8,1
"408","Vasc","Vasc.VLMC","Sex",6644,12,11,1
"409","Excit","Excit.L2","Sex",20080,23,18,5
"410","Excit","Excit.L2_5.mix","Sex",22201,23,20,3
"411","Excit","Excit.L2_5.RELN","Sex",13343,37,4,33
"412","Excit","Excit.L5.RELN","Sex",14797,12,10,2
"413","Excit","Excit.L5.RORB","Sex",18607,17,15,2
"414","Excit","Excit.L6.CT","Sex",15211,14,13,1
"415","Excit","Excit.L6b","Sex",15739,41,28,13
"416","Inhib","Inhib.LAMP5_LHX6","Sex",14063,18,16,2
"417","Inhib","Inhib.PVALB","Sex",15219,17,15,2
"418","Inhib","Inhib.VIP","Sex",19549,26,20,6
"419","Inhib","Inhib.Chandelier","Sex",8999,8,7,1
"420","Inhib","Inhib.SST","Sex",12194,15,13,2
"421","Astro","Astro.1","Anc",16867,0,0,0
"422","Astro","Astro.2","Anc",9994,0,0,0
"423","Astro","Astro.3","Anc",11282,3,2,1
"424","Astro","Astro.4","Anc",8135,0,0,0
"425","Astro","Astro.5","Anc",1793,0,0,0
"426","Macro","Macro","Anc",2931,0,0,0
"427","Micro","Micro.1","Anc",10158,1,0,1
"428","Micro","Micro.2","Anc",8763,1,1,0
"429","Micro","Micro.3","Anc",7923,2,1,1
"430","Micro","Micro.4","Anc",7227,1,1,0
"431","Micro","Micro.5","Anc",2327,1,1,0
"432","Oligo","Oligo.1","Anc",13881,7,4,3
"433","Oligo","Oligo.2","Anc",13983,7,3,4
"434","Oligo","Oligo.3","Anc",11496,16,13,3
"435","Oligo","Oligo.4","Anc",12055,1,1,0
"436","Oligo","Oligo.5","Anc",9670,2,1,1
"437","OPC","OPC.1","Anc",13679,1,1,0
"438","OPC","OPC.2","Anc",11203,1,1,0
"439","OPC","OPC.3","Anc",14268,1,1,0
"440","OPC","OPC.4","Anc",11598,3,2,1
"441","OPC","OPC.5","Anc",1380,0,0,0
"442","Vasc","Vasc.Endo","Anc",5058,0,0,0
"443","Vasc","Vasc.VLMC","Anc",6644,0,0,0
"444","Excit","Excit.L2","Anc",20080,0,0,0
"445","Excit","Excit.L2_5.mix","Anc",22201,0,0,0
"446","Excit","Excit.L2_5.RELN","Anc",13343,43,9,34
"447","Excit","Excit.L5.RELN","Anc",14797,0,0,0
"448","Excit","Excit.L5.RORB","Anc",18607,0,0,0
"449","Excit","Excit.L6.CT","Anc",15211,0,0,0
"450","Excit","Excit.L6b","Anc",15739,0,0,0
"451","Inhib","Inhib.LAMP5_LHX6","Anc",14063,0,0,0
"452","Inhib","Inhib.PVALB","Anc",15219,0,0,0
"453","Inhib","Inhib.VIP","Anc",19549,0,0,0
"454","Inhib","Inhib.Chandelier","Anc",8999,0,0,0
"455","Inhib","Inhib.SST","Anc",12194,0,0,0
