Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000158186,MRAS,111,0.20075,118,0.23918,60,-0.8298,101,-0.0213
ENSG00000051382,PIK3CB,65,0.06811,81,0.41805,22,-1.5990,67,0.16801
ENSG00000175110,MRPS22,28,1.12152,14,-0.4041,6,-1.6326,14,-0.5465
ENSG00000184432,COPB2,34,0.36110,32,0.20837,8,-1.8248,29,0.02460
ENSG00000114115,RBP1,6,-1.9658,47,1.49789,22,0.15888,22,0.34005
ENSG00000158258,CLSTN2,95,0.18602,131,0.66635,50,-0.8893,81,-0.2111
ENSG00000114120,SLC25A36,78,0.65944,52,-0.2018,34,-0.8519,52,-0.2874
ENSG00000177311,ZBTB38,46,0.59700,42,0.24823,21,-0.8061,30,-0.4249
ENSG00000114125,RNF7,80,-0.0012,53,-0.6486,67,-0.2905,91,0.32361
ENSG00000069849,ATP1B3,114,0.43667,91,-0.0454,57,-0.7938,89,-0.1372
ENSG00000114126,TFDP2,29,0.49634,20,-0.2254,24,0.05396,19,-0.4153
ENSG00000144935,TRPC1,42,0.74521,20,-0.6799,11,-1.4983,30,-0.0888
ENSG00000163714,U2SURP,44,0.51390,42,0.31353,25,-0.5029,29,-0.4587
ENSG00000175040,CHST2,52,0.68692,40,0.05754,17,-1.2340,34,-0.3327
ENSG00000163754,GYG1,66,1.14548,23,-0.9433,28,-0.6173,31,-0.6451
ENSG00000071794,HLTF,21,0.13967,10,-1.0580,8,-1.3129,24,0.55488
ENSG00000082996,RNF13,48,0.19386,94,1.31977,54,0.33412,26,-1.1705
ENSG00000070087,PFN2,588,0.44696,311,-0.6976,350,-0.5110,481,-0.0114
ENSG00000196428,TSC22D2,41,0.36862,29,-0.2861,31,-0.1683,33,-0.1756
ENSG00000120742,SERP1,71,-0.0090,72,0.02199,94,0.45220,66,-0.2067
ENSG00000144895,EIF2A,32,0.51228,22,-0.2233,22,-0.2433,23,-0.3143
ENSG00000198843,SELENOT,170,0.32194,132,-0.1802,92,-0.7440,148,0.01244
ENSG00000181788,SIAH2,38,0.38668,23,-0.5355,20,-0.7349,33,0.06418
ENSG00000152601,MBNL1,72,0.02680,59,-0.2950,35,-1.0887,83,0.40593
ENSG00000181467,RAP2B,54,0.67299,35,-0.2285,15,-1.5293,38,-0.1525
ENSG00000174953,DHX36,48,0.50740,17,-1.2264,28,-0.5043,39,0.04898
ENSG00000163655,GMPS,30,0.41574,22,-0.1619,26,0.06208,21,-0.3601
ENSG00000169282,KCNAB1,78,0.41157,69,0.09373,39,-0.8041,61,-0.1670
ENSG00000114850,SSR3,75,0.43729,79,0.39864,50,-0.3464,51,-0.4750
ENSG00000174891,RSRC1,33,0.07671,64,1.19312,30,-0.1050,23,-0.7105
ENSG00000178053,MLF1,23,0.34519,21,0.10927,10,-1.0827,20,-0.0434
ENSG00000168827,GFM1,41,0.75533,21,-0.5512,28,-0.0808,24,-0.5206
ENSG00000118855,MFSD1,20,0.13743,24,0.39057,13,-0.5656,18,-0.1053
ENSG00000180044,C3orf80,76,1.08956,23,-1.1380,22,-1.2004,42,-0.3895
ENSG00000068885,IFT80,38,0.52119,28,-0.1397,15,-1.1060,29,-0.1115
ENSG00000186432,KPNA4,98,0.57363,57,-0.4619,46,-0.7841,73,-0.1290
ENSG00000163590,PPM1L,116,0.70053,90,0.06887,44,-1.0551,73,-0.3901
ENSG00000169255,B3GALNT1,93,0.67096,67,-0.0692,38,-0.9684,61,-0.3217
ENSG00000169251,NMD3,22,0.38889,17,-0.1548,13,-0.5827,18,-0.1061
ENSG00000114209,PDCD10,31,0.65499,18,-0.4308,16,-0.5805,21,-0.2780
ENSG00000163536,SERPINI1,808,1.28971,169,-1.6423,185,-1.5092,407,-0.4496
ENSG00000173905,GOLIM4,8,-2.0404,82,2.15441,34,0.50219,22,-0.3618
ENSG00000008952,SEC62,236,0.01686,234,-0.0051,296,0.38494,218,-0.1853
ENSG00000173889,PHC3,22,0.33303,27,0.60578,12,-0.6762,16,-0.3770
ENSG00000163558,PRKCI,101,1.37772,29,-1.0804,21,-1.5786,45,-0.6418
ENSG00000136603,SKIL,35,0.66484,40,0.67462,18,-0.6459,19,-0.7820
ENSG00000013297,CLDN11,9,-2.6721,250,3.75879,85,1.13017,8,-3.1270
ENSG00000013293,SLC7A14,50,0.67069,42,0.15711,17,-1.1826,32,-0.3703
ENSG00000163584,RPL22L1,15,-0.6518,22,0.04147,16,-0.4504,27,0.67450
ENSG00000154310,TNIK,25,-0.6205,56,0.80762,37,0.09101,36,0.07658
ENSG00000144959,NCEH1,108,1.12645,35,-1.0532,15,-2.2685,61,-0.2871
ENSG00000169760,NLGN1,35,1.44028,5,-2.0061,17,-0.2284,13,-0.9162
ENSG00000177565,TBL1XR1,123,0.55631,88,-0.1610,53,-0.9281,90,-0.1788
ENSG00000172667,ZMAT3,99,0.00062,120,0.32034,60,-0.7810,103,0.11238
ENSG00000121864,ZNF639,16,-0.0198,14,-0.1369,12,-0.3803,17,0.20653
ENSG00000171109,MFN1,21,0.27474,26,0.53903,7,-1.3688,18,-0.1246
ENSG00000114450,GNB4,24,-0.3304,69,1.52674,34,0.25290,21,-0.7585
ENSG00000136522,MRPL47,47,0.51238,36,-0.0903,32,-0.2468,33,-0.3640
ENSG00000136521,NDUFB5,137,0.35259,118,0.01724,84,-0.5198,110,-0.1564
ENSG00000114757,PEX5L,175,1.25953,61,-0.8828,48,-1.2361,82,-0.6268
ENSG00000163728,TTC14,25,0.63384,19,0.02044,18,-0.0584,14,-0.6130
ENSG00000114416,FXR1,88,0.42595,116,0.78157,75,0.04789,50,-0.8535
ENSG00000205981,DNAJC19,72,0.42623,57,-0.0799,30,-1.0489,58,-0.0529
ENSG00000242808,SOX2-OT,31,-1.6389,268,2.34555,161,1.29022,41,-1.3486
ENSG00000181449,SOX2,19,-1.3765,86,1.32557,52,0.43573,41,0.06354
ENSG00000043093,DCUN1D1,47,0.12981,39,-0.1774,36,-0.3122,45,0.06377
ENSG00000114796,KLHL24,41,0.73284,26,-0.2393,29,-0.0430,23,-0.6208
ENSG00000163872,YEATS2,33,0.81293,11,-1.1687,12,-1.0477,22,-0.1278
ENSG00000180834,MAP6D1,38,0.74096,50,0.98639,36,0.43077,12,-1.6594
ENSG00000175193,PARL,36,0.21290,35,0.12688,37,0.24069,28,-0.3579
ENSG00000114770,ABCC5,94,1.10126,49,-0.3273,38,-0.7140,43,-0.7585
ENSG00000145191,EIF2B5,41,0.55541,41,0.40123,34,0.11064,23,-0.7932
ENSG00000161202,DVL3,26,-0.8081,77,1.12119,29,-0.4953,43,0.22168
ENSG00000161203,AP2M1,1020,0.71732,578,-0.4228,427,-0.8948,679,-0.2597
ENSG00000161204,ABCF3,53,0.75595,38,-0.0418,23,-0.8311,32,-0.4566
ENSG00000145198,VWA5B2,33,-0.0932,48,0.52944,60,0.90945,26,-0.6486
ENSG00000163888,CAMK2N2,179,0.37163,100,-0.6602,97,-0.7100,158,0.10751
ENSG00000175166,PSMD2,145,0.31104,110,-0.2198,83,-0.6576,127,0.01386
ENSG00000114867,EIF4G1,119,0.54122,124,0.46185,71,-0.4521,74,-0.5823
ENSG00000175182,FAM131A,338,0.80543,129,-0.9784,120,-1.0923,227,-0.1518
ENSG00000163882,POLR2H,40,0.24114,50,0.53408,25,-0.5874,32,-0.2721
ENSG00000090539,CHRD,22,0.84180,14,-0.1719,6,-1.3740,13,-0.3751
ENSG00000177383,MAGEF1,73,0.20747,69,0.06572,43,-0.7001,67,0.01404
ENSG00000156931,VPS8,38,0.79905,33,0.35562,18,-0.6012,19,-0.7605
ENSG00000187068,C3orf70,27,0.58610,5,-2.0629,23,0.16575,19,-0.1484
ENSG00000073803,MAP3K13,46,0.13417,42,-0.0514,39,-0.1505,42,-0.0445
ENSG00000163904,SENP2,45,0.32342,53,0.51970,31,-0.3479,33,-0.4228
ENSG00000136527,TRA2B,71,0.51764,48,-0.2596,37,-0.6806,53,-0.1678
ENSG00000244405,ETV5,59,0.56566,63,0.51028,43,-0.1135,33,-0.7655
ENSG00000058866,DGKG,21,-0.4364,37,0.59169,3,-2.9986,32,0.64819
ENSG00000090520,DNAJB11,29,0.62484,21,-0.0861,17,-0.4343,18,-0.4173
ENSG00000156976,EIF4A2,700,0.65149,346,-0.6779,277,-1.0197,512,-0.0872
ENSG00000073849,ST6GAL1,24,0.14834,35,0.76395,35,0.77450,14,-0.9545
ENSG00000157005,SST,82,-2.6276,138,-1.5233,74,-2.4381,714,2.95205
ENSG00000113916,BCL6,18,-0.2946,38,0.95292,16,-0.4238,21,-0.0826
ENSG00000152492,CCDC50,13,-0.8578,26,0.37921,28,0.54829,22,0.26064
ENSG00000114279,FGF12,180,0.21444,130,-0.3686,98,-0.8117,176,0.19556
ENSG00000198836,OPA1,149,0.63499,66,-0.8609,58,-1.0494,113,-0.0167
ENSG00000133657,ATP13A3,29,0.77904,21,0.00690,10,-1.1492,17,-0.4256
ENSG00000114331,ACAP2,20,0.60790,31,1.16079,10,-0.7059,9,-1.0555
ENSG00000184203,PPP1R2,92,0.48105,66,-0.1958,44,-0.8359,71,-0.1134
ENSG00000189058,APOD,162,-1.1817,865,1.91251,678,1.42141,168,-1.2740
ENSG00000061938,TNK2,73,-0.4652,164,0.97765,108,0.26354,84,-0.2263
ENSG00000072274,TFRC,40,0.37826,38,0.16263,18,-0.9433,32,-0.1299
ENSG00000161217,PCYT1A,19,0.28432,19,0.15456,12,-0.5569,16,-0.1373
ENSG00000213123,TCTEX1D2,35,-0.2785,47,0.22247,27,-0.6130,46,0.35240
ENSG00000163960,UBXN7,19,0.38477,28,0.92739,10,-0.7069,12,-0.6232
ENSG00000163961,RNF168,27,0.95704,12,-0.5623,15,-0.2408,13,-0.6754
ENSG00000174013,FBXO45,34,0.42372,21,-0.4555,22,-0.3985,27,-0.0941
ENSG00000163964,PIGX,74,0.60145,43,-0.4408,36,-0.7357,53,-0.1764
ENSG00000180370,PAK2,30,-0.0379,68,1.39103,25,-0.2708,22,-0.6885
ENSG00000119231,SENP5,55,0.67237,36,-0.1942,23,-0.9168,36,-0.2874
ENSG00000114503,NCBP2,43,-0.1145,44,-0.0573,37,-0.3049,50,0.23494
ENSG00000270170,NCBP2AS2,59,0.59208,25,-0.9336,26,-0.8806,46,0.00453
ENSG00000119227,PIGZ,17,-0.1275,13,-0.5004,4,-2.2046,24,0.77826
ENSG00000075711,DLG1,75,0.40700,74,0.25977,64,0.03633,51,-0.5236
ENSG00000161267,BDH1,35,0.42887,9,-1.7833,13,-1.2476,34,0.39491
ENSG00000145016,RUBCN,39,0.29235,50,0.64313,34,-0.0076,26,-0.5946
ENSG00000122068,FYTTD1,38,0.21261,48,0.53370,15,-1.2956,33,-0.0760
ENSG00000182899,RPL35A,483,-0.4046,578,-0.0285,833,0.57928,607,0.08653
ENSG00000182903,ZNF721,31,0.13241,52,0.95769,10,-1.6972,27,-0.1822
ENSG00000174227,PIGG,28,1.06665,14,-0.4468,6,-1.6170,15,-0.4750
ENSG00000273238,TMEM271,101,0.55521,68,-0.2546,36,-1.2434,77,-0.0759
ENSG00000169020,ATP5ME,687,-0.4980,1029,0.26271,945,0.12332,963,0.25434
ENSG00000185619,PCGF3,36,0.29854,38,0.33498,24,-0.4251,28,-0.2759
ENSG00000168993,CPLX1,247,-0.0013,270,0.14780,176,-0.5358,259,0.12458
ENSG00000178950,GAK,59,0.31930,56,0.13028,48,-0.1015,45,-0.3166
ENSG00000127419,TMEM175,44,0.25042,65,0.83237,27,-0.5738,32,-0.4612
ENSG00000145214,DGKQ,38,0.31155,48,0.62740,12,-1.5605,31,-0.1758
ENSG00000159692,CTBP1,277,0.28186,234,-0.0715,174,-0.5400,240,-0.0467
ENSG00000090316,MAEA,108,1.31529,47,-0.5218,29,-1.2228,46,-0.8010
ENSG00000163950,SLBP,114,0.95110,71,-0.1359,35,-1.2098,61,-0.5391
ENSG00000168936,TMEM129,29,-0.1750,43,0.48141,31,-0.0313,31,-0.0524
ENSG00000068078,FGFR3,87,-1.1203,424,1.78375,165,0.08393,139,-0.2923
ENSG00000168924,LETM1,73,0.17635,76,0.20711,43,-0.6977,67,-0.0182
ENSG00000109685,NSD2,59,0.59578,40,-0.1945,31,-0.5929,40,-0.2956
ENSG00000243449,C4orf48,572,-0.0535,849,0.61611,702,0.29499,503,-0.3775
ENSG00000185818,NAT8L,317,0.22278,363,0.38722,205,-0.5294,265,-0.1954
ENSG00000123933,MXD4,30,-0.8940,101,1.31369,56,0.28619,44,-0.1516
ENSG00000159733,ZFYVE28,33,0.91893,13,-0.8866,6,-1.8554,21,-0.1595
ENSG00000063978,RNF4,58,0.52865,42,-0.1155,24,-0.9774,43,-0.1566
ENSG00000087266,SH3BP2,9,-1.0221,33,1.37639,25,0.86381,12,-0.4328
ENSG00000087274,ADD1,240,0.34462,238,0.24014,158,-0.4213,184,-0.2772
ENSG00000109736,MFSD10,70,0.78433,53,0.08090,26,-1.0250,41,-0.4915
ENSG00000197386,HTT,89,0.15926,73,-0.2021,45,-0.9551,90,0.22449
ENSG00000159788,RGS12,33,-0.4845,61,0.63972,38,-0.1413,44,0.15972
ENSG00000163956,LRPAP1,176,0.87086,108,-0.1992,65,-0.9984,101,-0.4750
ENSG00000132406,TMEM128,22,0.04918,37,0.94203,12,-0.8371,19,-0.2630
ENSG00000168824,NSG1,152,1.12690,62,-0.7117,36,-1.5364,80,-0.4719
ENSG00000168818,STX18,21,0.25057,22,0.27090,16,-0.2618,17,-0.2536
ENSG00000072832,CRMP1,384,1.00630,132,-1.0306,100,-1.4519,228,-0.2777
ENSG00000181215,C4orf50,41,0.84331,29,0.03860,16,-0.9122,23,-0.5644
ENSG00000152969,JAKMIP1,114,0.71280,45,-0.9921,49,-0.8534,81,-0.1096
ENSG00000109501,WFS1,128,0.23720,186,0.80669,76,-0.6516,97,-0.4084
ENSG00000074211,PPP2R2C,275,0.58076,153,-0.5279,152,-0.5469,199,-0.1820
ENSG00000013288,MAN2B2,55,0.75875,33,-0.2825,32,-0.3396,32,-0.5168
ENSG00000179010,MRFAP1,373,0.01944,399,0.12314,304,-0.3154,376,0.04733
ENSG00000170846,AC093323.1,68,-0.0272,95,0.53399,39,-0.8903,70,0.05817
ENSG00000178988,MRFAP1L1,99,0.02318,105,0.11821,87,-0.1891,98,0.00215
ENSG00000170871,KIAA0232,122,0.88237,90,0.09789,47,-0.9080,65,-0.6354
ENSG00000132405,TBC1D14,62,0.21432,62,0.16623,49,-0.2130,52,-0.1881
ENSG00000173011,TADA2B,31,1.16705,8,-1.3671,12,-0.6813,15,-0.5549
ENSG00000109519,GRPEL1,50,0.41313,32,-0.4244,27,-0.6568,41,-0.0163
ENSG00000196526,AFAP1,28,1.00717,15,-0.3251,9,-1.1160,15,-0.5489
ENSG00000163995,ABLIM2,48,0.38404,12,-1.8471,37,-0.1665,43,0.15646
ENSG00000071127,WDR1,104,0.51006,102,0.32267,58,-0.5759,70,-0.4364
ENSG00000178163,ZNF518B,23,0.84468,13,-0.2636,13,-0.2969,12,-0.6335
ENSG00000157869,RAB28,18,0.38224,11,-0.4476,10,-0.6766,15,0.02632
ENSG00000038219,BOD1L1,81,0.54872,61,-0.0793,37,-0.8590,59,-0.2192
ENSG00000137449,CPEB2,58,0.53230,48,0.07154,30,-0.6948,41,-0.3079
ENSG00000118564,FBXL5,85,0.66693,62,-0.0617,43,-0.6164,54,-0.4142
ENSG00000237765,FAM200B,50,-0.0932,75,0.60489,87,0.85991,39,-0.6593
ENSG00000169762,TAPT1,36,0.79723,41,0.79738,36,0.57882,11,-1.6845
ENSG00000169744,LDB2,112,1.33043,39,-0.8446,23,-1.6546,51,-0.6367
ENSG00000151552,QDPR,208,-0.5891,661,1.51494,462,0.84974,190,-0.8766
ENSG00000002549,LAP3,16,-0.3730,30,0.69607,24,0.32226,18,-0.1562
ENSG00000118579,MED28,39,0.40083,33,0.03278,39,0.26923,26,-0.5202
ENSG00000163257,DCAF16,29,0.72980,26,0.36548,15,-0.4898,15,-0.7243
ENSG00000145147,SLIT2,40,1.14838,11,-1.2282,4,-2.6067,23,-0.2417
ENSG00000163138,PACRGL,30,0.92590,14,-0.5130,13,-0.6422,16,-0.5197
ENSG00000185774,KCNIP4,101,0.83205,17,-2.2144,36,-1.0511,72,0.00880
ENSG00000109606,DHX15,50,1.08678,43,0.45667,16,-1.0709,20,-1.0236
ENSG00000250317,SMIM20,20,-0.5818,32,0.27399,20,-0.4869,32,0.53238
ENSG00000168214,RBPJ,42,-0.3219,103,1.28609,73,0.67235,34,-0.8017
ENSG00000109689,STIM2,31,1.31324,24,0.42349,9,-1.0686,10,-1.2931
ENSG00000169851,PCDH7,218,1.35171,37,-1.9154,50,-1.4660,106,-0.4832
ENSG00000065882,TBC1D1,29,1.01151,12,-0.6521,16,-0.3179,14,-0.6790
ENSG00000109787,KLF3,17,-0.0771,29,0.86580,20,0.24817,14,-0.4853
ENSG00000109790,KLHL5,14,-0.9877,70,1.91397,28,0.21912,19,-0.5622
ENSG00000035928,RFC1,26,0.10253,34,0.52420,19,-0.4631,23,-0.1723
ENSG00000163682,RPL9,591,-0.5762,1216,0.73302,1190,0.69573,721,-0.2123
ENSG00000163683,SMIM14,57,0.04360,95,0.88720,48,-0.2515,47,-0.4020
ENSG00000078140,UBE2K,146,0.82306,48,-1.2022,63,-0.7873,96,-0.1938
ENSG00000121892,PDS5A,44,0.83034,28,-0.1386,25,-0.3238,23,-0.6569
ENSG00000163697,APBB2,35,0.08006,64,1.06236,32,-0.0915,26,-0.6207
ENSG00000154277,UCHL1,3029,0.86519,1144,-0.9689,1094,-1.0370,1934,-0.2276
ENSG00000064042,LIMCH1,139,0.61475,121,0.20434,88,-0.3049,84,-0.5801
ENSG00000109133,TMEM33,84,0.67589,61,-0.0458,35,-0.8994,54,-0.3531
ENSG00000014824,SLC30A9,98,0.12397,100,0.11841,46,-1.1109,99,0.16663
ENSG00000124406,ATP8A1,168,0.97569,131,0.23924,50,-1.2733,83,-0.7228
ENSG00000151806,GUF1,24,0.28447,29,0.53488,20,-0.0713,17,-0.4965
ENSG00000163285,GABRG1,14,-1.8256,99,1.68540,28,-0.4507,43,0.35557
ENSG00000260878,AC104072.1,70,1.48857,8,-2.3333,13,-1.7132,32,-0.5382
ENSG00000151834,GABRA2,103,1.40627,23,-1.5012,36,-0.7783,43,-0.7665
ENSG00000109158,GABRA4,72,1.02167,37,-0.4122,12,-2.0197,41,-0.3814
ENSG00000163288,GABRB1,27,0.33630,14,-0.7771,17,-0.4674,24,0.10300
ENSG00000260918,AC107398.3,97,0.40293,57,-0.5631,50,-0.7544,83,0.06168
ENSG00000169019,COMMD8,26,0.89112,18,0.00247,4,-1.9925,15,-0.4019
ENSG00000075539,FRYL,14,-0.5205,43,1.42428,17,-0.1249,16,-0.3386
ENSG00000109180,OCIAD1,453,1.15237,193,-0.6285,121,-1.3391,227,-0.5601
ENSG00000145247,OCIAD2,61,0.65620,23,-1.0871,42,-0.1421,41,-0.2511
ENSG00000109184,DCUN1D4,61,0.14753,64,0.19471,40,-0.5513,56,-0.0270
ENSG00000163069,SGCB,56,0.10403,56,0.07071,48,-0.1692,52,-0.0590
ENSG00000109189,USP46,83,0.55417,34,-1.0064,40,-0.7544,66,0.02709
ENSG00000226950,DANCR,35,-0.4495,42,-0.0609,38,-0.2219,52,0.48474
ENSG00000145216,FIP1L1,16,-0.3027,22,0.32391,12,-0.6768,21,0.34351
ENSG00000072201,LNX1,60,1.75514,2,-4.1171,14,-1.2980,22,-0.7886
ENSG00000134853,PDGFRA,12,-1.2761,24,-0.0318,51,1.21991,28,0.28978
ENSG00000157404,KIT,14,-1.0054,54,1.40847,6,-1.9732,28,0.44086
ENSG00000128039,SRD5A3,26,0.71167,33,0.91777,8,-1.2692,13,-0.8360
ENSG00000134851,TMEM165,38,0.41412,79,1.62601,39,0.37717,13,-1.8455
ENSG00000134852,CLOCK,35,0.64764,17,-0.7185,15,-0.9245,26,-0.0943
ENSG00000090989,EXOC1,45,1.09449,23,-0.3193,14,-1.0638,22,-0.6597
ENSG00000128050,PAICS,36,0.29454,33,0.07406,30,-0.0793,28,-0.2763
ENSG00000174780,SRP72,68,0.21655,59,-0.0546,33,-0.9561,64,0.11708
ENSG00000171476,HOPX,567,1.41217,26,-3.8219,84,-2.1074,292,-0.3106
ENSG00000047315,POLR2B,73,0.82367,30,-0.8576,22,-1.3008,49,-0.1573
ENSG00000163453,IGFBP7,25,-1.7693,199,1.97355,76,0.19956,63,-0.1597
ENSG00000150471,ADGRL3,114,1.12183,63,-0.2444,41,-0.8870,52,-0.7645
ENSG00000145242,EPHA5,98,1.15997,26,-1.3207,25,-1.3881,53,-0.3900
ENSG00000033178,UBA6,42,1.05054,40,0.61591,23,-0.2850,14,-1.3614
ENSG00000083896,YTHDC1,42,0.21535,57,0.66603,43,0.18972,29,-0.6194
ENSG00000132467,UTP3,24,0.47755,16,-0.2450,12,-0.6923,18,-0.1298
ENSG00000018189,RUFY3,286,0.80973,163,-0.3543,139,-0.6072,169,-0.4581
ENSG00000132463,GRSF1,145,0.51824,93,-0.3454,71,-0.7632,110,-0.1168
ENSG00000173542,MOB1B,107,1.17007,30,-1.2611,35,-1.0208,55,-0.4895
ENSG00000156136,DCK,33,0.06704,37,0.21891,30,-0.1329,31,-0.1028
ENSG00000080493,SLC4A4,13,-1.2873,41,0.79736,16,-0.7095,34,0.79050
ENSG00000132466,ANKRD17,54,0.03612,61,0.22837,27,-1.0628,57,0.18846
ENSG00000169116,PARM1,184,1.63302,7,-3.9451,23,-2.2158,81,-0.5220
ENSG00000163743,RCHY1,36,0.29301,33,0.04975,17,-0.9499,32,0.00197
ENSG00000138769,CDKL2,21,-0.0148,13,-0.7635,14,-0.6412,25,0.47313
ENSG00000138757,G3BP2,421,1.07878,173,-0.7249,159,-0.8476,216,-0.5642
ENSG00000138768,USO1,44,0.61505,18,-0.9232,15,-1.2800,34,0.06458
ENSG00000198301,SDAD1,37,0.77389,10,-1.5107,11,-1.3182,27,0.02859
ENSG00000138760,SCARB2,91,0.06744,180,1.23039,77,-0.2242,66,-0.6817
ENSG00000138758,SEPTIN11,122,0.56441,82,-0.2439,44,-1.1959,92,-0.0982
ENSG00000118816,CCNI,129,-0.5721,222,0.43488,259,0.69595,167,-0.0530
ENSG00000138764,CCNG2,34,0.09661,39,0.27707,20,-0.7281,33,0.03192
ENSG00000138767,CNOT6L,19,0.49003,23,0.64487,14,-0.1145,11,-0.7625
ENSG00000169288,MRPL1,51,1.12796,20,-0.7889,16,-1.0589,26,-0.5472
ENSG00000163291,PAQR3,28,1.35120,8,-1.0355,8,-0.9996,12,-0.7448
ENSG00000152784,PRDM8,73,0.99845,14,-1.8653,18,-1.5481,47,-0.1076
ENSG00000138670,RASGEF1B,35,1.33270,6,-1.7929,5,-2.1868,17,-0.3778
ENSG00000273156,AC124016.2,35,1.10719,12,-0.9288,22,-0.0632,16,-0.8124
ENSG00000138668,HNRNPD,93,-0.1893,123,0.31773,77,-0.4295,109,0.18011
ENSG00000152795,HNRNPDL,283,0.51855,287,0.39409,174,-0.4199,181,-0.5324
ENSG00000145293,ENOPH1,100,0.16854,98,0.09094,93,-0.0039,86,-0.1919
ENSG00000249242,TMEM150C,61,1.39258,14,-1.4524,14,-1.3938,27,-0.6138
ENSG00000145284,SCD5,331,-0.2181,583,0.77394,362,-0.0260,342,-0.1797
ENSG00000138674,SEC31A,43,0.29526,46,0.34482,25,-0.6484,35,-0.2097
ENSG00000251022,THAP9-AS1,26,0.33981,38,0.93567,13,-0.8093,17,-0.5527
ENSG00000138663,COPS4,93,0.31806,66,-0.3139,51,-0.7084,82,0.05332
ENSG00000163319,MRPS18C,64,0.27398,53,-0.1075,42,-0.4815,56,-0.0430
ENSG00000163624,CDS1,53,0.72812,22,-0.8603,21,-0.9427,37,-0.1348
ENSG00000163625,WDFY3,61,0.47591,62,0.37362,37,-0.4572,41,-0.4644
ENSG00000109339,MAPK10,238,0.41289,170,-0.2497,100,-1.0641,200,0.02553
ENSG00000198189,HSD17B11,25,0.35039,30,0.53974,16,-0.4904,18,-0.4136
ENSG00000170502,NUDT9,38,1.12017,8,-1.6125,20,-0.3211,19,-0.5777
ENSG00000152583,SPARCL1,1224,0.34652,1178,0.18923,694,-0.6559,975,-0.1847
ENSG00000118785,SPP1,18,-2.8854,537,3.61958,207,1.28970,21,-2.8998
ENSG00000163644,PPM1K,106,0.08686,68,-0.6383,72,-0.5568,115,0.32479
ENSG00000138642,HERC6,27,0.79891,5,-1.8324,12,-0.6726,18,-0.0955
ENSG00000145337,PYURF,57,0.46134,37,-0.3372,38,-0.2912,43,-0.2058
ENSG00000138641,HERC3,24,0.24363,18,-0.2795,10,-1.1254,23,0.20984
ENSG00000177432,NAP1L5,231,0.69267,107,-0.7525,78,-1.2266,168,-0.0654
ENSG00000138640,FAM13A,29,0.71056,5,-2.2093,15,-0.4980,21,-0.0122
ENSG00000145335,SNCA,453,0.28153,382,-0.0712,256,-0.7016,399,-0.0009
ENSG00000163110,PDLIM5,9,-1.2961,42,1.38297,25,0.46752,18,-0.0399
ENSG00000138698,RAP1GDS1,197,0.76836,106,-0.4688,82,-0.8756,126,-0.3026
ENSG00000168785,TSPAN5,160,1.18868,79,-0.3848,54,-0.9765,72,-0.7638
ENSG00000151247,EIF4E,86,0.18442,90,0.20963,67,-0.2793,75,-0.1555
ENSG00000164024,METAP1,39,1.24971,9,-1.5392,16,-0.6508,18,-0.6230
ENSG00000197894,ADH5,68,0.22094,89,0.61406,52,-0.2495,52,-0.4084
ENSG00000109270,LAMTOR3,61,0.33184,41,-0.3988,32,-0.7724,54,0.08459
ENSG00000164031,DNAJB14,105,0.80589,68,-0.1533,44,-0.8507,62,-0.4599
ENSG00000164032,H2AFZ,128,0.20647,80,-0.5925,90,-0.4037,124,0.15589
ENSG00000138814,PPP3CA,480,0.67388,239,-0.6476,148,-1.3817,354,-0.0458
ENSG00000254531,AP001816.1,24,-0.0382,26,0.08973,25,0.01633,25,-0.0090
ENSG00000109332,UBE2D3,178,0.40353,145,-0.0405,94,-0.7232,142,-0.1250
ENSG00000145354,CISD2,96,0.80965,53,-0.4067,34,-1.0673,60,-0.3204
ENSG00000164039,BDH2,9,-1.3779,38,1.18476,28,0.69241,19,0.02850
ENSG00000168772,CXXC4,26,-0.0751,39,0.59595,22,-0.3539,26,-0.0839
ENSG00000138777,PPA2,55,0.10066,50,-0.0672,31,-0.8340,57,0.19991
ENSG00000164022,AIMP1,14,-0.5102,31,0.86004,20,0.08857,18,-0.0381
ENSG00000138801,PAPSS1,93,1.01000,76,0.33002,44,-0.5417,39,-1.0164
ENSG00000138796,HADH,15,-0.5498,22,0.16001,12,-0.7965,25,0.64483
ENSG00000109475,RPL34,796,-0.7027,1412,0.36939,2068,1.03171,1073,-0.1293
ENSG00000198856,OSTC,30,0.74777,15,-0.5727,14,-0.6563,19,-0.3077
ENSG00000164089,ETNPPL,28,-1.6645,145,1.25005,82,0.25147,80,0.35114
ENSG00000138802,SEC24B,34,1.53211,11,-0.7851,8,-1.3588,13,-0.9369
ENSG00000123739,PLA2G12A,32,-0.0521,46,0.53565,30,-0.1602,31,-0.1399
ENSG00000109534,GAR1,14,-0.4084,22,0.42979,12,-0.4733,19,0.31996
ENSG00000170522,ELOVL6,24,0.60868,17,-0.1627,10,-0.8649,17,-0.2466
ENSG00000138660,AP1AR,54,0.49382,26,-0.7783,22,-1.0779,45,0.10798
ENSG00000174720,LARP7,25,-0.4755,28,-0.2024,38,0.29627,36,0.34763
