Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000116922,C1orf109,11,-0.4637,9,-0.6877,14,-0.0011,18,0.58699
ENSG00000183317,EPHA10,10,-0.8285,23,0.63789,10,-0.7953,21,0.73106
ENSG00000185090,MANEAL,21,-0.9571,40,0.17009,30,-0.3685,50,0.79340
ENSG00000196449,YRDC,14,-0.4706,18,0.01454,24,0.61591,16,-0.2079
ENSG00000197982,C1orf122,384,0.57312,334,0.24129,273,-0.1082,222,-0.5700
ENSG00000183431,SF3A3,26,-0.2450,18,-0.7954,24,-0.3988,41,0.75210
ENSG00000183520,UTP11,38,-0.1725,19,-1.2646,35,-0.3292,57,0.77121
ENSG00000116954,RRAGC,30,-0.2131,32,-0.0961,30,-0.2189,40,0.36644
ENSG00000174574,AKIRIN1,61,-0.6384,61,-0.5578,83,-0.0881,115,0.71654
ENSG00000168653,NDUFS5,853,-0.1321,972,0.10049,775,-0.3090,1029,0.28276
