metric,name,value,form,SpD
3rd Qu.,Sex,3.315312363193701e-10,e4e4_i,WM_Sp09D06
3rd Qu.,Visium_slide,0.07083166111413412,e4e4_i,WM_Sp09D06
3rd Qu.,Anc_Afr,0.03723723819192197,e4e4_i,WM_Sp09D06
3rd Qu.,Age,0.04177380881042437,e4e4_i,WM_Sp09D06
3rd Qu.,Rin,0.04381368079125307,e4e4_i,WM_Sp09D06
3rd Qu.,ncells,0.13116259820361476,e4e4_i,WM_Sp09D06
3rd Qu.,Residuals,0.8582143864032595,e4e4_i,WM_Sp09D06
Max.,APOE_E4E4,0.5422227315934846,e4e4_i,WM_Sp09D06
Max.,APOE_E4E4:Anc_Afr,0.9994986647875237,e4e4_i,WM_Sp09D06
Max.,APOE_E4E4:Sex,0.36471751457107165,e4e4_i,WM_Sp09D06
Max.,round,0.4027524871572019,e4e4_i,WM_Sp09D06
Max.,Sex,0.4648345702266637,e4e4_i,WM_Sp09D06
Max.,Visium_slide,0.7271107177520297,e4e4_i,WM_Sp09D06
Max.,Anc_Afr,0.5175498694069787,e4e4_i,WM_Sp09D06
Max.,Age,0.44052595446923,e4e4_i,WM_Sp09D06
Max.,Rin,0.5149601893006429,e4e4_i,WM_Sp09D06
Max.,ncells,0.7590732874178947,e4e4_i,WM_Sp09D06
Max.,Residuals,0.9983737747894392,e4e4_i,WM_Sp09D06
