Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228109,MELTF-AS1,9,-0.0386,10,0.02853,8,-0.2527,7,-0.3657,12,0.29952,10,0.13859,9,-0.0493,9,-0.0686,11,0.22230
ENSG00000075711,DLG1,134,0.95857,59,-0.3875,72,-0.0486,71,-0.0690,96,0.40775,86,0.22323,75,0.00540,45,-0.7685,47,-0.7153
ENSG00000161267,BDH1,2,-3.4861,38,0.53583,33,0.23027,27,-0.0775,39,0.53855,26,-0.1511,33,0.28904,24,-0.2253,17,-0.8046
ENSG00000145016,RUBCN,14,-1.1981,32,0.01326,30,-0.1137,38,0.29183,52,0.77860,31,-0.0625,30,-0.1308,37,0.25484,25,-0.3608
ENSG00000122068,FYTTD1,37,-0.2881,45,0.00480,45,0.01021,45,0.01812,69,0.69602,49,0.14637,50,0.20949,26,-0.8233,30,-0.6082
ENSG00000186001,LRCH3,29,0.79075,16,-0.1232,14,-0.3275,16,-0.1094,14,-0.3592,24,0.49246,14,-0.4072,27,0.66999,9,-0.9883
ENSG00000114473,IQCG,6,-0.5483,5,-0.8407,12,0.36735,5,-0.8185,19,1.18504,8,-0.2198,11,0.29914,6,-0.6827,12,0.44756
ENSG00000182899,RPL35A,1321,0.80308,791,-0.0381,768,-0.0799,692,-0.2434,697,-0.2313,546,-0.6105,660,-0.3488,1110,0.51335,851,0.08267
ENSG00000182903,ZNF721,21,-0.3775,31,0.21343,19,-0.5414,24,-0.2148,32,0.22792,40,0.59994,32,0.25600,18,-0.6173,22,-0.3517
ENSG00000174227,PIGG,18,0.28290,17,0.20341,8,-1.0030,10,-0.6506,22,0.59434,16,0.09073,17,0.16434,13,-0.2803,13,-0.2511
ENSG00000273238,TMEM271,5,-3.4659,83,0.60221,57,-0.0757,54,-0.1580,55,-0.1342,56,-0.1052,77,0.46157,44,-0.4838,66,0.15612
ENSG00000169020,ATP5ME,1364,0.85217,759,-0.1146,943,0.24196,468,-0.8524,690,-0.2535,763,-0.0948,741,-0.1568,825,0.02771,864,0.10065
ENSG00000215375,MYL5,10,0.04432,7,-0.5162,7,-0.5110,6,-0.7525,7,-0.4694,20,1.05015,10,-0.0931,13,0.34652,14,0.53182
ENSG00000185619,PCGF3,21,-0.4201,28,0.04413,30,0.14026,30,0.14705,25,-0.1318,36,0.40910,37,0.51532,11,-1.3656,20,-0.5053
ENSG00000168993,CPLX1,24,-3.0065,105,-0.9148,258,0.55961,248,0.49345,247,0.49190,214,0.25853,256,0.62632,138,-0.4333,152,-0.2837
ENSG00000178950,GAK,25,-0.8965,41,-0.1513,29,-0.6421,58,0.41830,50,0.19409,56,0.35358,72,0.89276,19,-1.3054,28,-0.7192
ENSG00000127419,TMEM175,25,-0.1689,32,0.21630,19,-0.5603,24,-0.2526,25,-0.1449,40,0.57481,28,0.00200,29,0.06492,25,-0.1461
ENSG00000145214,DGKQ,2,-2.9226,21,0.58081,9,-0.7099,12,-0.2811,12,-0.3593,14,-0.1018,24,0.88382,6,-1.2790,19,0.39108
ENSG00000127418,FGFRL1,11,0.10391,6,-0.8572,8,-0.3980,7,-0.6278,12,0.13487,3,-1.7225,3,-1.6919,39,2.26206,17,0.76786
ENSG00000159674,SPON2,0,-7.9187,37,2.98729,3,-1.8267,9,-0.2028,0,-7.5641,1,-2.5783,6,-0.7795,0,-4.2855,13,0.41371
ENSG00000159692,CTBP1,63,-0.9859,149,0.38377,145,0.29755,170,0.55890,93,-0.4089,120,-0.0124,119,-0.0162,74,-0.7534,123,0.03484
ENSG00000090316,MAEA,36,-0.8602,72,0.25779,74,0.27135,38,-0.7538,51,-0.3124,63,0.01684,96,0.78274,51,-0.3312,40,-0.7108
ENSG00000163950,SLBP,23,-1.5192,69,0.18539,60,-0.0618,69,0.15067,73,0.24149,68,0.13619,82,0.50409,47,-0.4320,44,-0.5524
ENSG00000168936,TMEM129,40,0.59328,37,0.56973,21,-0.4361,28,0.05727,26,-0.0908,19,-0.5613,18,-0.6642,35,0.38931,21,-0.4159
ENSG00000068078,FGFR3,76,-0.4471,65,-0.7550,57,-0.8919,79,-0.3853,111,0.14210,40,-1.4124,37,-1.6450,442,2.71157,106,0.07589
ENSG00000168924,LETM1,29,-0.2818,43,0.34502,24,-0.5716,53,0.65514,21,-0.7799,35,0.02012,35,0.02194,34,-0.0413,33,-0.1061
ENSG00000109685,NSD2,34,-0.2515,52,0.45880,36,-0.1995,34,-0.2461,45,0.18057,39,-0.0473,45,0.18500,24,-0.8238,38,-0.0970
ENSG00000185049,NELFA,14,0.05517,20,0.65677,9,-0.6621,6,-1.2786,9,-0.6923,18,0.41048,14,0.03797,20,0.62955,8,-0.8645
ENSG00000243449,C4orf48,808,1.12020,401,-0.0445,414,0.01278,354,-0.2336,471,0.21722,268,-0.6683,343,-0.3110,303,-0.4773,415,0.01674
ENSG00000185818,NAT8L,98,-0.7951,184,0.20377,136,-0.2929,160,-0.0384,136,-0.2898,196,0.28020,145,-0.2204,224,0.50178,198,0.29705
ENSG00000123933,MXD4,48,0.64431,24,-0.4680,28,-0.1868,22,-0.5736,23,-0.5177,20,-0.7510,28,-0.2427,57,0.94166,50,0.72784
ENSG00000159733,ZFYVE28,9,-1.4378,36,0.85483,24,0.10172,19,-0.2897,9,-1.4215,29,0.40090,28,0.40923,20,-0.1537,10,-1.1813
ENSG00000063978,RNF4,35,-0.3732,50,0.21850,28,-0.7187,49,0.14902,59,0.44689,49,0.14837,46,0.07345,43,-0.0468,33,-0.4483
ENSG00000125386,FAM193A,21,0.64958,11,-0.3058,11,-0.3391,12,-0.1519,12,-0.2188,21,0.70611,10,-0.5341,21,0.71021,9,-0.5688
ENSG00000087274,ADD1,146,-0.4579,214,0.16303,193,-0.0139,182,-0.1087,167,-0.2456,285,0.61182,190,-0.0484,206,0.08332,161,-0.3044
ENSG00000109736,MFSD10,22,-0.2328,26,0.02404,23,-0.1578,21,-0.3185,29,0.22378,35,0.48095,28,0.17042,25,-0.0418,18,-0.5213
ENSG00000249673,NOP14-AS1,6,-0.7550,12,0.34935,5,-1.0650,9,-0.0248,8,-0.2967,15,0.74600,14,0.63143,4,-1.4145,8,-0.2581
ENSG00000125388,GRK4,20,0.78565,10,-0.2961,10,-0.3480,21,0.89395,17,0.52057,7,-0.8632,8,-0.6721,12,0.01760,10,-0.2355
ENSG00000197386,HTT,29,-0.9570,51,-0.0758,39,-0.4712,44,-0.2860,66,0.34577,71,0.45175,58,0.14669,52,-0.0329,67,0.36736
ENSG00000188981,MSANTD1,1,-2.6343,13,0.87362,6,-0.3822,11,0.48954,3,-1.2184,4,-0.9435,9,0.31237,9,0.24972,8,-0.0647
ENSG00000159788,RGS12,24,-0.6246,54,0.73702,22,-0.7715,25,-0.5753,30,-0.2526,27,-0.4447,13,-1.5657,83,1.40296,50,0.52439
ENSG00000163956,LRPAP1,103,-1.0430,228,0.21320,223,0.15139,157,-0.3958,173,-0.2491,281,0.52671,261,0.45747,161,-0.3563,153,-0.4436
ENSG00000132406,TMEM128,30,0.59298,16,-0.4031,17,-0.3111,15,-0.4469,22,0.11496,32,0.70776,23,0.18252,20,-0.0687,12,-0.7650
ENSG00000168824,NSG1,6,-4.2546,178,0.83232,109,-0.0768,158,0.52321,124,0.13282,105,-0.1312,122,0.12024,73,-0.6800,79,-0.5663
ENSG00000168818,STX18,25,0.58889,18,0.03361,8,-1.0656,11,-0.6918,30,0.87324,20,0.20385,16,-0.0874,17,-0.0463,11,-0.6302
ENSG00000072832,CRMP1,35,-2.4732,207,0.22769,150,-0.3026,176,-0.0585,182,-0.0002,272,0.64736,263,0.67725,126,-0.5745,124,-0.6024
ENSG00000181215,C4orf50,3,-2.3254,9,-0.7575,15,0.05738,22,0.68236,13,-0.1712,28,1.07415,22,0.75317,6,-1.2147,10,-0.5864
ENSG00000152969,JAKMIP1,8,-3.0696,67,0.05422,59,-0.1434,77,0.27280,93,0.58742,66,0.02034,89,0.58604,40,-0.7458,58,-0.1856
ENSG00000109501,WFS1,63,0.20958,90,0.90601,41,-0.4618,56,0.01090,46,-0.2800,27,-1.0886,22,-1.4709,104,1.02889,48,-0.2322
ENSG00000074211,PPP2R2C,76,-1.1100,199,0.42375,114,-0.4971,166,0.08463,101,-0.6925,231,0.62209,205,0.48304,96,-0.7690,138,-0.2021
ENSG00000013288,MAN2B2,12,-1.6859,30,-0.4172,45,0.24155,24,-0.7528,60,0.70492,55,0.58680,52,0.53517,35,-0.1459,29,-0.4495
ENSG00000179010,MRFAP1,372,0.13876,351,0.05281,341,0.00302,292,-0.2413,347,0.03025,379,0.17062,352,0.05509,324,-0.0796,287,-0.2701
ENSG00000251580,LINC02482,6,-1.0065,9,-0.5992,13,0.11689,17,0.48220,13,0.02763,10,-0.2895,12,-0.0593,23,0.96435,13,0.10480
ENSG00000170846,AC093323.1,23,-1.2892,59,0.19689,55,0.05171,51,-0.0551,58,0.14589,85,0.76431,58,0.16384,37,-0.5757,40,-0.4331
ENSG00000178988,MRFAP1L1,105,0.02993,86,-0.3158,136,0.44331,98,-0.0886,105,0.03033,182,0.92642,92,-0.2020,87,-0.2770,68,-0.6549
ENSG00000186222,BLOC1S4,15,-0.1169,21,0.46619,17,0.08236,12,-0.4598,24,0.63679,11,-0.6112,18,0.16224,9,-0.7925,12,-0.4676
ENSG00000170871,KIAA0232,49,-0.3857,79,0.41580,52,-0.2848,90,0.57338,42,-0.6084,77,0.31899,81,0.45280,32,-1.0196,29,-1.1836
ENSG00000132405,TBC1D14,41,-0.1324,59,0.49656,43,-0.0708,40,-0.1691,46,0.03595,50,0.17762,38,-0.2528,34,-0.4116,43,-0.0623
ENSG00000287104,AC097382.3,10,0.00975,10,0.03526,13,0.47850,6,-0.6727,6,-0.6700,10,0.13432,13,0.56637,9,-0.0332,5,-1.0171
ENSG00000173011,TADA2B,13,-0.4447,21,0.27664,21,0.22477,10,-0.8755,20,0.14670,20,0.16817,23,0.40867,15,-0.2953,11,-0.6653
ENSG00000109519,GRPEL1,28,-0.6212,49,0.27905,37,-0.1875,32,-0.4174,44,0.06818,45,0.09995,58,0.56389,23,-0.9454,41,-0.0537
ENSG00000184985,SORCS2,22,0.02651,15,-0.6062,15,-0.5463,14,-0.6010,26,0.28683,23,0.10110,18,-0.2933,58,1.68109,12,-0.8568
ENSG00000196526,AFAP1,6,-1.4040,22,0.54975,16,-0.0437,22,0.44163,21,0.38564,8,-1.0924,13,-0.3548,25,0.65368,12,-0.5054
ENSG00000163995,ABLIM2,7,-2.8268,77,0.95000,39,-0.2551,34,-0.4823,39,-0.2495,32,-0.5802,67,0.67308,31,-0.6252,40,-0.2244
ENSG00000087008,ACOX3,11,0.40010,6,-0.5732,2,-1.6511,8,-0.0489,1,-2.2528,9,0.21520,16,1.26190,6,-0.4409,8,0.04730
ENSG00000071127,WDR1,66,0.04238,47,-0.5257,75,0.23988,39,-0.7877,109,0.85049,120,1.01548,49,-0.4747,74,0.21568,35,-0.9348
ENSG00000178163,ZNF518B,5,-1.4211,15,0.02456,6,-1.2680,18,0.36616,9,-0.7381,26,0.95254,18,0.35372,14,-0.0844,16,0.14449
ENSG00000002587,HS3ST1,2,-2.1003,10,0.00441,22,1.31494,11,0.17076,7,-0.6001,9,-0.0940,12,0.30484,7,-0.4451,7,-0.5683
ENSG00000157869,RAB28,33,0.45227,25,0.02699,30,0.30184,15,-0.7142,28,0.18479,26,0.09579,23,-0.1434,24,-0.0508,20,-0.3298
ENSG00000038219,BOD1L1,144,0.56246,64,-0.7706,91,-0.1692,192,1.04028,93,-0.1344,105,0.04687,110,0.14176,77,-0.4341,68,-0.6250
ENSG00000137449,CPEB2,59,0.83349,34,-0.0633,28,-0.3602,20,-0.8907,52,0.62751,39,0.13905,35,0.00319,30,-0.2576,22,-0.7106
ENSG00000048342,CC2D2A,6,-0.5216,6,-0.5574,8,-0.0790,7,-0.2969,6,-0.5727,9,0.19324,7,-0.3007,16,1.03946,14,0.85317
ENSG00000118564,FBXL5,93,0.43832,71,0.00574,57,-0.3272,62,-0.2073,97,0.51546,82,0.24696,70,-0.0097,62,-0.2011,41,-0.8450
ENSG00000237765,FAM200B,189,1.02224,88,-0.2456,103,0.01930,102,0.00516,74,-0.4844,73,-0.5195,88,-0.2402,121,0.27537,103,0.01691
ENSG00000169762,TAPT1,42,0.32841,27,-0.3949,32,-0.1034,36,0.05145,26,-0.4170,34,-0.0206,51,0.72118,24,-0.5362,28,-0.3494
ENSG00000169744,LDB2,8,-3.7096,185,1.07455,91,-0.2251,113,0.11937,24,-2.2193,91,-0.2215,189,1.12502,27,-2.0326,54,-1.0364
ENSG00000151552,QDPR,1634,2.91756,159,-1.2728,265,-0.4116,154,-1.2404,469,0.49501,250,-0.5000,193,-0.9713,192,-0.9052,124,-1.5593
ENSG00000002549,LAP3,65,1.24420,26,-0.2842,23,-0.4396,14,-1.2135,38,0.34953,28,-0.1320,18,-0.8447,42,0.52430,38,0.33003
ENSG00000118579,MED28,49,0.44352,53,0.65862,28,-0.4405,26,-0.5273,39,0.06616,36,-0.0428,32,-0.2430,36,-0.0550,24,-0.7012
ENSG00000163257,DCAF16,28,0.89574,17,0.09880,10,-0.7001,18,0.20074,21,0.43612,16,-0.0113,15,-0.1469,13,-0.2635,6,-1.4064
ENSG00000178177,LCORL,11,0.22328,11,0.23474,14,0.68510,13,0.52314,5,-1.0235,4,-1.2532,7,-0.5520,15,0.77962,6,-0.6802
ENSG00000145147,SLIT2,7,-1.5225,33,0.81935,28,0.43759,38,0.97549,18,-0.2477,11,-1.0259,23,0.18432,6,-1.9015,11,-0.9589
ENSG00000163138,PACRGL,11,-0.7890,26,0.56280,16,-0.2601,15,-0.3097,19,0.02440,24,0.38741,19,-0.0242,21,0.19017,12,-0.7341
ENSG00000185774,KCNIP4,9,-3.5409,213,1.43674,87,-0.2640,132,0.40022,37,-1.5525,58,-0.8726,140,0.56129,32,-1.7631,70,-0.5949
ENSG00000152990,ADGRA3,21,0.13504,14,-0.5563,20,0.04470,21,0.16481,20,0.09338,14,-0.5335,7,-1.6378,61,1.98942,13,-0.5587
ENSG00000109819,PPARGC1A,2,-2.5969,13,-0.0339,16,0.33778,14,0.14034,22,0.82256,10,-0.3319,12,-0.1585,18,0.51872,11,-0.2276
ENSG00000109606,DHX15,54,0.11440,43,-0.2416,36,-0.5029,41,-0.3156,79,0.73387,72,0.59518,54,0.14684,38,-0.4222,35,-0.5705
ENSG00000109610,SOD3,12,0.37183,4,-1.3542,6,-0.5605,12,0.37354,5,-1.0033,7,-0.5306,4,-1.3988,39,2.47368,8,-0.1980
ENSG00000181982,CCDC149,8,-0.2169,6,-0.7445,12,0.32857,17,0.87687,4,-1.2182,14,0.57821,14,0.68713,3,-1.5197,7,-0.4405
ENSG00000153012,LGI2,1,-3.3413,13,-0.3323,34,1.24902,30,1.08271,40,1.58856,8,-0.9702,7,-1.2119,5,-1.5375,12,-0.3494
ENSG00000053900,ANAPC4,19,0.17179,16,-0.0241,8,-1.0757,24,0.60068,8,-1.1518,17,-0.0145,24,0.62321,16,-0.0285,12,-0.5241
ENSG00000091490,SEL1L3,3,-2.3973,7,-1.5761,18,-0.0019,9,-1.0204,88,2.89829,25,0.49809,6,-1.6886,22,0.25893,10,-0.8662
ENSG00000250317,SMIM20,31,-0.0297,21,-0.7219,26,-0.3456,30,-0.1056,47,0.61914,25,-0.4036,32,-0.0053,56,0.91383,32,-0.0014
ENSG00000168214,RBPJ,202,1.64284,47,-0.8067,64,-0.2914,53,-0.5800,111,0.59540,88,0.21850,65,-0.2858,66,-0.2306,36,-1.1583
ENSG00000109689,STIM2,11,-1.0748,27,0.31062,9,-1.3284,14,-0.6995,50,1.28551,38,0.81036,23,-0.0093,18,-0.3655,11,-1.1110
ENSG00000169851,PCDH7,21,-2.7845,203,0.73030,62,-1.2090,119,-0.2234,171,0.35402,220,0.76733,194,0.64112,53,-1.4477,67,-1.1037
ENSG00000047365,ARAP2,85,1.61133,26,-0.4276,18,-0.8860,26,-0.3741,29,-0.2057,25,-0.4388,31,-0.1236,44,0.46820,22,-0.6025
ENSG00000174145,NWD2,0,-8.5868,35,1.42570,16,-0.0574,15,-0.1885,0,-6.9712,6,-1.4546,30,1.09458,4,-2.0262,14,-0.2862
ENSG00000065882,TBC1D1,15,-0.3628,25,0.49204,16,-0.2922,11,-0.8184,27,0.56763,19,0.02295,25,0.48094,11,-0.8245,10,-0.9539
ENSG00000109787,KLF3,34,1.00167,10,-0.9973,13,-0.4788,16,-0.2094,23,0.35301,16,-0.2270,14,-0.5047,38,1.17023,15,-0.2949
ENSG00000109790,KLHL5,60,1.15387,7,-2.2927,39,0.40860,22,-0.4729,54,0.95623,58,1.07422,18,-0.8457,26,-0.2406,21,-0.5078
ENSG00000157796,WDR19,7,-0.5969,7,-0.5791,6,-0.7717,6,-0.7189,27,1.56579,13,0.41021,11,0.14512,11,0.14263,6,-0.8231
ENSG00000035928,RFC1,123,1.70253,23,-1.1012,40,-0.2063,49,0.14370,44,-0.0339,66,0.61030,32,-0.5558,39,-0.2102,24,-0.9552
ENSG00000163682,RPL9,1637,0.83697,875,-0.1996,1244,0.38121,821,-0.2800,911,-0.1178,769,-0.3828,718,-0.5346,1199,0.32071,1029,0.07583
ENSG00000121897,LIAS,22,0.45007,12,-0.5284,17,0.04819,10,-0.7896,30,0.94716,27,0.78304,16,-0.0033,7,-1.1708,12,-0.5136
ENSG00000109814,UGDH,16,0.76372,9,-0.1490,13,0.40709,8,-0.3494,8,-0.4108,6,-0.6781,8,-0.3821,18,0.86940,8,-0.4293
ENSG00000163683,SMIM14,69,-0.1290,63,-0.3000,80,0.09054,66,-0.2066,112,0.64796,99,0.44289,71,-0.1070,64,-0.2476,69,-0.1346
ENSG00000078140,UBE2K,42,-1.3718,123,0.29576,130,0.35368,98,-0.0978,84,-0.3495,159,0.67387,114,0.16017,92,-0.2032,69,-0.6344
ENSG00000121892,PDS5A,26,-0.4760,36,0.07824,36,0.04813,22,-0.7332,36,0.03149,61,0.90579,35,0.01882,40,0.23624,20,-0.8434
ENSG00000163697,APBB2,80,1.44992,36,0.09555,36,0.10407,31,-0.1498,25,-0.4330,22,-0.6851,21,-0.7846,36,0.10347,28,-0.3020
ENSG00000154277,UCHL1,195,-3.2040,1909,0.25871,1466,-0.1890,1560,-0.0912,1792,0.12911,2170,0.43923,2717,0.93987,758,-1.1998,985,-0.8034
ENSG00000064042,LIMCH1,322,1.34907,153,0.11061,121,-0.2650,103,-0.5230,191,0.45698,137,-0.0802,108,-0.4879,113,-0.3804,73,-1.0408
ENSG00000109133,TMEM33,57,-0.2414,59,-0.1859,50,-0.4253,57,-0.2209,91,0.50465,73,0.15842,88,0.51905,57,-0.2232,47,-0.5203
ENSG00000014824,SLC30A9,48,-0.9632,94,0.07379,90,0.00769,80,-0.1865,117,0.42238,83,-0.1301,127,0.63586,50,-0.9085,79,-0.1941
ENSG00000124406,ATP8A1,143,0.16958,144,0.20398,69,-0.9631,103,-0.3504,185,0.59065,206,0.77058,156,0.35541,54,-1.3239,52,-1.3727
ENSG00000183783,KCTD8,2,-3.4758,11,-0.9855,32,0.68666,19,-0.1583,37,0.93482,46,1.30899,25,0.34403,12,-0.8649,8,-1.3324
ENSG00000151806,GUF1,18,-0.1389,12,-0.7744,25,0.41183,24,0.35972,17,-0.2356,21,0.12552,25,0.48104,12,-0.7166,21,0.15008
ENSG00000163281,GNPDA2,10,-1.0947,28,0.62972,15,-0.4543,18,-0.1542,15,-0.3948,29,0.61322,27,0.54059,10,-1.0912,12,-0.7404
ENSG00000163285,GABRG1,37,-0.5142,17,-1.7669,29,-0.8526,20,-1.4071,172,2.12371,58,0.19046,30,-0.9126,95,1.01862,59,0.22219
ENSG00000260878,AC104072.1,4,-3.3112,72,1.24029,28,-0.4758,54,0.58199,30,-0.3429,12,-1.6601,37,-0.0386,44,0.25432,25,-0.6399
ENSG00000151834,GABRA2,25,-1.7303,120,0.79474,54,-0.5632,86,0.15037,78,0.00245,40,-1.0153,73,-0.1110,110,0.54876,80,0.03212
ENSG00000109158,GABRA4,3,-3.7797,72,1.03727,41,-0.0284,62,0.63457,18,-1.2832,26,-0.7273,55,0.50314,18,-1.3003,37,-0.1839
ENSG00000163288,GABRB1,19,-0.9234,38,0.14494,22,-0.7159,47,0.45462,32,-0.1590,47,0.46856,48,0.54918,29,-0.3179,20,-0.8851
ENSG00000260918,AC107398.3,33,-1.6146,119,0.38607,93,-0.0468,100,0.06898,124,0.40331,114,0.26590,97,0.02148,97,0.01495,63,-0.6432
ENSG00000169019,COMMD8,13,-0.7579,28,0.45428,20,-0.1424,20,-0.1095,25,0.22839,32,0.61642,22,0.00134,14,-0.6006,14,-0.6159
ENSG00000109171,SLAIN2,16,0.26643,14,0.14829,12,-0.0963,8,-0.6874,6,-1.0666,25,1.03741,13,-0.0161,10,-0.4597,13,-0.0657
ENSG00000075539,FRYL,114,2.57257,20,-0.5254,16,-0.8176,20,-0.4642,23,-0.2617,32,0.27004,15,-1.0066,11,-1.3772,15,-0.9035
ENSG00000109180,OCIAD1,156,-1.0477,426,0.59719,221,-0.5130,238,-0.4040,335,0.13358,423,0.51208,383,0.39714,221,-0.5165,173,-0.8922
ENSG00000145247,OCIAD2,14,-1.8960,74,0.76862,59,0.29473,50,0.04592,49,-0.0104,42,-0.2218,48,-0.0442,44,-0.1794,37,-0.4399
ENSG00000109184,DCUN1D4,35,-0.2102,28,-0.6268,43,0.11253,41,0.04859,59,0.61270,53,0.43774,50,0.39003,30,-0.4473,25,-0.7114
ENSG00000163069,SGCB,113,0.85121,57,-0.2773,72,0.11211,44,-0.6361,116,0.90061,80,0.27295,50,-0.4930,56,-0.2918,42,-0.7199
ENSG00000109189,USP46,51,-0.4606,66,-0.0661,73,0.09654,64,-0.0921,49,-0.5241,75,0.15259,97,0.64597,46,-0.6222,68,-0.0029
ENSG00000226950,DANCR,52,0.18012,41,-0.2289,50,0.09399,35,-0.4471,54,0.22310,30,-0.6805,43,-0.1483,66,0.55642,60,0.38622
ENSG00000184178,SCFD2,11,-0.3958,17,0.37511,15,0.04423,17,0.28029,18,0.39428,22,0.70346,14,0.01511,4,-1.6433,5,-1.5390
ENSG00000145216,FIP1L1,33,0.03748,31,-0.0357,27,-0.2648,22,-0.5726,29,-0.1518,38,0.26487,40,0.40575,33,0.06025,27,-0.2570
ENSG00000072201,LNX1,1,-5.4286,107,1.61065,28,-0.8133,45,-0.1069,21,-1.2497,48,0.01031,64,0.50410,15,-1.7141,28,-0.8224
ENSG00000134853,PDGFRA,61,1.37525,12,-1.2708,24,-0.1645,22,-0.3334,37,0.52527,29,0.14384,9,-1.6689,57,1.23612,21,-0.3452
ENSG00000157404,KIT,3,-2.7245,17,-0.2765,20,0.02224,11,-0.8534,40,1.16874,14,-0.5653,9,-1.2998,63,2.00419,15,-0.4211
ENSG00000128039,SRD5A3,24,0.09342,20,-0.1831,14,-0.7719,12,-0.9298,42,0.98765,35,0.67359,23,0.06282,26,0.18818,10,-1.2259
ENSG00000134851,TMEM165,150,2.16256,41,-0.1354,25,-0.8777,20,-1.1563,46,0.09202,38,-0.2226,34,-0.4551,36,-0.2934,18,-1.3502
ENSG00000134852,CLOCK,17,-0.9578,27,-0.2594,23,-0.4687,43,0.52259,25,-0.3631,38,0.30325,41,0.48725,38,0.29002,25,-0.3442
ENSG00000090989,EXOC1,33,-0.3184,36,-0.2111,39,-0.0475,40,-0.0304,49,0.31070,37,-0.1366,57,0.63399,37,-0.1599,24,-0.7807
ENSG00000157426,AASDH,8,-0.2697,9,0.02784,5,-0.9641,11,0.32442,12,0.41154,7,-0.3677,11,0.28625,11,0.36479,6,-0.5961
ENSG00000128059,PPAT,11,-0.2972,15,0.17367,8,-0.7355,9,-0.6188,20,0.54430,15,0.16468,21,0.76219,11,-0.3285,4,-1.6454
ENSG00000128050,PAICS,39,-0.0961,42,0.02956,29,-0.5207,41,-0.0022,57,0.52561,34,-0.2831,38,-0.1358,61,0.62362,32,-0.4073
ENSG00000174780,SRP72,83,-0.0069,69,-0.3341,99,0.28199,93,0.17698,108,0.41936,98,0.25203,92,0.18551,57,-0.5802,56,-0.6259
ENSG00000171476,HOPX,36,-3.5579,1251,2.65087,297,-0.4269,279,-0.5224,56,-2.8986,62,-2.7622,255,-0.7182,145,-1.5156,404,0.05540
ENSG00000084092,NOA1,8,-0.4506,14,0.43246,7,-0.7051,5,-1.0293,7,-0.6093,8,-0.4522,17,0.81870,11,-0.0037,11,0.06506
ENSG00000047315,POLR2B,37,-0.8096,68,0.13399,58,-0.1114,67,0.10196,67,0.11211,75,0.28286,85,0.55618,42,-0.6202,38,-0.7816
ENSG00000163453,IGFBP7,144,0.33059,57,-1.1849,91,-0.3983,46,-1.4334,184,0.73440,104,-0.1944,40,-1.7450,429,2.31325,98,-0.2850
ENSG00000150471,ADGRL3,20,-1.9942,100,0.48489,61,-0.3528,69,-0.1512,95,0.34701,78,0.03866,94,0.37999,86,0.18533,42,-0.9059
ENSG00000145242,EPHA5,2,-3.5292,33,0.10199,14,-1.1986,22,-0.5637,57,0.97261,54,0.89405,49,0.82828,14,-1.2080,16,-0.9710
ENSG00000145241,CENPC,32,1.37942,6,-1.4022,4,-1.7583,8,-0.8123,28,1.10570,25,0.91593,11,-0.4026,11,-0.3302,12,-0.2017
ENSG00000033178,UBA6,45,0.90231,20,-0.4142,17,-0.6825,24,-0.1381,46,0.91888,34,0.40167,26,0.01569,14,-0.9574,14,-0.9400
ENSG00000083896,YTHDC1,130,1.01546,42,-0.8582,54,-0.3911,81,0.23993,105,0.64857,70,0.00773,55,-0.4018,87,0.35133,48,-0.5927
ENSG00000132467,UTP3,19,-0.6362,35,0.32663,27,-0.1239,41,0.52280,44,0.63315,27,-0.1505,28,-0.1136,23,-0.3608,17,-0.8555
ENSG00000018189,RUFY3,220,-0.1973,251,0.00762,293,0.25786,217,-0.2204,291,0.24740,372,0.64749,290,0.27106,146,-0.8344,124,-1.0777
ENSG00000132463,GRSF1,91,-0.2705,134,0.38580,102,-0.0879,86,-0.3584,94,-0.2253,110,0.02174,139,0.45082,78,-0.5017,83,-0.4059
ENSG00000173542,MOB1B,20,-1.3260,100,1.41922,40,-0.2921,38,-0.3731,39,-0.3517,33,-0.5882,44,-0.1822,41,-0.2836,36,-0.4784
ENSG00000156136,DCK,23,-0.6866,41,0.18154,32,-0.2045,21,-0.8403,52,0.56497,44,0.27235,49,0.52867,24,-0.6456,27,-0.4549
ENSG00000080493,SLC4A4,34,-1.0069,40,-0.8110,42,-0.6603,66,0.03415,49,-0.4453,38,-0.8150,24,-1.6151,295,2.79939,62,-0.0600
ENSG00000163626,COX18,9,-0.7396,12,-0.3054,14,-0.0770,7,-1.0478,26,0.92913,34,1.35758,12,-0.3122,16,0.09598,7,-1.0508
ENSG00000132466,ANKRD17,97,0.22638,48,-0.9396,92,0.14532,122,0.60231,74,-0.1898,84,0.00589,92,0.15465,101,0.30086,74,-0.1975
ENSG00000163738,MTHFD2L,18,0.77904,15,0.51307,11,-0.0383,8,-0.5643,3,-1.7523,5,-1.1479,12,0.09563,16,0.55238,8,-0.4346
ENSG00000169116,PARM1,6,-3.6884,67,-0.1396,96,0.45269,122,0.85024,30,-1.3444,55,-0.4204,130,1.12486,34,-1.1506,59,-0.3156
