top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl,in_rows,in_rows_top20,results
9,pairwise,Sp09D02-Sp09D03,MT1E,8.631686242282171,5.654314762688371e-16,7.825571631560706e-13,9264,0.9218503436664136,ENSG00000169715,,,
10,pairwise,Sp09D02-Sp09D03,GLUL,8.515075528740455,1.2500811987558338e-15,1.5571011411702664e-12,982,0.8392130801920761,ENSG00000135821,,,
1,pairwise,Sp09D02-Sp09D04,C14orf132,11.759040499363373,5.575894803606522e-26,1.819491053480213e-22,8467,1.3245077953938909,ENSG00000227051,,,
2,pairwise,Sp09D02-Sp09D04,HOPX,11.644424557488481,1.3596083756730446e-25,3.3870563854766884e-22,2943,1.6839280959719112,ENSG00000171476,,,
3,pairwise,Sp09D02-Sp09D04,AP1S2,8.857473013105167,1.1971552945230597e-16,1.2426471957149358e-13,12039,0.995885121051975,ENSG00000182287,,,
4,pairwise,Sp09D02-Sp09D04,CBLN4,8.685725764445229,3.9070729179935464e-16,3.4761785904662577e-13,11492,2.7649641802562,ENSG00000054803,,,
5,pairwise,Sp09D02-Sp09D04,NECAB2,8.621820003810319,6.0482592286128e-16,5.022474463440069e-13,9431,1.6689929375517734,ENSG00000103154,,,
6,pairwise,Sp09D02-Sp09D04,CAMK2N1,8.579679425742281,8.06049200223547e-16,5.905969904696766e-13,164,0.8373312207478918,ENSG00000162545,,,
7,pairwise,Sp09D02-Sp09D04,WIF1,8.556702813769721,9.42389471679438e-16,6.521335144021711e-13,7581,2.457611735689774,ENSG00000156076,,,
8,pairwise,Sp09D02-Sp09D04,MAPK3,8.53126189626134,1.1201164358139668e-15,7.343247539209879e-13,9179,0.7119961290592354,ENSG00000102882,,,
9,pairwise,Sp09D02-Sp09D04,TMEM200A,8.313504414198373,4.857976632891178e-15,2.610484486328649e-12,4313,2.3775589628733647,ENSG00000164484,,,
10,pairwise,Sp09D02-Sp09D04,CCK,8.239152396682686,7.978360114783458e-15,3.680683466286769e-12,2212,1.2936584188319493,ENSG00000187094,,,
1,pairwise,Sp09D02-Sp09D05,LMO4,9.990863929415914,3.678498809549617e-20,1.5273127057250009e-16,552,1.1595924950398828,ENSG00000143013,,,
2,pairwise,Sp09D02-Sp09D05,YWHAB,8.53689285886625,1.0781179364765297e-15,1.3803517053711604e-12,11436,0.5790922345465379,ENSG00000166913,,,
3,pairwise,Sp09D02-Sp09D05,ARPP19,8.262444000428644,6.8318170937887565e-15,7.091426143352729e-12,8681,0.6683976964683911,ENSG00000128989,,,
4,pairwise,Sp09D02-Sp09D05,CHN1,7.853955880433076,1.0005714699662786e-13,7.075386787188712e-11,1810,0.7697888101480483,ENSG00000128656,,,
5,pairwise,Sp09D02-Sp09D05,TUBA1B,7.74366314707016,2.0371407941700106e-13,1.2687312866090826e-10,7437,0.5794967249235636,ENSG00000123416,,,
6,pairwise,Sp09D02-Sp09D05,STMN2,7.603173743311584,4.994752299712734e-13,2.8279379384191727e-10,5278,0.776589138020638,ENSG00000104435,,,
7,pairwise,Sp09D02-Sp09D05,YWHAZ,7.575761024244296,5.94300983747417e-13,3.218527414590359e-10,5345,0.5748680020268164,ENSG00000164924,,,
8,pairwise,Sp09D02-Sp09D05,NECAB1,7.434334517616274,1.4481418983955732e-12,6.220019133246641e-10,5306,0.7645313599995411,ENSG00000123119,,,
9,pairwise,Sp09D02-Sp09D05,VSNL1,7.416353388743864,1.620562523397264e-12,6.511524771431071e-10,1288,0.8122718684684109,ENSG00000163032,,,
10,pairwise,Sp09D02-Sp09D05,WASF1,7.396824859687744,1.830800891203618e-12,7.126392469010083e-10,4252,0.705678166932346,ENSG00000112290,,,
1,pairwise,Sp09D02-Sp09D06,NEFL,16.08068618971075,4.257218549445689e-41,2.240425313315174e-38,5118,1.7815506548478242,ENSG00000277586,,,
2,pairwise,Sp09D02-Sp09D06,SNCB,15.86611009507791,2.4621689621544965e-40,1.1358806145406076e-37,3750,1.5677725947600392,ENSG00000074317,,,
3,pairwise,Sp09D02-Sp09D06,ENC1,15.845505022383335,2.9140739896036093e-40,1.2516450211897433e-37,3402,1.9357194424757243,ENSG00000171617,,,
4,pairwise,Sp09D02-Sp09D06,HOPX,15.679578706671276,1.1317147435990488e-39,4.146070248902868e-37,2943,2.267461392086301,ENSG00000171476,,,
5,pairwise,Sp09D02-Sp09D06,RAB6B,14.981380487612451,3.39048739243272e-37,1.0828695117985117e-34,2558,1.197468375617511,ENSG00000154917,,,
6,pairwise,Sp09D02-Sp09D06,CHN1,14.926852774325093,5.289052095612136e-37,1.6068398269010918e-34,1810,1.4630237820700902,ENSG00000128656,,,
7,pairwise,Sp09D02-Sp09D06,SV2A,14.77520801109493,1.8202984940141478e-36,4.921556202587867e-34,737,1.0888602793441482,ENSG00000159164,,,
8,pairwise,Sp09D02-Sp09D06,OLFM1,14.772754933283192,1.8570419197304894e-36,4.921556202587867e-34,5951,1.4292356759676412,ENSG00000130558,,,
9,pairwise,Sp09D02-Sp09D06,PRKAR1B,14.684834768379572,3.800147368874376e-36,9.861382422229006e-34,4438,1.3115219206046307,ENSG00000188191,,,
10,pairwise,Sp09D02-Sp09D06,SNAP25,14.26894755811603,1.1174342675729628e-34,2.577548377201634e-32,11290,1.2444230404643797,ENSG00000132639,,,
1,pairwise,Sp09D02-Sp09D07,HOPX,11.958251096544906,1.1771217208310092e-26,7.331114077335525e-23,2943,1.7293113026533344,ENSG00000171476,,,
2,pairwise,Sp09D02-Sp09D07,NPTXR,11.092763946724011,9.535400954532503e-24,2.134742929348078e-20,11889,1.5154824536566665,ENSG00000221890,,,
3,pairwise,Sp09D02-Sp09D07,CUX2,10.927170722577257,3.368279467387099e-23,5.993612720824815e-20,7741,3.8037863937704053,ENSG00000111249,,,
4,pairwise,Sp09D02-Sp09D07,MEF2C,10.813398961936882,7.984056038447437e-23,1.1049933557211253e-19,3453,1.6465255315916583,ENSG00000081189,,,
5,pairwise,Sp09D02-Sp09D07,WIF1,10.48182431154699,9.684093343936374e-22,1.1258733866706318e-18,7581,3.01053513253283,ENSG00000156076,,,
6,pairwise,Sp09D02-Sp09D07,FAT3,10.478301425606244,9.942684050559531e-22,1.1258733866706318e-18,7051,2.7201311134505013,ENSG00000165323,,,
7,pairwise,Sp09D02-Sp09D07,OLFM1,10.40047101604032,1.778097836957069e-21,1.8456655547614375e-18,5951,1.0062256018003666,ENSG00000130558,,,
8,pairwise,Sp09D02-Sp09D07,ENC1,10.324526799014063,3.13008148782046e-21,2.784878215163689e-18,3402,1.2612654018273197,ENSG00000171617,,,
9,pairwise,Sp09D02-Sp09D07,TMEM200A,10.123487606509425,1.3870914165978928e-20,9.598672602857418e-18,4313,2.895191665898065,ENSG00000164484,,,
10,pairwise,Sp09D02-Sp09D07,TAFA5,10.102938501898022,1.6139503405201958e-20,1.0051682720759779e-17,11969,1.161802892701183,ENSG00000219438,,,
1,pairwise,Sp09D02-Sp09D08,GNAO1,11.470024295404912,5.249888726893841e-25,2.5151005377765264e-22,9257,0.770073670734094,ENSG00000087258,,,
2,pairwise,Sp09D02-Sp09D08,ANK2,9.728224835379542,2.4957759150583595e-19,5.865544301503193e-17,3074,0.6674023245371075,ENSG00000145362,,,
3,pairwise,Sp09D02-Sp09D08,CALM1,9.591252809283915,6.712447926513969e-19,1.370659858568164e-16,8429,0.5664173752640078,ENSG00000198668,,,
4,pairwise,Sp09D02-Sp09D08,GPM6A,9.580444112968339,7.255500495091269e-19,1.4576534543041427e-16,3195,0.7417681111169099,ENSG00000150625,,,
5,pairwise,Sp09D02-Sp09D08,ARPP19,9.514817162239538,1.1625863922895072e-18,2.194117591266379e-16,8681,0.7697095282254125,ENSG00000128989,,,
6,pairwise,Sp09D02-Sp09D08,RNF11,9.494929532019178,1.3407399190009338e-18,2.455920063393475e-16,439,0.6313887912122595,ENSG00000123091,,,
7,pairwise,Sp09D02-Sp09D08,RAB6B,9.313796429112424,4.8802701775834676e-18,8.327211689312284e-16,2558,0.7444558724093149,ENSG00000154917,,,
8,pairwise,Sp09D02-Sp09D08,SNAP25,9.246593452828058,7.85756427051528e-18,1.3049842740471777e-15,11290,0.8064136399437132,ENSG00000132639,,,
9,pairwise,Sp09D02-Sp09D08,VAMP2,9.17114231870662,1.3385680099505682e-17,2.0841503914930345e-15,9620,0.6446336352925126,ENSG00000220205,,,
10,pairwise,Sp09D02-Sp09D08,WASF1,9.101642052166298,2.182285686973222e-17,3.3149451849924944e-15,4252,0.8683225845255729,ENSG00000112290,,,
1,pairwise,Sp09D02-Sp09D09,NDRG2,9.356125774905289,3.612307704859593e-18,4.4994904771731094e-14,8122,0.7385333746264653,ENSG00000165795,,,
2,pairwise,Sp09D02-Sp09D09,CST3,9.23202401840152,8.710325285472735e-18,5.42479058779242e-14,11327,0.8328381885528788,ENSG00000101439,,,
3,pairwise,Sp09D02-Sp09D09,METRN,9.145135093914288,1.607560565774282e-17,6.674591469094819e-14,8944,0.729872813647515,ENSG00000103260,,,
4,pairwise,Sp09D02-Sp09D09,FAM107A,8.93791040786319,6.851071376787693e-17,2.1334236267316876e-13,2376,0.6309924416522108,ENSG00000168309,,,
5,pairwise,Sp09D02-Sp09D09,C1orf61,8.855709668861909,1.2118572518553842e-16,3.0189787858221327e-13,860,0.7415717635311587,ENSG00000125462,,,
6,pairwise,Sp09D02-Sp09D09,FTL,8.619436909868702,6.14741955287906e-16,1.2762042991776928e-12,11065,0.6112890662234207,ENSG00000087086,,,
7,pairwise,Sp09D02-Sp09D09,TSC22D4,8.58140674447129,7.966276484744007e-16,1.417541998485305e-12,4801,0.7653567851364134,ENSG00000166925,,,
8,pairwise,Sp09D02-Sp09D09,MT3,8.561687720068582,9.10991372526435e-16,1.4184135670236592e-12,9262,0.7214241901161369,ENSG00000087250,,,
9,pairwise,Sp09D02-Sp09D09,ENHO,8.445021041642574,2.0077236751952608e-15,2.778689566470241e-12,5579,0.719074901635528,ENSG00000168913,,,
10,pairwise,Sp09D02-Sp09D09,RPL36,8.416826234957835,2.428032221728627e-15,3.0243569353851776e-12,10526,0.5362368694105353,ENSG00000130255,,,
1,pairwise,Sp09D03-Sp09D04,C14orf132,8.58721548830526,7.65737484526518e-16,5.830414235015058e-12,8467,0.9758777312035818,ENSG00000227051,,,
2,pairwise,Sp09D03-Sp09D04,MEF2C,7.299826447653001,3.3455720228003444e-12,8.334489023200217e-9,3453,1.1214481317099203,ENSG00000081189,,,
3,pairwise,Sp09D03-Sp09D04,SERPINI1,7.075450969272702,1.3233922734336222e-11,2.06052176973615e-8,2655,0.6123833615740892,ENSG00000163536,,,
4,pairwise,Sp09D03-Sp09D04,SV2A,6.53908270187432,3.158131077725846e-10,3.5761527912866486e-7,737,0.486200941777577,ENSG00000159164,,,
5,pairwise,Sp09D03-Sp09D04,ATP6V1B2,6.50337351396044,3.877546728571879e-10,3.71528631162241e-7,5089,0.5982696853635652,ENSG00000147416,,,
6,pairwise,Sp09D03-Sp09D04,RAB3C,6.406613546181558,6.735649530568678e-10,5.992803610911675e-7,3353,0.7991443321377858,ENSG00000152932,,,
7,pairwise,Sp09D03-Sp09D04,TMEM200A,6.223675578882277,1.88359133848361e-9,1.4663758570094904e-6,4313,1.7957857647839408,ENSG00000164484,,,
8,pairwise,Sp09D03-Sp09D04,ATP1B1,6.132866626417394,3.1139769516582675e-9,2.0335426240146026e-6,941,0.4562714554210565,ENSG00000143153,,,
9,pairwise,Sp09D03-Sp09D04,SNCG,6.120517387291429,3.332972167427635e-9,2.0335426240146026e-6,6280,0.7076710722174191,ENSG00000173267,,,
10,pairwise,Sp09D03-Sp09D04,NTNG1,5.969859470071773,7.577434652784485e-9,3.370875929824412e-6,620,1.780837813800681,ENSG00000162631,,,
1,pairwise,Sp09D03-Sp09D05,YWHAB,14.034843055034377,7.457259181096395e-34,1.1610952544967087e-30,11436,0.9605409506519003,ENSG00000166913,,,
2,pairwise,Sp09D03-Sp09D05,SYT1,13.378238757410239,1.4918318686762866e-31,1.1613911097644892e-28,7625,1.283482645805254,ENSG00000067715,,,
3,pairwise,Sp09D03-Sp09D05,HSP90AB1,13.250860971395035,4.148712450354766e-31,2.870909015645498e-28,4107,0.7513069599538067,ENSG00000096384,,,
4,pairwise,Sp09D03-Sp09D05,TUBA1B,13.138505959726308,1.0210260339796528e-30,6.693631725921345e-28,7437,0.9919983038327835,ENSG00000123416,,,
5,pairwise,Sp09D03-Sp09D05,STMN2,12.97633517601742,3.73579323503535e-30,2.0231756754608835e-27,5278,1.3372384817362715,ENSG00000104435,,,
6,pairwise,Sp09D03-Sp09D05,LMO4,12.967673847602791,4.003401950739356e-30,2.0777656124337257e-27,552,1.5185351347390412,ENSG00000143013,,,
7,pairwise,Sp09D03-Sp09D05,PDE1A,12.766559851096849,1.9900532015322876e-29,8.262700892762057e-27,1830,1.5888103052474687,ENSG00000115252,,,
8,pairwise,Sp09D03-Sp09D05,SERPINI1,12.533105281812224,1.2710174658979454e-28,4.523369587207088e-26,2655,1.084745718226225,ENSG00000163536,,,
9,pairwise,Sp09D03-Sp09D05,BASP1,12.476181283933586,1.9950958819521584e-28,6.903031751554468e-26,3271,1.1947315656832647,ENSG00000176788,,,
10,pairwise,Sp09D03-Sp09D05,SNAP25,12.219707673029836,1.511420068820782e-27,4.482440089817062e-25,11290,1.0752199956052841,ENSG00000132639,,,
1,pairwise,Sp09D03-Sp09D06,SYT1,20.834465307492678,8.400697396480203e-58,2.212215457980665e-54,7625,1.9988187639413102,ENSG00000067715,,,
2,pairwise,Sp09D03-Sp09D06,SV2A,19.648217731403705,1.085146618640167e-53,1.5018429201979912e-50,737,1.4609055124079067,ENSG00000159164,,,
3,pairwise,Sp09D03-Sp09D06,SNAP25,19.11071957568062,8.213032483302161e-52,6.017737212471278e-49,11290,1.6815645977791434,ENSG00000132639,,,
4,pairwise,Sp09D03-Sp09D06,CHN1,19.03319241421213,1.5355608498216142e-51,1.0467816726507649e-48,1810,1.8821541455414987,ENSG00000128656,,,
5,pairwise,Sp09D03-Sp09D06,STMN2,18.55481323443351,7.361056232445844e-50,3.3959006085683494e-47,5278,1.9121123138350589,ENSG00000104435,,,
6,pairwise,Sp09D03-Sp09D06,NEFL,18.316739697674567,5.0767836520957665e-49,2.180566109327754e-46,5118,2.0473975814948924,ENSG00000277586,,,
7,pairwise,Sp09D03-Sp09D06,HSP90AB1,17.770932192323556,4.29634686397518e-47,1.5290084725049955e-44,4107,1.0075892479576911,ENSG00000096384,,,
8,pairwise,Sp09D03-Sp09D06,SNCB,17.74926833481636,5.125406645092443e-47,1.7733906992019853e-44,3750,1.7695118453035983,ENSG00000074317,,,
9,pairwise,Sp09D03-Sp09D06,DNM1,17.675642284535012,9.33727650457255e-47,3.1433815173231266e-44,5870,1.63284700384372,ENSG00000106976,,,
10,pairwise,Sp09D03-Sp09D06,ATP6V1B2,17.637003316624043,1.2792768415764347e-46,4.1933348259673866e-44,5089,1.6224939875192632,ENSG00000147416,,,
1,pairwise,Sp09D03-Sp09D07,HSP90AB1,14.80517403334224,1.4259727778098445e-36,8.880958460199711e-33,4107,0.839434533241981,ENSG00000096384,,,
2,pairwise,Sp09D03-Sp09D07,RTN3,14.539051235034487,1.2446588033437067e-35,5.16782335148307e-32,6823,0.9423031854336443,ENSG00000133318,,,
3,pairwise,Sp09D03-Sp09D07,SERPINI1,14.371316127037709,4.866459887025671e-35,1.515415608819794e-31,2655,1.2438436671159518,ENSG00000163536,,,
4,pairwise,Sp09D03-Sp09D07,SYT1,13.812829748402486,4.493700739584929e-33,1.1194707282453974e-29,7625,1.3251764744979777,ENSG00000067715,,,
5,pairwise,Sp09D03-Sp09D07,SV2A,13.339064827048537,2.0436793370929475e-31,4.2426783038049595e-28,737,0.9918005593482091,ENSG00000159164,,,
6,pairwise,Sp09D03-Sp09D07,SYNGR1,13.257424223566025,3.9359142182304143e-31,7.003678214611149e-28,11894,1.1804298882436797,ENSG00000100321,,,
7,pairwise,Sp09D03-Sp09D07,ATP6V1B2,12.965265664321254,4.0811493200451294e-30,6.354349491310266e-27,5089,1.1927233447375531,ENSG00000147416,,,
8,pairwise,Sp09D03-Sp09D07,RTN1,12.793351157997341,1.6077896289740182e-29,2.2251808465000412e-26,8288,1.1320337404539895,ENSG00000139970,,,
9,pairwise,Sp09D03-Sp09D07,STMN2,12.668236543742676,4.349621921681685e-29,5.417889065646706e-26,5278,1.3054882732483168,ENSG00000104435,,,
10,pairwise,Sp09D03-Sp09D07,CLSTN3,12.527258796565372,1.3312906556721754e-28,1.507505127913874e-25,7288,1.360713800857714,ENSG00000139182,,,
1,pairwise,Sp09D03-Sp09D08,SYT1,15.041262750022797,2.0802797462855633e-37,1.1778165690787716e-34,7625,1.4430299877820651,ENSG00000067715,,,
2,pairwise,Sp09D03-Sp09D08,RTN3,14.38829512538246,4.23941930884587e-35,1.8859359611065768e-32,6823,0.9325323991524623,ENSG00000133318,,,
3,pairwise,Sp09D03-Sp09D08,SERPINI1,14.32493167506889,7.092980392873423e-35,3.0465573715045294e-32,2655,1.2398290726053283,ENSG00000163536,,,
4,pairwise,Sp09D03-Sp09D08,SNAP25,14.132811004152865,3.371476462810596e-34,1.2725791157808721e-31,11290,1.2435551972584769,ENSG00000132639,,,
5,pairwise,Sp09D03-Sp09D08,GNAO1,13.86433880469367,2.9634333390688175e-33,8.788696588438379e-31,9257,0.9391338918524887,ENSG00000087258,,,
6,pairwise,Sp09D03-Sp09D08,ATP6V1B2,13.806551267753003,4.72754928676437e-33,1.3694500910683022e-30,5089,1.2701163580998607,ENSG00000147416,,,
7,pairwise,Sp09D03-Sp09D08,ARL6IP1,13.793492992179575,5.2535650745233575e-33,1.4872365129150667e-30,9094,0.8525736890826963,ENSG00000170540,,,
8,pairwise,Sp09D03-Sp09D08,WASF1,13.719585972069718,9.542150143507671e-33,2.5288728125006712e-30,4252,1.3205740678291171,ENSG00000112290,,,
9,pairwise,Sp09D03-Sp09D08,HSP90AB1,13.691061656252886,1.201217687516359e-32,3.1171598991049517e-30,4107,0.776265778782566,ENSG00000096384,,,
10,pairwise,Sp09D03-Sp09D08,SV2A,13.673414685555361,1.3850200685410563e-32,3.5207775456627344e-30,737,1.0166605012545302,ENSG00000159164,,,
1,pairwise,Sp09D03-Sp09D09,EFHD2,7.796283975247649,1.4522129887287958e-13,1.8088764987605881e-9,129,1.3282300100594382,ENSG00000142634,,,
2,pairwise,Sp09D03-Sp09D09,SEMA3E,7.516711633344457,8.630877024133769e-13,5.3753102106305114e-9,4715,2.5259013977707996,ENSG00000170381,,,
3,pairwise,Sp09D03-Sp09D09,FOXP2,7.002362460852398,2.0588749598440376e-11,8.548448833272444e-8,4877,2.3924064590046994,ENSG00000128573,,,
4,pairwise,Sp09D03-Sp09D09,CPNE5,6.940802876162606,2.9804795264806614e-11,9.28121324546078e-8,4038,0.8908082544504392,ENSG00000124772,,,
5,pairwise,Sp09D03-Sp09D09,SSTR2,6.853422953888904,5.0202608459431995e-11,1.0422061516178082e-7,10065,1.271319921771755,ENSG00000180616,,,
6,pairwise,Sp09D03-Sp09D09,SH3BGRL3,6.211799504239528,2.0121846507355147e-9,2.278524728141961e-6,223,0.5189561152512869,ENSG00000142669,,,
7,pairwise,Sp09D03-Sp09D09,LGALS1,6.141204258584195,2.974155347823886e-9,3.0871732510411937e-6,11864,0.643875691326695,ENSG00000100097,,,
8,pairwise,Sp09D03-Sp09D09,KRT17,5.98868793645188,6.843696303240824e-9,6.557313934859055e-6,9833,2.2849604784387267,ENSG00000128422,,,
9,pairwise,Sp09D03-Sp09D09,CD24,5.939975454610347,8.902679563672525e-9,7.920841188936068e-6,4234,1.9373255470611728,ENSG00000272398,,,
10,pairwise,Sp09D03-Sp09D09,PDE1A,5.624715452825007,4.703895616889762e-8,3.9061149202652584e-5,1830,0.7052750573499962,ENSG00000115252,,,
1,pairwise,Sp09D04-Sp09D05,EFHD2,13.443864417303043,8.80161226120609e-32,5.481644116279153e-28,129,2.253147084271691,ENSG00000142634,,,
2,pairwise,Sp09D04-Sp09D05,NCALD,13.212888883832813,5.625650083749725e-31,2.335769914772886e-27,5348,1.5811757408376321,ENSG00000104490,,,
3,pairwise,Sp09D04-Sp09D05,BASP1,13.046628423593015,2.129988882649062e-30,5.3062283044553435e-27,3271,1.2383019053531328,ENSG00000176788,,,
4,pairwise,Sp09D04-Sp09D05,NPTX1,12.969807295877764,3.935760000171809e-30,8.170637760356676e-27,10161,1.8844486337230446,ENSG00000171246,,,
5,pairwise,Sp09D04-Sp09D05,YWHAB,12.55057994183998,1.1066155260449012e-28,1.5315558880461433e-25,11436,0.8513569870830384,ENSG00000166913,,,
6,pairwise,Sp09D04-Sp09D05,NNAT,12.307115564452532,7.589349834369299e-28,8.59390377608218e-25,11403,1.6671578747327622,ENSG00000053438,,,
7,pairwise,Sp09D04-Sp09D05,PDE1A,12.034295669661995,6.487861461794062e-27,6.734400197342237e-24,1830,1.484425567182714,ENSG00000115252,,,
8,pairwise,Sp09D04-Sp09D05,DIRAS2,11.484087578830056,4.709138872761284e-25,3.91046891994097e-22,5691,2.3151859738746507,ENSG00000165023,,,
9,pairwise,Sp09D04-Sp09D05,LMO4,11.371436219746984,1.1234874091713012e-24,8.197848426826641e-22,552,1.3198290149282617,ENSG00000143013,,,
10,pairwise,Sp09D04-Sp09D05,ATP2B1,11.370297185658083,1.133392182722374e-24,8.197848426826641e-22,7642,1.32445857044765,ENSG00000070961,,,
1,pairwise,Sp09D04-Sp09D06,SNAP25,16.66330697739404,3.62811515947623e-43,4.519180242643592e-39,11290,1.4532398446727388,ENSG00000132639,,,
2,pairwise,Sp09D04-Sp09D06,SYT1,16.514853587367966,1.2214617956115665e-42,5.930059611589363e-39,7625,1.5703822299083416,ENSG00000067715,,,
3,pairwise,Sp09D04-Sp09D06,PPP3CA,16.483917369248946,1.5731002549161913e-42,5.930059611589363e-39,3041,1.4550210593213455,ENSG00000138814,,,
4,pairwise,Sp09D04-Sp09D06,CHN1,16.334522723276994,5.3383855951422717e-42,1.3298986194618427e-38,1810,1.6009935633601131,ENSG00000128656,,,
5,pairwise,Sp09D04-Sp09D06,BASP1,16.283221938035716,8.121653220193891e-42,1.6860552085122518e-38,3271,1.5454985070851404,ENSG00000176788,,,
6,pairwise,Sp09D04-Sp09D06,SLC17A7,16.0300846082338,6.439874194870043e-41,8.91278588570014e-38,11073,1.6653016795905664,ENSG00000104888,,,
7,pairwise,Sp09D04-Sp09D06,PPP3CB,15.724848068386317,7.816151484884761e-40,9.735798289572459e-37,6237,1.3273281673693678,ENSG00000107758,,,
8,pairwise,Sp09D04-Sp09D06,PRKAR1B,15.17039906827605,7.251689177042053e-38,8.211549126294164e-35,4438,1.3548883073036846,ENSG00000188191,,,
9,pairwise,Sp09D04-Sp09D06,SNCB,15.037788431206172,2.1400880090652767e-37,1.9040668743512203e-34,3750,1.4859239250809457,ENSG00000074317,,,
10,pairwise,Sp09D04-Sp09D06,THY1,14.727298070834431,2.689221632171333e-36,1.938408142490452e-33,7166,1.4207182945068322,ENSG00000154096,,,
1,pairwise,Sp09D04-Sp09D07,HSP90AB1,11.119169953941217,7.792419634043151e-24,9.706237896164149e-20,4107,0.624863661122216,ENSG00000096384,,,
2,pairwise,Sp09D04-Sp09D07,PPP3CA,10.232819353207914,6.182262486378861e-21,3.850313076516755e-17,3041,0.9032420705362298,ENSG00000138814,,,
3,pairwise,Sp09D04-Sp09D07,YWHAB,10.11793649054206,1.4450464591290286e-20,5.999832898303727e-17,11436,0.6863408675936107,ENSG00000166913,,,
4,pairwise,Sp09D04-Sp09D07,NUDT4,9.967518596363496,4.364950830134573e-20,1.359245688503906e-16,7647,1.0072074686830028,ENSG00000173598,,,
5,pairwise,Sp09D04-Sp09D07,SV2B,9.884764235035284,7.994180017178725e-20,1.7247512257983959e-16,8889,1.2233345441092087,ENSG00000185518,,,
6,pairwise,Sp09D04-Sp09D07,RNF11,9.865503648347472,9.200235996123362e-20,1.7247512257983959e-16,439,0.6560310323762462,ENSG00000123091,,,
7,pairwise,Sp09D04-Sp09D07,TUBA1B,9.858351626050606,9.692725257376984e-20,1.7247512257983959e-16,7437,0.7377493534959232,ENSG00000123416,,,
8,pairwise,Sp09D04-Sp09D07,SNAP25,9.730236815960948,2.4596500451686494e-19,3.829675120327587e-16,11290,0.8485931308976848,ENSG00000132639,,,
9,pairwise,Sp09D04-Sp09D07,HK1,9.693143653325029,3.217510659617981e-19,4.453034752911286e-16,6205,0.8506692787272065,ENSG00000156515,,,
10,pairwise,Sp09D04-Sp09D07,SLC17A7,9.657651468263886,4.1585426002754914e-19,5.179880662903151e-16,11073,1.0032949671855889,ENSG00000104888,,,
1,pairwise,Sp09D04-Sp09D08,BASP1,14.179324323290274,2.312190151101504e-34,5.760128104424066e-31,3271,1.3458101017423498,ENSG00000176788,,,
2,pairwise,Sp09D04-Sp09D08,NCALD,13.37558416454623,1.5240005234641158e-31,1.7257227745699113e-28,5348,1.6006453536735936,ENSG00000104490,,,
3,pairwise,Sp09D04-Sp09D08,TMEM178A,12.754048224995511,2.1984197398667602e-29,1.610795075281198e-26,1396,1.3836937018389932,ENSG00000152154,,,
4,pairwise,Sp09D04-Sp09D08,GNAO1,12.616558789076334,6.556748616484118e-29,4.5372700426070094e-26,9257,0.8470496215625953,ENSG00000087258,,,
5,pairwise,Sp09D04-Sp09D08,GPM6A,12.417815618245248,3.1659539270639144e-28,1.7925055507049143e-25,3195,0.9614522590738144,ENSG00000150625,,,
6,pairwise,Sp09D04-Sp09D08,NPTX1,12.136010867553912,2.9196297238647417e-27,1.1364658700143508e-24,10161,1.7633021506401807,ENSG00000171246,,,
7,pairwise,Sp09D04-Sp09D08,PNMA8B,12.038824806496946,6.261492392207539e-27,2.363428764767791e-24,11018,1.2184466300735375,ENSG00000204851,,,
8,pairwise,Sp09D04-Sp09D08,MAPT,11.933581523866584,1.4277488439654982e-26,4.8064971893065526e-24,9910,0.9393193451883057,ENSG00000186868,,,
9,pairwise,Sp09D04-Sp09D08,LMO3,11.7838919796896,4.594418314804895e-26,1.467386526389994e-23,7335,1.561256472364109,ENSG00000048540,,,
10,pairwise,Sp09D04-Sp09D08,YWHAB,11.723194380452021,7.370621534798819e-26,2.2392307765232705e-23,11436,0.7952320524614116,ENSG00000166913,,,
1,pairwise,Sp09D04-Sp09D09,CCN2,12.803931527408029,1.477861450153084e-29,1.7954121953875979e-25,4317,3.3205433917501948,ENSG00000118523,,,
2,pairwise,Sp09D04-Sp09D09,CPLX3,12.719980349835337,2.8828069932363484e-29,1.7954121953875979e-25,8788,3.036370469336408,ENSG00000213578,,,
3,pairwise,Sp09D04-Sp09D09,SEMA3E,12.493046387472184,1.7457121375057072e-28,7.248196794923696e-25,4715,4.166746225636392,ENSG00000170381,,,
4,pairwise,Sp09D04-Sp09D09,EFHD2,12.340810913068237,5.817315615013947e-28,1.8115120825153432e-24,129,2.0867457196480617,ENSG00000142634,,,
5,pairwise,Sp09D04-Sp09D09,TLE4,12.170063756124472,2.233846637622203e-27,5.564958743644432e-24,5664,2.1815662359484302,ENSG00000106829,,,
6,pairwise,Sp09D04-Sp09D09,KRT17,12.096296521161312,3.9886011093609994e-27,8.280335903033435e-24,9833,4.580782045321111,ENSG00000128422,,,
7,pairwise,Sp09D04-Sp09D09,SCD,11.206340106488843,3.99722027954762e-24,7.112767971720737e-21,6353,1.1669181769828754,ENSG00000099194,,,
8,pairwise,Sp09D04-Sp09D09,LMO3,10.41583621089171,1.5855382393021156e-21,1.795405846249741e-18,7335,1.3923231849007012,ENSG00000048540,,,
9,pairwise,Sp09D04-Sp09D09,HS3ST4,10.099218420264021,1.658797613972663e-20,1.7218319233036243e-17,9138,2.882766279390004,ENSG00000182601,,,
