Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000149218,ENDOD1,30,-0.8411,143,1.82851,38,-0.4640,44,-0.3304,29,-0.8995,45,-0.2206
ENSG00000149212,SESN3,30,-2.6800,125,-0.5663,144,-0.3506,263,0.93384,177,-0.0203,174,-0.0568
ENSG00000149231,CCDC82,41,-0.1483,41,-0.1347,53,0.27872,40,-0.2132,44,-0.0254,51,0.25341
ENSG00000149972,CNTN5,30,-0.5273,13,-1.8159,45,0.10707,69,1.27254,12,-1.9242,35,-0.3007
ENSG00000110318,CEP126,250,1.96077,22,-2.0473,58,-0.5860,77,-0.2095,65,-0.4189,68,-0.3892
ENSG00000110330,BIRC2,350,2.82771,81,-0.0344,28,-1.6350,49,-1.0160,46,-0.9218,45,-1.0367
ENSG00000137692,DCUN1D5,30,-0.2424,20,-0.8683,33,-0.0795,48,0.74538,24,-0.5699,31,-0.1844
ENSG00000152578,GRIA4,30,-2.4155,51,-1.6270,305,1.25983,224,1.03822,90,-0.7639,87,-0.9016
ENSG00000149313,AASDHPPT,30,-2.2198,93,-0.5114,155,0.29994,196,1.04809,113,-0.2050,89,-0.6534
ENSG00000152402,GUCY1A2,30,-1.1771,80,0.35920,81,0.38716,66,0.07903,43,-0.6339,72,0.21287
ENSG00000110675,ELMOD1,30,-2.3690,22,-2.8308,184,0.42136,274,1.82993,54,-1.4865,85,-0.8968
ENSG00000166266,CUL5,30,-1.0680,32,-0.9591,43,-0.4973,71,0.41581,76,0.39696,70,0.30222
ENSG00000075239,ACAT1,30,-1.4387,122,0.79653,115,0.69353,80,0.12224,62,-0.3277,57,-0.5175
ENSG00000185742,C11orf87,36,-1.9485,0,-8.3637,120,-0.1314,255,1.90484,130,-0.0040,60,-1.3128
ENSG00000137710,RDX,30,-1.1339,124,1.18044,56,-0.1602,36,-1.0483,56,-0.1769,93,0.78886
ENSG00000170145,SIK2,32,-0.7628,5,-3.3563,122,1.48743,61,0.38384,29,-0.9055,47,-0.1708
