Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000180875,GREM2,112,2.53533,2,-3.7496,11,-1.3746,8,-1.7241,14,-0.9091,7,-1.9528,43,0.79738,24,-0.1535,30,0.23869,23,-0.1693,24,-0.0903
ENSG00000182901,RGS7,112,0.80846,18,-1.9352,36,-1.0064,55,-0.3078,29,-1.2603,49,-0.4767,49,-0.4851,141,1.20415,110,0.88887,73,0.12855,55,-0.3218
ENSG00000091483,FH,112,1.36142,29,-0.7639,30,-0.7617,53,0.13727,32,-0.6280,50,0.06322,76,0.70417,48,-0.0204,30,-0.7706,55,0.20899,54,0.16006
ENSG00000054277,OPN3,112,2.98431,6,-1.8313,9,-1.4079,56,1.60005,13,-0.7574,0,-6.6100,33,0.68071,20,-0.1036,2,-3.4443,8,-1.4768,8,-1.3918
ENSG00000203668,CHML,112,3.11037,10,-1.0913,7,-1.6048,17,-0.2595,5,-1.9786,5,-2.0810,8,-1.4257,21,0.03728,9,-1.3093,27,0.44587,27,0.46567
ENSG00000143702,CEP170,112,1.09857,39,-0.5591,27,-1.1825,48,-0.2355,25,-1.2090,74,0.41833,52,-0.1374,58,0.03121,59,0.07506,86,0.67246,68,0.29735
ENSG00000054282,SDCCAG8,112,1.92485,52,0.61894,42,0.29667,24,-0.5796,24,-0.6019,12,-1.6031,20,-0.8828,33,-0.0917,25,-0.5762,34,-0.0798,16,-1.2209
ENSG00000117020,AKT3,112,-0.1283,76,-0.7184,98,-0.3547,91,-0.4504,107,-0.1993,62,-1.0158,123,0.01858,226,1.00075,148,0.34076,141,0.23515,149,0.32448
ENSG00000179456,ZBTB18,112,-0.8864,30,-2.8111,149,-0.4820,73,-1.5190,162,-0.3254,22,-3.2563,218,0.13635,394,1.10321,476,1.66789,137,-0.5799,197,-0.0197
ENSG00000035687,ADSS,112,1.20393,37,-0.5403,26,-1.1269,65,0.31460,38,-0.5081,61,0.21675,61,0.20563,44,-0.3042,41,-0.4357,80,0.65568,59,0.15500
ENSG00000203667,COX20,112,0.13041,133,0.40101,128,0.37565,125,0.30967,109,0.09123,164,0.74965,48,-1.1533,68,-0.6282,66,-0.7296,71,-0.5731,119,0.23372
ENSG00000153187,HNRNPU,112,-0.4229,171,0.24230,103,-0.5800,107,-0.4868,147,0.00411,134,-0.1402,150,0.02920,113,-0.4100,178,0.33575,182,0.33722,230,0.71718
ENSG00000185420,SMYD3,112,1.88346,17,-1.1125,17,-1.2376,52,0.56617,34,-0.0835,44,0.31763,55,0.65071,34,-0.0904,15,-1.3779,38,0.08661,21,-0.8443
ENSG00000162852,CNST,112,1.80285,29,-0.4195,29,-0.4537,34,-0.1693,32,-0.2408,32,-0.2492,49,0.41159,24,-0.6827,27,-0.5729,42,0.16659,27,-0.5199
ENSG00000143653,SCCPDH,112,0.72669,65,-0.1309,41,-0.8926,66,-0.0965,52,-0.4597,96,0.48338,91,0.39669,79,0.16362,74,0.07320,82,0.22470,47,-0.6157
ENSG00000153207,AHCTF1,112,3.17529,23,0.25039,9,-1.1974,17,-0.1873,5,-1.9181,3,-2.7237,15,-0.3781,5,-2.0822,12,-0.8224,19,-0.0523,15,-0.4504
ENSG00000259823,LYPD8,112,1.19155,13,-2.0830,48,-0.1762,29,-0.9352,11,-2.3708,6,-3.2674,158,1.80922,34,-0.6879,110,1.33838,6,-3.0641,11,-2.3596
ENSG00000175137,SH3BP5L,112,2.34758,7,-2.0108,8,-1.9924,11,-1.4466,11,-1.3664,23,-0.3329,22,-0.3948,28,-0.0048,32,0.19950,37,0.42733,39,0.49977
ENSG00000171161,ZNF672,112,2.90843,20,-0.1290,10,-1.2785,6,-1.8587,9,-1.3384,44,1.10871,12,-0.8411,12,-0.8433,10,-1.1941,15,-0.5934,15,-0.5708
ENSG00000171163,ZNF692,112,2.98742,10,-1.1143,6,-1.9811,36,0.82467,8,-1.4667,5,-2.1645,16,-0.4214,22,0.05673,13,-0.7379,16,-0.4073,13,-0.6902
ENSG00000035115,SH3YL1,112,2.05596,23,-0.5787,22,-0.6865,17,-1.0305,19,-0.8237,26,-0.3871,17,-0.9795,26,-0.3505,45,0.51794,17,-0.9761,41,0.33537
ENSG00000143727,ACP1,112,-0.0804,61,-1.0044,89,-0.4540,98,-0.2843,74,-0.7127,155,0.44009,198,0.83469,183,0.69939,124,0.09560,102,-0.2132,119,0.01307
ENSG00000189292,ALKAL2,112,2.92097,2,-3.3479,9,-1.4287,9,-1.3658,9,-1.2362,1,-4.4721,56,1.53967,14,-0.6395,23,0.07137,4,-2.4362,14,-0.6299
ENSG00000151353,TMEM18,112,1.73245,21,-0.9266,23,-0.8870,33,-0.2576,33,-0.2680,63,0.74226,64,0.78546,47,0.27461,24,-0.8249,19,-1.0981,26,-0.6128
ENSG00000186487,MYT1L,112,-0.4278,48,-1.6975,106,-0.5529,133,-0.1604,117,-0.3619,156,0.08619,143,-0.0437,168,0.20273,198,0.51721,245,0.81160,189,0.38917
ENSG00000032389,EIPR1,112,0.94163,20,-1.6817,37,-0.8384,49,-0.3501,34,-0.9077,84,0.48500,72,0.23459,77,0.33103,77,0.37019,69,0.17006,61,-0.0212
ENSG00000171853,TRAPPC12,112,1.31358,35,-0.5165,32,-0.7255,40,-0.3341,37,-0.4736,66,0.45099,71,0.55268,43,-0.2166,42,-0.2830,42,-0.2786,54,0.12478
ENSG00000182551,ADI1,112,1.35887,86,0.91670,39,-0.3792,59,0.29308,48,-0.0236,48,-0.0269,25,-1.0213,45,-0.1058,26,-1.0236,29,-0.7614,51,0.08193
ENSG00000171865,RNASEH1,112,1.95295,22,-0.7278,17,-1.1114,51,0.60697,25,-0.5156,10,-1.8545,23,-0.6542,34,-0.0499,34,-0.0625,37,0.10174,39,0.15945
ENSG00000234171,RNASEH1-AS1,112,3.04976,28,0.45275,16,-0.4134,19,-0.1527,10,-1.0799,22,0.11009,6,-1.8565,4,-2.2212,6,-1.8230,17,-0.2561,6,-1.7082
ENSG00000171863,RPS7,112,-2.2324,1053,1.23061,577,0.26744,635,0.39368,397,-0.3408,477,-0.0561,405,-0.3096,587,0.26786,466,-0.1005,335,-0.5977,344,-0.5608
ENSG00000232044,SILC1,112,1.86472,46,0.37341,33,-0.1520,19,-0.9599,14,-1.3924,41,0.16666,17,-1.1179,52,0.56861,28,-0.4161,12,-1.5938,37,0.02117
ENSG00000151692,RNF144A,112,2.71937,34,0.56741,12,-1.1289,15,-0.6493,5,-2.1716,14,-0.7522,20,-0.2935,16,-0.6079,13,-0.9597,19,-0.3367,25,0.06796
ENSG00000115738,ID2,112,0.59562,142,0.99667,66,-0.2495,192,1.50704,92,0.29227,74,-0.0473,129,0.83321,9,-3.1682,9,-3.1991,56,-0.4701,39,-1.0153
ENSG00000134313,KIDINS220,112,0.04464,82,-0.4233,62,-0.9107,84,-0.4005,75,-0.5756,133,0.31691,123,0.19378,108,-0.0041,113,0.06201,172,0.73057,174,0.75161
ENSG00000143797,MBOAT2,112,1.12247,62,0.16993,30,-0.9728,72,0.39293,62,0.17397,32,-0.8392,43,-0.4011,57,0.04846,42,-0.4808,72,0.39279,68,0.32083
ENSG00000151693,ASAP2,112,1.59760,43,0.02437,17,-1.4529,50,0.24543,73,0.86476,42,-0.0235,8,-2.4330,22,-0.9795,13,-1.8480,88,1.18531,54,0.37632
ENSG00000119185,ITGB1BP1,112,-0.3243,93,-0.5954,132,-0.0711,129,-0.1043,148,0.11383,150,0.13269,268,1.07740,156,0.19297,113,-0.3252,144,0.07370,99,-0.5032
ENSG00000119203,CPSF3,112,2.72012,23,-0.0694,9,-1.5150,7,-1.8172,23,-0.0750,10,-1.2524,24,-0.0108,14,-0.7875,20,-0.2999,18,-0.4054,22,-0.1111
ENSG00000134330,IAH1,112,1.38069,38,-0.3454,43,-0.1799,39,-0.3225,27,-0.8691,31,-0.6729,82,0.85711,82,0.85131,43,-0.1735,20,-1.3406,21,-1.2643
ENSG00000151694,ADAM17,112,2.66563,20,-0.3204,15,-0.7842,24,-0.0020,17,-0.5687,0,-4.9518,12,-1.0280,18,-0.4498,22,-0.1584,21,-0.2444,19,-0.3642
ENSG00000134308,YWHAQ,112,-1.6962,426,0.33735,236,-0.6183,313,-0.1428,239,-0.5585,430,0.35270,511,0.63049,331,-0.0595,375,0.14978,418,0.30659,466,0.48214
ENSG00000115756,HPCAL1,112,-0.7761,139,-0.4431,132,-0.5643,200,0.11653,134,-0.5030,117,-0.7119,150,-0.3327,44,-2.1666,201,0.14187,682,2.24038,168,-0.1545
ENSG00000115758,ODC1,112,1.97127,31,-0.1723,24,-0.6220,9,-1.9345,15,-1.2829,9,-2.0321,32,-0.1131,46,0.46421,55,0.81014,17,-1.0411,22,-0.6785
ENSG00000143870,PDIA6,112,0.34686,107,0.28350,54,-0.8371,110,0.32949,50,-0.8923,81,-0.1626,127,0.55091,111,0.34385,86,-0.0631,105,0.24396,82,-0.1431
ENSG00000162975,KCNF1,112,-0.5891,105,-0.6766,109,-0.6674,145,-0.1912,208,0.37423,71,-1.2601,164,-0.0023,278,0.84636,91,-0.9510,427,1.58595,219,0.46137
ENSG00000134318,ROCK2,112,0.33721,50,-0.8917,49,-0.9823,71,-0.3698,93,0.05250,57,-0.6890,74,-0.3021,89,-0.0163,118,0.47089,138,0.67174,153,0.84652
ENSG00000169006,NTSR2,112,1.59650,57,0.47137,37,-0.2373,84,1.10755,92,1.25766,9,-2.3316,8,-2.4844,28,-0.6321,20,-1.1878,19,-1.1834,28,-0.6076
ENSG00000134324,LPIN1,112,1.65794,43,0.08429,22,-0.9619,36,-0.1815,16,-1.4372,54,0.44701,32,-0.3927,27,-0.6241,30,-0.4892,53,0.40335,53,0.41496
ENSG00000071575,TRIB2,112,1.08984,30,-0.9837,34,-0.8148,66,0.22543,62,0.12710,38,-0.6150,81,0.56705,72,0.38108,27,-1.2128,132,1.37408,24,-1.2753
ENSG00000162981,LRATD1,112,1.63780,17,-1.3373,22,-1.0432,36,-0.2237,16,-1.4470,111,1.63249,44,0.08233,40,-0.0427,43,0.08158,18,-1.2847,15,-1.4729
ENSG00000151779,NBAS,112,1.84775,29,-0.3447,28,-0.4589,25,-0.6075,22,-0.8052,28,-0.4335,46,0.35197,31,-0.2592,35,-0.0925,33,-0.1745,29,-0.3923
ENSG00000079785,DDX1,112,-0.0272,71,-0.7165,64,-0.9419,113,-0.0079,102,-0.1691,81,-0.5233,139,0.31903,162,0.56077,151,0.49994,126,0.16738,141,0.34319
ENSG00000197872,FAM49A,112,-0.3878,46,-1.7220,89,-0.7784,124,-0.2234,127,-0.1901,77,-0.9539,208,0.59116,139,-0.0531,218,0.74035,211,0.61346,209,0.59461
ENSG00000163032,VSNL1,112,-3.0722,345,-1.4171,512,-0.8844,866,-0.0237,920,0.07148,1148,0.42164,1663,1.03068,1040,0.26488,1076,0.35090,1097,0.34934,1061,0.29691
ENSG00000163029,SMC6,112,3.08309,13,-0.6488,8,-1.4399,2,-3.2854,9,-1.2629,19,-0.1177,6,-1.7523,2,-3.0327,14,-0.5681,20,-0.0108,37,0.96151
ENSG00000240857,RDH14,112,1.89156,18,-1.0371,21,-0.8728,31,-0.2383,20,-0.9068,14,-1.4534,80,1.28867,37,0.02114,30,-0.2813,37,0.03274,19,-0.9770
ENSG00000068697,LAPTM4A,112,0.54312,126,0.73671,58,-0.5250,146,0.98431,105,0.43724,86,0.12804,73,-0.1302,62,-0.3690,46,-0.8912,59,-0.4392,54,-0.5836
ENSG00000055917,PUM2,112,0.47178,54,-0.6470,61,-0.5062,60,-0.4935,71,-0.2298,72,-0.2154,61,-0.4753,81,-0.0281,88,0.10602,111,0.45901,156,1.02119
ENSG00000143878,RHOB,112,-0.6379,235,0.51946,101,-0.8373,242,0.57038,123,-0.4896,167,-0.0223,159,-0.1013,316,1.00571,153,-0.1673,112,-0.6348,226,0.45356
ENSG00000118960,HS1BP3,112,3.38940,16,-0.1945,9,-1.1510,5,-1.7544,8,-1.2151,12,-0.5580,11,-0.7181,5,-1.7900,11,-0.8009,15,-0.2274,10,-0.8135
ENSG00000119771,KLHL29,112,3.21580,5,-1.9901,6,-1.6846,3,-2.7712,3,-2.6098,4,-2.2794,18,-0.1159,30,0.67666,21,0.16375,12,-0.6887,10,-1.0064
ENSG00000119782,FKBP1B,112,0.35454,39,-1.2383,69,-0.4186,87,-0.0287,75,-0.2650,65,-0.4893,187,1.20473,100,0.17593,85,-0.0841,105,0.25811,80,-0.1634
ENSG00000115128,SF3B6,112,0.09286,141,0.45815,100,-0.0870,101,-0.0625,85,-0.3267,118,0.18145,99,-0.0882,137,0.41286,101,-0.0621,83,-0.3706,90,-0.2489
ENSG00000219626,FAM228B,112,2.59318,52,1.17138,22,-0.2305,14,-0.9025,29,0.19031,2,-3.5378,17,-0.6055,12,-1.1049,16,-0.6896,6,-2.0051,8,-1.6596
ENSG00000198399,ITSN2,112,1.79084,20,-0.9495,16,-1.3473,10,-2.0167,56,0.61063,27,-0.5286,37,-0.0545,33,-0.2016,33,-0.2196,66,0.88699,35,-0.1462
ENSG00000084676,NCOA1,112,0.38637,80,-0.1324,56,-0.7197,105,0.28426,80,-0.1425,72,-0.2932,97,0.16542,40,-1.1724,101,0.25432,119,0.48923,116,0.44092
ENSG00000184924,PTRHD1,112,0.84034,66,0.01252,56,-0.2736,81,0.32273,48,-0.4757,103,0.70631,82,0.34103,74,0.17874,45,-0.6383,56,-0.2578,34,-1.0057
ENSG00000138031,ADCY3,112,1.52281,27,-0.7421,18,-1.4062,35,-0.3420,43,-0.0320,75,0.84036,54,0.32777,22,-1.0514,26,-0.8856,66,0.62749,52,0.26945
ENSG00000115137,DNAJC27,112,2.53514,13,-1.0602,15,-0.8307,25,-0.0718,16,-0.7123,28,0.08985,32,0.31010,19,-0.5084,18,-0.6094,21,-0.3292,7,-1.8806
ENSG00000084710,EFR3B,112,0.46232,60,-0.5118,71,-0.2700,108,0.40549,57,-0.5884,59,-0.5284,94,0.18342,60,-0.4929,95,0.23492,85,0.03987,116,0.51958
ENSG00000119772,DNMT3A,112,3.25234,8,-1.2964,14,-0.4744,4,-2.0927,9,-1.0505,6,-1.7788,11,-0.7505,8,-1.2966,13,-0.5818,14,-0.4584,20,0.09644
ENSG00000138101,DTNB,112,1.16868,28,-0.9908,36,-0.6478,23,-1.2688,22,-1.3408,60,0.17037,104,1.04991,37,-0.5927,76,0.59192,34,-0.7029,59,0.13198
ENSG00000143970,ASXL2,112,3.24120,13,-0.6088,11,-0.9089,13,-0.6024,18,-0.1237,1,-3.9207,3,-2.6125,2,-2.9466,17,-0.1613,9,-1.0629,22,0.21687
ENSG00000084731,KIF3C,112,-1.2461,104,-1.3585,200,-0.3984,288,0.19958,261,0.04290,188,-0.4588,280,0.15589,290,0.20757,289,0.22412,363,0.56986,435,0.86542
ENSG00000084733,RAB10,112,0.48357,89,0.11685,49,-0.8510,96,0.24245,59,-0.5191,92,0.17415,84,0.04168,80,-0.0476,102,0.37224,91,0.15536,66,-0.3461
ENSG00000157833,GAREM2,112,3.17334,25,0.37656,18,-0.1822,18,-0.1331,24,0.30194,1,-4.3446,2,-3.2666,3,-2.7478,9,-1.2917,6,-1.6369,13,-0.6274
ENSG00000084754,HADHA,112,1.14023,106,1.04571,43,-0.3991,81,0.60231,54,-0.0208,56,0.01822,41,-0.4380,36,-0.6385,31,-0.9156,48,-0.2225,34,-0.7401
ENSG00000138029,HADHB,112,1.12152,111,1.10751,44,-0.3744,70,0.36811,74,0.45402,80,0.56594,13,-2.1420,34,-0.7359,28,-1.1240,36,-0.6845,50,-0.1594
ENSG00000138018,SELENOI,112,1.27932,23,-1.1680,22,-1.3323,34,-0.5959,40,-0.3646,35,-0.5669,64,0.36488,34,-0.6298,55,0.12856,91,0.93777,73,0.58156
ENSG00000171303,KCNK3,112,2.71236,18,-0.4653,7,-1.7907,8,-1.5706,7,-1.7031,45,1.01988,8,-1.5270,1,-4.3245,2,-3.2859,33,0.49016,59,1.47222
ENSG00000213699,SLC35F6,112,2.40166,26,-0.0841,11,-1.3947,33,0.24901,22,-0.3839,20,-0.5032,23,-0.2530,14,-0.9858,22,-0.3721,26,-0.0801,18,-0.6912
ENSG00000157851,DPYSL5,112,1.82726,70,1.01769,13,-1.6219,28,-0.4276,21,-0.8902,59,0.73625,20,-0.9025,17,-1.1398,6,-2.7703,98,1.58181,21,-0.8688
ENSG00000084764,MAPRE3,112,-1.0563,124,-0.9031,117,-1.0526,224,0.00322,169,-0.4320,251,0.18134,375,0.82815,271,0.30054,258,0.24531,381,0.85621,251,0.18029
ENSG00000119777,TMEM214,112,2.93442,18,-0.2968,10,-1.2403,14,-0.6677,13,-0.7594,6,-1.7886,20,-0.1414,24,0.14619,11,-1.0704,18,-0.2681,16,-0.4770
ENSG00000084693,AGBL5,112,3.66112,10,-0.6610,11,-0.6648,1,-4.1567,3,-2.4085,1,-3.3766,4,-1.9079,15,-0.1104,13,-0.3146,13,-0.3723,5,-1.7371
ENSG00000228474,OST4,112,-1.0317,391,0.92505,279,0.41648,234,0.09669,203,-0.1260,277,0.36346,202,-0.1325,192,-0.2086,166,-0.4635,117,-0.9635,240,0.13746
ENSG00000138030,KHK,112,2.66763,12,-1.0373,16,-0.7299,21,-0.2143,17,-0.5872,0,-5.9005,27,0.14884,21,-0.2200,16,-0.6494,18,-0.4250,26,0.08825
ENSG00000138028,CGREF1,112,0.79930,26,-1.4337,52,-0.4374,21,-1.7691,22,-1.6905,40,-0.7814,137,1.13915,111,0.78709,96,0.61930,61,-0.1679,54,-0.3442
ENSG00000138073,PREB,112,1.86565,22,-0.7783,28,-0.4379,21,-0.8662,14,-1.3795,49,0.44645,50,0.49884,47,0.37650,25,-0.6411,32,-0.1922,24,-0.6542
ENSG00000138085,ATRAID,112,1.63437,72,0.87268,33,-0.3954,35,-0.2407,23,-0.9147,62,0.63009,36,-0.2062,27,-0.6384,34,-0.3391,22,-0.9477,17,-1.2910
ENSG00000115194,SLC30A3,112,0.45062,9,-3.1985,41,-1.1638,41,-1.0892,68,-0.3214,25,-1.8288,280,2.04670,52,-0.7334,90,0.11246,120,0.56907,123,0.60409
ENSG00000115204,MPV17,112,1.28134,39,-0.4173,47,-0.1271,36,-0.5175,40,-0.3725,82,0.76142,68,0.45601,44,-0.2074,34,-0.6499,41,-0.3240,36,-0.5264
ENSG00000115207,GTF3C2,112,2.91565,7,-1.7068,9,-1.3735,8,-1.5488,8,-1.5395,26,0.26642,7,-1.6537,19,-0.1796,11,-1.0275,29,0.43562,28,0.40395
ENSG00000115211,EIF2B4,112,2.23038,17,-0.8797,14,-1.1689,33,0.15639,24,-0.3429,30,-0.0026,33,0.15277,36,0.28104,16,-1.0012,23,-0.4308,23,-0.4080
ENSG00000115234,SNX17,112,0.21878,72,-0.4589,69,-0.5523,96,-0.0110,97,-0.0004,109,0.17738,128,0.43846,117,0.29056,108,0.17460,85,-0.2063,92,-0.0790
ENSG00000163795,ZNF513,112,3.22930,13,-0.6351,13,-0.6813,7,-1.4013,10,-0.9851,12,-0.7534,15,-0.4076,14,-0.4313,17,-0.1933,7,-1.3748,1,-4.0960
ENSG00000115241,PPM1G,112,1.27693,32,-0.6938,29,-0.8970,51,-0.0024,30,-0.8141,44,-0.2076,72,0.54604,50,-0.0304,51,0.01191,64,0.36231,46,-0.1671
ENSG00000115216,NRBP1,112,1.02568,32,-0.9455,34,-0.8738,66,0.16962,40,-0.6016,90,0.66128,70,0.25918,64,0.11871,59,-0.0082,55,-0.1055,54,-0.1387
ENSG00000138002,IFT172,112,3.10317,9,-1.1815,11,-1.0155,12,-0.7711,10,-1.0601,0,-6.4674,12,-0.7875,11,-0.8653,22,0.12442,16,-0.3385,16,-0.3391
ENSG00000115226,FNDC4,112,0.55734,48,-0.7501,64,-0.3340,113,0.57028,76,-0.0513,121,0.68821,68,-0.2299,164,1.19093,40,-1.0799,51,-0.6616,60,-0.4064
ENSG00000243943,ZNF512,112,2.52328,18,-0.5354,19,-0.5508,21,-0.3331,21,-0.2991,13,-1.0613,30,0.21987,19,-0.4957,13,-1.1024,20,-0.4053,22,-0.2398
ENSG00000198522,GPN1,112,2.27582,13,-1.2541,17,-0.8716,22,-0.4591,15,-1.0156,9,-1.6990,35,0.24764,36,0.31187,29,-0.0210,35,0.24311,16,-0.9608
ENSG00000119760,SUPT7L,112,1.64010,34,-0.2953,22,-1.0459,25,-0.7579,23,-0.9155,41,0.00543,64,0.68451,42,0.03744,40,-0.0632,49,0.24885,25,-0.7371
ENSG00000163798,SLC4A1AP,112,1.23937,26,-1.0352,18,-1.6363,54,0.04744,31,-0.7632,51,-0.0146,61,0.25601,31,-0.7932,56,0.12487,63,0.29463,98,1.01811
ENSG00000243147,MRPL33,112,-0.4967,165,0.10396,168,0.15086,181,0.25165,125,-0.3231,110,-0.5171,127,-0.2946,263,0.85343,199,0.44746,76,-1.0790,111,-0.5112
ENSG00000158019,BABAM2,112,1.47611,19,-1.2943,27,-0.8517,64,0.54308,29,-0.6873,35,-0.3804,79,0.88812,52,0.20728,39,-0.2342,38,-0.2707,29,-0.6662
ENSG00000075426,FOSL2,112,2.48270,13,-1.0439,12,-1.3075,6,-2.1573,14,-0.9665,0,-6.5051,21,-0.3523,11,-1.3351,53,1.24515,24,-0.1701,18,-0.6207
ENSG00000213639,PPP1CB,112,-0.9077,126,-0.7204,138,-0.6367,321,0.73545,204,0.01513,209,0.05092,164,-0.3224,296,0.60557,252,0.38097,229,0.19476,190,-0.1002
ENSG00000171103,TRMT61B,112,3.23202,10,-1.0271,8,-1.3165,0,-4.8480,12,-0.6903,7,-1.3822,9,-1.1054,15,-0.3234,24,0.41933,6,-1.5928,12,-0.7130
ENSG00000115295,CLIP4,112,1.75589,28,-0.4707,20,-1.0665,26,-0.6315,17,-1.2124,45,0.24135,34,-0.2156,27,-0.5719,56,0.62794,35,-0.1583,30,-0.3982
ENSG00000119801,YPEL5,112,-0.0888,81,-0.5797,69,-0.8874,105,-0.1913,108,-0.1459,179,0.65803,118,-0.0031,157,0.44876,136,0.23592,139,0.24784,131,0.16552
ENSG00000213626,LBH,112,2.03264,13,-1.4075,24,-0.5122,30,-0.1546,8,-2.0741,55,0.80098,8,-2.0913,32,-0.0846,34,0.02924,3,-3.3076,57,0.83588
ENSG00000172954,LCLAT1,112,2.89418,14,-0.6302,7,-1.8244,13,-0.7939,15,-0.5788,16,-0.4390,0,-5.3615,13,-0.8411,18,-0.3367,16,-0.4574,38,0.86018
ENSG00000013016,EHD3,112,0.66991,45,-0.7253,43,-0.8572,60,-0.3041,91,0.34877,106,0.58275,143,1.07600,42,-0.8519,50,-0.6326,85,0.23877,81,0.16720
ENSG00000162961,DPY30,112,0.76282,72,0.06870,63,-0.1594,74,0.09878,33,-1.1024,38,-0.8979,67,-0.0396,106,0.67406,55,-0.3827,80,0.23047,81,0.24443
ENSG00000021574,SPAST,112,1.96877,17,-1.1039,13,-1.5248,21,-0.7385,22,-0.6574,8,-2.1686,19,-0.9224,42,0.28644,39,0.22146,38,0.15406,67,1.05046
ENSG00000119820,YIPF4,112,0.78414,60,-0.1938,37,-0.9905,46,-0.6165,44,-0.6547,91,0.44977,53,-0.3821,44,-0.6684,81,0.28470,114,0.81810,88,0.40540
ENSG00000115760,BIRC6,112,1.88767,23,-0.6824,17,-1.1656,44,0.30032,18,-1.0127,34,-0.1054,36,-0.0097,42,0.22574,22,-0.8312,48,0.45532,35,-0.0424
ENSG00000119812,FAM98A,112,1.23659,29,-0.9026,20,-1.5245,54,0.05746,59,0.20226,46,-0.1990,56,0.11452,42,-0.3418,23,-1.2697,121,1.37660,72,0.51369
ENSG00000260025,CRIM1-DT,112,1.26785,23,-1.1989,50,-0.0268,56,0.15029,35,-0.5967,6,-3.1509,100,1.08012,89,0.87989,44,-0.2566,17,-1.6455,39,-0.3990
ENSG00000150938,CRIM1,112,1.24622,22,-1.3047,46,-0.1884,30,-0.8192,29,-0.8795,3,-3.9675,108,1.19126,73,0.53608,57,0.16520,28,-0.9445,62,0.28976
ENSG00000171055,FEZ2,112,0.81534,88,0.43433,32,-1.1914,49,-0.4860,36,-0.9515,60,-0.1706,95,0.54440,84,0.36040,75,0.19689,65,-0.0397,68,0.02774
ENSG00000115808,STRN,112,2.33259,38,0.43402,18,-0.7385,17,-0.8182,14,-1.0940,28,-0.0389,22,-0.3747,36,0.37402,14,-1.1027,14,-1.0647,27,-0.0829
ENSG00000008869,HEATR5B,112,2.42448,14,-0.9798,14,-1.0677,8,-1.8542,6,-2.2302,6,-2.2512,36,0.42648,40,0.58063,20,-0.4770,48,0.90319,18,-0.6189
ENSG00000152133,GPATCH11,112,2.31433,32,0.16143,17,-0.8961,17,-0.7905,12,-1.2973,31,0.10862,32,0.15990,7,-2.0772,32,0.19362,14,-1.0460,21,-0.4889
ENSG00000055332,EIF2AK2,112,1.71933,45,0.21159,25,-0.7327,29,-0.4522,49,0.32560,25,-0.6944,47,0.26093,44,0.16991,18,-1.2168,44,0.16442,32,-0.3183
ENSG00000218739,CEBPZOS,112,1.59322,34,-0.3488,26,-0.8136,28,-0.6363,62,0.60869,8,-2.3535,35,-0.2797,36,-0.2715,52,0.33732,45,0.09256,37,-0.2140
ENSG00000115816,CEBPZ,112,2.25289,30,-0.0167,18,-0.8257,17,-0.8139,10,-1.6297,9,-1.8261,15,-1.0210,39,0.40234,35,0.27029,20,-0.5787,31,0.07682
ENSG00000003509,NDUFAF7,112,3.11792,6,-1.6614,9,-1.1718,7,-1.5521,6,-1.7192,13,-0.6451,32,0.74239,6,-1.7697,8,-1.4849,16,-0.3857,29,0.56609
ENSG00000115828,QPCT,112,2.26813,5,-2.4387,15,-1.1024,24,-0.3344,20,-0.5779,66,1.29704,44,0.62397,28,-0.0655,13,-1.2750,15,-1.0351,15,-1.0378
ENSG00000163171,CDC42EP3,112,2.64412,4,-2.5194,7,-1.8333,34,0.52000,8,-1.5716,20,-0.3199,4,-2.4875,33,0.42742,17,-0.6496,10,-1.2945,47,1.03547
ENSG00000119787,ATL2,112,2.06752,12,-1.4321,23,-0.5678,8,-2.0356,21,-0.6705,20,-0.7475,34,0.03392,39,0.27751,24,-0.4984,31,-0.0937,55,0.81857
ENSG00000143889,HNRNPLL,112,1.49015,34,-0.4220,22,-1.1136,29,-0.6741,38,-0.2731,29,-0.6753,60,0.45826,61,0.48589,41,-0.1451,51,0.19782,44,-0.0430
ENSG00000115875,SRSF7,112,0.79036,73,0.10023,46,-0.6579,32,-1.1311,47,-0.5657,50,-0.4730,114,0.82346,90,0.44180,81,0.29257,59,-0.2292,56,-0.2998
ENSG00000152147,GEMIN6,112,3.09469,17,-0.2848,7,-1.5590,7,-1.6204,5,-1.9868,15,-0.4161,9,-1.2575,16,-0.3142,18,-0.1510,7,-1.4713,24,0.24480
ENSG00000163214,DHX57,112,3.22198,6,-1.7750,10,-0.9889,3,-2.8005,7,-1.5384,5,-1.8027,20,0.03630,23,0.25576,14,-0.5348,19,-0.0329,9,-1.1660
ENSG00000188010,MORN2,112,1.11089,58,0.06396,45,-0.3738,77,0.49463,29,-1.0096,50,-0.1790,48,-0.2316,60,0.10042,56,0.00500,39,-0.5612,55,-0.0421
