bansky,cluster,cell_type,n,prop_of_cluster,prop_of_cell_type
k10,xSp10D01,Vasc.PC,596,0.018785853873794365,0.01851283061508473
k10,xSp10D01,Inhib.Lamp5_Lhx6,501,0.01579146441404526,0.17076757074060725
k10,xSp10D01,Oligo.1,313,0.009865725272647041,0.04566685291386368
k10,xSp10D01,Inhib.Chandelier,246,0.007753892706297674,0.2830967751346064
k10,xSp10D01,Excit.L5_6_NP,190,0.005988778919498203,0.6500517319517356
k10,xSp10D01,Excit.L6_CT,171,0.005389901027548383,0.12736605561865058
k10,xSp10D01,Oligo.5,154,0.004854062913698544,0.10365098019264944
k10,xSp10D01,OPC.4,131,0.004129105465548761,0.08000300406089639
k10,xSp10D01,Oligo.2,131,0.004129105465548761,0.022764656112678028
k10,xSp10D01,Excit.L6b,79,0.002490071234949253,0.05922930544430301
k10,xSp10D01,Inhib.Pax6,77,0.002427031456849272,0.07948131871654515
k10,xSp10D01,Astro.3,51,0.0016075143415495178,0.08041373234806347
k10,xSp10D01,Micro.3,13,4.097585576498771e-4,0.0125831876707756
k10,xSp10D01,Macro,11,3.4671877954989597e-4,0.0025699207115493865
k10,xSp10D01,Vasc.VLMC,11,3.4671877954989597e-4,9.979584303290918e-4
k10,xSp10D01,OPC.1,6,1.8911933429994327e-4,0.20087013419023755
k10,xSp10D01,Astro.4,5,1.5759944524995273e-4,7.824882383260013e-4
k10,xSp10D01,Micro.4,3,9.455966714997163e-5,0.02914337224613256
k10,xSp10D01,Micro.1,1,3.151988904999054e-5,0.008840196006563711
k10,xSp10D01,OPC.3,1,3.151988904999054e-5,0.0881108467714413
k10,xSp10D02,Vasc.Endo,4040,0.2439908201473608,0.21148034249441916
k10,xSp10D02,Oligo.3,2282,0.13781857712284093,0.10099629812734545
k10,xSp10D02,Vasc.PC,2035,0.12290131658412852,0.12111513650528147
k10,xSp10D02,Astro.5,1369,0.08267906752023191,0.08750890541512672
k10,xSp10D02,Oligo.4,920,0.05556226597415147,0.08289617052090183
k10,xSp10D02,Micro.5,704,0.04251721222369852,0.12012485517174461
k10,xSp10D02,Astro.1,565,0.03412247856021259,0.07412268356358385
k10,xSp10D02,Micro.2,558,0.03369972218867013,0.12248543737534115
k10,xSp10D02,Astro.2,552,0.03333735958449088,0.07002439869941265
k10,xSp10D02,Excit.L2,458,0.027660345452349317,0.0595500392659097
k10,xSp10D02,OPC.5,382,0.0230704191327455,0.09189121689108212
k10,xSp10D02,OPC.2,364,0.021983331320207754,0.09077331061342235
k10,xSp10D02,Vasc.VLMC,275,0.01660828602488223,0.047803522708993795
k10,xSp10D02,Oligo.1,236,0.014252929097717115,0.06597451263940761
k10,xSp10D02,Inhib.Vip,235,0.014192535330353908,0.05558595516957739
k10,xSp10D02,Excit.L2_5.1,213,0.01286387244836333,0.0778132398015244
k10,xSp10D02,Excit.L2_5.2,146,0.008817490035028385,0.08615988069008972
k10,xSp10D02,Macro,144,0.008696702500301969,0.06446099027783703
k10,xSp10D02,Oligo.2,137,0.008273946128759513,0.04561606379095033
k10,xSp10D02,Inhib.Lamp5_Lhx6,124,0.007488827153037806,0.08098354826947708
k10,xSp10D02,Astro.4,122,0.007368039618311391,0.036582643623552936
k10,xSp10D02,Excit.L5.1,117,0.00706607078149535,0.05960019141745015
k10,xSp10D02,Inhib.Pvalb,107,0.006462133107863269,0.07208346425667646
k10,xSp10D02,Inhib.Sst,75,0.0045295325522406085,0.07349419329869651
k10,xSp10D02,Excit.L5.2,72,0.004348351250150984,0.08433682233205554
k10,xSp10D02,Oligo.5,60,0.003623626041792487,0.07737691038644158
k10,xSp10D02,OPC.4,56,0.0033820509723396547,0.06552853636987169
k10,xSp10D02,Micro.3,45,0.002717719531344365,0.08345786625073726
k10,xSp10D02,Inhib.Pax6,42,0.0025365382292547407,0.0830674867716054
k10,xSp10D02,Inhib.Chandelier,34,0.002053388090349076,0.07496976918515987
k10,xSp10D02,Excit.L6_CT,26,0.001570237951443411,0.03710550773304754
k10,xSp10D02,Excit.L6b,21,0.0012682691146273703,0.030167289080535543
k10,xSp10D02,Astro.3,20,0.0012078753472641623,0.06042233177907394
k10,xSp10D02,Excit.L5_6_NP,11,6.643314409952893e-4,0.07210982566128264
k10,xSp10D02,Micro.1,4,2.4157506945283246e-4,0.06775312441218512
k10,xSp10D02,Micro.4,4,2.4157506945283246e-4,0.07445364801552534
k10,xSp10D02,OPC.1,2,1.2078753472641623e-4,0.12829258520190595
k10,xSp10D02,OPC.3,1,6.0393767363208115e-5,0.16882502262777793
k10,xSp10D03,Astro.5,5852,0.19734268564106022,0.20887079317754487
k10,xSp10D03,Oligo.3,4305,0.14517434410197613,0.10638675600529794
k10,xSp10D03,Astro.4,2985,0.1006609563633911,0.4997861146533701
k10,xSp10D03,Oligo.4,2936,0.09900856545491334,0.14771591440850532
k10,xSp10D03,Astro.2,2526,0.08518243744520132,0.17892385708391573
k10,xSp10D03,Vasc.Endo,1442,0.048627503878060294,0.04214814790396582
k10,xSp10D03,Micro.5,1391,0.04690766844270587,0.1325293118579282
k10,xSp10D03,Astro.1,1283,0.0432656639913671,0.09398400281918055
k10,xSp10D03,Micro.2,1245,0.041984217980710864,0.15259637077833033
k10,xSp10D03,Oligo.1,989,0.03335131854050044,0.1543778806100693
k10,xSp10D03,OPC.2,799,0.026944088487219263,0.11125721019350843
k10,xSp10D03,Oligo.2,764,0.025763809266877994,0.1420414816251631
k10,xSp10D03,Vasc.PC,717,0.02417886288527686,0.023827460602411216
k10,xSp10D03,OPC.5,584,0.019693801847980037,0.07844189594518933
k10,xSp10D03,Inhib.Vip,325,0.010959735617454643,0.042924492243420966
k10,xSp10D03,OPC.4,284,0.009577122816483442,0.1855604323918619
k10,xSp10D03,Inhib.Lamp5_Lhx6,280,0.009442233762730155,0.1021075233904365
k10,xSp10D03,Micro.3,220,0.007418897956430835,0.22782534630031975
k10,xSp10D03,Astro.3,127,0.004282727456666892,0.2142376528275007
k10,xSp10D03,Oligo.5,89,0.003001281446010656,0.06408770739973486
k10,xSp10D03,Vasc.VLMC,87,0.0029338369191340124,0.008444443910599236
k10,xSp10D03,Macro,81,0.0027315033385040804,0.020246226675119355
k10,xSp10D03,Inhib.Pax6,74,0.0024954474944358265,0.08172183227618368
k10,xSp10D03,Excit.L2_5.1,54,0.001821002225669387,0.011015196507421053
k10,xSp10D03,Inhib.Pvalb,34,0.0011465569569029473,0.012789553548593674
k10,xSp10D03,Inhib.Sst,30,0.0010116679031496594,0.01641487627490142
k10,xSp10D03,Excit.L2,29,9.779456397113373e-4,0.0021054220506775707
k10,xSp10D03,Micro.4,20,6.744452687664396e-4,0.20786462262107452
k10,xSp10D03,Excit.L2_5.2,20,6.744452687664396e-4,0.006590324872278107
k10,xSp10D03,Inhib.Chandelier,18,6.070007418897956e-4,0.022161765585658303
k10,xSp10D03,Excit.L5.1,17,5.732784784514736e-4,0.0048354323226835454
k10,xSp10D03,Excit.L5.2,16,5.395562150131517e-4,0.010464761015371174
k10,xSp10D03,Micro.1,14,4.7211168813650773e-4,0.13241036012205315
k10,xSp10D03,Excit.L6b,9,3.035003709448978e-4,0.007219117236829157
k10,xSp10D03,Excit.L6_CT,5,1.686113171916099e-4,0.003984369711725239
k10,xSp10D03,OPC.1,1,3.372226343832198e-5,0.03581757310604233
k10,xSp10D03,OPC.3,1,3.372226343832198e-5,0.09426737454207686
k10,xSp10D03,Excit.L5_6_NP,1,3.372226343832198e-5,0.003660381531541101
k10,xSp10D04,Excit.L2,6849,0.3095033666229834,0.6663307104056607
k10,xSp10D04,Astro.1,1964,0.08875231596547517,0.19279255521358415
k10,xSp10D04,Inhib.Vip,1591,0.07189660626327443,0.2815875697732347
k10,xSp10D04,Astro.5,1488,0.06724208052781418,0.07117014065724578
k10,xSp10D04,Vasc.Endo,1374,0.062090469519634865,0.05381724505750308
k10,xSp10D04,Astro.2,1160,0.052419901486736864,0.11010686290820874
k10,xSp10D04,Excit.L2_5.1,1122,0.05070269781734376,0.3066993395404168
k10,xSp10D04,Oligo.3,885,0.03999276966876045,0.029307527132602918
k10,xSp10D04,OPC.2,868,0.03922454697455827,0.161965533536739
k10,xSp10D04,Micro.5,843,0.0380948077183786,0.10763013425924979
k10,xSp10D04,OPC.5,782,0.03533824393330019,0.14075488698927735
k10,xSp10D04,Vasc.PC,558,0.025215780197930318,0.0248493079296589
k10,xSp10D04,Micro.2,429,0.0193863256360432,0.07046178485797319
k10,xSp10D04,Inhib.Lamp5_Lhx6,361,0.016313434859234487,0.1764121153240772
k10,xSp10D04,Inhib.Sst,323,0.014596231189841385,0.2368319962659321
k10,xSp10D04,Excit.L5.2,314,0.014189525057616703,0.27520763271341475
k10,xSp10D04,Inhib.Pvalb,310,0.014008766776627954,0.15626425862296614
k10,xSp10D04,Oligo.4,197,0.008902345338695829,0.01328186178684292
k10,xSp10D04,Inhib.Chandelier,151,0.006823625107325229,0.24913244686018804
k10,xSp10D04,Inhib.Pax6,124,0.005603506710651181,0.1835056985119355
k10,xSp10D04,Excit.L5.1,110,0.004970852727190564,0.04192765445038681
k10,xSp10D04,OPC.4,97,0.0043833883139771344,0.08492983189931486
k10,xSp10D04,Excit.L2_5.2,70,0.0031632699173030866,0.030909811928639907
k10,xSp10D04,Oligo.1,43,0.0019431515206290387,0.008994535346321067
k10,xSp10D04,Oligo.5,23,0.0010393601156853,0.02219392222130093
k10,xSp10D04,Oligo.2,19,8.586018346965521e-4,0.004733658577544661
k10,xSp10D04,Vasc.VLMC,16,7.230331239549912e-4,0.0020811015843871365
k10,xSp10D04,Astro.4,10,4.518957024718695e-4,0.0022436822133065854
k10,xSp10D04,Micro.3,10,4.518957024718695e-4,0.013877168214456722
k10,xSp10D04,Excit.L6b,10,4.518957024718695e-4,0.010748876664654818
k10,xSp10D04,Astro.3,9,4.0670613222468254e-4,0.020344924593025344
k10,xSp10D04,OPC.1,7,3.163269917303086e-4,0.33598175200895003
k10,xSp10D04,Macro,3,1.3556871074156085e-4,0.0010048513611667434
k10,xSp10D04,Micro.4,3,1.3556871074156085e-4,0.041782395403353136
k10,xSp10D04,Excit.L5_6_NP,3,1.3556871074156085e-4,0.014715299462648988
k10,xSp10D04,Excit.L6_CT,2,9.03791404943739e-5,0.0021357042691761987
k10,xSp10D04,OPC.3,1,4.518957024718695e-5,0.12632313817482702
k10,xSp10D04,Micro.1,0,0,0
k10,xSp10D05,Oligo.3,11101,0.21194822055903467,0.15532003100032715
k10,xSp10D05,Astro.5,7778,0.14850313120513212,0.15717819337161787
k10,xSp10D05,Vasc.Endo,4796,0.09156865740033603,0.07936762136002297
k10,xSp10D05,Oligo.4,4070,0.07770734687643195,0.11593554302469115
k10,xSp10D05,Astro.2,3582,0.06839010233694823,0.14365192243251354
k10,xSp10D05,Astro.1,3268,0.06239499007178861,0.1355377540023379
k10,xSp10D05,Micro.5,2899,0.055349778524515045,0.1563809991601357
k10,xSp10D05,Micro.2,2277,0.043474110279517336,0.15801155221038427
k10,xSp10D05,OPC.5,2042,0.03898732243775775,0.1552894414928734
k10,xSp10D05,Vasc.PC,1778,0.03394684588361081,0.03345348111305939
k10,xSp10D05,OPC.2,1531,0.02923094547120819,0.12070007289308854
k10,xSp10D05,Excit.L2_5.1,977,0.01865358179318772,0.11283504551658853
k10,xSp10D05,Oligo.1,927,0.01769894608217504,0.08192557010542328
k10,xSp10D05,Excit.L2,809,0.015446005804185124,0.033253751430012225
k10,xSp10D05,Excit.L2_5.2,636,0.012142966244081259,0.11865468729281756
k10,xSp10D05,Inhib.Vip,626,0.011952039101878724,0.04681091110488009
k10,xSp10D05,Oligo.2,448,0.008553535970673591,0.04715750337317377
k10,xSp10D05,Inhib.Pvalb,447,0.008534443256453337,0.09519956106732123
k10,xSp10D05,Inhib.Lamp5_Lhx6,415,0.007923476401405224,0.08568380875968966
k10,xSp10D05,Inhib.Sst,374,0.007140675118374828,0.11586143854368196
k10,xSp10D05,Excit.L5.1,347,0.0066251718344279825,0.05588134080675667
k10,xSp10D05,OPC.4,323,0.006166946693141897,0.1194869604206617
k10,xSp10D05,Oligo.5,260,0.004964105697265924,0.10600077305332657
k10,xSp10D05,Astro.3,138,0.00263479456239499,0.1318020370059866
k10,xSp10D05,Inhib.Chandelier,131,0.002501145562853215,0.09131751880070345
k10,xSp10D05,Micro.3,86,0.0016419734229418054,0.050423009710408015
k10,xSp10D05,Excit.L5.2,75,0.0014319535665190163,0.027772920488673556
k10,xSp10D05,Inhib.Pax6,60,0.001145562853215213,0.03751531361049342
k10,xSp10D05,Macro,54,0.0010310065678936918,0.0076419429487295625
k10,xSp10D05,Astro.4,32,6.109668550481136e-4,0.0030334775438070217
k10,xSp10D05,Excit.L5_6_NP,25,4.773178555063388e-4,0.0518104446389185
k10,xSp10D05,Vasc.VLMC,24,4.5822514128608525e-4,0.0013189064732196886
k10,xSp10D05,Excit.L6_CT,12,2.2911257064304262e-4,0.005414044574530331
k10,xSp10D05,Excit.L6b,10,1.9092714220253552e-4,0.004541429122348909
k10,xSp10D05,Micro.1,8,1.527417137620284e-4,0.04283856094459146
k10,xSp10D05,Micro.4,7,1.3364899954177486e-4,0.04119073872998836
k10,xSp10D05,OPC.1,3,5.7278142660760656e-5,0.060837080698406494
k10,xSp10D05,OPC.3,0,0,0
k10,xSp10D06,Vasc.PC,3128,0.2602762522882343,0.256493540517885
k10,xSp10D06,Vasc.VLMC,2886,0.2401397903145282,0.6911928119756089
k10,xSp10D06,Vasc.Endo,1846,0.15360292893992344,0.1331361565190932
k10,xSp10D06,Macro,1293,0.10758861707438842,0.7974595887346123
k10,xSp10D06,Oligo.3,586,0.048760193043767684,0.0357324759564588
k10,xSp10D06,Astro.5,557,0.04634714594774505,0.049054593050530323
k10,xSp10D06,Astro.4,413,0.03436511898818439,0.1706243405506904
k10,xSp10D06,Micro.2,340,0.028290896987851557,0.10282645274929685
k10,xSp10D06,Micro.5,254,0.02113496422033616,0.05971309931305359
k10,xSp10D06,Oligo.4,231,0.019221168247628557,0.028677038503210434
k10,xSp10D06,Oligo.1,80,0.006656681644200366,0.030812706936299256
k10,xSp10D06,Astro.2,62,0.0051589282742552835,0.010836216630251215
k10,xSp10D06,Micro.3,59,0.00490930271259777,0.1507587241608009
k10,xSp10D06,OPC.2,43,0.0035779663837576968,0.014774096299893803
k10,xSp10D06,Oligo.2,39,0.0032451323015476783,0.01789111988086706
k10,xSp10D06,Astro.1,31,0.0025794641371276418,0.005603250762178334
k10,xSp10D06,OPC.5,25,0.0020802130138126143,0.008285645099554734
k10,xSp10D06,Inhib.Lamp5_Lhx6,23,0.0019137959727076053,0.020695629017265793
k10,xSp10D06,Oligo.5,21,0.001747378931602596,0.03731256521572182
k10,xSp10D06,OPC.4,17,0.0014145448493925778,0.027407349672826625
k10,xSp10D06,Micro.1,13,0.0010817107671825595,0.30338099189175605
k10,xSp10D06,Excit.L2_5.1,12,9.98502246630055e-4,0.006039914891201419
k10,xSp10D06,Inhib.Vip,12,9.98502246630055e-4,0.003910696702596583
k10,xSp10D06,Excit.L2,9,7.488766849725411e-4,0.0016122588227346743
k10,xSp10D06,Micro.4,7,5.82459643867532e-4,0.17951457245147862
k10,xSp10D06,Inhib.Pvalb,7,5.82459643867532e-4,0.006497190357870003
k10,xSp10D06,Excit.L6_CT,5,4.160426027625229e-4,0.009831294677275773
k10,xSp10D06,Inhib.Sst,5,4.160426027625229e-4,0.006750523396237959
k10,xSp10D06,Excit.L2_5.2,4,3.328340822100183e-4,0.0032522798096610915
k10,xSp10D06,Inhib.Pax6,3,2.4962556165751375e-4,0.008174829695719768
k10,xSp10D06,Astro.3,2,1.6641704110500916e-4,0.008324787565301268
k10,xSp10D06,Excit.L5.1,2,1.6641704110500916e-4,0.0014036779154489626
k10,xSp10D06,Excit.L6b,2,1.6641704110500916e-4,0.003958427221037552
k10,xSp10D06,Inhib.Chandelier,1,8.320852055250458e-5,0.003037966183489171
k10,xSp10D06,OPC.1,0,0,0
k10,xSp10D06,OPC.3,0,0,0
k10,xSp10D06,Excit.L5.2,0,0,0
k10,xSp10D06,Excit.L5_6_NP,0,0,0
k10,xSp10D07,Astro.5,3041,0.15118071091225455,0.16001218843662876
k10,xSp10D07,Astro.1,2980,0.14814814814814814,0.3218153771080488
k10,xSp10D07,Astro.2,2393,0.1189659458115834,0.249885381595684
k10,xSp10D07,Inhib.Vip,2220,0.11036539895600299,0.4322530101806643
k10,xSp10D07,Vasc.Endo,1242,0.06174496644295302,0.053517778426154315
k10,xSp10D07,Oligo.3,1220,0.06065125528212777,0.0444464918166414
k10,xSp10D07,OPC.2,984,0.048918717375093214,0.2019945868266881
k10,xSp10D07,Micro.5,895,0.04449415858811832,0.1257103670923937
k10,xSp10D07,OPC.5,726,0.03609246830723341,0.14375901947299394
k10,xSp10D07,Oligo.4,575,0.02858563261247825,0.04264835916868917
k10,xSp10D07,Micro.2,574,0.028535918468804374,0.10371701092935655
k10,xSp10D07,Vasc.PC,570,0.028337061894108874,0.027925226635910756
k10,xSp10D07,Inhib.Lamp5_Lhx6,490,0.024359930400198855,0.2634262427335325
k10,xSp10D07,Excit.L2,365,0.018145662440964456,0.03906585016180982
k10,xSp10D07,Inhib.Pax6,299,0.01486452895848869,0.48678906092741553
k10,xSp10D07,Excit.L5.2,225,0.011185682326621925,0.2169477231192791
k10,xSp10D07,OPC.4,203,0.01009197116579667,0.19553581687271768
k10,xSp10D07,Excit.L2_5.1,190,0.009445687298036291,0.05713672409009504
k10,xSp10D07,Inhib.Pvalb,165,0.00820283370618941,0.091500540207702
k10,xSp10D07,Oligo.1,140,0.00695998011434253,0.03221662669305383
k10,xSp10D07,Inhib.Sst,121,0.006015411384538902,0.09760340652542404
k10,xSp10D07,Inhib.Chandelier,118,0.0058662689535172756,0.21417910792912737
k10,xSp10D07,Oligo.2,94,0.004673129505344271,0.02576397891668607
k10,xSp10D07,Astro.4,58,0.0028834203330847627,0.014316309890624724
k10,xSp10D07,Astro.3,44,0.0021874223216505097,0.1094228452953216
k10,xSp10D07,Excit.L2_5.2,43,0.002137708177976634,0.020888561351700235
k10,xSp10D07,Oligo.5,42,0.002087994034302759,0.04458587211161272
k10,xSp10D07,Micro.3,36,0.0017897091722595079,0.054959795153058225
k10,xSp10D07,Excit.L5.1,23,0.00114342530449913,0.009644450094976623
k10,xSp10D07,Vasc.VLMC,20,9.942828734775043e-4,0.0028618379916047062
k10,xSp10D07,Macro,8,3.9771314939100174e-4,0.0029478970282553803
k10,xSp10D07,Micro.4,3,1.4914243102162565e-4,0.04596582788370875
k10,xSp10D07,OPC.1,3,1.4914243102162565e-4,0.15840929349538843
k10,xSp10D07,Micro.1,1,4.971414367387522e-5,0.013943030499837947
k10,xSp10D07,OPC.3,1,4.971414367387522e-5,0.13897115210891112
k10,xSp10D07,Excit.L5_6_NP,1,4.971414367387522e-5,0.005396219435064371
k10,xSp10D07,Excit.L6_CT,1,4.971414367387522e-5,0.0011747700664330126
k10,xSp10D07,Excit.L6b,1,4.971414367387522e-5,0.0011825100259117399
k10,xSp10D08,Vasc.PC,9299,0.4719585849870578,0.46509939872303047
k10,xSp10D08,Vasc.Endo,7105,0.3606049840125869,0.3125562899379488
k10,xSp10D08,Vasc.VLMC,1638,0.0831345480383698,0.239285634237042
k10,xSp10D08,Astro.5,366,0.018575851393188854,0.01966099124393528
k10,xSp10D08,Oligo.3,293,0.014870831853017307,0.010897652541357201
k10,xSp10D08,Macro,246,0.012485408313454804,0.09254332706913805
k10,xSp10D08,Astro.4,174,0.008831142465614374,0.04384701417803121
k10,xSp10D08,Oligo.4,110,0.00558290615642288,0.008329421643104459
k10,xSp10D08,Micro.2,104,0.005278384002436177,0.019184881393199172
k10,xSp10D08,Micro.5,100,0.0050753692331117085,0.01433955713895198
k10,xSp10D08,Astro.2,50,0.0025376846165558542,0.005330351340894505
k10,xSp10D08,OPC.5,27,0.0013703496929401615,0.005458206031110222
k10,xSp10D08,Oligo.1,27,0.0013703496929401615,0.006343127964606913
k10,xSp10D08,Oligo.2,24,0.00121808861594681,0.006715587356185831
k10,xSp10D08,OPC.2,23,0.001167334923615693,0.0048201455033277255
k10,xSp10D08,Astro.1,22,0.0011165812312845759,0.002425497817618903
k10,xSp10D08,Micro.3,16,8.120590772978735e-4,0.024937348051989064
k10,xSp10D08,Inhib.Vip,14,7.105516926356393e-4,0.0027829202896567378
k10,xSp10D08,OPC.4,10,5.075369233111708e-4,0.009833722794320076
k10,xSp10D08,Excit.L2_5.1,10,5.075369233111708e-4,0.0030700780406731055
k10,xSp10D08,Excit.L2,8,4.0602953864893673e-4,8.741421907154722e-4
k10,xSp10D08,Inhib.Lamp5_Lhx6,6,3.045221539867025e-4,0.003293077013601993
k10,xSp10D08,Inhib.Pax6,5,2.537684616555854e-4,0.008310502908453888
k10,xSp10D08,Inhib.Pvalb,5,2.537684616555854e-4,0.002830723157491669
k10,xSp10D08,Excit.L6_CT,4,2.0301476932446837e-4,0.00479734048343908
k10,xSp10D08,Oligo.5,3,1.5226107699335125e-4,0.0032512989955303753
k10,xSp10D08,Excit.L2_5.2,3,1.5226107699335125e-4,0.0014878152598274499
k10,xSp10D08,Excit.L5.2,3,1.5226107699335125e-4,0.002953122841221674
k10,xSp10D08,Inhib.Sst,3,1.5226107699335125e-4,0.0024705209412573042
k10,xSp10D08,Excit.L5.1,2,1.0150738466223418e-4,8.561843976991135e-4
k10,xSp10D08,Astro.3,1,5.075369233111709e-5,0.00253888486422856
k10,xSp10D08,Micro.4,1,5.075369233111709e-5,0.015642332434668182
k10,xSp10D08,Inhib.Chandelier,1,5.075369233111709e-5,0.0018530313958875734
k10,xSp10D08,Micro.1,0,0,0
k10,xSp10D08,OPC.1,0,0,0
k10,xSp10D08,OPC.3,0,0,0
k10,xSp10D08,Excit.L5_6_NP,0,0,0
k10,xSp10D08,Excit.L6b,0,0,0
k10,xSp10D09,Oligo.3,10113,0.3014037492921646,0.22087488897145313
k10,xSp10D09,Astro.5,3637,0.10839567251810568,0.11472778949127359
k10,xSp10D09,Oligo.4,3246,0.09674246714153727,0.1443350070803171
k10,xSp10D09,Astro.2,1729,0.0515304145679969,0.10823851498227595
k10,xSp10D09,Vasc.Endo,1652,0.04923553780585939,0.04267516454836875
k10,xSp10D09,Micro.5,1494,0.04452656990433046,0.12580193952770355
k10,xSp10D09,OPC.5,1350,0.04023485232319018,0.1602584469808433
k10,xSp10D09,Excit.L6b,1195,0.035615295204601674,0.8471521491253092
k10,xSp10D09,Excit.L6_CT,1121,0.033409829225404586,0.7894909657122271
k10,xSp10D09,Astro.1,1058,0.03153220278365571,0.06849594717662001
k10,xSp10D09,Micro.2,995,0.029654576341906835,0.10778289901274228
k10,xSp10D09,Oligo.1,878,0.02616755580723035,0.12112540022549036
k10,xSp10D09,OPC.2,854,0.02545226954370697,0.10509720912879496
k10,xSp10D09,Excit.L2_5.1,828,0.02467737609155664,0.14927282520816756
k10,xSp10D09,Vasc.PC,600,0.017882156588084522,0.017622267168245834
k10,xSp10D09,Oligo.2,386,0.011504187405001044,0.06342508621194673
k10,xSp10D09,Excit.L5.1,359,0.010699490358537239,0.09024699768193249
k10,xSp10D09,Inhib.Pvalb,267,0.007957559681697613,0.08876457035340853
k10,xSp10D09,Oligo.5,247,0.007361487795428129,0.15719314710961704
k10,xSp10D09,Excit.L2,242,0.007212469823860757,0.0155277475458506
k10,xSp10D09,Inhib.Lamp5_Lhx6,216,0.0064375763717104285,0.06961541055536026
k10,xSp10D09,Inhib.Sst,184,0.005483861353679254,0.08897871065109977
k10,xSp10D09,Inhib.Vip,181,0.0053944505707388315,0.021127704149397568
k10,xSp10D09,OPC.4,180,0.005364646976425357,0.10394209530881866
k10,xSp10D09,Astro.3,178,0.005305039787798408,0.265377445516686
k10,xSp10D09,Astro.4,118,0.0035168241289899563,0.017461187841310313
k10,xSp10D09,Excit.L5_6_NP,62,0.0018478228474354008,0.20057184585735488
k10,xSp10D09,Micro.3,51,0.0015199833099871845,0.0466768414934681
k10,xSp10D09,Inhib.Chandelier,46,0.0013709653384198135,0.050054325076325554
k10,xSp10D09,Inhib.Pax6,27,8.046970464638036e-4,0.026352514813830108
k10,xSp10D09,Vasc.VLMC,17,5.066611033290615e-4,0.001458319390843125
k10,xSp10D09,Macro,16,4.768575090155873e-4,0.003534524407555627
k10,xSp10D09,Micro.4,10,2.9803594313474206e-4,0.09185493874177188
k10,xSp10D09,Excit.L2_5.2,10,2.9803594313474206e-4,0.0029122506744931153
k10,xSp10D09,OPC.1,2,5.960718862694841e-5,0.06331084033538459
k10,xSp10D09,OPC.3,2,5.960718862694841e-5,0.166626216712112
k10,xSp10D09,Excit.L5.2,2,5.960718862694841e-5,0.0011560889605617113
k10,xSp10D09,Micro.1,0,0,0
k10,xSp10D10,Oligo.3,17635,0.27363570065324994,0.20052588974872304
k10,xSp10D10,Oligo.4,15676,0.243238630192251,0.36290008357592635
k10,xSp10D10,Oligo.2,7293,0.11316275389079399,0.6238908641548044
k10,xSp10D10,Oligo.1,6301,0.09777026083448415,0.4525627865654647
k10,xSp10D10,Astro.4,2743,0.04256210529582448,0.2113227412669808
k10,xSp10D10,Astro.5,2566,0.039815662482349835,0.04214156190568982
k10,xSp10D10,Vasc.Endo,2027,0.0314522010334073,0.027261362713281768
k10,xSp10D10,Micro.5,1474,0.022871506819557155,0.06461939296028182
k10,xSp10D10,Micro.2,1396,0.021661209986500535,0.07873010834990288
k10,xSp10D10,Oligo.5,1160,0.017999286235201018,0.3843468233140647
k10,xSp10D10,OPC.2,1073,0.01664933976756094,0.06874825604070146
k10,xSp10D10,Astro.2,926,0.014368395736031157,0.030180502722202976
k10,xSp10D10,OPC.5,793,0.012304684469408972,0.049010484935226716
k10,xSp10D10,Vasc.PC,726,0.011265070523065464,0.011101350189432316
k10,xSp10D10,Micro.3,702,0.010892671497509582,0.33450071299398637
k10,xSp10D10,OPC.4,425,0.006594566077552097,0.12777225020871041
k10,xSp10D10,Astro.1,286,0.004437755054540941,0.009639930260634139
k10,xSp10D10,Inhib.Lamp5_Lhx6,161,0.0024981767964373826,0.027015074195951744
k10,xSp10D10,Astro.3,138,0.002141294396946328,0.10711535820481255
k10,xSp10D10,Inhib.Vip,131,0.0020326780144925287,0.007961110989529577
k10,xSp10D10,Excit.L2_5.1,104,0.0016137291107421602,0.009761406666066301
k10,xSp10D10,Vasc.VLMC,102,0.0015826958586125032,0.004555463297372356
k10,xSp10D10,Micro.1,99,0.0015361459804180179,0.43083373612301257
k10,xSp10D10,Excit.L6b,97,0.001505112728288361,0.035800896079069944
k10,xSp10D10,Inhib.Pvalb,86,0.001334429841575248,0.014885228171977032
k10,xSp10D10,Macro,66,0.0010240973202786786,0.0075907307860365114
k10,xSp10D10,Inhib.Sst,61,9.465141899545363e-4,0.015357720920245335
k10,xSp10D10,Micro.4,57,8.844476856952224e-4,0.27258755147229863
k10,xSp10D10,Excit.L6_CT,51,7.913479293062516e-4,0.01869994715349516
k10,xSp10D10,Excit.L2,25,3.879156516207116e-4,8.351447499334216e-4
k10,xSp10D10,Inhib.Chandelier,18,2.7929926916691233e-4,0.010197293848854273
k10,xSp10D10,Excit.L5.1,16,2.482660170372554e-4,0.002094049521357473
k10,xSp10D10,Excit.L2_5.2,15,2.3274939097242696e-4,0.0022743047825639867
k10,xSp10D10,Inhib.Pax6,10,1.5516626064828462e-4,0.005081441767817492
k10,xSp10D10,OPC.3,5,7.758313032414231e-5,0.21687624906285372
k10,xSp10D10,OPC.1,1,1.5516626064828464e-5,0.01648074096368457
k10,xSp10D10,Excit.L5.2,1,1.5516626064828464e-5,3.009469245560468e-4
k10,xSp10D10,Excit.L5_6_NP,1,1.5516626064828464e-5,0.001684251461453905
