Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000084070,SMAP2,84,-0.2970,107,0.15276,141,0.72487,75,-0.4539,52,-1.0026
ENSG00000117016,RIMS3,66,0.07033,53,-0.3100,86,0.62799,84,0.47932,11,-2.6156
ENSG00000066136,NFYC,23,-0.8157,32,-0.2713,49,0.56608,59,0.79846,28,-0.4459
ENSG00000179862,CITED4,12,-0.5052,14,-0.2459,17,0.08309,14,-0.2122,28,0.97870
ENSG00000127124,HIVEP3,18,0.01959,16,-0.1544,34,1.39680,4,-2.2492,2,-2.7810
ENSG00000198815,FOXJ3,26,-0.9994,50,0.12697,85,1.34012,24,-1.0425,25,-0.9761
ENSG00000177181,RIMKLA,27,0.25816,16,-0.7174,37,0.90238,27,0.21447,3,-2.7815
ENSG00000127125,PPCS,46,-0.3195,58,0.14906,69,0.47932,42,-0.4232,46,-0.2720
ENSG00000171960,PPIH,14,-0.5532,30,0.89530,14,-0.5910,23,0.25470,16,-0.2786
ENSG00000065978,YBX1,99,-0.6559,93,-0.7727,52,-1.7210,413,1.98918,238,0.88203
ENSG00000164008,C1orf50,18,-0.5442,37,0.80094,20,-0.4107,26,0.09109,23,-0.1507
ENSG00000177868,SVBP,27,-0.6051,36,-0.0568,28,-0.5012,76,1.25157,40,0.10467
ENSG00000117394,SLC2A1,53,-1.2228,40,-1.6711,47,-1.3942,510,3.39543,57,-0.9871
ENSG00000117395,EBNA1BP2,52,-0.2485,93,0.92177,57,-0.0692,45,-0.4479,27,-1.2161
ENSG00000066322,ELOVL1,8,-2.4241,18,-1.2190,12,-1.9250,0,-5.8103,219,4.26458
