Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000114770,ABCC5,37,-0.3544,58,0.40321,24,-1.0119,99,1.38384,72,0.79651,22,-1.1154,13,-1.9386
ENSG00000145191,EIF2B5,23,-0.6449,43,0.43640,40,0.33272,57,0.94649,33,-0.0044,13,-1.4289,31,-0.0825
ENSG00000161202,DVL3,27,-0.5853,33,-0.1870,37,-0.0389,34,-0.1806,47,0.36045,46,0.33613,50,0.46751
ENSG00000161203,AP2M1,339,-0.5907,487,0.06783,494,0.09185,940,1.23072,541,0.24263,287,-0.7809,314,-0.6397
ENSG00000161204,ABCF3,19,-0.6129,30,0.16387,16,-0.7903,53,1.17178,27,0.02029,10,-1.4718,41,0.69453
ENSG00000145198,VWA5B2,23,-0.1510,36,0.62984,43,0.96747,23,-0.0683,48,1.17241,0,-5.5848,0,-5.4380
ENSG00000163888,CAMK2N2,193,0.58908,169,0.25555,63,-1.3076,270,1.08667,96,-0.6595,138,-0.0730,35,-2.1834
ENSG00000175166,PSMD2,88,-0.4615,139,0.34379,133,0.27333,150,0.48310,103,-0.1431,79,-0.5777,123,0.14066
ENSG00000114867,EIF4G1,54,-0.6472,76,-0.0315,41,-1.0221,111,0.60360,86,0.16521,126,0.82454,73,-0.0969
ENSG00000175182,FAM131A,126,-0.5961,177,0.02532,197,0.20135,341,1.17255,291,0.87598,107,-0.7757,32,-2.6010
ENSG00000163882,POLR2H,27,-0.5161,40,0.17245,32,-0.1857,60,0.86489,36,0.00163,33,-0.1473,33,-0.1382
ENSG00000090539,CHRD,19,-0.4544,29,0.26092,18,-0.4730,49,1.15648,22,-0.1772,21,-0.2570,21,-0.2936
ENSG00000177383,MAGEF1,43,-0.3886,81,0.71854,82,0.74662,76,0.60353,70,0.45050,0,-6.4499,30,-0.9229
ENSG00000156931,VPS8,17,-0.2755,20,-0.0424,25,0.35534,35,0.93650,17,-0.3149,10,-1.0553,20,0.00932
ENSG00000187068,C3orf70,44,0.91489,21,-0.4733,18,-0.7184,30,0.08951,21,-0.4276,18,-0.6847,29,0.08153
ENSG00000073803,MAP3K13,58,-0.0985,22,-1.5463,72,0.27253,38,-0.7399,46,-0.4447,152,1.66123,41,-0.6435
ENSG00000163900,TMEM41A,15,0.17207,14,-0.0170,21,0.69758,22,0.74532,12,-0.2574,3,-2.0460,9,-0.6819
ENSG00000163904,SENP2,27,-0.2034,32,0.13416,30,-0.0139,48,0.79897,46,0.72395,7,-2.1984,23,-0.4303
ENSG00000136527,TRA2B,39,-0.7241,64,0.16607,55,-0.0896,71,0.33630,60,0.06601,74,0.40494,62,0.11072
ENSG00000244405,ETV5,43,-0.3855,55,0.05652,98,1.06653,78,0.66910,89,0.90038,7,-3.0718,10,-2.4934
ENSG00000058866,DGKG,8,-1.3909,56,2.21959,18,0.04389,18,0.06700,27,0.71367,0,-5.0920,5,-1.9700
ENSG00000090520,DNAJB11,14,-0.7218,35,0.82033,19,-0.1827,33,0.72247,23,0.11606,12,-0.8471,21,-0.0637
ENSG00000156976,EIF4A2,386,-0.6149,652,0.31487,564,0.06996,855,0.78737,835,0.74400,429,-0.3723,215,-1.4492
ENSG00000073849,ST6GAL1,22,-0.8762,26,-0.5744,61,0.85697,31,-0.2535,60,0.82875,51,0.52854,21,-0.8600
ENSG00000163923,RPL39L,14,-0.5979,24,0.35149,41,1.34086,11,-0.8373,24,0.39611,11,-0.7906,14,-0.5117
ENSG00000157005,SST,153,-1.9699,188,-1.4916,109,-2.3033,373,-0.4314,289,-0.8327,2540,3.70677,93,-2.5336
ENSG00000113916,BCL6,26,0.24669,10,-1.2695,7,-1.7114,43,1.07930,16,-0.5727,18,-0.4079,38,0.82668
ENSG00000152492,CCDC50,27,0.18607,21,-0.2539,29,0.26127,18,-0.5332,16,-0.6742,0,-5.5260,59,1.56273
ENSG00000114279,FGF12,115,-0.2369,143,0.14705,199,0.71090,176,0.50016,246,1.09746,39,-1.8642,14,-3.3886
ENSG00000127249,ATP13A4,28,0.62726,13,-0.6898,21,0.08451,5,-1.9433,18,-0.2063,0,-5.3061,49,1.56860
ENSG00000198836,OPA1,74,-0.3009,96,0.15834,84,-0.0624,144,0.85599,137,0.76223,57,-0.6937,33,-1.5167
ENSG00000114315,HES1,21,0.01064,15,-0.4577,13,-0.7589,9,-1.1817,8,-1.3578,40,1.16445,37,0.99786
ENSG00000133657,ATP13A3,11,-1.5069,20,-0.3975,21,-0.3690,28,0.14389,34,0.45115,38,0.64371,45,0.94249
ENSG00000114331,ACAP2,15,-0.6664,39,0.95786,26,0.26193,20,-0.2093,10,-1.2136,12,-0.9929,41,1.04787
ENSG00000184203,PPP1R2,39,-0.8417,106,0.88808,96,0.71868,84,0.47235,56,-0.1923,59,-0.1053,25,-1.4420
ENSG00000189058,APOD,132,-2.1826,142,-1.9049,261,-0.9784,147,-1.8456,189,-1.4704,1577,2.27051,1283,1.79847
ENSG00000061938,TNK2,61,-0.2670,83,0.27395,77,0.15018,75,0.10134,78,0.16655,75,0.09903,54,-0.4414
ENSG00000072274,TFRC,38,-0.2126,36,-0.3012,63,0.63342,55,0.41846,64,0.67031,22,-1.0329,28,-0.7063
ENSG00000161217,PCYT1A,19,-0.7575,17,-0.8570,23,-0.3934,28,-0.0925,38,0.43921,62,1.31131,29,-0.0404
ENSG00000213123,TCTEX1D2,48,-0.0636,67,0.49737,65,0.43018,57,0.21679,49,-0.0387,39,-0.4001,27,-0.9972
ENSG00000163960,UBXN7,15,-0.2697,8,-1.1635,10,-0.8939,9,-1.0125,25,0.56123,21,0.27257,39,1.33322
ENSG00000163961,RNF168,19,0.20345,13,-0.4496,21,0.28019,22,0.39384,15,-0.2066,14,-0.2967,15,-0.2426
ENSG00000174013,FBXO45,23,-0.5369,25,-0.3320,48,0.73896,28,-0.1597,46,0.66938,38,0.33475,17,-0.9795
ENSG00000163964,PIGX,43,-0.3197,42,-0.3458,48,-0.1221,83,0.81161,75,0.63719,49,-0.0945,29,-0.8835
ENSG00000180370,PAK2,28,-0.2556,28,-0.2055,27,-0.2911,38,0.28148,49,0.73116,19,-0.8473,39,0.34709
ENSG00000119231,SENP5,25,-0.3519,31,0.02138,40,0.47292,33,0.14373,36,0.25843,19,-0.7762,34,0.20719
ENSG00000114503,NCBP2,54,0.23813,65,0.51396,53,0.18491,36,-0.4328,52,0.13223,15,-1.7365,52,0.14578
ENSG00000270170,NCBP2AS2,36,-0.5082,68,0.61361,56,0.28725,68,0.60773,49,0.06634,34,-0.5272,31,-0.6538
ENSG00000119227,PIGZ,10,-1.1886,18,-0.1584,47,1.50221,27,0.50598,20,-0.0430,13,-0.6648,16,-0.3987
ENSG00000228109,MELTF-AS1,16,-0.5519,11,-1.0631,18,-0.2684,14,-0.6267,31,0.58852,64,2.01763,2,-3.0681
ENSG00000075711,DLG1,42,-0.7651,65,0.00809,75,0.24238,85,0.45321,113,0.95958,17,-2.0618,78,0.32473
ENSG00000161267,BDH1,39,0.56921,36,0.33873,16,-0.9200,42,0.58717,36,0.29608,12,-1.4024,16,-0.9540
ENSG00000145016,RUBCN,23,-0.6737,48,0.63626,36,0.13039,43,0.44913,36,0.12480,27,-0.3147,29,-0.2202
ENSG00000122068,FYTTD1,29,-0.5717,57,0.63655,23,-0.8618,34,-0.2380,26,-0.6625,76,1.15478,41,0.06570
ENSG00000186001,LRCH3,10,-0.7634,15,-0.0910,19,0.30734,18,0.22495,15,-0.1024,10,-0.7462,29,1.05099
ENSG00000182899,RPL35A,937,-0.1741,1062,0.05433,992,-0.0579,483,-1.1928,709,-0.5972,1962,1.13346,1137,0.16884
ENSG00000182903,ZNF721,12,-1.0294,23,0.07053,23,0.08152,36,0.83151,35,0.76954,11,-1.0426,24,0.12118
ENSG00000174227,PIGG,14,-0.1307,8,-0.9513,4,-1.9464,27,0.99829,12,-0.3220,5,-1.5970,36,1.53238
ENSG00000273238,TMEM271,42,-0.5690,90,0.75374,115,1.20619,80,0.53547,66,0.21016,9,-2.8546,19,-1.7120
ENSG00000169020,ATP5ME,1065,0.15465,863,-0.2144,1496,0.71570,787,-0.3628,776,-0.3855,855,-0.2284,964,-0.0336
ENSG00000215375,MYL5,17,0.13887,18,0.16480,13,-0.2761,15,-0.0593,15,-0.1082,20,0.38857,12,-0.4815
ENSG00000185619,PCGF3,22,-0.2260,33,0.51354,20,-0.2790,24,-0.0497,48,1.18805,12,-1.0877,14,-0.8450
ENSG00000168993,CPLX1,283,0.45350,91,-1.4268,155,-0.6050,375,0.87174,359,0.79309,174,-0.4248,87,-1.4884
ENSG00000178950,GAK,29,-0.7013,42,-0.0395,45,0.06007,70,0.82300,72,0.87777,37,-0.2204,20,-1.1795
ENSG00000127419,TMEM175,20,-0.8705,29,-0.1474,16,-1.0772,42,0.43148,46,0.61343,19,-0.8440,65,1.24947
ENSG00000145214,DGKQ,15,-0.4685,16,-0.3211,15,-0.3518,51,1.75562,21,0.15472,13,-0.6224,8,-1.2942
ENSG00000127418,FGFRL1,30,1.08869,16,-0.2056,1,-3.7234,5,-2.0057,5,-1.9123,0,-5.1269,57,2.15747
ENSG00000159692,CTBP1,144,0.00056,172,0.29408,128,-0.1906,201,0.55689,219,0.70818,72,-1.1009,74,-1.0558
ENSG00000090316,MAEA,38,-0.4071,53,0.17005,46,-0.0507,95,1.22246,70,0.66994,18,-1.5109,21,-1.2540
ENSG00000163950,SLBP,45,-0.5422,90,0.65419,64,0.08225,83,0.51270,122,1.20629,29,-1.1738,10,-2.6642
ENSG00000168936,TMEM129,26,-0.2611,35,0.23029,27,-0.1766,24,-0.3803,50,0.88660,5,-2.6263,47,0.77284
ENSG00000068078,FGFR3,310,0.96460,199,0.02149,99,-1.0907,57,-1.9096,243,0.35715,102,-1.0419,252,0.41700
ENSG00000168924,LETM1,39,-0.2658,71,0.79043,46,0.05869,45,0.02412,41,-0.1348,49,0.15098,27,-0.7879
ENSG00000109685,NSD2,30,-0.3836,52,0.56487,62,0.87418,50,0.47092,42,0.20704,12,-1.7236,20,-1.0100
ENSG00000185049,NELFA,14,-0.1935,24,0.66588,11,-0.6190,20,0.34969,18,0.21655,0,-4.9787,26,0.83922
ENSG00000243449,C4orf48,492,-0.0850,517,0.00505,505,-0.0321,458,-0.1910,542,0.08397,330,-0.7133,783,0.71592
ENSG00000185818,NAT8L,294,0.55459,266,0.28922,162,-0.5154,268,0.30506,258,0.23763,129,-0.8741,117,-1.0304
ENSG00000123933,MXD4,38,-0.1817,36,-0.2311,29,-0.5955,31,-0.4551,33,-0.3882,50,0.29220,79,1.11514
ENSG00000159733,ZFYVE28,14,-0.3802,26,0.73296,15,-0.1483,27,0.78794,23,0.50173,14,-0.2587,2,-3.0215
ENSG00000063978,RNF4,34,-0.0714,29,-0.2870,43,0.31603,59,0.87679,45,0.40772,25,-0.5585,13,-1.5081
ENSG00000087266,SH3BP2,28,0.71806,6,-1.7211,31,0.81413,9,-1.1817,9,-1.1195,28,0.58623,16,-0.2682
ENSG00000087274,ADD1,158,-0.2751,174,-0.0803,130,-0.5490,231,0.39498,242,0.47405,181,-0.0196,188,0.04977
ENSG00000109736,MFSD10,27,-0.6638,35,-0.1961,21,-0.9861,54,0.53627,53,0.51248,80,1.25663,16,-1.3617
ENSG00000197386,HTT,55,-0.1453,72,0.31075,44,-0.5114,66,0.16971,87,0.63024,77,0.42566,22,-1.5576
ENSG00000159788,RGS12,47,-0.1604,124,1.61265,60,0.26887,26,-1.0554,34,-0.6392,38,-0.4636,31,-0.7724
ENSG00000163956,LRPAP1,115,-0.6166,172,0.09768,134,-0.3086,268,0.86907,163,0.01583,187,0.23817,140,-0.2375
ENSG00000132406,TMEM128,15,-0.2905,19,0.14586,14,-0.2957,16,-0.0991,27,0.77503,16,-0.0751,15,-0.1858
ENSG00000168824,NSG1,87,-0.3735,123,0.24294,40,-1.5373,220,1.28211,95,-0.1880,85,-0.3654,115,0.12449
ENSG00000168818,STX18,12,-0.5749,27,0.78342,9,-0.9249,21,0.34671,27,0.74022,9,-0.9212,18,0.10603
ENSG00000072832,CRMP1,192,-0.3225,198,-0.2356,150,-0.6777,508,1.42716,414,1.03152,118,-1.0545,57,-2.1376
ENSG00000181215,C4orf50,11,-0.8484,15,-0.2847,36,1.19161,29,0.79575,36,1.16800,1,-4.3222,6,-1.6336
ENSG00000152969,JAKMIP1,55,-0.5316,88,0.30037,136,1.07502,105,0.60685,113,0.74845,28,-1.5163,6,-3.5707
ENSG00000109501,WFS1,119,0.19447,87,-0.3347,42,-1.4785,142,0.47421,174,0.82875,86,-0.3507,90,-0.2893
ENSG00000074211,PPP2R2C,183,0.24685,116,-0.5324,193,0.29853,314,1.16996,183,0.20592,64,-1.4382,54,-1.6882
ENSG00000013288,MAN2B2,26,-0.5111,12,-1.6494,26,-0.4721,71,1.25227,61,0.95935,42,0.31876,14,-1.4105
ENSG00000179010,MRFAP1,259,-0.2047,345,0.29706,360,0.36583,302,0.07086,312,0.12339,131,-1.2445,344,0.29213
ENSG00000170846,AC093323.1,36,-0.6039,101,1.20398,68,0.49097,59,0.23285,65,0.39895,17,-1.6575,24,-1.1689
ENSG00000178988,MRFAP1L1,66,-0.5896,122,0.48337,103,0.19469,118,0.43121,88,-0.0603,94,0.04775,74,-0.3466
ENSG00000186222,BLOC1S4,14,0.13784,13,-0.0165,11,-0.2248,23,1.00237,15,0.32723,1,-3.7117,11,-0.1551
ENSG00000170871,KIAA0232,45,-0.3154,59,0.17052,54,0.02364,111,1.30066,65,0.33387,16,-1.8344,30,-0.8805
ENSG00000132405,TBC1D14,34,-0.4978,66,0.64473,42,-0.1047,55,0.33261,40,-0.1647,46,0.03903,41,-0.1269
ENSG00000173011,TADA2B,17,-0.0042,18,0.13125,13,-0.3770,30,1.01024,19,0.26605,11,-0.6556,8,-1.0884
ENSG00000109519,GRPEL1,30,-0.3987,38,-0.0028,43,0.22662,50,0.48903,42,0.17485,44,0.26069,23,-0.7526
ENSG00000184985,SORCS2,28,0.06494,23,-0.2424,14,-1.0680,21,-0.3700,39,0.60122,33,0.34582,30,0.17178
ENSG00000196526,AFAP1,12,-0.4259,24,0.72391,16,0.05879,31,1.16335,18,0.19261,0,-4.9389,12,-0.4718
ENSG00000163995,ABLIM2,24,-0.6228,71,1.28716,53,0.75832,61,0.98607,30,-0.1920,8,-2.1807,1,-4.4099
ENSG00000071127,WDR1,43,-1.0199,96,0.40571,57,-0.4584,51,-0.6309,84,0.17243,127,0.88592,105,0.55562
ENSG00000178163,ZNF518B,17,0.03114,19,0.16056,11,-0.6623,16,-0.0494,29,0.90881,20,0.30562,5,-1.6832
ENSG00000157869,RAB28,15,-0.6979,37,0.79342,21,-0.1321,17,-0.4802,30,0.42389,24,0.05410,24,0.10126
ENSG00000038219,BOD1L1,50,-0.3212,54,-0.1731,58,-0.0509,99,0.86279,93,0.75084,54,-0.1784,21,-1.6463
ENSG00000137449,CPEB2,18,-1.3455,20,-1.0583,49,0.36464,51,0.41719,62,0.76268,17,-1.3304,81,1.26397
ENSG00000118564,FBXL5,32,-1.2149,81,0.35530,51,-0.3823,80,0.35042,64,-0.0166,98,0.69944,81,0.36100
ENSG00000237765,FAM200B,81,-0.1424,83,-0.0757,109,0.37686,49,-0.9158,42,-1.1556,91,0.07369,161,1.07124
ENSG00000169762,TAPT1,18,-0.6583,34,0.49377,21,-0.3287,31,0.34976,39,0.72144,4,-2.6721,39,0.71023
ENSG00000169744,LDB2,13,-2.4085,195,2.38921,58,0.04215,70,0.34447,61,0.13032,40,-0.5383,2,-4.4846
ENSG00000151552,QDPR,149,-0.8705,89,-1.5593,258,0.11119,172,-0.5412,273,0.20606,91,-1.5239,750,2.14804
ENSG00000002549,LAP3,33,-0.1387,32,-0.1725,32,-0.1463,11,-1.7295,31,-0.2061,41,0.22724,70,1.19162
ENSG00000118579,MED28,31,-0.4469,22,-0.9161,29,-0.5146,40,0.02280,44,0.18001,74,1.08189,46,0.23595
ENSG00000163257,DCAF16,12,-0.5107,20,0.33176,16,-0.0001,16,-0.0621,15,-0.1201,7,-1.2769,32,1.15082
ENSG00000145147,SLIT2,24,0.22366,13,-0.7156,4,-2.3864,81,2.60261,14,-0.6578,6,-1.8654,4,-2.3173
ENSG00000163138,PACRGL,13,-0.5867,23,0.37407,21,0.22271,44,1.59697,14,-0.3749,9,-1.0316,7,-1.3530
ENSG00000185774,KCNIP4,39,-0.8701,198,2.15280,72,0.19948,89,0.56458,24,-1.5343,41,-0.7098,7,-3.2688
ENSG00000152990,ADGRA3,24,0.53831,3,-2.6100,29,0.80742,5,-1.9117,15,-0.2561,0,-5.1448,44,1.60896
ENSG00000109606,DHX15,27,-0.4318,41,0.31286,30,-0.2109,52,0.71264,48,0.57817,18,-1.0000,30,-0.2217
ENSG00000109610,SOD3,15,-1.1143,27,-0.0510,12,-1.2814,6,-2.3580,3,-3.1304,119,2.92360,29,0.02093
ENSG00000053900,ANAPC4,6,-1.4645,17,0.19783,15,0.05737,23,0.75695,20,0.49820,14,-0.0603,16,0.17838
ENSG00000091490,SEL1L3,14,-0.1799,10,-0.7019,16,0.12847,17,0.19437,48,2.13656,1,-4.0710,2,-2.6589
ENSG00000250317,SMIM20,45,0.59771,24,-0.5186,21,-0.7142,37,0.16657,36,0.13768,2,-3.9991,57,0.90512
ENSG00000168214,RBPJ,44,-0.3456,34,-0.7083,56,0.07660,60,0.21592,59,0.16277,27,-1.0417,101,1.11098
ENSG00000109689,STIM2,8,-1.2902,18,0.05019,22,0.38805,17,0.01463,14,-0.2716,22,0.41473,28,0.82349
ENSG00000169851,PCDH7,56,-1.0207,302,2.07199,78,-0.4119,194,1.15026,81,-0.3509,32,-1.7883,4,-4.6954
ENSG00000047365,ARAP2,10,-1.4294,27,0.20012,37,0.69770,13,-0.9409,29,0.30305,17,-0.5977,50,1.26385
ENSG00000065882,TBC1D1,12,-0.7860,25,0.45075,19,-0.0014,11,-0.7656,20,0.10772,42,1.39378,10,-1.0173
ENSG00000109787,KLF3,18,-0.1499,15,-0.4210,17,-0.2597,12,-0.7395,25,0.33477,28,0.53968,26,0.44211
ENSG00000109790,KLHL5,18,-0.3719,12,-0.9994,46,1.28774,19,-0.2176,31,0.54670,9,-1.4022,24,0.14675
ENSG00000035928,RFC1,28,-0.1727,20,-0.6474,27,-0.1914,24,-0.4259,15,-1.1650,55,0.99518,49,0.80145
ENSG00000163682,RPL9,1064,-0.0655,1100,-0.0014,1277,0.24677,655,-0.8292,620,-0.9162,1833,0.87861,1196,0.13726
ENSG00000163683,SMIM14,42,-0.5364,50,-0.2018,62,0.14478,68,0.29388,71,0.37833,69,0.31690,50,-0.2158
ENSG00000078140,UBE2K,75,-0.3812,100,0.13153,103,0.18329,177,1.12729,132,0.60208,49,-1.0143,29,-1.8066
ENSG00000121892,PDS5A,19,-0.8214,25,-0.2446,30,0.02180,40,0.50322,59,1.21381,25,-0.2954,20,-0.6115
ENSG00000163697,APBB2,28,-0.1963,28,-0.1561,24,-0.3869,31,-0.0029,53,0.93002,15,-1.1061,40,0.43168
ENSG00000154277,UCHL1,810,-0.5852,1837,0.86099,1186,0.10314,2220,1.21517,1344,0.31319,503,-1.2548,204,-2.6087
ENSG00000064042,LIMCH1,89,-0.1491,129,0.49117,76,-0.3835,139,0.62133,80,-0.3014,50,-1.0338,119,0.34619
ENSG00000109133,TMEM33,52,-0.3459,44,-0.5579,49,-0.4031,103,0.85772,92,0.65893,41,-0.6642,67,0.11380
ENSG00000014824,SLC30A9,66,-0.2017,76,0.04774,77,0.07660,122,0.86384,92,0.37351,57,-0.4125,33,-1.2603
ENSG00000124406,ATP8A1,45,-1.3820,161,0.80773,110,0.15669,164,0.84165,144,0.60736,30,-1.8411,103,0.04283
ENSG00000151806,GUF1,15,0.08782,11,-0.3103,28,1.21591,13,-0.1031,14,-0.0269,5,-1.6263,11,-0.3408
ENSG00000163281,GNPDA2,8,-0.6690,21,0.90656,9,-0.5167,24,1.17587,25,1.20889,0,-4.6054,2,-2.3868
ENSG00000163285,GABRG1,71,0.23381,48,-0.4382,91,0.62526,15,-2.2008,106,0.89286,30,-1.1514,72,0.21513
ENSG00000260878,AC104072.1,31,0.22743,69,1.66513,15,-0.9236,50,1.06212,22,-0.3590,0,-5.6107,1,-4.9595
ENSG00000151834,GABRA2,70,0.74567,108,1.42880,26,-0.9681,51,0.08307,44,-0.1464,0,-6.5575,18,-1.4905
ENSG00000109158,GABRA4,31,-0.1215,50,0.69356,19,-0.8469,82,1.64332,43,0.43358,3,-3.2972,5,-2.8378
ENSG00000163288,GABRB1,21,-0.7887,37,0.17858,36,0.12971,51,0.74185,87,1.76831,0,-6.0025,11,-1.7219
ENSG00000260918,AC107398.3,68,-0.3014,93,0.23829,71,-0.1991,95,0.27315,142,0.98585,54,-0.6293,51,-0.7176
ENSG00000169019,COMMD8,17,-0.3277,27,0.49662,12,-0.7911,25,0.35284,17,-0.2928,37,1.06833,9,-1.2437
ENSG00000109171,SLAIN2,13,-0.3306,15,-0.0772,20,0.38986,14,-0.1631,13,-0.2587,28,0.94628,10,-0.7581
ENSG00000075539,FRYL,12,-0.9850,18,-0.2209,7,-1.5235,20,-0.0255,26,0.43272,20,-0.0211,48,1.52406
ENSG00000109180,OCIAD1,135,-1.1049,265,0.07500,190,-0.4577,456,1.02683,386,0.72115,303,0.30079,152,-0.8150
ENSG00000145247,OCIAD2,48,-0.1231,76,0.68369,70,0.52856,51,-0.0084,25,-1.1048,57,0.16962,34,-0.6569
ENSG00000109184,DCUN1D4,35,-0.3937,28,-0.7055,38,-0.1910,53,0.33542,72,0.87970,48,0.18656,36,-0.2817
ENSG00000163069,SGCB,51,-0.2699,68,0.24119,65,0.15057,64,0.14403,72,0.33747,5,-3.5060,95,0.81127
ENSG00000109189,USP46,63,-0.0253,103,0.81249,58,-0.1621,105,0.85481,55,-0.2505,24,-1.5374,41,-0.7149
ENSG00000226950,DANCR,53,-0.0587,60,0.15259,77,0.57548,42,-0.4356,53,-0.0688,25,-1.2455,76,0.54794
ENSG00000145216,FIP1L1,22,-0.0577,31,0.55997,15,-0.6524,19,-0.2612,35,0.73963,29,0.45309,6,-1.8755
ENSG00000072201,LNX1,22,-0.4400,52,1.07970,28,0.00017,73,1.76413,18,-0.6820,8,-1.9149,0,-7.3818
ENSG00000134853,PDGFRA,34,-0.3347,44,0.15148,54,0.48454,8,-2.4121,35,-0.2126,62,0.72960,52,0.41518
ENSG00000157404,KIT,23,-0.6069,65,1.23239,60,1.07150,20,-0.7282,38,0.29021,8,-2.1211,20,-0.7491
ENSG00000128039,SRD5A3,9,-1.0662,15,-0.2186,40,1.50996,31,1.03833,17,0.01719,0,-5.0740,14,-0.2574
ENSG00000134851,TMEM165,15,-1.4188,14,-1.3448,30,-0.1926,44,0.40355,44,0.42340,16,-1.1492,95,1.87970
ENSG00000134852,CLOCK,23,-0.3854,26,-0.1245,44,0.77383,23,-0.2817,38,0.51977,33,0.28551,13,-1.1349
ENSG00000090989,EXOC1,20,-0.8076,29,-0.1502,29,-0.1125,53,0.88302,35,0.18362,28,-0.2024,38,0.31276
ENSG00000128050,PAICS,38,-0.1283,42,0.04107,30,-0.4779,37,-0.1425,38,-0.0962,47,0.24761,55,0.49568
ENSG00000174780,SRP72,38,-0.6395,45,-0.2845,44,-0.3439,87,0.79505,57,0.08252,90,0.85954,35,-0.6829
ENSG00000171476,HOPX,405,0.34630,1036,2.10437,150,-1.2889,370,0.13966,60,-2.6483,248,-0.5101,46,-3.0316
ENSG00000047315,POLR2B,29,-0.9664,73,0.63537,44,-0.2263,88,0.96103,48,-0.0784,45,-0.1908,46,-0.1247
ENSG00000163453,IGFBP7,146,-1.3156,105,-1.6832,183,-0.8305,39,-3.1353,142,-1.2235,1346,3.06245,364,0.27311
ENSG00000150471,ADGRL3,47,-0.5762,98,0.71465,97,0.69375,85,0.47607,83,0.42650,21,-1.7418,37,-0.8836
ENSG00000145242,EPHA5,33,-0.6553,37,-0.3932,49,0.05519,116,1.59628,91,1.12354,11,-2.2034,11,-2.2646
ENSG00000033178,UBA6,19,0.23704,10,-0.7900,18,0.05456,29,0.89376,19,0.13627,0,-5.0571,22,0.44388
ENSG00000083896,YTHDC1,32,-0.7171,48,0.00259,26,-0.9591,51,0.10365,65,0.53353,29,-0.7786,98,1.27179
ENSG00000132467,UTP3,14,-0.6761,29,0.58552,16,-0.4560,26,0.37632,30,0.59732,17,-0.2987,20,-0.0897
ENSG00000018189,RUFY3,102,-0.6185,179,0.37031,142,-0.0266,226,0.77340,204,0.59261,114,-0.3826,81,-0.9135
ENSG00000132463,GRSF1,59,-0.9050,126,0.40607,113,0.22718,156,0.78759,102,0.05502,77,-0.3879,95,-0.0537
ENSG00000173542,MOB1B,29,-0.9721,89,1.00504,38,-0.4527,113,1.45517,56,0.19779,25,-1.0509,20,-1.4198
ENSG00000156136,DCK,19,-0.9384,37,0.21547,50,0.73136,49,0.69378,41,0.39581,10,-1.7144,34,0.06777
ENSG00000080493,SLC4A4,95,0.95280,51,-0.2775,73,0.31240,19,-1.7386,79,0.44575,11,-2.5497,60,-0.0135
ENSG00000132466,ANKRD17,50,0.05740,62,0.40598,54,0.18342,50,0.04883,68,0.55675,30,-0.7538,24,-1.0816
ENSG00000169116,PARM1,61,0.33695,17,-1.7082,4,-3.6801,186,2.49703,26,-1.0508,49,-0.0995,9,-2.6521
ENSG00000163743,RCHY1,30,-0.4014,39,0.07247,42,0.20685,57,0.73716,27,-0.4868,47,0.38927,25,-0.6416
ENSG00000138769,CDKL2,12,-0.7424,11,-0.9011,18,-0.0500,43,1.42442,36,1.10593,2,-3.4181,18,-0.1223
ENSG00000138757,G3BP2,128,-0.7579,182,-0.1084,256,0.46234,385,1.20055,325,0.88387,107,-0.9532,45,-2.2385
ENSG00000138768,USO1,35,-0.1100,26,-0.5706,35,-0.1079,62,0.86744,44,0.29822,24,-0.7094,36,-0.0302
ENSG00000198301,SDAD1,14,-0.5688,18,-0.1159,19,-0.0212,45,1.48835,26,0.46009,6,-1.7369,13,-0.6175
ENSG00000138760,SCARB2,42,-1.3241,51,-0.9227,95,0.07073,71,-0.4001,122,0.48893,42,-1.1969,262,1.96869
ENSG00000138758,SEPTIN11,71,-0.4545,115,0.38888,116,0.40641,95,0.06517,121,0.47545,53,-0.8532,86,-0.0870
ENSG00000118816,CCNI,317,0.30772,130,-1.1552,256,-0.0954,254,-0.1065,276,0.03018,391,0.62176,228,-0.2834
ENSG00000138764,CCNG2,30,-0.2042,40,0.31578,62,1.07875,40,0.31108,27,-0.3099,8,-2.2069,29,-0.2247
ENSG00000169288,MRPL1,23,-0.7055,58,0.92558,58,0.94362,52,0.74954,30,-0.1567,13,-1.4718,12,-1.5976
ENSG00000138756,BMP2K,21,-0.3311,3,-3.1854,16,-0.6571,12,-1.0732,18,-0.4953,74,2.04868,33,0.46736
ENSG00000163291,PAQR3,11,-0.4322,13,-0.2096,3,-2.3938,31,1.36307,25,0.91618,0,-4.8277,21,0.61397
ENSG00000152784,PRDM8,52,0.55542,10,-2.0931,10,-2.0442,126,2.19807,34,-0.2222,16,-1.4283,15,-1.4447
ENSG00000138670,RASGEF1B,25,0.88436,18,0.16120,2,-3.0343,33,1.22794,6,-1.4967,13,-0.3112,8,-1.1108
ENSG00000273156,AC124016.2,19,0.00761,25,0.47808,29,0.74084,27,0.63948,16,-0.2525,2,-3.2235,13,-0.5996
