Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000127463,EMC1,19,-0.7018,31,0.07927,26,-0.1935,35,0.28128,42,0.55187,37,0.38478,25,-0.2806,17,-0.8642
ENSG00000053372,MRTO4,21,-0.7892,32,-0.1496,36,0.06895,25,-0.4745,44,0.37783,47,0.56439,31,-0.1416,29,-0.2658
ENSG00000053371,AKR7A2,63,0.48856,43,-0.1538,42,-0.1859,50,0.11323,41,-0.2011,40,-0.2754,77,0.82536,32,-0.5539
ENSG00000040487,SLC66A1,6,-0.8242,8,-0.3920,5,-1.0533,22,1.30213,9,-0.1034,12,0.35808,14,0.51238,8,-0.2919
ENSG00000077549,CAPZB,136,-0.5710,207,0.09083,207,0.08720,200,0.02769,185,-0.0954,244,0.38734,186,-0.0842,141,-0.5225
ENSG00000173436,MICOS10,313,-0.0282,300,-0.1060,397,0.39260,293,-0.1348,264,-0.3008,302,-0.0974,315,-0.0223,328,0.04532
ENSG00000158747,NBL1,74,-1.5115,222,0.19543,219,0.17018,213,0.10663,219,0.15531,212,0.11092,192,-0.0613,186,-0.1093
ENSG00000169914,OTUD3,10,-0.4296,12,-0.1169,11,-0.3593,9,-0.5179,24,0.99072,20,0.76797,5,-1.3650,10,-0.4051
ENSG00000162545,CAMK2N1,879,-0.5277,2345,1.25146,1164,-0.0991,585,-1.1477,871,-0.5408,934,-0.4749,936,-0.4307,1394,0.19780
ENSG00000090432,MUL1,28,0.16978,31,0.32807,16,-0.7434,36,0.56809,30,0.28067,25,-0.0020,22,-0.1917,18,-0.5474
ENSG00000183114,FAM43B,3,-2.2109,4,-1.8178,16,0.11205,38,1.59413,27,0.97454,14,-0.0940,14,-0.0649,11,-0.4055
ENSG00000158828,PINK1,215,-0.8819,334,-0.2284,406,0.11380,437,0.22108,461,0.30755,512,0.54387,255,-0.6236,314,-0.3009
ENSG00000244038,DDOST,22,-0.2138,31,0.38887,22,-0.2084,24,-0.0609,23,-0.1595,27,0.11962,28,0.15740,19,-0.4218
ENSG00000117245,KIF17,3,-2.6733,13,-0.9094,31,0.63745,12,-0.8554,28,0.37069,43,1.28951,10,-1.1932,15,-0.6193
ENSG00000189410,SH2D5,3,-3.6523,50,0.69132,26,-0.4575,27,-0.3513,45,0.42961,50,0.70840,21,-0.7241,28,-0.3257
ENSG00000127483,HP1BP3,174,0.26545,132,-0.1945,134,-0.1680,188,0.38536,172,0.24207,156,0.09764,151,0.03147,95,-0.6779
ENSG00000075151,EIF4G3,63,-0.9928,119,-0.0280,124,0.04802,115,-0.0771,126,0.07244,183,0.77265,92,-0.4249,80,-0.6434
ENSG00000117298,ECE1,35,1.38438,11,-0.4483,8,-0.9294,10,-0.5695,12,-0.3912,10,-0.7008,40,1.66821,9,-0.8365
ENSG00000162551,ALPL,4,-1.4165,5,-1.1979,7,-0.6391,4,-1.6087,13,0.21408,21,1.19374,21,1.02667,13,0.28720
ENSG00000076864,RAP1GAP,39,-1.9490,125,-0.2216,110,-0.4377,293,1.20913,244,0.89400,186,0.50127,64,-1.2147,76,-0.9670
ENSG00000090686,USP48,64,0.56736,41,-0.1697,37,-0.3446,50,0.16746,65,0.59650,46,0.01719,41,-0.1479,29,-0.6906
ENSG00000070831,CDC42,226,0.01393,217,-0.0568,202,-0.1817,254,0.19889,295,0.44404,266,0.31002,184,-0.3095,136,-0.7791
ENSG00000173372,C1QA,43,1.55021,15,-0.1622,10,-0.8390,9,-0.9120,3,-2.4270,5,-1.8314,49,1.77693,22,0.37189
ENSG00000159189,C1QC,39,1.47089,12,-0.4283,11,-0.6565,11,-0.5094,5,-1.6431,5,-1.8095,42,1.62887,22,0.51693
ENSG00000173369,C1QB,54,1.57889,15,-0.5219,17,-0.3547,9,-1.2093,6,-1.7391,7,-1.6779,49,1.39721,34,0.74970
ENSG00000133216,EPHB2,10,-0.3571,17,0.60507,13,0.17908,3,-1.9340,16,0.44490,13,0.10678,10,-0.2610,8,-0.6861
ENSG00000004487,KDM1A,30,-0.4889,48,0.27265,31,-0.5145,46,0.14583,66,0.73640,44,0.11826,35,-0.2684,34,-0.3273
ENSG00000169641,LUZP1,10,-2.2607,38,-0.2535,59,0.50225,25,-0.8545,63,0.56713,68,0.78550,25,-0.8859,36,-0.3383
ENSG00000125944,HNRNPR,110,0.09806,103,-0.0173,108,0.07435,131,0.37665,134,0.41160,92,-0.2140,102,-0.0287,58,-0.8872
ENSG00000125945,ZNF436,10,-0.7624,20,0.31938,12,-0.5722,14,-0.2271,28,0.83715,25,0.79276,4,-1.9152,11,-0.5694
ENSG00000249087,ZNF436-AS1,5,-0.7509,12,0.45095,11,0.40095,6,-0.5392,3,-1.5524,9,-0.0413,7,-0.3200,14,0.64167
ENSG00000204219,TCEA3,11,0.43138,3,-1.4417,7,-0.1808,4,-0.9471,10,0.35563,6,-0.5525,21,1.50181,12,0.53584
ENSG00000117318,ID3,80,3.37819,2,-2.6600,1,-3.4931,2,-2.5452,0,-4.1690,0,-4.2509,53,2.37921,9,-0.6271
ENSG00000142676,RPL11,914,1.55662,274,-0.4926,273,-0.4956,392,0.11356,288,-0.3723,215,-0.8931,525,0.58805,375,0.04061
ENSG00000011007,ELOA,25,0.59698,14,-0.2912,20,0.25645,24,0.51475,17,-0.0007,15,-0.2207,14,-0.2566,9,-0.8699
ENSG00000057757,PITHD1,117,-0.7576,197,0.05271,171,-0.1887,194,0.02717,267,0.54089,262,0.57836,121,-0.7090,141,-0.4684
ENSG00000011009,LYPLA2,11,-1.7541,41,0.31194,35,0.00587,37,0.12224,36,0.05084,42,0.37201,27,-0.3479,32,-0.1185
ENSG00000117308,GALE,6,-1.2331,18,0.31781,13,-0.2198,14,-0.0565,14,-0.1174,22,0.74475,11,-0.4099,11,-0.4413
ENSG00000117305,HMGCL,28,0.49332,19,-0.1537,21,0.07462,25,0.32056,15,-0.4138,18,-0.1700,25,0.34462,14,-0.5970
ENSG00000179163,FUCA1,4,-1.6664,13,-0.0155,11,-0.2216,24,0.96853,15,0.20143,16,0.34289,15,0.17531,6,-1.2242
ENSG00000189266,PNRC2,68,0.23195,42,-0.5438,46,-0.3932,82,0.55016,80,0.49859,63,0.13120,60,0.05495,49,-0.2705
ENSG00000188529,SRSF10,50,0.02822,49,-0.0189,52,0.09387,57,0.23374,55,0.18903,49,0.00491,50,0.03390,29,-0.8332
ENSG00000001460,STPG1,5,-1.0229,12,0.48305,7,-0.4446,5,-0.8009,8,-0.2979,16,1.06395,7,-0.3773,6,-0.7117
ENSG00000001461,NIPAL3,151,1.22182,35,-1.1815,53,-0.5319,111,0.69135,146,1.16022,71,-0.0347,48,-0.6440,22,-1.7784
ENSG00000133226,SRRM1,132,1.29726,37,-0.8176,60,-0.0279,59,-0.0310,68,0.19178,58,-0.0677,54,-0.1863,43,-0.5381
ENSG00000169504,CLIC4,250,4.02692,6,-2.6959,6,-2.6502,48,0.44504,17,-1.1443,5,-2.9874,39,0.11179,10,-1.9647
ENSG00000117614,SYF2,126,1.01105,53,-0.4255,62,-0.1535,71,0.07543,80,0.27054,57,-0.2975,78,0.21802,47,-0.5604
ENSG00000117616,RSRP1,70,1.12835,36,0.02295,25,-0.5899,37,0.09524,30,-0.2658,37,0.07050,34,-0.0447,22,-0.7293
