Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000138495,COX17,162,-0.0715,184,0.13572,160,-0.0867,212,0.37432,151,-0.1874,170,0.00835,173,0.03916,140,-0.2988
ENSG00000082701,GSK3B,23,-1.9865,52,-0.7660,80,-0.0813,83,-0.0282,132,0.75492,96,0.23941,90,0.10907,107,0.39163
ENSG00000163428,LRRC58,39,1.04583,12,-0.8287,25,0.26826,14,-0.6602,19,-0.1248,15,-0.5308,21,0.02432,27,0.43118
ENSG00000065518,NDUFB4,223,-0.8004,358,-0.0557,359,-0.0499,635,0.91238,453,0.33121,337,-0.1708,306,-0.3081,325,-0.2110
ENSG00000144840,RABL3,29,0.46338,17,-0.3756,24,0.13854,22,0.04986,24,0.17905,19,-0.2182,20,-0.1371,21,-0.0705
ENSG00000145087,STXBP5L,13,-2.2848,36,-0.8441,49,-0.3512,73,0.29064,77,0.37760,68,0.20370,60,-0.0369,106,0.92803
ENSG00000173230,GOLGB1,85,0.62207,38,-0.6821,80,0.52635,54,-0.1319,37,-0.7373,29,-1.1749,57,-0.0419,117,1.18299
ENSG00000173226,IQCB1,11,-0.3496,12,-0.2685,10,-0.5892,18,0.42538,17,0.26426,10,-0.5481,16,0.24725,22,0.74299
ENSG00000163406,SLC15A2,9,-0.6036,20,0.60217,21,0.71186,15,0.12374,1,-2.9892,3,-2.4661,39,1.87540,12,-0.2418
ENSG00000114023,FAM162A,85,-0.5870,100,-0.3408,130,0.08194,110,-0.1833,147,0.28441,142,0.26411,119,-0.0592,137,0.16115
ENSG00000114030,KPNA1,39,-0.2745,31,-0.6316,35,-0.4533,52,0.18299,67,0.60166,50,0.14880,38,-0.2988,55,0.27674
ENSG00000121542,SEC22A,8,-0.6841,6,-1.1547,14,0.06885,11,-0.2292,10,-0.3756,11,-0.3226,26,1.14032,21,0.73807
ENSG00000173175,ADCY5,37,-0.6014,50,-0.1452,48,-0.2051,69,0.37433,50,-0.1288,46,-0.2915,73,0.48002,71,0.43738
ENSG00000206527,HACD2,49,0.11471,29,-0.6918,33,-0.5211,43,-0.1108,49,0.10773,42,-0.1638,62,0.49909,63,0.53158
ENSG00000065534,MYLK,95,2.37161,24,-0.1809,26,-0.0188,16,-0.7920,14,-1.0190,24,-0.1623,11,-1.3893,5,-2.3633
ENSG00000160145,KALRN,18,-2.8674,57,-1.2000,154,0.36567,157,0.39426,117,-0.0843,147,0.32666,142,0.22352,173,0.55462
ENSG00000082781,ITGB5,37,1.46501,16,0.06633,21,0.44879,18,0.24926,4,-2.0566,10,-0.8048,21,0.50511,4,-1.9091
ENSG00000163848,ZNF148,26,-0.1201,21,-0.4622,17,-0.7889,22,-0.3929,47,0.89371,28,0.02057,28,0.01018,34,0.31155
ENSG00000114520,SNX4,26,-0.4017,18,-0.9653,23,-0.5590,22,-0.6367,49,0.65185,32,-0.0606,54,0.81397,42,0.39790
ENSG00000114544,SLC41A3,22,-2.1617,73,-0.3506,54,-0.8073,80,-0.1982,154,0.89294,109,0.35398,119,0.44526,96,0.08850
ENSG00000144908,ALDH1L1,51,1.01248,28,0.03503,51,1.04195,34,0.32605,9,-1.7399,17,-0.8733,32,0.25011,11,-1.4244
ENSG00000159685,CHCHD6,36,-1.0896,51,-0.5446,83,0.21579,76,0.06951,83,0.21418,84,0.26914,96,0.46122,61,-0.2810
ENSG00000114554,PLXNA1,9,-2.1879,25,-0.7367,49,0.34106,26,-0.6605,54,0.50843,54,0.56695,25,-0.7410,63,0.76903
ENSG00000163870,TPRA1,19,-0.1301,15,-0.4857,19,-0.1155,17,-0.2748,20,-0.0984,19,-0.1254,25,0.27264,33,0.76447
ENSG00000114631,PODXL2,89,-1.0494,138,-0.3663,221,0.40218,141,-0.3258,166,-0.0663,164,-0.1015,206,0.28612,270,0.74273
ENSG00000114626,ABTB1,39,-0.5235,44,-0.3194,50,-0.1317,60,0.16095,99,1.02873,44,-0.3645,47,-0.2304,60,0.16367
ENSG00000074416,MGLL,118,-0.5800,238,0.56045,224,0.46093,218,0.41056,124,-0.4997,144,-0.2989,168,-0.0184,150,-0.1964
ENSG00000058262,SEC61A1,39,-0.3044,54,0.19954,48,0.02717,44,-0.1197,51,0.11206,54,0.23923,27,-0.8951,56,0.28554
ENSG00000175792,RUVBL1,9,-1.1889,14,-0.5014,4,-2.2639,19,0.03948,19,-0.0159,23,0.31382,35,1.02292,26,0.53148
ENSG00000132394,EEFSEC,4,-1.4583,13,0.12267,10,-0.3383,9,-0.4142,14,0.17405,11,-0.2337,17,0.52884,21,0.89965
ENSG00000163902,RPN1,71,-0.4173,52,-0.9140,90,-0.0454,78,-0.2793,106,0.21249,107,0.26434,107,0.23198,118,0.39024
ENSG00000075785,RAB7A,148,-0.2863,126,-0.5403,174,-0.0323,183,0.04816,224,0.38396,164,-0.1461,226,0.39621,188,0.09531
ENSG00000177646,ACAD9,16,-0.8336,16,-0.7986,19,-0.5612,35,0.42959,22,-0.3372,27,0.01100,35,0.44062,45,0.87595
ENSG00000240682,ISY1,10,-0.5385,10,-0.4851,19,0.45387,13,-0.1970,16,0.16050,10,-0.6555,15,0.08203,26,1.01171
ENSG00000169714,CNBP,170,0.22687,99,-0.6416,153,0.05277,145,-0.0372,132,-0.1825,141,-0.0912,245,0.84886,107,-0.5161
ENSG00000181789,COPG1,19,-2.1452,51,-0.6983,71,-0.1769,71,-0.1698,137,0.92720,91,0.26079,79,-0.0020,102,0.42120
ENSG00000183624,HMCES,20,-1.1642,30,-0.5749,41,-0.0712,48,0.19398,63,0.63434,41,-0.0965,57,0.45885,46,0.10275
ENSG00000184897,H1FX,110,-0.6729,145,-0.2409,170,0.01975,135,-0.3506,195,0.24336,216,0.48015,138,-0.3166,189,0.19029
ENSG00000129071,MBD4,25,0.04223,15,-0.7230,19,-0.3886,28,0.24709,33,0.51472,25,0.08178,25,0.07646,21,-0.1849
ENSG00000163913,IFT122,6,-1.6334,12,-0.5712,13,-0.4768,16,-0.2148,18,0.03283,20,0.18833,28,0.75835,28,0.71759
ENSG00000004399,PLXND1,21,-0.3956,24,-0.2023,26,-0.1110,23,-0.2558,25,-0.1613,51,1.27498,18,-0.6283,8,-1.8910
ENSG00000172765,TMCC1,19,-0.7833,14,-1.2139,17,-0.9911,38,0.26791,47,0.62598,44,0.63278,29,-0.1332,34,0.12759
ENSG00000196455,PIK3R4,15,-0.7724,13,-0.9673,23,-0.1393,21,-0.2213,30,0.34270,22,-0.1755,22,-0.1936,53,1.30283
ENSG00000017260,ATP2C1,55,-1.0726,65,-0.7966,101,-0.1218,64,-0.8256,136,0.37038,110,0.01730,134,0.34231,204,1.06794
ENSG00000198585,NUDT16,58,0.40124,40,-0.1758,35,-0.4062,37,-0.3054,52,0.22436,53,0.29949,39,-0.2177,39,-0.2353
ENSG00000114686,MRPL3,34,-0.7293,36,-0.6626,43,-0.3850,57,0.06483,81,0.66538,64,0.30381,51,-0.1078,61,0.17408
ENSG00000196353,CPNE4,0,-6.2123,24,-0.6324,25,-0.6286,25,-0.6068,91,1.59381,56,0.82288,27,-0.4852,27,-0.4963
ENSG00000138246,DNAJC13,21,-0.1796,21,-0.1770,18,-0.4261,34,0.61856,27,0.23094,22,-0.0735,18,-0.4469,27,0.25051
ENSG00000081307,UBA5,9,-2.0159,16,-1.2389,50,0.57474,38,0.11941,29,-0.3133,40,0.23589,45,0.38304,51,0.60651
ENSG00000144868,TMEM108,3,-3.0321,17,-0.8293,33,0.21876,26,-0.1537,38,0.47270,46,0.94703,18,-0.7416,31,0.10704
ENSG00000091527,CDV3,79,0.26359,57,-0.2567,67,0.01231,71,0.10260,83,0.34761,62,-0.1330,37,-0.9274,84,0.36813
ENSG00000163781,TOPBP1,16,-0.3329,12,-0.7783,12,-0.7679,15,-0.4740,18,-0.2041,27,0.56377,26,0.41275,28,0.53534
ENSG00000091513,TF,1331,4.95618,66,-1.5963,35,-2.5287,49,-2.0427,39,-2.3718,33,-2.7844,49,-2.0222,35,-2.5213
ENSG00000144867,SRPRB,19,-1.3038,17,-1.4800,34,-0.3938,39,-0.1887,55,0.36305,57,0.48067,74,0.86308,45,0.04789
ENSG00000154917,RAB6B,102,-2.4531,389,-0.4330,551,0.12857,548,0.11793,676,0.46838,624,0.38626,469,-0.1327,604,0.27761
ENSG00000114019,AMOTL2,63,1.47061,12,-1.2030,22,-0.3215,11,-1.3795,29,0.12748,29,0.12962,20,-0.4937,28,0.05052
ENSG00000129055,ANAPC13,34,-1.0549,49,-0.5020,59,-0.2223,68,0.01222,100,0.65650,75,0.18895,82,0.31359,66,-0.0358
ENSG00000182923,CEP63,18,0.11160,18,0.06844,15,-0.1670,17,0.00577,14,-0.2813,24,0.67103,9,-1.0005,13,-0.3608
ENSG00000154928,EPHB1,14,-0.1581,16,0.08192,13,-0.2114,28,1.01379,12,-0.3870,13,-0.2447,25,0.81700,3,-2.5127
ENSG00000114054,PCCB,39,0.40183,15,-1.0603,53,0.91593,38,0.33599,22,-0.4951,29,-0.1245,25,-0.3206,26,-0.2604
ENSG00000168917,SLC35G2,12,-0.7243,9,-1.1869,14,-0.4907,13,-0.5731,39,1.22350,17,-0.1639,26,0.53791,23,0.32861
ENSG00000158092,NCK1,9,-0.8386,15,-0.1424,15,-0.1163,13,-0.3538,22,0.49795,19,0.27064,15,-0.0793,19,0.23568
ENSG00000114098,ARMC8,28,-0.8236,25,-1.0402,43,-0.1663,57,0.28134,41,-0.2519,45,-0.1181,78,0.81212,70,0.62123
ENSG00000158186,MRAS,33,-1.2999,75,-0.0136,118,0.74407,78,0.06132,66,-0.2219,41,-1.0410,109,0.61620,118,0.74785
ENSG00000114107,CEP70,13,-0.7616,15,-0.5516,62,1.90805,23,0.11895,6,-1.8565,10,-1.2796,29,0.53429,23,0.15230
ENSG00000051382,PIK3CB,27,-1.1434,44,-0.4102,78,0.49617,49,-0.2594,54,-0.1016,46,-0.4132,88,0.70495,86,0.66875
ENSG00000175110,MRPS22,17,-1.3008,22,-0.9064,33,-0.3237,58,0.62946,52,0.44112,53,0.52591,36,-0.1849,36,-0.1583
ENSG00000184432,COPB2,34,-0.0177,20,-0.8337,24,-0.5774,40,0.24133,35,0.02530,35,0.03204,25,-0.4770,62,0.97448
ENSG00000114115,RBP1,65,1.96914,21,-0.0476,20,-0.1078,21,-0.0854,10,-1.2289,13,-0.8528,21,-0.0378,11,-1.0107
ENSG00000158258,CLSTN2,19,-2.6029,46,-1.2694,135,0.41964,83,-0.3672,47,-1.2312,25,-2.3175,223,1.30774,339,2.15659
ENSG00000114120,SLC25A36,28,-1.2008,43,-0.5571,40,-0.6801,61,-0.0093,94,0.71874,74,0.36436,54,-0.1913,82,0.48723
ENSG00000177311,ZBTB38,24,-0.7741,32,-0.3317,38,-0.0821,43,0.13598,52,0.42340,42,0.09155,41,0.06093,44,0.16421
ENSG00000155903,RASA2,6,-1.5416,10,-0.8693,16,-0.2068,31,0.92778,22,0.33898,16,-0.1642,19,0.06685,24,0.49178
ENSG00000114125,RNF7,59,-0.7159,73,-0.4017,110,0.25909,117,0.36892,107,0.22155,88,-0.1217,99,0.08998,102,0.14084
ENSG00000069849,ATP1B3,40,-1.3642,66,-0.5967,64,-0.6423,73,-0.4465,156,0.81005,145,0.81099,75,-0.3937,103,0.10702
ENSG00000114126,TFDP2,25,0.07019,17,-0.5418,26,0.11214,19,-0.3607,13,-0.9518,35,0.71891,23,-0.0634,24,-0.0193
ENSG00000114127,XRN1,19,0.65378,6,-1.0827,10,-0.3640,13,0.04656,8,-0.5879,13,0.03762,14,0.22205,17,0.45497
ENSG00000175054,ATR,10,-1.1999,14,-0.6404,24,0.20933,22,0.02889,34,0.77633,23,0.12274,18,-0.2382,24,0.19726
ENSG00000144935,TRPC1,17,-0.8840,18,-0.8222,24,-0.3389,17,-0.8974,54,0.95845,32,0.09228,32,0.08689,47,0.72878
ENSG00000163714,U2SURP,60,0.45477,38,-0.2720,34,-0.4499,24,-0.9904,41,-0.1488,37,-0.3426,61,0.47951,75,0.84418
ENSG00000175040,CHST2,12,-2.1301,32,-0.7286,21,-1.3616,45,-0.1839,109,1.32708,69,0.60151,65,0.40947,33,-0.6657
ENSG00000163754,GYG1,21,-1.5797,30,-1.0232,72,0.33325,59,0.00925,82,0.55755,68,0.27095,78,0.47443,50,-0.2620
ENSG00000071794,HLTF,23,-0.6178,24,-0.5568,34,-0.0480,26,-0.4540,33,-0.0543,42,0.37028,34,-0.0479,53,0.71091
ENSG00000163755,HPS3,8,-0.7724,8,-0.7595,10,-0.4130,13,-0.0543,26,1.07027,19,0.62629,6,-1.1945,13,-0.1063
ENSG00000114744,COMMD2,28,0.60505,15,-0.4487,18,-0.1174,29,0.65953,15,-0.4354,10,-1.1733,18,-0.1312,33,0.89533
ENSG00000082996,RNF13,165,1.74228,25,-1.3979,38,-0.7730,56,-0.1628,55,-0.1791,53,-0.2694,51,-0.2990,60,-0.0467
ENSG00000070087,PFN2,163,-1.5132,314,-0.5089,494,0.21867,510,0.27116,543,0.37465,376,-0.2554,530,0.33599,585,0.50163
ENSG00000196428,TSC22D2,18,-1.0966,20,-0.8909,28,-0.3744,32,-0.1636,30,-0.2650,46,0.49026,54,0.67744,47,0.45252
ENSG00000120742,SERP1,90,0.20661,76,-0.0725,61,-0.4132,122,0.71780,49,-0.7448,78,-0.0453,99,0.36685,62,-0.4044
ENSG00000144895,EIF2A,29,-0.7358,24,-1.0133,56,0.31148,51,0.15090,37,-0.3391,55,0.31384,63,0.51502,47,0.01512
ENSG00000198843,SELENOT,74,-1.0424,107,-0.4775,107,-0.4805,128,-0.1954,179,0.35505,166,0.26139,161,0.17918,212,0.63787
ENSG00000181788,SIAH2,13,-0.9969,19,-0.4207,16,-0.6486,16,-0.6621,46,1.04089,32,0.48252,21,-0.2523,28,0.17612
ENSG00000144893,MED12L,2,-2.7548,14,-0.0002,16,0.17366,10,-0.4674,11,-0.3907,19,0.53449,15,0.08301,22,0.68752
ENSG00000152601,MBNL1,36,-0.7148,39,-0.5924,32,-0.9108,65,0.19385,91,0.76376,59,0.04145,51,-0.1859,85,0.64945
ENSG00000181467,RAP2B,11,-1.1347,16,-0.6439,28,0.27321,22,-0.1112,37,0.75511,19,-0.4142,27,0.23052,34,0.59086
ENSG00000174953,DHX36,40,-0.5617,33,-0.8301,59,0.05541,44,-0.3853,60,0.09733,56,-0.0106,95,0.87375,66,0.24050
ENSG00000114805,PLCH1,6,-2.3637,10,-1.6849,23,-0.4421,25,-0.3220,31,0.01620,80,2.24518,6,-2.4945,15,-1.1168
ENSG00000174928,C3orf33,0,-4.6480,5,-1.6441,20,0.37038,15,-0.0749,24,0.70320,19,0.36829,9,-0.8970,30,1.08816
ENSG00000169359,SLC33A1,11,-0.6192,18,0.06302,13,-0.3885,15,-0.1728,26,0.65228,11,-0.6961,19,0.17704,29,0.85429
ENSG00000163655,GMPS,17,-0.9358,25,-0.3866,21,-0.6276,24,-0.4466,42,0.45721,45,0.66419,16,-1.0243,50,0.77796
ENSG00000169282,KCNAB1,12,-2.1870,35,-0.6787,35,-0.6649,71,0.45500,89,0.84927,83,0.86291,46,-0.2524,29,-0.9499
ENSG00000114850,SSR3,77,0.24624,64,-0.0608,56,-0.2657,61,-0.1251,79,0.28581,60,-0.1932,81,0.32682,59,-0.1834
ENSG00000163660,CCNL1,30,1.12852,10,-0.5881,10,-0.5666,7,-1.1860,21,0.50961,7,-1.1688,13,-0.1770,30,1.13433
ENSG00000174891,RSRC1,36,0.02489,32,-0.1639,44,0.33946,32,-0.1705,26,-0.4645,43,0.36378,37,0.04751,27,-0.4471
ENSG00000178053,MLF1,15,-0.4099,10,-0.9428,19,0.03269,12,-0.7118,26,0.50425,19,0.01788,31,0.81127,19,0.03922
ENSG00000168827,GFM1,29,-0.4391,19,-1.1074,40,0.08891,33,-0.2209,46,0.31347,48,0.42331,37,-0.0616,44,0.23338
ENSG00000079257,LXN,5,-1.5907,10,-0.4997,11,-0.3582,10,-0.5689,30,1.21246,14,-0.0401,11,-0.4087,24,0.85356
ENSG00000118855,MFSD1,19,-0.0945,16,-0.3769,6,-1.8069,20,-0.0189,40,1.17671,20,-0.0310,20,-0.0111,21,0.04021
ENSG00000180044,C3orf80,5,-3.2766,20,-1.3466,71,0.66982,57,0.30219,59,0.33990,36,-0.4740,56,0.27126,87,1.02431
ENSG00000068885,IFT80,31,-0.0784,22,-0.5911,27,-0.2992,27,-0.3361,33,0.02055,38,0.28741,33,-0.0071,46,0.53689
ENSG00000186432,KPNA4,37,-1.1315,52,-0.6359,76,-0.0274,66,-0.2480,111,0.59453,76,-0.0375,120,0.73223,82,0.10659
ENSG00000163590,PPM1L,28,-1.8184,43,-1.1671,98,0.13268,96,0.09342,103,0.21381,133,0.76087,83,-0.1429,98,0.12998
ENSG00000169255,B3GALNT1,14,-2.5307,57,-0.4132,76,0.03578,41,-0.9254,97,0.43466,68,-0.1705,98,0.45332,151,1.21199
ENSG00000169251,NMD3,15,-0.4589,14,-0.6246,19,-0.1456,26,0.33497,11,-0.9372,25,0.35545,33,0.76932,19,-0.1808
ENSG00000196542,SPTSSB,1,-3.4618,9,-0.8992,16,-0.0919,11,-0.7021,30,0.94652,27,0.97023,9,-0.9205,20,0.31647
ENSG00000114209,PDCD10,39,0.11424,22,-0.8060,63,0.89982,28,-0.4015,46,0.36464,29,-0.4133,32,-0.2060,41,0.19904
ENSG00000163536,SERPINI1,126,-2.4487,239,-1.4988,547,-0.2201,662,0.08833,845,0.49412,1059,1.07132,359,-0.8804,749,0.29048
ENSG00000173905,GOLIM4,99,1.95364,54,0.79686,29,-0.2338,30,-0.1573,9,-1.9821,20,-0.8461,31,-0.0981,7,-2.2210
ENSG00000008952,SEC62,628,1.16299,271,-0.2574,284,-0.1831,273,-0.2471,360,0.19821,213,-0.7087,331,0.06010,294,-0.1278
ENSG00000173889,PHC3,23,0.65293,13,-0.2882,12,-0.3468,15,-0.0688,22,0.56809,11,-0.5994,12,-0.3106,19,0.38524
ENSG00000163558,PRKCI,12,-1.8518,29,-0.5440,34,-0.2917,43,0.08189,78,1.10134,51,0.43981,23,-0.8811,45,0.17592
ENSG00000136603,SKIL,23,0.12359,14,-0.6630,24,0.21297,16,-0.4271,34,0.81261,20,-0.0773,12,-0.9075,26,0.37842
ENSG00000013297,CLDN11,417,5.16827,17,-1.8265,6,-3.2814,16,-1.8922,10,-2.6356,8,-2.9661,13,-2.2244,11,-2.4989
ENSG00000013293,SLC7A14,28,-0.6598,15,-1.5491,37,-0.2095,47,0.16879,18,-1.3300,34,-0.4301,77,0.98079,95,1.37447
ENSG00000163584,RPL22L1,34,0.28151,42,0.62274,27,-0.0765,36,0.38305,19,-0.6538,16,-0.9695,24,-0.3060,44,0.68993
ENSG00000163577,EIF5A2,6,-1.8665,7,-1.5885,24,0.17140,26,0.31645,15,-0.5383,29,0.57342,28,0.41101,29,0.48360
ENSG00000154310,TNIK,41,0.38770,38,0.23620,36,0.18067,25,-0.4264,10,-1.8151,18,-0.9666,56,0.91779,50,0.70239
ENSG00000144959,NCEH1,9,-3.0448,31,-1.3112,53,-0.4930,65,-0.1740,142,1.13082,98,0.57068,72,-0.0161,87,0.29500
ENSG00000169760,NLGN1,13,-1.1188,17,-0.7308,8,-1.7441,19,-0.5358,51,1.11386,42,0.93259,17,-0.7066,29,0.16903
ENSG00000177565,TBL1XR1,59,-0.7760,59,-0.7761,109,0.20025,73,-0.4448,107,0.18170,95,-0.0158,163,0.88771,105,0.15153
ENSG00000172667,ZMAT3,58,-0.7267,59,-0.6849,89,-0.0456,124,0.50321,101,0.16007,84,-0.1646,141,0.72106,85,-0.1291
ENSG00000121879,PIK3CA,13,-0.9394,10,-1.3003,24,-0.0206,27,0.18235,28,0.24788,25,0.10702,39,0.81448,24,0.01013
ENSG00000121864,ZNF639,22,-0.0498,11,-1.0642,19,-0.2796,28,0.32110,21,-0.1518,30,0.54570,14,-0.7122,29,0.39407
ENSG00000171109,MFN1,15,-0.3065,16,-0.2576,17,-0.1058,14,-0.4598,26,0.55080,18,-0.1023,17,-0.1703,27,0.62071
ENSG00000114450,GNB4,29,0.33216,14,-0.8480,18,-0.4410,11,-1.1982,1,-3.8744,6,-2.2119,43,0.99796,86,2.39585
ENSG00000136522,MRPL47,24,-1.1370,50,0.00312,59,0.25839,42,-0.2810,40,-0.3580,69,0.62271,51,0.01756,47,-0.0938
ENSG00000136521,NDUFB5,78,-1.1458,115,-0.5443,231,0.57889,166,0.02962,176,0.12884,169,0.07269,191,0.26444,169,0.05947
ENSG00000114757,PEX5L,79,-0.3033,51,-0.9756,63,-0.6736,101,0.07778,151,0.75396,74,-0.4701,129,0.48161,143,0.66431
ENSG00000163728,TTC14,23,0.32563,16,-0.2802,18,-0.0770,22,0.21580,22,0.23861,11,-0.9536,16,-0.2329,32,0.86368
ENSG00000114416,FXR1,97,0.82889,49,-0.2883,42,-0.5418,59,-0.0173,60,0.03287,50,-0.3200,53,-0.1671,73,0.34061
ENSG00000205981,DNAJC19,50,-1.1010,95,-0.1108,94,-0.1152,109,0.12109,106,0.06521,127,0.43421,74,-0.5041,131,0.41519
ENSG00000242808,SOX2-OT,808,3.74933,67,-1.1777,82,-0.8734,94,-0.6622,30,-2.3697,56,-1.5863,55,-1.4638,38,-2.0292
ENSG00000181449,SOX2,133,1.81801,75,0.74723,53,0.17218,44,-0.1381,23,-1.1622,16,-1.7900,52,0.12792,20,-1.3803
ENSG00000043093,DCUN1D1,34,-0.0417,40,0.23467,27,-0.3851,27,-0.4087,55,0.75373,33,-0.1121,34,-0.0487,31,-0.1841
ENSG00000078070,MCCC1,15,-0.2254,13,-0.4631,12,-0.5450,18,0.06741,22,0.40555,14,-0.3415,21,0.29681,26,0.67519
ENSG00000114796,KLHL24,51,1.03559,25,-0.1588,25,-0.1567,26,-0.1035,22,-0.3210,25,-0.1339,31,0.20096,16,-0.7972
ENSG00000163872,YEATS2,18,-0.6569,18,-0.6781,26,-0.0766,17,-0.6985,25,-0.1310,23,-0.2889,41,0.66942,54,1.16370
ENSG00000180834,MAP6D1,89,2.19356,11,-1.3594,12,-1.2290,15,-0.9263,17,-0.6800,23,-0.2632,30,0.16295,22,-0.3379
ENSG00000175193,PARL,30,-0.1973,29,-0.2294,18,-0.9414,31,-0.1501,35,0.05965,39,0.25512,51,0.69204,32,-0.0846
ENSG00000114770,ABCC5,15,-2.0200,35,-0.7474,50,-0.2053,78,0.51403,85,0.65111,60,0.09100,67,0.26154,64,0.17681
ENSG00000145191,EIF2B5,20,-1.2914,33,-0.5070,34,-0.4526,65,0.59515,51,0.17010,65,0.68618,42,-0.1177,35,-0.4006
ENSG00000161202,DVL3,35,-0.0172,32,-0.1588,41,0.22715,30,-0.2500,36,0.03410,32,-0.1519,48,0.48754,32,-0.1783
ENSG00000161203,AP2M1,225,-1.9693,520,-0.7025,724,-0.1796,946,0.25458,1028,0.39337,897,0.19237,921,0.21022,1130,0.55421
ENSG00000161204,ABCF3,16,-1.3559,21,-0.9619,29,-0.4580,48,0.32749,54,0.51707,45,0.26347,32,-0.3363,63,0.78231
ENSG00000145198,VWA5B2,14,-1.0614,34,0.33127,34,0.34357,23,-0.2718,39,0.57351,34,0.40874,14,-1.0102,22,-0.3984
ENSG00000163888,CAMK2N2,35,-2.7162,204,-0.0695,176,-0.3029,238,0.18655,260,0.33079,418,1.43652,83,-1.4503,81,-1.4880
ENSG00000175166,PSMD2,76,-1.0551,110,-0.4928,126,-0.2795,144,-0.0673,201,0.48528,151,0.01152,149,-0.0050,241,0.79702
ENSG00000114867,EIF4G1,67,-0.3540,73,-0.2287,74,-0.1998,75,-0.1835,104,0.35314,83,-0.0165,86,0.04988,109,0.43687
ENSG00000175182,FAM131A,36,-2.5864,114,-0.8852,218,0.14267,164,-0.3185,293,0.63259,194,-0.0519,310,0.73043,277,0.53889
ENSG00000163882,POLR2H,31,-0.5523,22,-1.0618,35,-0.3345,38,-0.2163,44,-0.0006,50,0.24028,64,0.62284,60,0.52907
ENSG00000090539,CHRD,7,-2.3846,19,-0.9182,29,-0.2667,32,-0.1228,31,-0.1514,66,1.40501,7,-2.3373,50,0.62336
ENSG00000177383,MAGEF1,37,-0.8214,32,-1.0427,65,0.08731,68,0.14553,50,-0.3310,71,0.24644,76,0.34306,88,0.58226
ENSG00000156931,VPS8,26,-0.4359,23,-0.6534,33,-0.0689,28,-0.3107,53,0.71653,37,0.11067,33,-0.0640,41,0.26768
ENSG00000187068,C3orf70,11,-1.2148,26,0.02615,25,-0.0478,29,0.18067,31,0.33998,33,0.48171,33,0.41693,9,-1.6152
ENSG00000073803,MAP3K13,50,-0.0173,49,-0.0704,31,-0.7841,64,0.37291,63,0.34202,71,0.65264,32,-0.7433,27,-0.9568
ENSG00000163900,TMEM41A,11,-0.8557,6,-1.5982,11,-0.8471,26,0.55181,28,0.67088,18,-0.0803,19,0.07864,30,0.81804
ENSG00000163904,SENP2,25,-0.8028,33,-0.3297,26,-0.6964,48,0.24291,59,0.60027,46,0.18465,30,-0.4983,58,0.56939
ENSG00000136527,TRA2B,56,-0.4744,56,-0.4776,98,0.42985,75,-0.0118,63,-0.3060,80,0.11142,102,0.49538,70,-0.1198
ENSG00000244405,ETV5,31,-0.4358,28,-0.5894,42,0.05185,32,-0.4100,38,-0.1351,37,-0.1680,50,0.33068,73,0.97495
ENSG00000058866,DGKG,11,-0.7275,9,-1.0065,17,-0.0870,21,0.17919,4,-2.1325,6,-1.9116,21,0.22144,70,2.51336
ENSG00000090520,DNAJB11,35,0.45336,12,-1.2425,32,0.26940,29,0.15676,19,-0.5561,25,-0.1504,33,0.33357,32,0.27392
ENSG00000156976,EIF4A2,273,-1.6646,419,-1.0158,1004,0.37621,780,-0.0394,927,0.24259,910,0.24477,748,-0.1080,1224,0.71381
ENSG00000073849,ST6GAL1,62,1.61469,13,-0.9894,20,-0.2870,28,0.19017,28,0.20522,20,-0.3954,10,-1.3534,21,-0.2493
ENSG00000163923,RPL39L,15,0.02436,15,0.00242,30,1.22312,13,-0.1662,14,-0.0476,9,-0.7800,7,-1.0577,19,0.41218
ENSG00000157005,SST,108,-0.8388,75,-1.3797,24,-3.0798,27,-2.8772,17,-3.5666,404,1.74745,47,-2.0755,543,1.96971
ENSG00000113916,BCL6,21,-0.1657,11,-1.1543,21,-0.1217,15,-0.7180,22,-0.0850,47,1.49900,18,-0.4136,7,-1.7885
ENSG00000152492,CCDC50,29,0.66945,32,0.83659,14,-0.5417,19,-0.0004,10,-0.9872,23,0.29046,16,-0.3090,9,-1.2000
ENSG00000114279,FGF12,52,-1.9059,122,-0.6148,205,0.21032,168,-0.1103,173,-0.0672,226,0.43767,221,0.33280,228,0.38729
ENSG00000198836,OPA1,48,-1.2277,60,-0.8876,68,-0.7183,113,0.10144,132,0.35668,132,0.41313,121,0.20440,151,0.58303
ENSG00000133657,ATP13A3,25,0.32113,12,-0.8554,18,-0.2357,12,-0.8357,29,0.57288,14,-0.6415,40,1.12967,21,0.02067
ENSG00000041802,LSG1,9,-0.6879,11,-0.4245,7,-1.0290,12,-0.2925,21,0.56033,14,-0.1279,16,0.07880,29,1.11397
ENSG00000114331,ACAP2,36,1.17794,14,-0.3792,12,-0.5638,15,-0.2310,18,0.02114,15,-0.3569,16,-0.1416,20,0.13761
