Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000261675,AL022313.4,14,-0.8297,30,0.88582,20,-0.0180
ENSG00000166862,CACNG2,20,-0.3211,21,-0.2091,33,0.67273
ENSG00000100360,IFT27,35,-0.3334,41,0.10417,48,0.35390
ENSG00000128311,TST,17,0.00427,12,-0.6326,25,0.65667
ENSG00000128309,MPST,19,-0.1307,17,-0.3214,27,0.54489
ENSG00000100379,KCTD17,99,-0.0848,109,0.12822,100,-0.0389
ENSG00000166897,ELFN2,39,-0.3578,46,0.06704,56,0.42925
ENSG00000100083,GGA1,29,-0.5234,40,0.26418,44,0.41444
ENSG00000241360,PDXP,319,-0.0052,303,-0.1076,345,0.14310
ENSG00000100097,LGALS1,215,0.87788,144,-0.2730,75,-1.3275
ENSG00000273899,NOL12,14,-0.0482,13,-0.2307,17,0.34364
ENSG00000189060,H1F0,45,-0.5351,67,0.40579,64,0.25289
ENSG00000100116,GCAT,35,-0.4742,42,0.04591,57,0.59948
ENSG00000100124,ANKRD54,25,-0.2235,29,0.19450,28,0.08510
ENSG00000100129,EIF3L,73,-0.1185,70,-0.1632,92,0.36652
ENSG00000100142,POLR2F,79,0.09290,74,-0.0502,73,-0.0809
ENSG00000100151,PICK1,22,-0.7080,34,0.27803,42,0.62552
ENSG00000184381,PLA2G6,20,-0.3512,29,0.54211,20,-0.2239
ENSG00000198792,TMEM184B,56,-0.6583,98,0.69129,73,0.02819
ENSG00000213923,CSNK1E,83,-0.4104,118,0.43056,99,0.04046
ENSG00000168135,KCNJ4,71,-0.7211,111,0.34103,128,0.56930
ENSG00000100201,DDX17,157,-0.5812,226,0.30282,249,0.44224
ENSG00000100216,TOMM22,66,-0.3328,88,0.36813,75,0.01144
ENSG00000100221,JOSD1,44,-0.3622,64,0.50901,46,-0.1527
ENSG00000100226,GTPBP1,22,-0.7836,35,0.36811,41,0.61166
ENSG00000100242,SUN2,52,-0.4155,75,0.43123,63,0.04715
ENSG00000100246,DNAL4,39,-0.5645,58,0.37884,58,0.32712
ENSG00000221890,NPTXR,578,-0.5136,617,-0.2586,1139,0.94117
ENSG00000183741,CBX6,238,0.06877,195,-0.3505,275,0.30940
ENSG00000100307,CBX7,83,-0.2608,95,0.08556,106,0.27693
ENSG00000100316,RPL3,851,0.28592,684,-0.2497,719,-0.1329
ENSG00000100321,SYNGR1,193,-0.5366,362,0.98047,158,-0.6951
ENSG00000100324,TAB1,17,0.19277,14,-0.2302,16,-0.0084
ENSG00000128268,MGAT3,62,-0.4617,83,0.25104,89,0.34944
ENSG00000100335,MIEF1,18,-0.4858,25,0.27167,27,0.35624
ENSG00000128272,ATF4,83,-0.1248,114,0.59764,56,-0.7652
ENSG00000187051,RPS19BP1,131,0.27496,128,0.14451,78,-0.7291
ENSG00000100346,CACNA1I,15,-0.8725,38,1.34389,14,-0.7979
ENSG00000100354,TNRC6B,57,-0.1464,58,-0.0988,73,0.33344
ENSG00000239900,ADSL,21,-0.5474,25,-0.0774,40,0.81109
ENSG00000100359,SGSM3,62,-0.1574,68,0.06297,71,0.15723
ENSG00000196588,MRTFA,39,-0.3338,51,0.29201,48,0.11835
ENSG00000100372,SLC25A17,7,-1.4043,20,0.83541,21,0.72542
ENSG00000100380,ST13,150,-0.1136,180,0.30214,136,-0.2475
ENSG00000100387,RBX1,219,-0.0740,243,0.16068,213,-0.1019
ENSG00000100393,EP300,21,-0.5526,29,0.17340,35,0.55608
ENSG00000100395,L3MBTL2,32,-0.6593,54,0.59939,45,0.16235
ENSG00000100401,RANGAP1,163,-0.4805,253,0.57345,188,-0.0629
ENSG00000100403,ZC3H7B,45,0.20813,39,-0.1203,38,-0.1757
ENSG00000167074,TEF,71,-0.4201,90,0.17728,102,0.38315
ENSG00000183864,TOB2,25,0.44966,14,-0.8058,24,0.22246
ENSG00000100410,PHF5A,15,-0.2827,21,0.39463,16,-0.1062
ENSG00000100412,ACO2,262,0.00715,284,0.18105,224,-0.2696
ENSG00000100413,POLR3H,76,0.09221,64,-0.2701,81,0.18937
ENSG00000172346,CSDC2,27,0.66227,14,-0.7859,21,-0.1095
ENSG00000100417,PMM1,74,-0.2577,83,0.02642,98,0.34242
ENSG00000100418,DESI1,47,-0.3191,66,0.49812,47,-0.2070
ENSG00000196419,XRCC6,138,-0.3971,177,0.21451,189,0.30732
ENSG00000100138,SNU13,254,-0.2512,319,0.28690,279,0.00069
ENSG00000198911,SREBF2,150,-0.6390,243,0.50748,222,0.25984
ENSG00000205704,LINC00634,45,0.21152,31,-0.5753,51,0.33728
ENSG00000100167,SEPTIN3,332,-0.1943,390,0.19434,364,0.04116
ENSG00000183172,SMDT1,201,0.44705,148,-0.3296,147,-0.2993
ENSG00000184983,NDUFA6,181,-0.0180,196,0.15437,164,-0.1858
ENSG00000100207,TCF20,22,-0.3102,26,0.18170,27,0.22782
ENSG00000189306,RRP7A,38,-0.2574,50,0.41889,37,-0.1853
ENSG00000100227,POLDIP3,34,0.47835,24,-0.3690,24,-0.3008
ENSG00000100243,CYB5R3,116,-0.1767,105,-0.3168,170,0.59861
ENSG00000242247,ARFGAP3,18,-0.4793,21,-0.0086,30,0.66293
ENSG00000100266,PACSIN2,25,-0.5552,33,0.15823,42,0.57616
ENSG00000100271,TTLL1,15,-0.5365,19,0.10298,25,0.61383
ENSG00000100294,MCAT,24,-0.5463,34,0.30941,37,0.38950
ENSG00000100300,TSPO,32,1.05389,12,-1.2807,21,-0.2356
ENSG00000100304,TTLL12,31,0.21792,30,0.06282,22,-0.4678
ENSG00000186732,MPPED1,93,-0.4876,179,1.09460,59,-1.0786
ENSG00000130540,SULT4A1,176,-0.4634,314,0.93165,136,-0.7444
ENSG00000100347,SAMM50,36,-0.5245,56,0.55607,44,0.03021
ENSG00000188677,PARVB,32,-0.2515,46,0.62959,25,-0.5625
ENSG00000138944,SHISAL1,59,0.37878,51,-0.0354,36,-0.6204
ENSG00000188636,RTL6,40,-0.2918,56,0.51775,37,-0.2862
ENSG00000093000,NUP50,29,-0.8973,57,0.70903,49,0.32680
ENSG00000100364,KIAA0930,132,-0.0431,123,-0.1733,156,0.27372
