Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000113296,THBS4,11,0.09985,6,-0.7477,9,-0.1789,11,0.10206,9,-0.2917,8,-0.3336,6,-0.8656,6,-0.8796,32,1.86197,11,0.04431
ENSG00000164300,SERINC5,91,3.34213,6,-1.3859,5,-1.6033,13,-0.3794,4,-2.1297,10,-0.6433,7,-1.1507,6,-1.4228,24,0.61973,3,-2.2166
ENSG00000039319,ZFYVE16,77,2.35203,7,-1.5148,13,-0.6913,11,-0.8949,9,-1.1513,25,0.34071,22,0.14280,15,-0.4689,18,-0.2243,10,-1.0278
ENSG00000249042,AC008771.1,8,-1.6526,36,0.70443,33,0.56345,16,-0.5395,23,-0.0412,29,0.33831,26,0.13121,28,0.29131,12,-0.9520,19,-0.3349
ENSG00000228716,DHFR,27,1.07691,14,-0.0218,8,-0.8389,11,-0.2958,8,-0.7716,22,0.73918,12,-0.2070,13,-0.1272,17,0.33704,7,-0.9707
ENSG00000113318,MSH3,18,0.15788,18,0.10309,15,-0.2031,15,-0.1763,13,-0.3778,23,0.53492,17,0.07853,18,0.13861,12,-0.5420,16,-0.0680
ENSG00000113319,RASGRF2,21,-1.4505,145,1.66447,178,2.06503,37,-0.5939,53,-0.0416,17,-1.7237,9,-2.6287,33,-0.8416,30,-0.8878,43,-0.3785
ENSG00000131732,ZCCHC9,11,0.31773,9,-0.0688,6,-0.7056,12,0.39435,6,-0.5484,5,-0.9817,11,0.29254,10,0.21869,10,0.08602,11,0.23747
ENSG00000145687,SSBP2,38,-1.0676,82,0.11279,80,0.07001,76,-0.0161,44,-0.8638,135,0.92391,104,0.48234,77,-0.0049,74,-0.0557,58,-0.4392
ENSG00000152348,ATG10,10,0.05067,9,-0.1883,7,-0.5250,7,-0.4367,8,-0.2886,12,0.34148,11,0.21631,12,0.42494,7,-0.5857,12,0.26429
ENSG00000186468,RPS23,2553,1.61700,830,-0.2748,762,-0.4073,1113,0.19043,664,-0.6201,838,-0.2590,736,-0.4607,551,-0.9786,1277,0.41181,997,0.01347
ENSG00000174695,TMEM167A,69,-0.0865,72,-0.0153,68,-0.1040,65,-0.1803,70,-0.0523,99,0.49900,75,0.05438,75,0.04962,86,0.26862,46,-0.7176
ENSG00000038427,VCAN,165,3.00188,5,-2.6384,7,-2.2087,14,-1.2621,7,-2.3205,55,0.80422,11,-1.6860,3,-3.4566,88,1.63033,8,-2.0512
ENSG00000164176,EDIL3,709,2.99114,89,-0.7600,96,-0.6354,112,-0.4023,52,-1.5667,124,-0.2500,100,-0.5788,82,-0.9519,97,-0.6312,54,-1.5135
ENSG00000127184,COX7C,790,-0.4124,1147,0.17478,1025,-0.0051,990,-0.0588,1287,0.36052,969,-0.0931,925,-0.1671,969,-0.1037,1130,0.15104,1107,0.11800
ENSG00000145715,RASA1,17,-1.3571,55,0.40786,53,0.36176,30,-0.5551,39,-0.1348,40,-0.1084,75,0.91888,54,0.44820,28,-0.6312,22,-1.0180
ENSG00000134480,CCNH,49,0.08880,62,0.47177,48,0.05565,24,-0.9959,25,-0.9259,50,0.11200,49,0.09264,61,0.51146,43,-0.1006,36,-0.4005
ENSG00000164180,TMEM161B,14,0.38174,6,-0.8657,9,-0.3197,9,-0.2549,7,-0.6176,29,1.63611,13,0.34130,6,-0.7987,11,0.03906,7,-0.5483
ENSG00000247828,TMEM161B-AS1,54,-0.1026,56,-0.0251,53,-0.1191,68,0.28386,65,0.19825,63,0.14972,60,0.07346,39,-0.6561,65,0.21363,67,0.26088
ENSG00000245526,LINC00461,51,0.23210,28,-0.7222,45,0.01350,44,-0.0061,31,-0.5354,34,-0.3966,42,-0.0625,37,-0.3009,86,1.09557,51,0.21618
ENSG00000081189,MEF2C,50,-3.3932,701,0.59318,286,-0.8212,631,0.41935,828,0.87301,183,-1.4908,374,-0.4097,811,0.96979,232,-1.1397,439,-0.1600
ENSG00000153140,CETN3,61,1.29339,18,-0.7033,12,-1.3040,39,0.52522,23,-0.3136,26,-0.1396,29,0.04469,23,-0.3119,45,0.75952,10,-1.5625
ENSG00000176055,MBLAC2,15,-0.4887,23,0.15919,28,0.47758,14,-0.6216,20,-0.0876,36,0.90002,26,0.38396,24,0.26045,6,-1.8050,12,-0.8366
ENSG00000176018,LYSMD3,7,-0.4397,7,-0.4269,6,-0.5579,7,-0.2851,3,-1.5324,21,1.38765,12,0.38231,9,-0.0134,10,0.13840,9,-0.0704
ENSG00000164199,ADGRV1,20,-0.1024,10,-1.0979,10,-1.0771,13,-0.7907,8,-1.3610,8,-1.4075,14,-0.5753,9,-1.4428,113,3.17616,19,-0.1392
ENSG00000113369,ARRDC3,33,0.81174,10,-1.0999,13,-0.6163,22,0.16841,20,-0.0008,31,0.69202,16,-0.3758,16,-0.3700,32,0.76208,11,-0.9071
ENSG00000237187,NR2F1-AS1,22,-1.6254,80,0.31804,85,0.42231,72,0.15935,64,-0.0374,52,-0.3582,75,0.22142,85,0.48658,40,-0.7710,58,-0.1865
ENSG00000175745,NR2F1,52,-1.2819,181,0.66448,115,-0.0621,125,0.06974,108,-0.1652,104,-0.2186,138,0.22260,150,0.40043,97,-0.3394,100,-0.2871
ENSG00000113391,FAM172A,27,0.13191,32,0.36858,39,0.69829,20,-0.3898,34,0.45985,24,-0.0703,19,-0.3984,24,-0.1161,16,-0.7123,19,-0.4024
ENSG00000133302,SLF1,8,-1.5853,45,1.10773,52,1.34931,19,-0.3188,22,-0.0944,20,-0.2044,14,-0.7451,20,-0.2536,10,-1.2663,24,0.05915
ENSG00000175471,MCTP1,8,-2.7670,73,0.53436,45,-0.2161,37,-0.5422,29,-0.8867,101,1.08223,115,1.31884,56,0.12172,27,-0.9965,27,-1.0081
ENSG00000198677,TTC37,55,0.24861,50,0.09633,43,-0.1231,32,-0.6057,40,-0.2541,49,0.07603,61,0.40456,60,0.44237,37,-0.3656,30,-0.7021
ENSG00000164292,RHOBTB3,229,2.27588,16,-2.0987,17,-1.9354,48,-0.4372,32,-1.0670,77,0.30873,54,-0.2455,18,-1.9816,148,1.42365,41,-0.6915
ENSG00000173221,GLRX,9,-2.3213,59,0.44562,31,-0.5429,36,-0.3029,45,0.00856,52,0.26590,30,-0.6140,77,1.04396,28,-0.7173,44,-0.0214
ENSG00000118985,ELL2,93,0.81905,61,0.12290,49,-0.2259,44,-0.3729,52,-0.1171,62,0.14793,63,0.18243,64,0.23055,39,-0.5698,28,-1.0730
ENSG00000175426,PCSK1,0,-7.7490,46,-0.3279,11,-2.4051,66,0.24766,91,0.76678,19,-1.6078,72,0.38855,140,1.86704,11,-2.3780,26,-1.2046
ENSG00000153113,CAST,62,0.84436,34,-0.1065,12,-1.6672,29,-0.3862,38,0.06948,44,0.30141,40,0.12307,40,0.15602,32,-0.2211,33,-0.1853
ENSG00000113441,LNPEP,30,-1.0819,46,-0.4375,36,-0.8303,35,-0.8846,49,-0.3615,149,1.48455,139,1.36085,56,-0.1504,45,-0.4877,36,-0.8399
ENSG00000145721,LIX1,55,2.25721,1,-3.3953,3,-2.1216,2,-2.9559,1,-3.3967,11,-0.4749,14,-0.1752,4,-2.1516,62,2.49244,11,-0.4927
ENSG00000058729,RIOK2,14,0.19673,12,-0.0474,13,0.06063,11,-0.1661,9,-0.3700,17,0.52181,10,-0.2602,13,0.14102,13,0.10718,8,-0.5436
ENSG00000174136,RGMB,9,-2.8077,106,0.94747,91,0.67654,65,0.13295,38,-0.7037,22,-1.5220,68,0.21966,74,0.39767,61,0.02829,48,-0.3482
ENSG00000153922,CHD1,27,1.16589,10,-0.3840,10,-0.4233,11,-0.2658,15,0.18967,18,0.45221,13,-0.0542,10,-0.5222,16,0.27281,7,-1.0189
ENSG00000174132,FAM174A,21,-1.3223,97,1.06544,54,0.09119,28,-0.9037,54,0.08756,54,0.11207,63,0.33638,66,0.48026,25,-1.0754,30,-0.8133
ENSG00000113532,ST8SIA4,4,-1.5838,7,-0.9250,9,-0.4395,25,1.11480,21,0.82585,24,1.03252,17,0.52178,8,-0.6556,7,-0.7910,6,-1.0261
ENSG00000145730,PAM,13,-2.8935,115,0.33098,106,0.20437,96,0.04349,133,0.57012,165,0.93064,43,-1.1839,121,0.47250,51,-0.9400,63,-0.6096
ENSG00000145725,PPIP5K2,7,-1.5738,36,0.86477,16,-0.4134,35,0.85400,23,0.12978,20,-0.0912,17,-0.3421,25,0.33869,12,-0.8700,14,-0.6041
ENSG00000181751,C5orf30,30,-0.4125,66,0.82830,67,0.84414,34,-0.2374,31,-0.3822,23,-0.8427,28,-0.5112,57,0.65020,24,-0.7572,19,-1.0895
ENSG00000112874,NUDT12,21,0.96312,8,-0.4830,5,-1.2118,8,-0.5655,6,-1.0773,24,1.17267,13,0.15093,8,-0.6641,16,0.48555,12,-0.0077
ENSG00000184349,EFNA5,6,-1.9888,23,-0.0853,8,-1.6187,26,0.10186,27,0.17702,27,0.15428,45,0.98737,39,0.84692,17,-0.5679,12,-1.0885
ENSG00000145743,FBXL17,38,-1.3350,99,0.12779,79,-0.2147,71,-0.3795,118,0.41051,133,0.61148,131,0.58231,102,0.20520,51,-0.9024,78,-0.2442
ENSG00000151422,FER,15,0.10366,11,-0.3501,9,-0.6125,12,-0.1777,11,-0.3890,17,0.35893,15,0.19877,12,-0.1759,24,0.92966,11,-0.2889
ENSG00000198961,PJA2,189,-1.2249,441,0.08258,402,-0.0651,308,-0.4796,440,0.07866,539,0.40388,627,0.65462,585,0.61573,250,-0.8034,242,-0.8526
ENSG00000112893,MAN2A1,107,3.21182,8,-1.3032,8,-1.3199,8,-1.3498,4,-2.3952,5,-1.8693,30,0.64139,16,-0.4020,10,-1.0758,7,-1.4900
ENSG00000164209,SLC25A46,52,-1.0005,101,0.03357,98,-0.0200,101,0.03451,101,0.02170,80,-0.3339,152,0.69045,143,0.67135,60,-0.7865,61,-0.7516
ENSG00000134987,WDR36,6,-1.0110,7,-0.6697,14,0.30497,9,-0.2848,7,-0.6530,14,0.27876,21,0.94194,15,0.49095,9,-0.4261,9,-0.3793
ENSG00000152495,CAMK4,6,-3.2704,106,0.91595,135,1.33701,42,-0.5791,68,0.17816,67,0.16640,48,-0.3577,49,-0.3588,47,-0.4016,49,-0.3321
ENSG00000164211,STARD4,4,-2.0256,16,-0.1163,10,-0.7580,16,-0.0430,13,-0.3826,33,1.11840,13,-0.4288,25,0.74182,15,-0.1235,13,-0.3341
ENSG00000134986,NREP,32,-1.8371,58,-0.9822,56,-1.0356,240,1.31630,120,0.15565,84,-0.4033,119,0.13573,165,0.76737,90,-0.3059,72,-0.6499
ENSG00000224032,EPB41L4A-AS1,71,0.01339,75,0.09230,61,-0.2220,76,0.11594,59,-0.2763,92,0.42831,74,0.06897,71,0.00180,55,-0.3962,72,0.03279
ENSG00000134982,APC,111,-0.3781,77,-0.9402,73,-1.0241,120,-0.2662,126,-0.1855,275,1.09488,179,0.37836,114,-0.3787,218,0.70214,152,0.11375
ENSG00000153037,SRP19,62,-0.0425,90,0.55294,78,0.32305,62,-0.0387,78,0.31408,68,0.08624,43,-0.6119,58,-0.1648,58,-0.1591,48,-0.4530
ENSG00000129625,REEP5,184,-1.1995,604,0.66201,450,0.18073,380,-0.0892,415,0.05207,404,0.00984,535,0.46129,464,0.25843,281,-0.5590,238,-0.8103
ENSG00000172795,DCP2,15,-1.0623,26,-0.2053,29,-0.0578,24,-0.3520,40,0.44668,43,0.58528,42,0.53981,36,0.30257,19,-0.6650,20,-0.5869
ENSG00000047188,YTHDC2,9,-1.1953,25,0.28741,19,-0.1307,11,-0.8983,22,0.09280,21,0.03238,30,0.59404,29,0.57829,18,-0.1912,15,-0.5289
ENSG00000080709,KCNN2,9,-0.2796,19,0.77044,14,0.34557,8,-0.5558,11,-0.0112,3,-1.8538,9,-0.2795,15,0.49413,14,0.29724,7,-0.6319
ENSG00000152503,TRIM36,13,-2.0756,68,0.41171,57,0.11403,29,-0.8955,57,0.12855,41,-0.4080,79,0.64204,83,0.85106,26,-1.0689,44,-0.2925
ENSG00000164219,PGGT1B,19,0.68877,9,-0.4577,6,-1.0678,17,0.51000,9,-0.4462,11,-0.2090,13,0.09114,10,-0.3546,18,0.62058,13,0.11226
ENSG00000164221,CCDC112,42,0.87212,32,0.45662,21,-0.2123,25,0.03512,20,-0.2785,15,-0.6792,32,0.43358,25,0.04170,17,-0.5794,13,-0.9442
ENSG00000145780,FEM1C,21,-0.1556,32,0.50707,39,0.79338,17,-0.4730,15,-0.7103,14,-0.8139,19,-0.3635,18,-0.4975,44,1.00471,24,0.01244
ENSG00000134970,TMED7,96,0.77833,54,-0.1396,84,0.54713,39,-0.6414,45,-0.4448,68,0.21424,66,0.17618,41,-0.6094,84,0.54881,35,-0.8094
ENSG00000129596,CDO1,13,-2.1213,82,0.67562,71,0.42734,32,-0.8090,38,-0.5546,104,1.07603,59,0.13851,53,-0.0547,53,-0.0387,39,-0.5173
ENSG00000145782,ATG12,54,0.21019,43,-0.1615,29,-0.7446,54,0.21873,28,-0.8090,55,0.23634,63,0.46819,56,0.31311,48,0.01792,33,-0.5369
ENSG00000177879,AP3S1,52,-1.0884,147,0.52279,112,0.08636,60,-0.8764,99,-0.1131,92,-0.2240,100,-0.0951,172,0.89868,76,-0.5244,87,-0.3070
ENSG00000145781,COMMD10,8,-0.9292,10,-0.5850,14,-0.1663,17,0.17540,15,-0.0282,20,0.42977,12,-0.3144,18,0.28518,18,0.26640,17,0.17467
ENSG00000092421,SEMA6A,139,3.28292,13,-1.0451,7,-1.8406,10,-1.3437,10,-1.3252,22,-0.1920,16,-0.6442,11,-1.2696,26,0.01981,11,-1.2621
ENSG00000172869,DMXL1,31,0.08975,30,0.04933,29,-0.0005,21,-0.5127,19,-0.6393,40,0.52863,51,0.92548,26,-0.1936,29,0.02837,16,-0.8544
ENSG00000133835,HSD17B4,116,1.30891,53,0.00793,32,-0.7790,53,-0.0011,32,-0.7493,63,0.27316,60,0.21655,43,-0.3359,56,0.10496,28,-0.9476
ENSG00000205302,SNX2,46,-0.2434,52,-0.0364,60,0.18328,38,-0.5320,47,-0.2113,55,0.04480,73,0.48586,70,0.48490,52,-0.0582,27,-1.0554
ENSG00000064652,SNX24,22,0.49984,12,-0.4669,9,-0.9225,8,-1.0899,16,-0.0701,15,-0.1441,19,0.22872,22,0.58076,16,-0.0643,18,0.18494
ENSG00000168944,CEP120,15,0.76333,9,0.01861,11,0.25831,7,-0.2774,8,-0.2388,5,-0.9262,13,0.55188,10,0.18473,7,-0.3658,5,-0.9189
ENSG00000151292,CSNK1G3,31,-0.1366,35,0.03953,31,-0.1479,25,-0.4546,41,0.29359,31,-0.1487,41,0.30207,37,0.13722,34,-0.0053,31,-0.1259
ENSG00000155324,GRAMD2B,76,1.87025,6,-2.0761,7,-1.9613,11,-1.2388,7,-1.9882,50,1.11078,17,-0.5784,6,-2.2386,79,1.94423,15,-0.7638
ENSG00000164904,ALDH7A1,168,1.89658,27,-1.1187,20,-1.5879,66,0.26747,25,-1.2458,60,0.10195,56,0.00960,20,-1.6686,116,1.20054,39,-0.5488
ENSG00000164902,PHAX,70,0.07192,66,-0.0008,49,-0.4817,76,0.21471,67,0.01491,73,0.14305,99,0.65214,65,-0.0397,54,-0.3250,47,-0.5358
ENSG00000164241,C5orf63,379,0.12716,91,-2.0456,47,-3.0147,339,-0.0488,1010,1.82824,258,-0.4744,297,-0.2573,240,-0.6437,402,0.22033,548,0.72990
ENSG00000145794,MEGF10,70,2.16836,4,-2.3886,5,-1.9703,7,-1.5451,6,-1.8589,29,0.60315,16,-0.3963,7,-1.6919,58,1.79769,13,-0.6100
ENSG00000164244,PRRC1,14,0.65267,8,-0.2445,6,-0.7256,5,-0.8336,3,-1.5208,12,0.46014,15,0.77757,9,-0.0882,15,0.78884,5,-0.7806
ENSG00000205279,CTXN3,0,-7.6532,35,2.48758,26,1.84459,2,-1.6877,12,0.48978,0,-6.3833,0,-3.8349,7,-0.3687,0,-3.8979,6,-0.6210
ENSG00000245937,LINC01184,29,0.31655,33,0.53573,21,-0.1484,16,-0.6048,22,-0.0992,23,-0.0485,25,0.06550,25,0.07671,21,-0.1625,20,-0.2406
ENSG00000064651,SLC12A2,272,3.23493,24,-1.1231,25,-1.0515,24,-1.1385,18,-1.5675,57,0.20189,43,-0.2524,20,-1.5040,38,-0.4404,15,-1.8397
ENSG00000066583,ISOC1,26,0.51811,6,-1.7393,6,-1.5925,29,0.71550,7,-1.3889,16,-0.2656,31,0.83170,28,0.74655,18,-0.0708,10,-0.9463
ENSG00000198108,CHSY3,0,-4.6601,8,-0.4635,3,-1.5705,5,-1.0209,8,-0.4614,8,-0.3839,17,0.72911,24,1.65817,11,0.12015,6,-0.7112
ENSG00000169567,HINT1,525,-0.7410,1006,0.27841,1180,0.53915,1010,0.28500,682,-0.3364,719,-0.2536,759,-0.1691,1037,0.36926,533,-0.7181,810,-0.0674
ENSG00000186687,LYRM7,79,0.27423,44,-0.6502,44,-0.6465,42,-0.7099,121,0.98870,81,0.31721,74,0.17536,70,0.08911,60,-0.1509,46,-0.5750
ENSG00000158985,CDC42SE2,109,-0.2067,138,0.16492,83,-0.6314,117,-0.0888,150,0.30078,95,-0.4180,154,0.34529,176,0.64792,56,-1.2158,111,-0.1765
ENSG00000158987,RAPGEF6,36,1.47362,9,-0.7835,9,-0.7670,4,-1.8475,6,-1.3423,33,1.30459,23,0.74982,11,-0.4022,11,-0.4345,8,-0.8551
ENSG00000217128,FNIP1,43,1.16947,24,0.22679,18,-0.2522,19,-0.1085,17,-0.3090,14,-0.5760,25,0.30405,15,-0.5111,24,0.21808,14,-0.5790
ENSG00000164398,ACSL6,31,-1.9790,97,-0.2814,113,-0.0506,130,0.17396,146,0.36230,130,0.17421,97,-0.2798,126,0.14103,187,0.77004,97,-0.2838
ENSG00000072682,P4HA2,8,-0.5134,12,0.16619,7,-0.6626,6,-0.8085,5,-1.0827,30,1.68110,17,0.64540,12,0.14818,6,-0.7835,5,-1.1006
ENSG00000197536,C5orf56,12,0.44625,5,-0.6840,5,-0.8568,12,0.53675,5,-0.7414,16,0.93770,8,-0.0678,5,-0.8672,15,0.84285,7,-0.2510
ENSG00000113522,RAD50,65,0.00523,65,0.00163,33,-1.0123,54,-0.2882,80,0.34629,66,0.03257,86,0.45268,87,0.52689,45,-0.5671,45,-0.5692
ENSG00000131437,KIF3A,92,-1.3432,233,0.08029,142,-0.6883,190,-0.2352,325,0.62280,251,0.20461,343,0.71146,304,0.58019,98,-1.2494,152,-0.5844
ENSG00000164402,SEPTIN8,521,1.70057,105,-0.9420,128,-0.6423,198,0.03876,99,-1.0287,181,-0.1009,284,0.62467,186,-0.0614,130,-0.6078,104,-0.9532
ENSG00000198944,SOWAHA,36,-1.2903,175,1.23690,213,1.59894,58,-0.5550,55,-0.6376,62,-0.4548,44,-0.9763,32,-1.5364,79,-0.0852,128,0.69949
ENSG00000164403,SHROOM1,87,3.12012,11,-0.5900,11,-0.5865,11,-0.6429,6,-1.4052,11,-0.6448,11,-0.5903,7,-1.3512,16,-0.0098,3,-2.2380
ENSG00000164405,UQCRQ,431,-0.4026,538,-0.0552,705,0.37745,766,0.51261,552,-0.0143,459,-0.3039,495,-0.1888,520,-0.1232,542,-0.0444,604,0.12827
ENSG00000072364,AFF4,59,0.19242,48,-0.1370,47,-0.1723,50,-0.0475,56,0.12222,60,0.22011,38,-0.4884,57,0.15691,70,0.47392,31,-0.7857
ENSG00000155329,ZCCHC10,18,-0.2106,24,0.23647,13,-0.6936,27,0.42517,21,0.07106,20,-0.0513,22,0.15105,22,0.15285,19,-0.0796,16,-0.3904
ENSG00000170606,HSPA4,60,-0.6331,114,0.39033,113,0.37228,75,-0.2769,81,-0.1621,96,0.11440,82,-0.1388,112,0.40409,94,0.06629,47,-0.9971
ENSG00000053108,FSTL4,0,-3.8946,9,-0.0807,15,0.78955,4,-1.1968,10,0.14413,4,-1.2287,13,0.53210,20,1.51071,1,-2.5047,4,-1.0537
ENSG00000113583,C5orf15,51,0.85213,19,-0.7034,30,-0.0298,32,0.09486,21,-0.5535,40,0.46330,29,-0.0688,36,0.29443,26,-0.2549,13,-1.2613
ENSG00000213585,VDAC1,68,-1.9817,372,0.64168,314,0.36373,209,-0.2842,228,-0.1489,250,-0.0057,254,0.02400,387,0.81016,134,-0.9611,153,-0.7641
ENSG00000113558,SKP1,534,-0.5382,820,0.13328,780,0.05255,886,0.25805,568,-0.4433,976,0.41499,688,-0.1449,907,0.33161,651,-0.2323,580,-0.4123
ENSG00000113575,PPP2CA,115,-1.0732,270,0.24832,198,-0.2474,262,0.19951,252,0.13510,217,-0.0998,347,0.65812,318,0.58460,117,-1.0534,130,-0.8885
ENSG00000006837,CDKL3,12,0.31004,6,-0.8498,4,-1.1554,10,-0.0687,7,-0.5264,23,1.33374,6,-0.6462,9,-0.2347,14,0.57587,10,0.02330
ENSG00000119048,UBE2B,77,-1.0945,169,0.11021,153,-0.0492,153,-0.0420,133,-0.2656,172,0.14225,260,0.82015,210,0.52342,100,-0.7092,95,-0.7749
ENSG00000237190,CDKN2AIPNL,9,-2.3813,71,0.75411,54,0.31775,57,0.38853,43,-0.0384,52,0.24046,34,-0.4012,55,0.38512,21,-1.1320,38,-0.2629
ENSG00000043143,JADE2,28,-0.9276,55,0.10636,63,0.33390,52,0.04099,61,0.29621,55,0.10788,63,0.33858,51,0.01373,38,-0.4505,43,-0.2549
ENSG00000152700,SAR1B,91,1.25155,39,-0.1288,36,-0.2596,44,0.04307,30,-0.5320,47,0.15106,35,-0.2950,30,-0.6061,64,0.65190,23,-0.9188
ENSG00000113615,SEC24A,9,-0.2166,12,0.15527,8,-0.5043,10,-0.1614,4,-1.3737,17,0.73471,8,-0.3873,13,0.35764,18,0.79779,6,-0.8648
ENSG00000164615,CAMLG,88,-1.3081,266,0.40157,179,-0.2312,205,-0.0152,279,0.47670,281,0.48890,228,0.15108,250,0.33871,123,-0.8096,131,-0.7144
ENSG00000145833,DDX46,61,0.48725,24,-0.9314,22,-1.1045,45,-0.0031,63,0.53170,40,-0.1793,66,0.61806,53,0.28211,35,-0.4043,34,-0.4416
ENSG00000181904,C5orf24,48,-0.3042,73,0.35271,45,-0.3976,72,0.33255,68,0.25455,52,-0.1802,73,0.37083,61,0.08109,55,-0.0916,33,-0.8917
ENSG00000113621,TXNDC15,31,-0.5469,57,0.43569,39,-0.1785,24,-0.8837,36,-0.2843,79,0.97156,59,0.47979,37,-0.3064,54,0.32137,28,-0.6841
ENSG00000113648,H2AFY,54,-0.9112,112,0.20555,88,-0.1838,108,0.14262,107,0.13786,177,0.96710,91,-0.1314,101,0.04650,71,-0.5008,72,-0.4817
ENSG00000145824,CXCL14,4,-5.3943,201,0.37690,151,-0.0784,60,-1.4950,51,-1.7330,31,-2.4601,18,-3.2148,24,-2.9450,980,3.66845,203,0.39769
ENSG00000113658,SMAD5,38,1.43416,8,-1.0085,10,-0.6732,15,-0.0909,9,-0.8922,29,0.98012,13,-0.2654,9,-0.9992,25,0.71092,11,-0.6054
ENSG00000152377,SPOCK1,205,-0.0188,214,0.05227,65,-1.7637,186,-0.1744,254,0.32616,241,0.24139,272,0.43449,286,0.58939,137,-0.6467,135,-0.6625
ENSG00000146021,KLHL3,15,-0.1172,15,-0.1601,15,-0.1640,24,0.60091,24,0.57008,20,0.25849,13,-0.3267,16,-0.0917,12,-0.4298,12,-0.4501
ENSG00000177733,HNRNPA0,83,-0.7743,128,-0.0971,138,0.01607,152,0.17196,159,0.24793,161,0.26849,166,0.31512,150,0.16464,107,-0.3769,106,-0.3884
ENSG00000031003,FAM13B,21,-0.8348,25,-0.5196,31,-0.2382,33,-0.1311,50,0.53644,59,0.81607,49,0.49710,30,-0.2875,36,-0.0069,29,-0.2964
ENSG00000112981,NME5,3,-3.1515,33,0.32483,28,0.06980,20,-0.4397,26,-0.0408,26,-0.0286,36,0.46059,37,0.54944,26,-0.0564,24,-0.1642
ENSG00000112983,BRD8,45,-0.2517,61,0.23595,45,-0.2186,48,-0.1483,45,-0.2237,59,0.20058,83,0.74846,60,0.23993,41,-0.3637,28,-0.9415
ENSG00000094880,CDC23,14,-0.6166,19,-0.1759,17,-0.3725,21,-0.0112,21,-0.0406,26,0.32489,35,0.79269,27,0.38052,13,-0.7422,16,-0.4749
ENSG00000120709,FAM53C,16,-1.4272,40,-0.0378,32,-0.3530,47,0.22170,48,0.27584,56,0.51111,57,0.54867,40,-0.0130,34,-0.2677,36,-0.1852
ENSG00000120733,KDM3B,39,0.38752,28,-0.1338,27,-0.1866,18,-0.8160,31,0.02930,41,0.43445,30,-0.0279,26,-0.2821,34,0.14288,38,0.32549
ENSG00000132563,REEP2,47,-1.4675,145,0.25054,167,0.47299,134,0.11582,140,0.19162,139,0.18102,128,0.05034,148,0.31888,79,-0.6972,90,-0.5044
ENSG00000120738,EGR1,0,-9.0554,83,0.54540,74,0.37176,62,0.06905,92,0.72009,22,-1.5002,73,0.35164,90,0.78978,18,-1.7903,44,-0.4421
ENSG00000120705,ETF1,29,-0.9099,56,0.09996,69,0.43939,39,-0.4472,54,0.03911,77,0.61797,66,0.36856,52,-0.0107,42,-0.3499,41,-0.3903
ENSG00000113013,HSPA9,163,-0.3902,155,-0.4667,216,0.04591,213,0.02539,261,0.35063,221,0.08107,243,0.23707,260,0.38562,185,-0.1996,130,-0.7424
ENSG00000044115,CTNNA1,242,1.92148,38,-1.1364,45,-0.8903,72,-0.1479,64,-0.3505,87,0.13201,61,-0.4256,45,-0.9497,131,0.81585,47,-0.8049
ENSG00000146006,LRRTM2,15,-1.5460,34,-0.2865,28,-0.5800,42,0.03381,35,-0.2511,72,0.91481,84,1.16175,43,0.04917,34,-0.3133,25,-0.7763
ENSG00000120725,SIL1,18,0.00701,9,-1.0936,20,0.14476,13,-0.4899,13,-0.5560,12,-0.6364,23,0.36926,21,0.19986,34,1.02246,18,-0.0658
ENSG00000120727,PAIP2,174,-0.0533,154,-0.2403,122,-0.5954,201,0.18210,163,-0.1485,241,0.47333,195,0.13254,205,0.23762,201,0.17663,113,-0.7134
ENSG00000170464,DNAJC18,49,-0.0750,60,0.23428,30,-0.8118,74,0.59786,52,0.03493,74,0.59801,50,-0.0514,53,0.04058,33,-0.6622,36,-0.5286
ENSG00000131508,UBE2D2,106,-0.2595,125,-0.0001,147,0.25460,135,0.11729,136,0.13390,157,0.35922,102,-0.3191,147,0.28926,84,-0.6122,91,-0.5050
ENSG00000171604,CXXC5,199,-0.0590,235,0.20515,155,-0.4507,253,0.32537,181,-0.2015,106,-1.0269,262,0.38330,284,0.58653,178,-0.2304,133,-0.6834
ENSG00000146005,PSD2,54,0.23404,18,-1.4112,41,-0.1890,50,0.12269,31,-0.6050,53,0.22539,39,-0.2608,27,-0.8715,121,1.63622,46,-0.0007
ENSG00000185129,PURA,113,0.93315,45,-0.5572,37,-0.8175,57,-0.1640,85,0.45849,67,0.07958,88,0.51955,58,-0.1663,54,-0.2511,39,-0.7577
ENSG00000182700,IGIP,69,-0.3478,83,-0.0571,60,-0.5559,100,0.22678,105,0.31345,111,0.40280,120,0.53330,84,-0.0420,66,-0.4157,66,-0.4093
ENSG00000120306,CYSTM1,62,-0.2966,102,0.48575,44,-0.8333,82,0.12649,67,-0.1866,74,-0.0389,45,-0.8088,61,-0.3584,143,1.05016,89,0.26955
