Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000120129,DUSP1,59,-2.6155,132,-1.4211,78,-2.2010,144,-1.4085,235,-0.5344,2108,4.29788,25,-3.8218,37,-3.2800
ENSG00000113719,ERGIC1,3,-4.0334,16,-1.5873,52,0.24357,52,0.27257,81,0.99633,117,1.70438,24,-0.9923,7,-2.7030
ENSG00000113732,ATP6V0E1,243,1.58940,42,-1.3260,71,-0.5275,22,-2.4374,162,0.83285,157,0.77918,94,-0.0802,75,-0.4318
ENSG00000164463,CREBRF,138,1.75197,16,-1.7596,40,-0.3976,37,-0.5709,16,-1.7543,114,1.37422,40,-0.4121,25,-1.1362
ENSG00000145919,BOD1,3,-3.6023,12,-1.5079,41,0.35083,45,0.60770,23,-0.5536,57,0.91861,51,0.70004,20,-0.7654
ENSG00000113742,CPEB4,310,1.89247,57,-0.9949,87,-0.3498,153,0.67569,63,-0.8521,40,-1.5302,67,-0.7613,45,-1.3615
ENSG00000170091,NSG2,3,-5.8963,86,-0.9951,168,0.04597,534,3.21332,45,-1.9691,15,-3.5232,20,-3.1280,62,-1.4837
ENSG00000164466,SFXN1,3,-4.0148,22,-1.0452,82,1.04988,90,1.51777,39,-0.1936,17,-1.4914,42,-0.0898,13,-1.8534
ENSG00000145920,CPLX2,3,-6.7855,282,-0.1137,568,1.07636,713,1.94602,166,-0.9371,124,-1.3830,14,-4.5900,137,-1.2324
ENSG00000122203,KIAA1191,102,-0.0094,64,-0.7306,158,0.71939,172,1.05001,83,-0.3362,71,-0.5788,34,-1.6980,67,-0.6732
ENSG00000175414,ARL10,3,-2.6824,22,0.23849,8,-1.2799,45,1.95125,18,-0.0997,13,-0.5268,12,-0.6307,3,-2.6505
ENSG00000146066,HIGD2A,55,-0.8391,52,-0.8989,145,0.73645,57,-0.8472,187,1.19155,91,-0.0352,88,-0.0927,106,0.21524
ENSG00000175416,CLTB,32,-2.5456,118,-0.5907,286,0.86984,335,1.43485,93,-0.9600,172,0.01528,88,-1.0385,78,-1.2256
ENSG00000113194,FAF2,205,2.75390,21,-1.3280,46,-0.1322,34,-0.6712,29,-0.8439,46,-0.1008,21,-1.3037,10,-2.4140
ENSG00000146083,RNF44,3,-4.0759,23,-1.0633,55,0.28316,87,1.31947,104,1.40559,3,-3.8310,34,-0.4723,20,-1.3164
ENSG00000169258,GPRIN1,3,-3.2200,17,-0.6166,59,1.45836,71,2.45394,0,-7.1084,2,-3.2889,7,-1.9593,0,-7.2302
ENSG00000074317,SNCB,3,-6.4851,206,-0.2779,488,1.17954,685,2.51392,32,-3.0546,60,-2.1404,12,-4.4895,36,-2.8958
ENSG00000113763,UNC5A,3,-3.7019,20,-0.8914,89,1.61526,97,2.41277,7,-2.4671,1,-4.5009,6,-2.6978,0,-7.8401
ENSG00000169230,PRELID1,246,1.70003,41,-1.2720,86,-0.1505,86,-0.1669,94,-0.0110,101,0.10301,77,-0.3151,32,-1.6676
ENSG00000169223,LMAN2,22,-1.0654,19,-1.2387,37,-0.2287,51,0.31280,70,0.80001,73,0.87105,47,0.14829,19,-1.2936
ENSG00000131188,PRR7,3,-3.3639,19,-0.6071,88,2.07283,44,0.90344,5,-2.6317,21,-0.4274,19,-0.6126,9,-1.6289
ENSG00000113758,DBN1,140,1.53516,37,-0.6983,108,1.05252,80,0.62072,16,-1.9164,33,-0.8898,8,-2.9934,21,-1.5580
ENSG00000183258,DDX41,3,-4.3064,38,-0.5573,147,1.77697,84,0.88410,41,-0.4496,45,-0.3099,28,-1.0393,18,-1.6826
ENSG00000146067,FAM193B,3,-3.6467,30,-0.1878,76,1.38629,37,0.16948,9,-1.9248,74,1.31805,32,-0.0829,8,-2.1865
ENSG00000184840,TMED9,96,0.29616,43,-0.9855,88,0.15989,151,1.33040,45,-0.9164,57,-0.5350,59,-0.4789,31,-1.4729
ENSG00000204677,FAM153CP,3,-3.4076,19,-0.6220,34,0.27467,44,0.84539,8,-1.9335,53,1.00852,32,0.13796,23,-0.3533
ENSG00000145916,RMND5B,3,-3.3714,18,-0.6735,33,0.26569,50,1.18861,46,0.83148,5,-2.4558,24,-0.2811,23,-0.2884
ENSG00000145912,NHP2,161,0.40975,72,-0.8738,132,0.08536,160,0.46967,86,-0.5897,163,0.43181,125,0.00056,69,-0.9434
ENSG00000197451,HNRNPAB,3,-4.2103,27,-0.9879,54,0.11942,72,0.67788,34,-0.6295,63,0.35859,86,0.89381,45,-0.1798
ENSG00000113240,CLK4,3,-3.4477,19,-0.6991,30,0.00177,29,-0.0687,18,-0.7588,87,1.93115,48,0.77972,6,-2.3723
ENSG00000169045,HNRNPH1,11,-3.5628,57,-1.1724,161,0.47422,147,0.36952,126,0.06033,186,0.71798,153,0.38543,101,-0.2821
ENSG00000127022,CANX,836,1.15162,206,-1.1426,403,-0.0959,498,0.29122,400,-0.1056,346,-0.3381,418,-0.0353,240,-0.9060
ENSG00000161013,MGAT4B,51,0.81180,23,-0.4497,43,0.52958,58,1.30032,12,-1.4918,9,-1.9129,27,-0.2515,0,-7.6559
ENSG00000161011,SQSTM1,233,0.29711,111,-0.8765,234,0.30590,188,-0.0618,257,0.46014,199,0.03758,236,0.31558,104,-0.9872
ENSG00000197226,TBC1D9B,14,-2.3807,31,-1.1955,99,0.64158,97,0.70367,39,-0.8406,25,-1.5085,118,0.94704,87,0.41131
ENSG00000113269,RNF130,53,-1.2927,51,-1.3322,122,0.00883,110,-0.1863,101,-0.2936,91,-0.4620,344,1.87021,112,-0.1325
ENSG00000050748,MAPK9,3,-4.7252,35,-1.1233,67,-0.1216,203,2.51379,31,-1.3172,20,-1.9835,55,-0.4330,35,-1.1082
ENSG00000131446,MGAT1,208,1.65415,18,-2.2764,58,-0.5342,52,-0.7933,96,0.25980,180,1.37519,51,-0.7504,20,-2.1537
ENSG00000250222,AC008443.5,3,-2.7822,25,0.44973,45,1.51305,9,-1.2770,22,0.26559,4,-2.3909,20,0.07874,34,0.97626
ENSG00000146063,TRIM41,3,-3.7219,26,-0.5190,25,-0.5752,33,-0.1890,23,-0.6896,13,-1.5176,54,0.65086,117,2.13700
ENSG00000204628,RACK1,114,-1.8702,208,-0.9646,222,-0.8630,315,-0.3631,316,-0.3168,979,1.65439,445,0.23764,550,0.59315
ENSG00000112679,DUSP22,3,-2.9518,14,-0.6239,38,0.99607,24,0.22249,8,-1.4651,3,-2.6827,59,1.83710,17,-0.3670
ENSG00000124535,WRNIP1,127,1.33629,29,-1.0834,77,0.46072,72,0.40750,44,-0.4641,48,-0.3080,39,-0.6418,17,-1.8358
ENSG00000124570,SERPINB6,64,-0.1206,39,-0.9141,28,-1.3861,38,-1.0117,60,-0.2147,224,2.15295,87,0.37866,44,-0.7186
ENSG00000124588,NQO2,74,0.81793,25,-0.9181,26,-0.8810,72,0.91877,65,0.58877,36,-0.3912,13,-1.9431,27,-0.8141
ENSG00000137267,TUBB2A,13,-5.1221,206,-1.1266,589,0.54590,1321,2.97378,169,-1.4246,43,-3.4539,51,-3.1853,102,-2.1807
ENSG00000137285,TUBB2B,193,-0.5413,171,-0.7225,583,1.33097,112,-1.4908,964,2.38685,56,-2.4118,193,-0.5407,52,-2.5032
ENSG00000137266,SLC22A23,3,-3.3616,19,-0.5676,38,0.48357,44,0.90754,0,-7.2490,29,0.05325,65,1.45770,10,-1.5378
ENSG00000112739,PRPF4B,3,-3.7496,28,-0.4096,30,-0.3119,43,0.29254,32,-0.2086,72,1.13661,74,1.19710,6,-2.7599
ENSG00000198721,ECI2,47,-0.0690,28,-0.8968,45,-0.1406,30,-0.8474,128,1.66877,65,0.43269,39,-0.3640,33,-0.6359
ENSG00000124785,NRN1,11,-2.7881,54,-0.3896,139,1.18001,119,1.10326,26,-1.4905,67,-0.0592,14,-2.4448,76,0.15130
ENSG00000124783,SSR1,270,1.56685,54,-1.1306,123,0.17024,50,-1.3543,106,-0.0722,118,0.09636,121,0.13781,107,-0.0629
ENSG00000239264,TXNDC5,135,1.88160,22,-1.1994,11,-2.1471,61,0.49904,1,-4.7893,55,0.23007,63,0.45950,16,-1.6269
ENSG00000111843,TMEM14C,84,0.10070,23,-1.8775,50,-0.7097,47,-0.9001,158,1.18406,143,0.99776,92,0.25041,68,-0.2562
ENSG00000137210,TMEM14B,3,-4.0666,29,-0.7225,32,-0.5688,55,0.33717,59,0.40865,79,0.92562,96,1.26721,5,-3.1626
ENSG00000224531,SMIM13,3,-4.8738,35,-1.3225,138,0.86349,164,1.46731,28,-1.6297,43,-1.0028,94,0.20855,73,-0.2060
ENSG00000205269,TMEM170B,3,-3.9800,23,-0.9774,77,0.97412,94,1.69519,39,-0.1780,8,-2.5385,19,-1.2509,33,-0.4418
ENSG00000112137,PHACTR1,3,-4.6120,37,-0.9313,108,0.79438,171,2.19475,49,-0.4804,5,-3.6592,21,-1.7678,37,-0.9424
ENSG00000145990,GFOD1,3,-4.0389,29,-0.6697,85,1.08356,117,2.24793,8,-2.6246,31,-0.5758,12,-2.0407,3,-4.0117
ENSG00000225921,NOL7,197,1.65011,26,-1.6520,47,-0.7850,54,-0.6408,94,0.31687,107,0.54514,85,0.14608,32,-1.3425
ENSG00000010017,RANBP9,89,1.18611,19,-1.3131,49,0.17222,60,0.57648,39,-0.1916,20,-1.2529,33,-0.4482,30,-0.6034
ENSG00000050393,MCUR1,53,0.53519,21,-0.8955,45,0.25676,41,0.13319,42,0.16199,12,-1.7667,32,-0.2636,56,0.63663
ENSG00000112149,CD83,3,-3.0490,29,0.41366,66,1.91401,34,0.79868,7,-1.7954,14,-0.6988,8,-1.5136,8,-1.5130
ENSG00000124788,ATXN1,3,-3.7210,27,-0.4595,52,0.59213,79,1.72242,15,-1.3217,12,-1.6258,33,-0.1159,24,-0.6565
ENSG00000112186,CAP2,125,-0.3535,117,-0.4599,368,1.49522,348,1.77334,45,-1.8936,15,-3.5176,4,-5.1799,36,-2.2197
ENSG00000137414,FAM8A1,139,1.62357,25,-1.2096,38,-0.5882,62,0.23042,68,0.33832,27,-1.1209,63,0.21634,12,-2.2723
ENSG00000137177,KIF13A,3,-2.8999,22,0.13911,21,0.05436,1,-3.8670,1,-3.5934,24,0.30060,65,2.10182,44,1.30180
ENSG00000137364,TPMT,3,-2.5771,26,0.74475,53,2.13794,11,-0.6036,0,-4.5473,12,-0.5235,19,0.27863,11,-0.6009
ENSG00000124795,DEK,150,1.49796,31,-1.1039,14,-2.2832,37,-0.9547,43,-0.6187,157,1.58854,48,-0.4367,56,-0.2093
ENSG00000172201,ID4,1015,3.24220,37,-2.6341,180,-0.2279,20,-3.7047,428,1.24437,67,-1.7408,46,-2.2956,58,-1.9591
ENSG00000152954,NRSN1,3,-4.2245,30,-0.8409,67,0.43268,103,1.48824,62,0.31742,26,-1.0255,11,-2.3232,56,0.15057
ENSG00000112294,ALDH5A1,3,-4.7084,50,-0.5643,149,1.26502,129,1.21897,95,0.47029,4,-4.1087,30,-1.3367,55,-0.4302
ENSG00000111802,TDP2,3,-3.5596,16,-1.1164,82,1.63510,43,0.53899,25,-0.4034,34,0.09196,21,-0.7008,25,-0.3978
ENSG00000112304,ACOT13,3,-3.5932,23,-0.5529,46,0.55488,34,0.05441,82,1.60605,39,0.28932,25,-0.4190,10,-1.8445
ENSG00000112308,C6orf62,80,-0.5906,66,-0.8940,162,0.55655,99,-0.2796,262,1.41510,86,-0.4766,112,-0.0572,78,-0.6280
ENSG00000111913,RIPOR2,10,-2.2350,29,-0.6761,64,0.58926,126,2.54440,16,-1.5195,20,-1.1982,1,-5.1728,8,-2.5161
ENSG00000269293,ZSCAN16-AS1,200,1.12781,44,-1.3157,68,-0.6650,33,-1.8605,142,0.52567,175,0.89037,94,-0.1420,139,0.48894
ENSG00000204713,TRIM27,3,-3.6010,15,-1.2272,32,-0.0436,58,1.13309,60,1.00665,28,-0.2585,37,0.19036,7,-2.2532
ENSG00000204681,GABBR1,217,0.10283,104,-1.0498,320,0.75872,335,1.00695,360,0.96377,50,-2.1470,47,-2.2366,66,-1.7393
ENSG00000204655,MOG,41,-1.1397,14,-2.7026,5,-4.1822,25,-2.0277,15,-2.5966,50,-0.8273,499,3.87013,94,0.16245
ENSG00000206503,HLA-A,165,-0.9063,150,-1.0502,228,-0.4028,144,-1.2186,393,0.48605,1057,2.41693,233,-0.3656,124,-1.3389
ENSG00000204619,PPP1R11,3,-3.9553,15,-1.5328,51,0.29637,70,0.99813,29,-0.5922,60,0.57994,48,0.21532,36,-0.2780
ENSG00000231074,HCG18,3,-3.1193,14,-0.8274,36,0.69836,47,1.43683,28,0.24965,20,-0.2492,14,-0.7592,4,-2.4795
ENSG00000241370,RPP21,3,-4.2250,18,-1.6057,38,-0.4682,90,1.15663,75,0.63130,69,0.48376,39,-0.4185,39,-0.4208
ENSG00000204592,HLA-E,29,-3.1307,80,-1.6449,49,-2.3643,76,-1.8532,289,0.35374,1317,3.75251,85,-1.5495,92,-1.4310
ENSG00000204590,GNL1,3,-4.2950,45,-0.2769,49,-0.1474,81,0.82102,30,-0.8816,64,0.28399,66,0.33644,64,0.27475
ENSG00000204574,ABCF1,3,-3.3441,20,-0.5928,51,0.97556,31,0.15219,54,1.07347,8,-1.9400,41,0.60424,19,-0.6557
ENSG00000204569,PPP1R10,3,-3.7403,30,-0.3272,66,1.00185,49,0.57596,41,0.19042,25,-0.5716,49,0.48043,16,-1.2383
ENSG00000204568,MRPS18B,63,0.40952,20,-1.3534,43,-0.2013,46,-0.0993,68,0.53527,55,0.18582,53,0.11675,46,-0.0890
ENSG00000137343,ATAT1,56,0.16916,23,-1.2225,68,0.48057,99,1.42086,16,-1.7278,7,-2.9266,51,0.00250,36,-0.5202
ENSG00000204564,C6orf136,3,-3.6588,12,-1.5731,43,0.35772,62,1.22085,32,-0.1246,27,-0.3898,34,-0.0432,35,0.04088
ENSG00000196230,TUBB,3,-6.5125,93,-1.6114,253,-0.0762,576,1.70383,223,-0.2766,289,0.14218,244,-0.1357,129,-1.1208
ENSG00000137312,FLOT1,3,-5.7268,78,-1.0059,165,0.17414,276,1.30593,139,-0.0997,177,0.29159,130,-0.2091,89,-0.8058
ENSG00000204580,DDR1,1419,3.19929,61,-2.3877,83,-1.9457,50,-2.8385,362,0.33922,78,-2.0323,359,0.32606,187,-0.7165
ENSG00000204525,HLA-C,286,0.40468,103,-1.2108,101,-1.2370,92,-1.4940,197,-0.1989,871,2.60864,139,-0.7460,129,-0.8662
ENSG00000234745,HLA-B,176,-1.6442,197,-1.4761,111,-2.3298,229,-1.3631,651,0.40293,2494,3.24630,206,-1.4131,299,-0.8445
ENSG00000198563,DDX39B,252,1.20020,52,-1.3722,109,-0.2284,107,-0.2919,132,0.08706,144,0.22919,156,0.36258,69,-0.9264
ENSG00000213760,ATP6V1G2,145,0.96702,42,-1.0341,84,0.04218,127,0.87232,58,-0.5446,20,-2.1206,51,-0.7512,83,0.02250
ENSG00000204469,PRRC2A,78,-0.1927,71,-0.3475,127,0.60799,86,-0.0392,79,-0.1786,93,0.09004,94,0.10228,78,-0.1831
ENSG00000204463,BAG6,13,-2.5190,41,-0.7989,75,0.14516,84,0.39624,68,-0.0215,91,0.47282,103,0.67867,57,-0.2906
ENSG00000204435,CSNK2B,212,1.05192,52,-1.2178,106,-0.1176,98,-0.2776,102,-0.1828,96,-0.2740,147,0.41267,117,0.03594
ENSG00000204427,ABHD16A,155,2.18304,19,-1.4131,23,-1.1283,49,0.05125,48,0.03576,19,-1.4074,49,0.07508,15,-1.7589
ENSG00000213722,DDAH2,5,-3.0149,22,-0.8907,20,-1.0461,10,-2.2674,109,1.78415,135,2.25402,17,-1.3401,31,-0.3919
ENSG00000204392,LSM2,7,-2.3544,25,-0.4155,50,0.70262,14,-1.3829,22,-0.6106,46,0.56987,63,1.10850,52,0.79458
ENSG00000204389,HSPA1A,1067,1.30135,186,-1.5398,147,-1.8897,231,-1.3293,558,0.17052,1293,1.67595,599,0.28602,215,-1.3245
ENSG00000204388,HSPA1B,484,0.78577,104,-1.6485,110,-1.5755,155,-1.1554,285,-0.1009,840,1.82823,430,0.58043,167,-0.9404
ENSG00000204387,SNHG32,499,1.88899,62,-1.6018,42,-2.1759,86,-1.2200,51,-1.8827,203,0.24411,234,0.48208,311,0.97679
ENSG00000204371,EHMT2,3,-4.2070,29,-0.8542,75,0.66226,84,1.03156,13,-2.0905,93,1.02969,56,0.16654,18,-1.5894
ENSG00000204356,NELFE,244,1.84558,50,-0.8798,101,0.24295,48,-1.0372,26,-1.8683,70,-0.3557,105,0.29653,94,0.12758
ENSG00000204314,PRRT1,3,-4.8647,49,-0.7736,174,1.35172,189,1.94873,6,-3.8344,43,-0.9514,17,-2.2994,48,-0.7976
ENSG00000204310,AGPAT1,3,-4.9441,64,-0.4238,95,0.20388,151,1.21328,55,-0.6726,74,-0.2013,103,0.33679,60,-0.5381
ENSG00000204308,RNF5,3,-4.2557,28,-0.9498,65,0.34569,42,-0.3820,30,-0.8674,88,0.87329,105,1.20019,67,0.40798
ENSG00000204287,HLA-DRA,3,-5.2726,24,-2.2596,37,-1.6308,11,-3.4799,117,0.16859,512,3.20938,84,-0.3611,152,0.60205
ENSG00000196126,HLA-DRB1,3,-4.1578,20,-1.3984,8,-2.6534,3,-3.9606,18,-1.5140,294,3.98874,27,-0.9248,62,0.40062
ENSG00000204256,BRD2,234,1.55397,45,-1.2038,50,-1.0316,106,0.17619,39,-1.3882,116,0.29697,99,0.03141,75,-0.4025
ENSG00000231389,HLA-DPA1,3,-4.7049,21,-1.8859,14,-2.4257,11,-2.9194,60,-0.2689,379,3.50757,63,-0.1972,80,0.17983
ENSG00000223865,HLA-DPB1,3,-4.1640,10,-2.3803,29,-0.8052,5,-3.6340,57,0.24777,240,3.23496,35,-0.5226,58,0.26338
ENSG00000204231,RXRB,91,0.69113,36,-0.8157,78,0.41926,79,0.52946,14,-2.2198,76,0.38005,39,-0.6831,50,-0.2978
ENSG00000112473,SLC39A7,56,1.12142,15,-0.9959,21,-0.4725,13,-1.3719,34,0.27816,40,0.53156,33,0.21250,35,0.30760
ENSG00000204227,RING1,337,2.28622,41,-1.3737,70,-0.5396,104,0.10750,58,-0.8380,52,-0.9998,50,-1.0646,71,-0.5219
ENSG00000231500,RPS18,1410,-0.0475,835,-0.8723,460,-1.7755,682,-1.2943,1349,-0.1189,2875,1.17302,1708,0.26577,3071,1.29616
ENSG00000204220,PFDN6,23,-1.1168,24,-1.0651,40,-0.3099,70,0.72063,65,0.47320,59,0.33468,56,0.22421,29,-0.8235
ENSG00000237441,RGL2,184,2.94748,19,-1.2312,36,-0.2029,15,-1.6631,23,-0.9330,24,-0.8507,31,-0.4471,25,-0.7860
ENSG00000231925,TAPBP,247,1.18281,62,-1.0749,171,0.53133,93,-0.5135,161,0.42744,176,0.58505,46,-1.5236,66,-0.9778
ENSG00000204209,DAXX,3,-2.9440,21,-0.0142,25,0.26803,16,-0.4753,22,0.04450,31,0.65429,36,0.89136,20,-0.0798
ENSG00000112511,PHF1,3,-3.8558,20,-1.0846,57,0.61151,62,0.88375,39,-0.0242,49,0.34855,33,-0.2747,32,-0.3413
ENSG00000112514,CUTA,199,0.27408,76,-1.2411,119,-0.5517,135,-0.3980,229,0.51393,286,0.89871,223,0.46913,111,-0.6510
ENSG00000197283,SYNGAP1,3,-4.4719,55,-0.1673,168,1.81871,153,2.13712,2,-4.6436,0,-7.5146,6,-3.4251,7,-3.1210
ENSG00000137288,UQCC2,42,-0.7696,33,-1.1351,84,0.32744,66,-0.0600,92,0.49024,82,0.30201,76,0.17494,74,0.13363
ENSG00000161904,LEMD2,3,-3.2402,15,-0.8808,28,0.11598,22,-0.2634,60,1.45213,28,0.15281,29,0.20081,25,-0.0261
ENSG00000137309,HMGA1,3,-3.3272,20,-0.4825,24,-0.2180,59,1.64139,9,-1.6543,36,0.45730,28,0.04655,9,-1.6516
ENSG00000186577,SMIM29,5,-4.3730,82,-0.4508,159,0.63608,194,1.20463,105,-0.0451,68,-0.7404,88,-0.3261,80,-0.4816
ENSG00000272325,NUDT3,75,-1.1332,145,-0.1113,172,0.15925,245,0.90657,116,-0.4631,123,-0.3785,86,-0.9339,195,0.36704
ENSG00000124614,RPS10,271,-1.1648,290,-1.0615,225,-1.4414,269,-1.2831,543,-0.0788,1119,1.15826,799,0.56086,1344,1.50579
ENSG00000124507,PACSIN1,3,-5.0410,75,-0.5192,179,0.91981,281,2.40674,30,-1.8780,39,-1.5200,5,-4.2775,38,-1.5371
ENSG00000196821,ILRUN,101,1.91385,22,-0.7388,41,0.25263,37,0.09935,12,-1.6087,2,-4.1194,36,0.05718,26,-0.4366
ENSG00000124562,SNRPC,75,0.48327,34,-0.7644,41,-0.4730,57,0.03111,47,-0.2742,72,0.42819,76,0.51942,42,-0.4370
ENSG00000064999,ANKS1A,78,1.14465,25,-0.7270,17,-1.2686,81,1.52729,12,-1.7642,39,-0.0372,18,-1.1742,5,-2.9648
ENSG00000198755,RPL10A,284,-0.9755,268,-1.0655,230,-1.2961,261,-1.2105,374,-0.5513,1270,1.54000,717,0.50298,1095,1.25576
ENSG00000096060,FKBP5,3,-3.2939,15,-0.8920,13,-1.0866,31,0.29140,54,1.17677,37,0.53962,27,-0.0117,30,0.19593
ENSG00000112062,MAPK14,67,1.28561,11,-1.5334,47,0.63343,51,0.93841,16,-1.0834,31,-0.0224,10,-1.6717,1,-4.4273
ENSG00000096070,BRPF3,3,-3.0130,16,-0.4828,21,-0.0544,44,1.46897,0,-6.9043,19,-0.2623,37,0.86507,14,-0.6728
ENSG00000112078,KCTD20,98,2.12788,25,-0.3111,17,-0.8901,30,-0.0445,0,-7.3712,39,0.40442,22,-0.5477,14,-1.1434
ENSG00000112081,SRSF3,154,0.04589,81,-0.9537,205,0.51819,154,0.05646,154,0.04296,188,0.37449,198,0.46436,58,-1.4568
ENSG00000124772,CPNE5,3,-4.4211,44,-0.4674,54,-0.1408,204,3.55102,8,-3.0130,0,-7.4810,11,-2.4593,0,-6.6581
ENSG00000198663,C6orf89,105,0.28662,44,-1.0650,87,-0.0209,139,0.92281,50,-0.8662,92,0.07985,111,0.38177,23,-2.0468
ENSG00000137409,MTCH1,263,-0.6239,196,-1.0776,467,0.29373,862,1.75145,175,-1.2472,205,-1.0099,291,-0.4657,191,-1.1191
ENSG00000137200,CMTR1,3,-3.3207,14,-1.0587,21,-0.4387,67,2.04281,6,-2.2896,29,0.09822,32,0.26877,8,-1.9160
ENSG00000198937,CCDC167,58,0.98705,10,-1.7582,6,-2.4747,33,0.04961,66,1.20573,22,-0.6151,36,0.18538,27,-0.3049
ENSG00000156639,ZFAND3,131,1.10224,26,-1.4878,83,0.30654,67,-0.0373,52,-0.4500,71,0.06314,83,0.32110,37,-0.9779
ENSG00000183826,BTBD9,68,1.05120,32,-0.1985,45,0.34379,64,1.13919,23,-0.7038,6,-2.7561,6,-2.6433,21,-0.8747
ENSG00000124767,GLO1,77,-0.1824,40,-1.1788,118,0.52778,114,0.53856,140,0.81261,64,-0.4638,84,-0.0367,23,-1.9795
ENSG00000146122,DAAM2,250,0.71367,80,-1.1071,46,-1.9409,61,-1.6443,105,-0.6938,146,-0.1820,483,1.96214,237,0.62111
ENSG00000112561,TFEB,3,-3.2607,12,-1.2285,14,-1.0073,4,-2.7596,56,1.30792,31,0.26658,96,2.43849,15,-0.8111
ENSG00000214736,TOMM6,19,-2.3866,53,-0.9084,127,0.49481,100,0.10198,120,0.39601,144,0.70149,124,0.44569,63,-0.6430
ENSG00000112576,CCND3,19,-1.9719,37,-0.9555,123,0.98467,73,0.11799,117,0.89481,79,0.22698,53,-0.4161,44,-0.6943
ENSG00000048544,MRPS10,42,0.22480,22,-0.7819,64,0.93355,62,1.07774,32,-0.2362,1,-4.8829,26,-0.5430,18,-1.0568
ENSG00000024048,UBR2,254,2.95583,10,-2.5615,25,-1.2778,34,-0.8893,29,-1.0319,80,0.56581,30,-1.0113,16,-1.9131
ENSG00000146223,RPL7L1,48,-0.4414,42,-0.6727,56,-0.2121,115,1.22868,24,-1.5217,100,0.75691,43,-0.6345,31,-1.1329
ENSG00000137161,CNPY3,214,2.38038,19,-1.7454,12,-2.4133,45,-0.5087,44,-0.4972,94,0.75164,39,-0.6816,28,-1.1843
ENSG00000124587,PEX6,48,0.48409,22,-0.7288,46,0.42507,34,-0.0575,55,0.71989,46,0.41951,23,-0.6592,11,-1.8015
ENSG00000112640,PPP2R5D,3,-3.5906,29,-0.2082,25,-0.4436,83,2.11332,22,-0.6475,17,-1.0189,23,-0.5392,13,-1.4447
ENSG00000124733,MEA1,161,0.94676,38,-1.3635,84,-0.1375,119,0.50003,102,0.16942,96,0.06560,71,-0.4220,37,-1.3934
ENSG00000124702,KLHDC3,107,-0.2528,89,-0.5335,168,0.48734,274,1.72807,58,-1.1960,23,-2.5567,61,-1.1313,71,-0.8783
ENSG00000112651,MRPL2,3,-3.3473,16,-0.8664,48,0.92943,48,1.11282,16,-0.8462,20,-0.4932,34,0.31493,17,-0.7685
ENSG00000112658,SRF,3,-2.9105,20,-0.0053,27,0.45046,40,1.36820,11,-0.9148,12,-0.7851,17,-0.3027,15,-0.5097
ENSG00000112659,CUL9,64,1.46963,18,-0.6306,53,1.09686,19,-0.6259,28,-0.0003,31,0.20811,11,-1.4189,4,-2.6880
ENSG00000112667,DNPH1,241,2.19272,34,-1.1828,69,-0.0894,24,-1.8358,97,0.46612,69,-0.1017,39,-0.9945,62,-0.2635
ENSG00000137221,TJAP1,3,-3.5533,11,-1.6262,19,-0.8026,16,-1.1825,44,0.50377,55,0.88432,101,2.06685,26,-0.3355
ENSG00000137207,YIPF3,3,-4.4508,35,-0.8500,82,0.52867,62,0.05419,52,-0.2286,123,1.23651,69,0.23341,51,-0.2374
ENSG00000096080,MRPS18A,3,-3.5287,22,-0.5615,23,-0.5209,28,-0.2199,96,2.01857,20,-0.7306,42,0.47208,23,-0.5223
ENSG00000112715,VEGFA,107,1.71548,16,-1.3939,72,0.95902,28,-0.6289,36,-0.1978,45,0.16101,25,-0.7797,8,-2.3855
ENSG00000180992,MRPL14,25,-0.4636,13,-1.4285,73,1.33526,28,-0.3377,22,-0.6282,67,1.18638,29,-0.2492,17,-1.0510
ENSG00000137216,TMEM63B,186,0.88412,124,0.19473,224,1.22609,159,0.72693,39,-1.5929,25,-2.2638,54,-1.0952,19,-2.6415
ENSG00000096384,HSP90AB1,400,-1.4783,771,-0.4712,1664,0.79845,2234,1.68785,194,-2.5512,886,-0.2506,536,-1.0322,400,-1.4792
ENSG00000157593,SLC35B2,129,1.84725,19,-1.3337,15,-1.7018,27,-0.9060,77,0.87853,38,-0.3081,74,0.79030,7,-2.8631
ENSG00000178233,TMEM151B,3,-4.1920,47,-0.0841,95,1.09711,108,1.68726,43,-0.2275,0,-7.2529,4,-3.5167,40,-0.3474
ENSG00000096401,CDC5L,99,1.66434,13,-1.6608,29,-0.4570,52,0.57625,22,-0.9038,28,-0.5233,29,-0.4673,24,-0.7218
ENSG00000001561,ENPP4,93,0.87863,31,-0.9174,19,-1.6276,52,-0.0893,7,-3.0618,39,-0.5453,179,2.16963,23,-1.3460
ENSG00000172348,RCAN2,71,-0.8203,41,-1.6628,37,-1.8002,314,2.27621,26,-2.3432,135,0.19378,84,-0.5614,57,-1.1447
ENSG00000146072,TNFRSF21,82,0.71933,24,-1.2430,44,-0.2961,92,1.12714,6,-3.0984,28,-0.9922,99,1.05188,11,-2.3975
