Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000135632,SMYD5,146,2.44586,30,-0.4687,27,-1.0561,15,-1.5036,34,-0.2628
ENSG00000135617,PRADC1,146,2.60454,24,-0.6800,20,-1.5622,19,-1.0368,47,0.39196
ENSG00000135624,CCT7,146,0.20505,215,0.86128,116,-0.3221,52,-1.4022,167,0.42702
ENSG00000163013,FBXO41,146,0.89835,0,-6.8035,115,1.19176,41,-1.1475,12,-2.9532
ENSG00000144034,TPRKB,146,2.35255,17,-1.3830,27,-1.1280,27,-0.6516,47,0.21986
ENSG00000114956,DGUOK,146,1.18685,28,-1.4675,66,-0.2931,41,-0.8991,110,0.68600
ENSG00000163170,BOLA3,146,1.34202,36,-0.9853,63,-0.2267,28,-1.3582,83,0.34478
ENSG00000114978,MOB1A,146,2.40392,51,0.37057,23,-1.4480,13,-1.6933,41,0.00285
ENSG00000204843,DCTN1,146,-0.8680,125,-1.1033,327,1.00381,244,-0.0684,136,-0.9803
ENSG00000005448,WDR54,146,2.61299,0,-6.0716,32,-0.4445,7,-2.4794,21,-0.8673
ENSG00000115274,INO80B,146,2.34478,43,0.06334,32,-0.7623,24,-0.8362,2,-4.2783
ENSG00000239779,WBP1,146,0.84920,86,-0.0402,63,-0.9317,53,-0.8021,195,1.37670
ENSG00000115307,AUP1,146,0.98893,149,1.02091,53,-1.1358,43,-1.0129,131,0.79262
ENSG00000115317,HTRA2,146,2.15308,9,-2.4457,34,-0.8151,19,-1.2981,64,0.57005
ENSG00000135622,SEMA4F,146,2.48275,35,-0.1577,31,-0.6860,0,-6.0718,17,-1.2839
ENSG00000115350,POLE4,146,0.59369,95,-0.1165,101,-0.0368,115,0.19389,58,-0.8804
ENSG00000066032,CTNNA2,146,0.46709,27,-2.1291,110,-0.0061,43,-1.4587,226,1.23124
ENSG00000162951,LRRTM1,146,2.16656,0,-6.3418,46,0.11432,2,-4.3650,23,-1.0231
ENSG00000163541,SUCLG1,146,0.93753,50,-0.8200,79,-0.2062,61,-0.5093,106,0.38050
ENSG00000034510,TMSB10,146,-4.3166,5017,1.11445,3202,0.76332,1368,-1.0192,1013,-1.4755
ENSG00000176407,KCMF1,146,1.77166,27,-1.0834,54,0.02142,22,-1.3825,19,-1.5776
ENSG00000152291,TGOLN2,146,0.31910,113,-0.1081,116,-0.1212,103,-0.2486,142,0.27345
ENSG00000042445,RETSAT,146,2.09669,53,0.21020,24,-1.5769,37,-0.3656,59,0.39978
ENSG00000042493,CAPG,146,1.84592,23,-1.2711,16,-2.5503,81,0.72818,138,1.73135
ENSG00000168906,MAT2A,146,0.02845,258,0.99175,83,-1.4039,154,0.11455,321,1.39814
ENSG00000115486,GGCX,146,2.42831,52,0.42903,28,-0.9858,9,-2.2107,14,-1.5657
ENSG00000168899,VAMP5,146,0.99223,325,2.65749,18,-3.1018,50,-0.7720,121,0.65690
ENSG00000168894,RNF181,146,0.83837,111,0.36624,71,-0.6570,80,-0.1688,109,0.33621
ENSG00000115525,ST3GAL5,146,1.57134,7,-3.2415,55,-0.2489,42,-0.5477,67,0.18833
ENSG00000132300,PTCD3,146,2.18997,24,-0.9312,36,-0.5705,43,-0.0632,4,-3.4393
ENSG00000132305,IMMT,146,1.30501,18,-2.0668,66,-0.1084,31,-1.2219,91,0.46644
ENSG00000132313,MRPL35,146,1.77912,41,-0.4395,42,-0.6847,17,-1.7169,69,0.39657
ENSG00000068615,REEP1,146,1.03133,39,-1.1173,101,0.91505,19,-2.2012,9,-3.1975
ENSG00000115561,CHMP3,146,0.23829,170,0.49309,130,0.07800,76,-0.8031,98,-0.4065
ENSG00000239305,RNF103,146,2.25248,18,-1.3470,33,-0.7665,11,-2.0599,50,0.22164
ENSG00000153561,RMND5A,146,1.90950,8,-2.8179,47,-0.2070,28,-0.9333,37,-0.4902
ENSG00000172005,MAL,146,0.49250,25,-2.2411,43,-2.1481,328,2.01125,264,1.56246
ENSG00000144029,MRPS5,146,1.77848,71,0.44415,34,-1.1795,47,-0.2044,49,-0.1533
ENSG00000115041,KCNIP3,146,1.79630,2,-4.5084,54,0.03503,20,-1.4839,42,-0.3826
ENSG00000115042,FAHD2A,146,2.35117,46,0.15516,25,-1.3045,24,-0.8320,32,-0.3957
ENSG00000084090,STARD7,146,-0.0455,31,-2.3991,167,0.37109,186,0.34860,154,0.03707
ENSG00000135956,TMEM127,146,1.37468,78,0.26858,65,-0.0524,9,-2.9485,37,-0.9232
ENSG00000144021,CIAO1,146,1.05002,37,-1.1598,82,0.13014,59,-0.4492,57,-0.5268
ENSG00000144028,SNRNP200,146,1.20103,63,-0.2368,52,-0.9211,37,-1.0376,148,1.22269
ENSG00000213337,ANKRD39,146,2.26739,0,-6.2761,37,-0.4683,13,-1.8017,44,0.03342
ENSG00000144199,FAHD2B,146,2.49873,25,-0.6853,31,-0.6411,18,-1.2076,6,-2.8006
ENSG00000135940,COX5B,146,-2.3525,823,0.30678,768,0.41398,611,-0.1774,724,0.09572
ENSG00000115073,ACTR1B,146,0.89884,112,0.44019,77,-0.3319,53,-0.7554,76,-0.1897
ENSG00000075568,TMEM131,146,1.87710,86,0.87015,34,-1.1033,35,-0.5975,25,-1.0967
ENSG00000040933,INPP4A,146,1.54688,27,-1.2527,65,0.21892,15,-2.1396,34,-0.9091
ENSG00000183513,COA5,146,1.42740,36,-0.8867,61,-0.1689,47,-0.5100,45,-0.5653
ENSG00000115446,UNC50,146,2.57719,17,-1.1967,28,-0.8623,9,-2.1727,29,-0.3983
ENSG00000071073,MGAT4A,146,2.10171,66,0.58762,34,-0.8675,14,-1.7879,21,-1.2122
ENSG00000196872,KIAA1211L,146,1.85842,0,-6.5469,60,0.50399,21,-1.3515,0,-7.4047
ENSG00000185414,MRPL30,146,2.75207,16,-1.1901,25,-0.9018,22,-0.7268,6,-2.6247
ENSG00000158417,EIF5B,146,-0.2788,294,0.88438,120,-1.0107,435,1.61767,92,-0.9952
ENSG00000144218,AFF3,146,2.52811,9,-2.1960,36,-0.2057,8,-2.4001,3,-3.4590
ENSG00000170500,LONRF2,146,0.53930,27,-2.0976,134,0.92458,35,-1.6961,73,-0.5783
ENSG00000115526,CHST10,146,2.55923,23,-0.7773,21,-1.5075,12,-1.6989,57,0.66456
ENSG00000170485,NPAS2,146,2.53241,28,-0.4792,32,-0.5349,11,-1.8336,0,-6.9728
ENSG00000071082,RPL31,146,-3.0078,1491,0.55805,954,-0.3373,1785,0.87080,1399,0.45030
ENSG00000175874,CREG2,146,-0.4233,20,-3.4017,294,2.24645,69,-1.5736,12,-4.1444
ENSG00000071054,MAP4K4,146,-0.0019,88,-0.8042,67,-1.8764,614,2.79263,137,-0.1049
ENSG00000233639,PANTR1,146,2.70589,0,-6.0193,21,-1.3526,20,-0.9220,51,0.59004
ENSG00000198914,POU3F3,146,1.68799,0,-6.6666,33,-1.3780,44,-0.3832,153,1.77381
ENSG00000135972,MRPS9,146,2.71778,22,-0.7279,25,-0.9999,11,-1.7074,18,-1.0459
ENSG00000071051,NCK2,146,1.59056,39,-0.6708,56,-0.1728,31,-0.9956,36,-0.7562
ENSG00000115652,UXS1,146,2.63012,33,-0.1696,21,-1.4094,2,-3.8756,45,0.32397
ENSG00000135968,GCC2,146,0.94756,62,-0.4692,91,0.28914,49,-0.8243,39,-1.1689
ENSG00000153201,RANBP2,146,1.57245,44,-0.4850,54,-0.3111,15,-2.1188,63,0.08642
ENSG00000175701,MTLN,146,0.47786,161,0.64321,118,0.25922,38,-1.6111,49,-1.2565
ENSG00000188177,ZC3H6,146,1.33561,72,0.10956,51,-0.7876,90,0.46404,45,-0.6394
ENSG00000114999,TTL,146,1.31797,25,-1.5409,63,-0.2280,72,0.07868,54,-0.3674
ENSG00000125611,CHCHD5,146,1.48894,31,-1.1062,49,-0.6868,68,0.14292,71,0.21900
ENSG00000144136,SLC20A1,146,1.72679,56,0.01618,46,-0.5293,16,-1.8945,49,-0.1945
ENSG00000189223,PAX8-AS1,146,2.80103,0,-5.9680,27,-0.6931,10,-1.8671,19,-0.8877
ENSG00000115091,ACTR3,146,1.00499,114,0.56120,68,-0.5245,61,-0.4352,68,-0.2660
ENSG00000175497,DPP10,146,1.57604,0,-6.7473,65,0.27199,37,-0.7389,30,-1.0706
ENSG00000235026,DPP10-AS1,146,3.29041,0,-5.7261,22,-0.7740,2,-3.8117,4,-2.9091
ENSG00000088205,DDX18,146,1.79842,91,0.89850,34,-1.2048,52,-0.0344,23,-1.3226
ENSG00000125629,INSIG2,146,2.39703,29,-0.5249,31,-0.7817,10,-2.0641,27,-0.6654
ENSG00000155368,DBI,146,-1.5455,277,-0.5729,246,-1.2500,454,0.21861,1465,2.47455
ENSG00000088179,PTPN4,146,2.20266,0,-6.3189,49,0.34870,6,-2.8880,0,-5.6865
ENSG00000144118,RALB,146,1.24119,73,0.03851,75,0.18175,42,-0.8218,3,-4.4511
ENSG00000074054,CLASP1,146,1.51621,17,-1.9595,65,0.16331,14,-2.2209,53,-0.2340
ENSG00000211460,TSN,146,1.31255,27,-1.4290,66,-0.1313,61,-0.1742,53,-0.4096
ENSG00000136717,BIN1,146,-0.5258,111,-0.9587,204,0.00712,297,0.62814,259,0.39303
ENSG00000136709,WDR33,146,1.89573,79,0.73929,35,-0.9875,27,-1.0055,29,-0.8558
ENSG00000144231,POLR2D,146,2.73384,8,-2.1288,26,-0.8475,22,-0.7120,12,-1.6860
ENSG00000136720,HS6ST1,146,0.91409,20,-2.1607,92,0.25423,38,-1.2382,102,0.29922
ENSG00000136699,SMPD4,146,1.84955,94,0.99199,34,-1.1070,29,-0.9332,29,-0.9274
ENSG00000152082,MZT2B,146,-1.7248,657,0.64020,453,0.03960,421,-0.0969,538,0.30218
ENSG00000136710,CCDC115,146,1.55978,41,-0.5956,55,-0.2760,24,-1.3965,55,-0.1532
ENSG00000136718,IMP4,146,1.01556,71,-0.2073,75,-0.2310,85,0.09674,48,-0.8014
ENSG00000072135,PTPN18,146,1.75866,106,1.13675,22,-2.0632,29,-0.9679,97,0.97148
ENSG00000136002,ARHGEF4,146,0.03624,44,-1.8062,165,0.51450,76,-0.9878,195,0.51515
ENSG00000152102,FAM168B,146,0.22076,83,-0.6829,138,0.25502,143,0.18665,89,-0.5752
ENSG00000115762,PLEKHB2,146,-0.1755,113,-0.5803,201,0.78249,86,-1.0097,121,-0.4810
ENSG00000173272,MZT2A,146,-0.6788,217,-0.0544,267,0.62550,135,-0.8022,192,-0.2564
ENSG00000152127,MGAT5,146,1.85588,52,-0.0092,48,-0.2537,15,-1.8624,15,-1.8750
ENSG00000152128,TMEM163,146,2.48969,0,-6.1432,40,0.08111,0,-6.8489,5,-3.0099
ENSG00000115839,RAB3GAP1,146,1.00499,67,-0.3084,83,0.09980,39,-1.1192,59,-0.5081
ENSG00000048991,R3HDM1,146,1.00932,18,-2.2982,103,0.95690,21,-2.0379,26,-1.7227
ENSG00000144224,UBXN4,146,0.98078,69,-0.2726,60,-0.8437,142,0.92358,78,-0.0740
ENSG00000115866,DARS,146,1.24579,43,-0.7881,51,-0.8881,80,0.20310,112,0.76220
ENSG00000168702,LRP1B,146,2.86403,1,-4.4760,23,-1.0207,17,-1.0417,24,-0.5332
ENSG00000121964,GTDC1,146,2.28747,22,-1.0417,27,-1.1890,34,-0.3672,47,0.14349
ENSG00000169554,ZEB2,146,0.48186,90,-0.3121,55,-1.6621,402,2.46200,68,-0.7555
ENSG00000115947,ORC4,146,1.78520,29,-0.9483,57,0.20195,20,-1.5026,2,-4.3696
ENSG00000168280,KIF5C,146,-0.9897,30,-3.3452,354,1.00674,447,0.81785,81,-1.8806
ENSG00000168288,MMADHC,146,1.81117,67,0.38077,47,-0.3839,10,-2.5432,21,-1.4117
ENSG00000080345,RIF1,146,2.20925,15,-1.6053,36,-0.5971,39,-0.2003,17,-1.4532
ENSG00000162980,ARL5A,146,1.80571,28,-1.0097,36,-1.0233,52,-0.0343,71,0.47326
ENSG00000182389,CACNB4,146,1.27400,0,-6.9733,91,1.04358,15,-2.2712,13,-2.5265
ENSG00000157827,FMNL2,146,0.71646,0,-6.9738,49,-1.6190,244,1.66736,219,1.45457
ENSG00000196504,PRPF40A,146,1.62831,60,0.06606,34,-1.3898,71,0.33250,77,0.45881
ENSG00000162989,KCNJ3,146,1.41629,0,-6.8650,75,0.50099,15,-2.1835,48,-0.4633
ENSG00000115159,GPD2,146,1.54427,15,-2.0712,62,0.08046,20,-1.7149,53,-0.2025
ENSG00000136541,ERMN,146,0.86383,3,-4.7110,19,-3.1821,451,3.40492,94,0.11410
ENSG00000144283,PKP4,146,0.28914,0,-7.7830,61,-1.7007,630,3.40278,22,-2.6253
ENSG00000123636,BAZ2B,146,1.58076,37,-0.7454,27,-1.9047,151,1.64735,68,0.21626
ENSG00000136536,MARCH7,146,2.19429,12,-1.9635,32,-0.9056,8,-2.5064,73,0.84457
ENSG00000241399,CD302,146,2.20160,72,0.81682,15,-2.3765,21,-1.1709,83,1.06990
ENSG00000115233,PSMD14,146,1.49512,16,-2.0302,64,0.11078,27,-1.2621,48,-0.4135
ENSG00000136535,TBR1,146,1.62057,0,-6.7149,66,0.45813,46,-0.3661,0,-7.3241
ENSG00000144290,SLC4A10,146,1.32092,18,-2.0037,84,0.81683,9,-3.0489,18,-2.0531
ENSG00000115271,GCA,146,2.24919,20,-1.1795,31,-0.9287,30,-0.5746,39,-0.1515
ENSG00000153253,SCN3A,146,2.02534,41,-0.2371,41,-0.4251,17,-1.5664,19,-1.4325
ENSG00000136531,SCN2A,146,-0.4993,9,-4.5568,316,2.49250,35,-2.6237,32,-2.7649
ENSG00000178662,CSRNP3,146,1.30877,9,-2.9804,89,1.04523,5,-3.7120,11,-2.7800
ENSG00000144285,SCN1A,146,2.69849,0,-6.0238,34,-0.2130,8,-2.1720,1,-4.8576
ENSG00000198648,STK39,146,1.17999,0,-7.0454,71,-0.1197,84,0.22580,77,0.06773
ENSG00000172292,CERS6,146,1.82578,21,-1.4049,55,0.13062,19,-1.5327,13,-2.0826
ENSG00000138398,PPIG,146,0.33052,164,0.52059,110,-0.2525,154,0.41106,62,-1.0326
ENSG00000213160,KLHL23,146,2.55943,20,-0.9915,26,-1.0429,15,-1.4207,32,-0.2619
ENSG00000138385,SSB,146,0.82792,115,0.41968,79,-0.3807,69,-0.4058,80,-0.1840
ENSG00000138382,METTL5,146,1.59719,36,-0.7588,55,-0.2017,33,-0.8850,38,-0.6753
ENSG00000144357,UBR3,146,1.33999,9,-2.9688,74,0.34435,22,-1.6817,56,-0.2865
ENSG00000128683,GAD1,146,0.37589,0,-7.7079,149,0.97183,19,-2.7134,137,0.26828
ENSG00000115806,GORASP2,146,1.80037,36,-0.6133,45,-0.4693,10,-2.5404,60,0.20095
ENSG00000198586,TLK1,146,1.37237,47,-0.5477,72,0.28151,30,-1.2344,13,-2.3950
ENSG00000077380,DYNC1I2,146,-0.1580,72,-1.2495,128,-0.6581,385,1.52283,208,0.41733
ENSG00000115840,SLC25A12,146,1.72539,22,-1.3850,61,0.31380,21,-1.4946,5,-3.4925
ENSG00000091428,RAPGEF4,146,-0.3365,61,-1.6809,201,0.37780,381,1.28866,31,-2.6494
ENSG00000138430,OLA1,146,0.06605,69,-1.1083,176,0.87611,80,-0.8935,88,-0.7319
ENSG00000138433,CIR1,146,1.53699,21,-1.6408,48,-0.6531,36,-0.8122,102,0.86996
ENSG00000163328,GPR155,146,1.18912,4,-4.1889,90,0.76701,52,-0.5396,7,-3.3650
ENSG00000115935,WIPF1,146,2.27838,63,0.64510,11,-2.8113,67,0.73828,52,0.32370
ENSG00000128656,CHN1,146,-2.5508,48,-4.1728,1326,3.72786,174,-2.2926,30,-4.8569
ENSG00000115966,ATF2,146,1.79529,40,-0.4689,48,-0.3011,25,-1.2015,28,-0.9842
ENSG00000154518,ATP5MC3,146,-0.9690,162,-0.8157,370,1.31371,105,-1.4747,181,-0.6431
ENSG00000144320,LNPK,146,2.12459,7,-2.6802,40,-0.3989,24,-0.9827,34,-0.4862
ENSG00000128654,MTX2,146,1.25956,13,-2.4954,79,0.40087,30,-1.3216,49,-0.5703
ENSG00000170144,HNRNPA3,146,-0.3421,293,0.80538,165,-0.2953,146,-0.3428,223,0.34044
ENSG00000116044,NFE2L2,146,1.41651,127,1.15123,29,-1.8984,75,0.24606,89,0.52338
ENSG00000018510,AGPS,146,2.88579,14,-1.3451,24,-0.9516,20,-0.8268,4,-3.0885
ENSG00000079156,OSBPL6,146,2.62743,8,-2.3182,27,-0.8263,31,-0.2657,10,-1.9142
ENSG00000180228,PRKRA,146,1.91560,31,-0.7741,49,-0.0784,26,-1.0316,5,-3.4000
ENSG00000116095,PLEKHA3,146,2.06336,24,-1.0256,34,-0.8804,30,-0.6803,52,0.15564
ENSG00000187231,SESTD1,146,2.28081,29,-0.6046,25,-1.3231,43,-0.0063,39,-0.1331
ENSG00000170035,UBE2E3,146,0.86361,36,-1.3764,103,0.59373,31,-1.6167,60,-0.6028
ENSG00000138434,ITPRID2,146,1.79748,69,0.43036,18,-2.4496,63,0.26380,114,1.30707
ENSG00000115252,PDE1A,146,1.50863,0,-6.7964,73,0.60286,37,-0.8176,8,-3.0069
ENSG00000077232,DNAJC10,146,1.78417,49,-0.1609,39,-0.8781,45,-0.2724,48,-0.1712
ENSG00000061676,NCKAP1,146,-0.5128,190,-0.0951,268,1.16915,70,-1.6406,70,-1.6406
ENSG00000065548,ZC3H15,146,0.33541,84,-0.5568,136,0.46456,51,-1.3283,113,-0.0911
ENSG00000138448,ITGAV,146,0.80318,113,0.36306,39,-1.9607,83,-0.1368,276,2.02560
ENSG00000144369,FAM171B,146,0.35232,35,-1.8593,133,0.42559,35,-1.8406,179,0.69852
ENSG00000138381,ASNSD1,146,2.12906,24,-0.9842,30,-1.0872,8,-2.6296,81,0.97161
ENSG00000128699,ORMDL1,146,1.84050,66,0.39282,36,-1.0270,42,-0.3609,38,-0.5059
ENSG00000198130,HIBCH,146,2.39354,27,-0.6159,18,-1.8964,36,-0.1869,65,0.79126
ENSG00000151689,INPP1,146,2.47951,0,-6.1487,31,-0.6862,18,-1.1974,35,-0.1927
ENSG00000151690,MFSD6,146,0.97472,0,-7.1890,100,0.71571,42,-1.0286,53,-0.6932
ENSG00000138386,NAB1,146,2.39862,43,0.11180,21,-1.6056,19,-1.1830,51,0.38579
ENSG00000115419,GLS,146,0.01194,72,-1.0941,200,1.36427,25,-2.6620,66,-1.2339
ENSG00000115415,STAT1,146,1.59997,31,-1.0202,44,-0.7916,45,-0.4366,87,0.64276
ENSG00000144339,TMEFF2,146,1.74836,26,-1.1446,56,0.09556,34,-0.7448,4,-3.7088
ENSG00000196950,SLC39A10,146,0.47424,57,-1.0276,138,0.89109,16,-2.8919,78,-0.5417
ENSG00000197121,PGAP1,146,1.79271,17,-1.7613,47,-0.4153,9,-2.6594,77,0.59709
ENSG00000115524,SF3B1,146,0.71923,146,0.72040,77,-0.6081,63,-0.6512,115,0.31111
ENSG00000115520,COQ10B,146,2.35851,0,-6.2213,35,-0.4844,19,-1.2132,31,-0.4343
ENSG00000144381,HSPD1,146,0.23775,136,0.11688,133,0.15574,108,-0.2511,85,-0.6224
ENSG00000115541,HSPE1,146,-0.1732,60,-1.5399,170,0.14107,126,-0.4144,285,0.94241
ENSG00000115540,MOB4,146,1.67499,43,-0.4537,53,-0.1849,26,-1.2034,28,-1.0784
ENSG00000178074,C2orf69,146,1.94152,6,-3.1562,52,0.17286,30,-0.8156,4,-3.5494
ENSG00000196141,SPATS2L,146,1.38732,89,0.49537,53,-0.6402,29,-1.2510,64,-0.0338
ENSG00000082153,BZW1,146,0.68807,95,-0.0251,100,0.09906,62,-0.7093,69,-0.5332
ENSG00000013441,CLK1,146,2.23495,50,0.23500,22,-1.6949,28,-0.6909,59,0.50764
ENSG00000155744,FAM126B,146,1.98293,4,-3.5699,48,-0.0825,5,-3.4236,47,-0.0764
ENSG00000119013,NDUFB3,146,0.27764,62,-1.0728,132,0.23839,66,-0.9787,174,0.57285
ENSG00000115993,TRAK2,146,1.35861,34,-1.0577,42,-1.1931,142,1.29752,67,0.01460
ENSG00000116030,SUMO1,146,0.65475,118,0.29563,106,0.22855,66,-0.6344,30,-1.8384
ENSG00000055044,NOP58,146,1.78839,92,0.90437,34,-1.1987,54,0.02311,21,-1.4569
ENSG00000204217,BMPR2,146,0.56396,142,0.51285,108,0.11974,18,-2.6534,91,-0.2146
ENSG00000163596,ICA1L,146,2.21523,14,-1.6920,34,-0.7340,35,-0.3604,31,-0.5692
ENSG00000138442,WDR12,146,3.00660,4,-2.8514,24,-0.8219,10,-1.7713,9,-1.9048
ENSG00000138443,ABI2,146,-0.2109,88,-0.9992,193,0.53125,151,-0.1625,149,-0.1773
ENSG00000023228,NDUFS1,146,0.52659,65,-0.7795,117,0.33834,32,-1.8168,127,0.29303
ENSG00000114942,EEF1B2,146,-1.5165,647,0.85664,325,-0.5313,763,1.15344,323,-0.2988
ENSG00000114948,ADAM23,146,1.66521,9,-2.7410,68,0.64134,13,-2.1939,5,-3.6048
ENSG00000118246,FASTKD2,146,2.48981,8,-2.3515,32,-0.5426,29,-0.4842,7,-2.6344
ENSG00000118263,KLF7,146,2.71575,0,-6.0134,29,-0.5856,15,-1.3590,15,-1.3653
ENSG00000118260,CREB1,146,2.59093,57,0.68433,22,-1.3875,16,-1.2795,10,-1.9724
ENSG00000188674,C2orf80,146,1.29031,0,-6.9330,91,1.11517,8,-3.2486,13,-2.5042
ENSG00000115020,PIKFYVE,146,2.75408,12,-1.6046,24,-1.0476,12,-1.6174,27,-0.3902
ENSG00000078018,MAP2,146,-2.3424,71,-3.3977,1066,2.46824,444,-0.6705,108,-2.7928
ENSG00000144406,UNC80,146,1.80182,0,-6.5859,61,0.48639,18,-1.6249,9,-2.6372
ENSG00000115365,LANCL1,146,0.20997,36,-1.9325,146,0.44151,124,-0.0570,122,-0.0850
ENSG00000178568,ERBB4,146,1.80865,0,-6.1957,38,-0.9411,21,-1.3934,122,1.44583
ENSG00000144451,SPAG16,146,1.59772,65,0.15890,46,-0.6909,41,-0.5609,47,-0.3638
ENSG00000138363,ATIC,146,1.88569,0,-6.5239,37,-0.8877,14,-1.9732,115,1.40451
ENSG00000115414,FN1,146,-0.0271,1077,5.01715,11,-4.7565,0,-9.0358,59,-1.4277
ENSG00000079246,XRCC5,146,0.82423,91,0.02010,85,-0.1623,35,-1.4587,109,0.32224
ENSG00000260804,LINC01963,146,1.96740,37,-0.4318,48,-0.0886,12,-2.0640,7,-2.8111
ENSG00000197756,RPL37A,146,-4.2760,4228,0.85699,1865,-0.8642,5218,1.23910,3986,0.75319
ENSG00000115461,IGFBP5,146,0.23183,370,1.93095,25,-3.3157,239,1.07498,262,1.25052
ENSG00000079308,TNS1,146,1.02356,437,3.61027,10,-3.9564,34,-1.3288,51,-0.7043
ENSG00000163466,ARPC2,146,-0.0748,185,0.30593,162,0.17909,142,-0.1247,98,-0.7042
ENSG00000127837,AAMP,146,0.84566,75,-0.2708,93,0.17814,69,-0.3897,39,-1.2541
ENSG00000127838,PNKD,146,0.26378,85,-0.5962,131,0.16657,59,-1.1713,176,0.57200
ENSG00000135926,TMBIM1,146,1.16428,264,2.38097,21,-2.6742,43,-0.8651,106,0.59511
ENSG00000144579,CTDSP1,146,1.39399,238,2.42464,19,-2.6384,52,-0.3534,56,-0.2549
ENSG00000074582,BCS1L,146,2.38685,8,-2.3423,31,-0.7359,25,-0.7409,30,-0.4793
ENSG00000171450,CDK5R2,146,-0.3499,0,-8.1958,284,2.37624,43,-2.2115,28,-2.8113
ENSG00000144567,RETREG2,146,-0.6017,59,-1.9831,287,1.22098,105,-1.1125,181,-0.2670
ENSG00000158552,ZFAND2B,146,1.83262,57,0.13409,45,-0.4262,23,-1.2814,19,-1.5679
ENSG00000198925,ATG9A,146,1.12016,87,0.21499,70,-0.2367,33,-1.2988,66,-0.2265
ENSG00000115661,STK16,146,2.40176,28,-0.5980,29,-0.9215,19,-1.1613,27,-0.6155
ENSG00000127824,TUBA4A,146,-0.8964,70,-2.0041,389,2.01770,67,-2.0735,100,-1.4765
ENSG00000135924,DNAJB2,146,-0.5576,118,-0.8861,227,0.29764,346,0.85924,127,-0.7816
ENSG00000054356,PTPRN,146,-0.5260,48,-2.2005,306,2.00423,61,-1.8548,48,-2.1986
ENSG00000072195,SPEG,146,2.18243,121,1.76861,23,-1.6100,14,-1.7182,4,-3.3407
ENSG00000123989,CHPF,146,0.82554,49,-0.9490,100,0.39513,27,-1.8175,82,-0.1407
ENSG00000188760,TMEM198,146,2.89850,7,-2.4083,29,-0.4426,4,-3.1024,0,-6.7746
ENSG00000124006,OBSL1,146,1.59525,106,0.98836,40,-1.0316,16,-2.0195,63,0.09519
ENSG00000114923,SLC4A3,146,0.85835,58,-0.6600,94,0.23657,8,-3.4771,107,0.32330
ENSG00000116106,EPHA4,146,1.32173,9,-3.0630,89,1.09825,2,-4.9366,9,-3.0227
ENSG00000116120,FARSB,146,1.37506,33,-1.0775,68,0.07010,52,-0.3821,26,-1.4343
ENSG00000123983,ACSL3,146,0.57921,38,-1.5478,114,0.34542,49,-1.1472,125,0.31516
ENSG00000171951,SCG2,146,0.01497,36,-2.1240,182,0.87362,25,-2.6407,188,0.43144
ENSG00000085449,WDFY1,146,2.32053,30,-0.5106,29,-0.9899,1,-4.5732,54,0.42223
ENSG00000135900,MRPL44,146,2.54378,5,-2.8941,32,-0.5332,8,-2.2740,25,-0.6617
ENSG00000135919,SERPINE2,146,0.13847,86,-0.7086,81,-1.3045,35,-2.0704,537,2.67007
ENSG00000036257,CUL3,146,1.50754,7,-3.1919,67,0.26925,8,-3.0964,60,-0.0332
ENSG00000168958,MFF,146,0.79406,23,-2.0667,86,-0.1620,81,-0.1964,137,0.68010
ENSG00000173744,AGFG1,146,1.79929,73,0.51793,40,-0.7849,27,-1.0548,32,-0.7810
ENSG00000153820,SPHKAP,146,1.89589,0,-6.5213,61,0.66573,6,-3.2124,1,-5.3406
ENSG00000153823,PID1,146,2.21083,0,-6.3137,46,0.16865,11,-2.0467,7,-2.7449
ENSG00000187957,DNER,146,-0.6030,61,-1.9361,207,-0.1039,164,-0.4286,520,1.56256
ENSG00000153827,TRIP12,146,1.48505,80,0.40699,52,-0.5501,58,-0.1273,20,-1.7684
ENSG00000135932,CAB39,146,0.74811,20,-2.3224,106,0.44734,44,-1.1571,100,0.10889
ENSG00000135916,ITM2C,146,-2.1315,384,-0.6744,494,-0.5144,360,-0.7732,1931,2.19979
ENSG00000204128,C2orf72,146,2.36531,0,-6.2172,33,-0.6175,11,-1.9808,47,0.21774
ENSG00000173692,PSMD1,146,0.18460,76,-0.8506,157,0.67467,125,-0.0726,45,-1.6460
ENSG00000115053,NCL,146,-0.6617,416,1.06638,157,-0.9553,382,0.91380,274,0.34147
ENSG00000187514,PTMA,146,-2.6301,2062,1.62321,471,-1.4232,1498,1.01736,1352,0.83522
ENSG00000156973,PDE6D,146,2.48568,29,-0.4609,26,-1.0876,17,-1.3069,30,-0.4005
ENSG00000144524,COPS7B,146,2.90092,0,-5.7686,28,-0.4571,11,-1.6960,0,-6.7730
ENSG00000135930,EIF4E2,146,2.02310,32,-0.6486,42,-0.3832,18,-1.4916,24,-1.0398
ENSG00000115468,EFHD1,146,0.47373,233,1.30234,37,-2.4084,213,1.12868,209,1.09911
ENSG00000204120,GIGYF2,146,2.39143,17,-1.3383,32,-0.7083,4,-3.4158,41,0.00998
