cluster,mod,n_gene,n_FDR05,nUP,nDown,model,file,datatype,cell_type_broad,contrast,n_donor
Oligo.4,interaction Age,11901,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Oligo.5,interaction Age,9854,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Vasc.Endo,interaction Age,5618,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,27
Vasc.VLMC,interaction Age,6644,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,22
Excit.L2,interaction Age,20080,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,24
Excit.L2_5.2,interaction Age,14365,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,14
Excit.L5.1,interaction Age,18607,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,24
Excit.L6_CT,interaction Age,14031,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,16
Excit.L6b,interaction Age,16016,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,18
Inhib.Lamp5_Lhx6,interaction Age,13588,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,26
Inhib.Pvalb,interaction Age,15249,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,26
Inhib.Vip,interaction Age,19576,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,30
Inhib.Chandelier,interaction Age,8999,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,14
Inhib.Sst,interaction Age,12219,0,0,0,interaction_Age,vlmf_model_summary_interaction_Age_sn_fine.csv,sn_fine,NA,NA,26
Astro.5,interaction Anc,1793,1,1,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,27
Micro.2,interaction Anc,8763,1,1,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Micro.4,interaction Anc,6620,1,1,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,27
Inhib.Chandelier,interaction Anc,10214,1,1,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,14
Astro.1,interaction Anc,16867,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,29
Astro.2,interaction Anc,9994,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Astro.3,interaction Anc,10634,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Astro.4,interaction Anc,8135,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,25
Macro,interaction Anc,2931,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,18
Micro.1,interaction Anc,10158,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,28
Micro.3,interaction Anc,7923,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,26
Micro.5,interaction Anc,2327,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,25
OPC.1,interaction Anc,13131,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
OPC.2,interaction Anc,10614,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
OPC.3,interaction Anc,14268,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
OPC.4,interaction Anc,11598,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
OPC.5,interaction Anc,1841,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,13
Oligo.1,interaction Anc,13280,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Oligo.2,interaction Anc,13983,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,29
Oligo.3,interaction Anc,11496,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Oligo.4,interaction Anc,12055,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Oligo.5,interaction Anc,9670,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Vasc.Endo,interaction Anc,5058,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,27
Vasc.VLMC,interaction Anc,6644,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,22
Excit.L2,interaction Anc,20080,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,24
Excit.L2_5.1,interaction Anc,22201,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Excit.L2_5.2,interaction Anc,13455,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,14
Excit.L5.1,interaction Anc,17720,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,24
Excit.L5.2,interaction Anc,11952,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,9
Excit.L6_CT,interaction Anc,14031,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,16
Excit.L6b,interaction Anc,15739,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,18
Inhib.Lamp5_Lhx6,interaction Anc,13528,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,26
Inhib.Pvalb,interaction Anc,15219,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,26
Inhib.Vip,interaction Anc,19549,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,30
Inhib.Sst,interaction Anc,12194,0,0,0,interaction_Anc,vlmf_model_summary_interaction_Anc_sn_fine.csv,sn_fine,NA,NA,26
