Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000065154,OAT,16,-3.4631,421,2.19712,171,0.07150,70,-1.7629
ENSG00000107902,LHPP,16,-5.0503,231,-1.2873,166,-1.8087,903,2.47120
ENSG00000188690,UROS,16,-3.2216,241,1.12690,172,0.39934,103,-0.7072
ENSG00000176171,BNIP3,16,-3.8800,377,1.11061,300,0.60976,151,-0.8567
ENSG00000148826,NKX6-2,16,-5.6460,1784,2.00556,49,-4.2521,749,0.02334
ENSG00000130643,CALY,16,-4.1073,888,3.53874,244,-0.0878,7,-5.9954
ENSG00000185201,IFITM2,16,-5.0658,204,-1.5100,148,-2.0100,939,2.70225
ENSG00000142089,IFITM3,16,-6.8423,218,-3.2787,564,-1.8415,3427,3.43628
ENSG00000182272,B4GALNT4,16,-3.0072,204,1.07480,261,1.69833,34,-2.4481
ENSG00000184524,CEND1,16,-4.1014,720,2.55164,319,0.42565,51,-3.0292
ENSG00000177600,RPLP2,1333,-0.6826,412,-2.6097,1033,-1.1803,3557,2.07399
ENSG00000177700,POLR2L,16,-3.8732,214,-0.0373,296,0.59481,232,0.16208
ENSG00000183020,AP2A2,16,-3.5828,592,3.28358,177,-0.0149,13,-4.5223
ENSG00000078902,TOLLIP,16,-4.5274,789,1.87275,250,-0.5617,247,-0.7582
ENSG00000174672,BRSK2,16,-2.8771,204,1.28501,195,1.18298,44,-1.8720
ENSG00000184545,DUSP8,16,-3.7435,465,1.90577,213,0.12642,106,-1.3731
ENSG00000117984,CTSD,16,-5.0364,551,0.23570,604,0.41370,513,0.14161
ENSG00000110651,CD81,16,-5.7948,481,-0.9333,1046,0.46320,1083,0.81743
ENSG00000129757,CDKN1C,16,-5.2028,1966,3.80379,52,-3.6990,215,-1.9102
ENSG00000205531,NAP1L4,16,-3.4567,204,0.41700,168,0.04741,179,0.23333
ENSG00000244734,HBB,295135,7.91650,205,-7.7261,275,-7.3031,2202,-4.7486
ENSG00000166313,APBB1,16,-6.0900,3081,2.88311,592,-0.9290,430,-1.7751
ENSG00000166337,TAF10,16,-3.5373,204,0.30916,174,0.00662,197,0.35011
ENSG00000166340,TPP1,16,-3.5382,204,0.30796,232,0.56718,168,-0.0808
ENSG00000166441,RPL27A,16,-6.3195,409,-1.7798,556,-1.2902,2175,2.48063
ENSG00000184014,DENND5A,16,-3.9795,346,0.76713,111,-1.2834,296,0.66941
ENSG00000255823,MTRNR2L8,3103,-0.4214,510,-3.3066,8995,1.77783,3559,-0.3131
ENSG00000110321,EIF4G2,16,-4.7190,517,0.54166,267,-0.6721,483,0.60852
ENSG00000050165,DKK3,16,-5.5588,2313,3.28084,671,-0.0758,76,-3.9610
ENSG00000110700,RPS13,734,-1.1296,498,-1.8535,717,-1.2769,2608,2.04260
ENSG00000134333,LDHA,394,-0.1063,273,-0.7605,310,-0.5420,556,0.83284
ENSG00000198168,SVIP,16,-4.4851,390,0.30122,87,-2.2035,506,1.38072
ENSG00000110427,KIAA1549L,16,-3.7684,738,3.86596,159,-0.4396,4,-6.2385
ENSG00000085063,CD59,16,-5.3071,260,-1.3851,382,-0.7571,996,1.93510
ENSG00000110436,SLC1A2,16,-5.9640,302,-1.8654,3817,5.27196,17,-6.5695
ENSG00000121653,MAPK8IP1,16,-4.7777,617,0.82711,559,0.61774,324,-0.5440
ENSG00000149091,DGKZ,16,-4.4074,951,2.82669,331,0.08796,65,-2.9885
ENSG00000110514,MADD,16,-3.6694,648,3.45387,134,-0.6202,32,-3.2897
ENSG00000165916,PSMC3,16,-3.9908,381,0.96191,217,-0.1547,229,-0.0822
ENSG00000149187,CELF1,16,-3.4481,425,2.26484,154,-0.0965,73,-1.6854
ENSG00000172247,C1QTNF4,16,-3.7085,618,3.06180,147,-0.5002,51,-2.5824
ENSG00000006118,TMEM132A,17,-3.4007,402,2.03403,295,1.19388,20,-3.8135
ENSG00000167986,DDB1,454,1.09171,446,1.30194,201,-0.3178,102,-1.7713
ENSG00000011347,SYT7,16,-3.2965,506,3.51013,137,-0.1220,4,-5.7653
ENSG00000124920,MYRF,16,-4.0745,204,-0.3730,44,-2.7905,436,2.08341
ENSG00000134825,TMEM258,16,-3.9152,204,-0.1781,133,-0.9137,333,1.26910
ENSG00000134824,FADS2,16,-3.0808,204,0.96022,261,1.56214,48,-1.9600
ENSG00000167996,FTH1,1066,-2.5271,863,-3.0049,3210,-0.9637,10260,2.47689
ENSG00000124942,AHNAK,16,-4.3054,204,-0.6487,246,-0.3179,432,1.23473
ENSG00000254772,EEF1G,16,-5.0202,371,-0.4658,317,-0.7340,735,1.39719
ENSG00000168000,BSCL2,16,-4.2603,828,2.66910,250,-0.2356,98,-2.1445
ENSG00000162188,GNG3,16,-5.5081,2645,4.56223,275,-1.5193,54,-4.4352
ENSG00000176485,PLAAT3,16,-4.9351,208,-1.3352,124,-2.1435,852,2.64538
ENSG00000133318,RTN3,16,-6.6575,5485,3.95030,663,-1.3841,284,-3.1115
ENSG00000176340,COX8A,16,-4.0557,323,0.51620,397,0.95642,192,-0.5980
ENSG00000173511,VEGFB,16,-3.2126,204,0.76178,283,1.53637,64,-1.6143
ENSG00000002330,BAD,16,-3.6143,323,1.18153,201,0.17922,145,-0.5569
ENSG00000126432,PRDX5,16,-3.9704,239,0.04373,269,0.26862,267,0.37113
ENSG00000110076,NRXN2,16,-4.8269,1295,2.91516,476,0.23010,58,-3.6085
ENSG00000213465,ARL2,16,-4.2225,520,1.31891,97,-1.7579,312,0.31783
ENSG00000149806,FAU,741,-1.0864,297,-2.6145,1023,-0.6551,2487,1.87828
ENSG00000245532,NEAT1,16,-4.4667,204,-0.8365,167,-1.1625,550,1.85550
ENSG00000251562,MALAT1,2626,-0.4882,1175,-1.8534,3348,-0.1157,5105,1.12853
ENSG00000168056,LTBP3,16,-3.3813,204,0.52024,209,0.56964,140,-0.2647
ENSG00000172757,CFL1,16,-6.0827,1186,0.31596,696,-0.6500,1315,0.79811
ENSG00000175602,CCDC85B,140,-2.8791,2511,2.37195,530,-0.9875,548,-1.1815
ENSG00000174903,RAB1B,16,-3.6743,355,1.31002,164,-0.2719,164,-0.3581
ENSG00000179292,TMEM151A,16,-5.3271,2075,3.58605,170,-2.0724,213,-2.0815
ENSG00000174684,B4GAT1,16,-4.1687,708,2.32151,263,-0.0320,112,-1.8028
ENSG00000174080,CTSF,16,-3.5031,285,1.06423,209,0.40715,129,-0.6329
ENSG00000173898,SPTBN2,273,0.61095,441,1.90939,258,0.60925,7,-5.4096
ENSG00000173020,GRK2,16,-3.9822,495,1.61714,200,-0.2974,178,-0.6579
ENSG00000172531,PPP1CA,16,-3.6677,469,2.09633,149,-0.4247,113,-1.1508
ENSG00000172508,CARNS1,16,-4.4094,295,-0.1227,49,-2.9939,534,1.91973
ENSG00000084207,GSTP1,16,-4.6579,204,-1.0548,242,-0.7666,616,1.75969
ENSG00000167792,NDUFV1,16,-3.6387,329,1.18682,137,-0.5461,180,-0.0710
ENSG00000110717,NDUFS8,16,-3.7357,204,0.04759,203,0.04151,239,0.52709
ENSG00000137497,NUMA1,16,-3.5511,343,1.42995,176,0.00805,130,-0.6913
ENSG00000149357,LAMTOR1,16,-3.8026,300,0.72089,163,-0.4372,232,0.30304
ENSG00000186642,PDE2A,16,-4.4172,777,2.05774,254,-0.4010,195,-1.0909
ENSG00000054965,FAM168A,16,-3.2720,355,2.07230,184,0.47252,51,-2.0968
ENSG00000021300,PLEKHB1,16,-5.9832,317,-1.8121,573,-0.8606,1659,2.20601
ENSG00000175582,RAB6A,16,-4.2212,396,0.69899,154,-1.0136,345,0.62610
ENSG00000118363,SPCS2,16,-3.5783,310,1.14360,188,0.09759,148,-0.4549
ENSG00000149273,RPS3,400,-1.7699,447,-1.7380,508,-1.5366,2256,2.28702
