BrNum,perm,neighbor,Z,scale,reference,id
Br5415,3,Astro.1,1.5770373480815336,500,Astro.1,NA
Br5415,1,Astro.2,1.6663900975171728,500,Astro.1,NA
Br5415,2,Astro.2,0.25028302500270716,500,Astro.1,NA
Br5415,3,Astro.2,1.0987345693685902,500,Astro.1,NA
Br5415,1,Astro.3,0.6553357371902501,500,Astro.1,NA
Br5415,2,Astro.3,-0.20908690973282665,500,Astro.1,NA
Br5415,3,Astro.3,1.0478550390654424,500,Astro.1,NA
Br5415,1,Astro.4,-1.5684235065623853,500,Astro.1,NA
Br5415,2,Astro.4,-2.4433922346433725,500,Astro.1,NA
Br5415,3,Astro.4,-3.2808837868236886,500,Astro.1,NA
Br5415,1,Astro.5,-0.2783624252700315,500,Astro.1,NA
Br5415,2,Astro.5,0.699347184641209,500,Astro.1,NA
Br5415,3,Astro.5,0.2497151854492922,500,Astro.1,NA
Br5415,1,Macro,-7.171843580756149,500,Astro.1,NA
Br5415,2,Macro,-7.348769603289731,500,Astro.1,NA
Br5415,3,Macro,-6.804877219365587,500,Astro.1,NA
Br5415,1,Micro.1,-2.2431831359800034,500,Astro.1,NA
Br5415,2,Micro.1,-2.748061653556297,500,Astro.1,NA
Br5415,3,Micro.1,-3.3039373610666423,500,Astro.1,NA
Br5415,1,Micro.2,4.206907157039919,500,Astro.1,NA
Br5415,2,Micro.2,4.9487122875675755,500,Astro.1,NA
Br5415,3,Micro.2,3.815736214887783,500,Astro.1,NA
Br5415,1,Micro.3,-2.666233909133125,500,Astro.1,NA
Br5415,2,Micro.3,-3.463852358666144,500,Astro.1,NA
Br5415,3,Micro.3,-2.448611278852977,500,Astro.1,NA
Br5415,1,Micro.4,-6.209404229625593,500,Astro.1,NA
Br5415,2,Micro.4,-6.209404229625593,500,Astro.1,NA
Br5415,3,Micro.4,-5.090639234246268,500,Astro.1,NA
Br5415,1,Micro.5,8.092081407050886,500,Astro.1,NA
Br5415,2,Micro.5,9.555995604839401,500,Astro.1,NA
Br5415,3,Micro.5,7.832488219850725,500,Astro.1,NA
Br5415,1,OPC.1,-5.509399580474426,500,Astro.1,NA
Br5415,2,OPC.1,-6.821419401344668,500,Astro.1,NA
Br5415,3,OPC.1,-5.4318547166908075,500,Astro.1,NA
Br5415,1,OPC.2,9.011670311945473,500,Astro.1,NA
Br5415,2,OPC.2,8.055961390446225,500,Astro.1,NA
Br5415,3,OPC.2,8.321075674406748,500,Astro.1,NA
Br5415,1,OPC.3,-4.493578439953828,500,Astro.1,NA
Br5415,2,OPC.3,-5.110218249100947,500,Astro.1,NA
