BrNum,region,perm,neighbor,Z,scale,reference,id
Br5517,GM,3,Inhib.Chandelier,-4.074627246758869,75,Astro.1,NA
Br5517,GM,1,Inhib.Lamp5_Lhx6,1.8867286236977299,75,Astro.1,NA
Br5517,GM,2,Inhib.Lamp5_Lhx6,1.0709462688569822,75,Astro.1,NA
Br5517,GM,3,Inhib.Lamp5_Lhx6,2.112436204015921,75,Astro.1,NA
Br5517,GM,1,Inhib.Pax6,-0.28693767178764307,75,Astro.1,NA
Br5517,GM,2,Inhib.Pax6,-0.4848060096283097,75,Astro.1,NA
Br5517,GM,3,Inhib.Pax6,-0.8537944981948237,75,Astro.1,NA
Br5517,GM,1,Inhib.Pvalb,-4.201309780320287,75,Astro.1,NA
Br5517,GM,2,Inhib.Pvalb,-4.372526011922478,75,Astro.1,NA
Br5517,GM,3,Inhib.Pvalb,-3.753512396606788,75,Astro.1,NA
Br5517,GM,1,Inhib.Sst,0.6402717263436808,75,Astro.1,NA
Br5517,GM,2,Inhib.Sst,0.6402717263436808,75,Astro.1,NA
Br5517,GM,3,Inhib.Sst,0.008706636055524013,75,Astro.1,NA
Br5517,GM,1,Inhib.Vip,8.855000689816242,75,Astro.1,NA
Br5517,GM,2,Inhib.Vip,9.035329987354203,75,Astro.1,NA
Br5517,GM,3,Inhib.Vip,8.855000689816242,75,Astro.1,NA
Br5517,GM,1,Astro.1,-2.937581875118488,100,Astro.1,NA
Br5517,GM,2,Astro.1,-4.300476420544571,100,Astro.1,NA
Br5517,GM,3,Astro.1,-5.734764588700434,100,Astro.1,NA
Br5517,GM,1,Astro.2,0.6038171171941332,100,Astro.1,NA
Br5517,GM,2,Astro.2,-0.2611345618017328,100,Astro.1,NA
Br5517,GM,3,Astro.2,0.5038995362959519,100,Astro.1,NA
Br5517,GM,1,Astro.4,NA,100,Astro.1,NA
Br5517,GM,2,Astro.4,NA,100,Astro.1,NA
Br5517,GM,3,Astro.4,-0.9114703461162124,100,Astro.1,NA
Br5517,GM,1,Astro.5,0.006820683919328104,100,Astro.1,NA
Br5517,GM,2,Astro.5,1.0115456729551466,100,Astro.1,NA
Br5517,GM,3,Astro.5,0.5828597655890699,100,Astro.1,NA
Br5517,GM,1,Macro,-10.048222069674278,100,Astro.1,NA
Br5517,GM,2,Macro,-9.55947111592559,100,Astro.1,NA
Br5517,GM,3,Macro,-9.257204880822755,100,Astro.1,NA
Br5517,GM,1,Micro.2,-4.16774313997764,100,Astro.1,NA
Br5517,GM,2,Micro.2,-3.9800191991189044,100,Astro.1,NA
Br5517,GM,3,Micro.2,-4.349756498131308,100,Astro.1,NA
Br5517,GM,1,Micro.5,3.124875373547027,100,Astro.1,NA
Br5517,GM,2,Micro.5,2.6084514030286075,100,Astro.1,NA
